ilungelo	i/li/lungelo
yamaziko	ya/a/ma/ziko
nomyinge	na/u/m/yinge
ekhulwini	e/khulu/ini
kumyinge	ku/u/m/yinge
ekhulwini	e/khulu/ini
nemikhwa	na/i/mi/khwa
kumasebe	ku/a/ma/sebe
kweqela	kwa/i/li/qela
wemizuzu	wa/i/mi/zuzu
ngolwazi	nga/u/lu/azi
kwamarhe	kwa/a/ma/rhe
iikomiti	i/z/i/komiti
yamafama	ya/a/ma/fama
ulwakhiwo	u/lu/akhiwo
iingxaki	i/z/in/gxaki
iikomiti	i/z/i/komiti
zeewadi	za/i/z/i/wadi
iikomiti	i/z/i/komiti
zeewadi	za/i/z/i/wadi
besibini	ba/i/si/bini
iingcali	i/z/in/gcali
namadoda	na/a/ma/doda
iinkqubo	i/z/in/kqubo
namadoda	na/a/ma/doda
namadoda	na/a/ma/doda
nomnatha	na/u/m/natha
iingcali	i/z/in/gcali
lweewadi	lwa/i/i/wadi
iimpahla	i/z/in/pahla
nemigodi	na/i/mi/godi
kwabantu	kwa/a/ba/ntu
iinkonzo	i/z/in/konzo
iinkonzo	i/z/in/konzo
nolawula	na/o/lawul/a
iinkonzo	i/z/in/konzo
iinkonzo	i/z/in/konzo
iinkonzo	i/z/in/konzo
iikomiti	i/z/i/komiti
bemfundo	ba/i/m/fundo
yesikolo	ya/i/si/kolo
kwelizwe	kwa/i/li/zwe
ngomqolo	nga/u/m/qolo
iinjongo	i/z/in/jongo
iinkqubo	i/z/in/kqubo
igqityiwe	i/gqib/iw/e
kwibhunga	ku/i/bhunga
iingxaki	i/z/in/gxaki
ngolwazi	nga/u/lu/azi
iikomiti	i/z/i/komiti
kwibhunga	ku/i/bhunga
ebhunga	a/i/li/bhunga
nemisela	na/e/misel/a
zalathiso	zi/alathiso
lonyaka	lwa/u/m/nyaka
kwelizwe	kwa/i/li/zwe
ukongeza	u/ku/ongez/a
iindlela	i/z/in/dlela
lonyaka	lwa/u/m/nyaka
kumhlaba	ku/u/m/hlaba
namaziko	na/a/ma/ziko
zamasebe	za/a/ma/sebe
kwaziswe	ku/az/is/w/e
yenkqubo	ya/i/n/kqubo
kwabantu	kwa/a/ba/ntu
zokupaka	za/u/ku/paka
iishifti	i/z/i/shifti
engqesho	a/i/n/gqesho
neenzuzo	na/i/in/zuzo
namadoda	na/a/ma/doda
ngeqela	nga/i/li/qela
somhlaba	sa/u/m/hlaba
yeemeko	ya/i/z/i/meko
eminyaka	a/i/mi/nyaka
iindleko	i/z/in/dleko
kumaziko	ku/a/ma/ziko
ngokuthe	nga/oku/th/e
bendleko	ba/i/n/dleko
ngokuthe	nga/oku/th/e
yendlela	ya/i/n/dlela
iingxelo	i/z/in/gxelo
konyaka	kwa/u/m/nyaka
bengxaki	ba/i/n/gxaki
semifuno	sa/i/mi/funo
kwabantu	kwa/a/ba/ntu
icandelo	i/li/candelo
neemfuno	na/i/in/funo
iikomiti	i/z/i/komiti
kwikomiti	ku/i/komiti
nendlela	na/i/n/dlela
iinkqubo	i/z/in/kqubo
wamagosa	wa/a/ma/gosa
iikomiti	i/z/i/komiti
enoncedo	e/na/u/ncedo
somhlaba	sa/u/m/hlaba
nezigidi	na/i/zi/gidi
zomhlaba	za/u/m/hlaba
ama-848km	a/ma/848/km
onxweme	a/u/lu/nxweme
ngomlomo	nga/u/m/lomo
zeewadi	za/i/z/i/wadi
iinjongo	i/z/in/jongo
iikomiti	i/z/i/komiti
nenkqubo	na/i/n/kqubo
lwezinto	lwa/i/zin/to
kolawulo	kwa/u/lawulo
nemivuzo	na/i/mi/vuzo
yemfundo	ya/i/m/fundo
iinkqubo	i/z/in/kqubo
kwabantu	kwa/a/ba/ntu
nenkqubo	na/i/n/kqubo
yemfundo	ya/i/m/fundo
eenkqubo	a/i/in/kqubo
nengxelo	na/i/n/gxelo
yombutho	ya/u/m/butho
nengxelo	na/i/n/gxelo
kwibhunga	ku/i/bhunga
boncedo	ba/u/lu/ncedo
zentlalo	za/i/n/tlalo
kwendawo	kwa/i/n/dawo
zamasebe	za/a/ma/sebe
namaqela	na/a/ma/qela
iinjongo	i/z/in/jongo
iikomiti	i/z/i/komiti
zosapho	za/u/lu/sapho
ziqulethe	zi/qulath/e
yesikolo	ya/i/si/kolo
wenyanga	wa/i/n/yanga
eekomiti	a/i/i/komiti
zeewadi	za/i/z/i/wadi
yahlulwe	ya/ahlul/w/e
kweqela	kwa/i/li/qela
neepeni	na/i/z/i/peni
ezintathu	ezin/thathu
icandelo	i/li/candelo
kumthamo	ku/u/m/thamo
wexesha	wa/i/li/xesha
kwiphepha	ku/i/phepha
kumbutho	ku/u/m/butho
wenkxaso	wa/i/n/kxaso
nendleko	na/i/n/dleko
sexesha	sa/i/li/xesha
bexesha	ba/i/li/xesha
kugqitywe	ku/gqib/w/e
ukwabela	u/ku/ab/el/a
iikomiti	i/z/i/komiti
zeewadi	za/i/z/i/wadi
olawulo	a/u/lu/lawulo
iikomiti	i/z/i/komiti
zeewadi	za/i/z/i/wadi
zeewadi	za/i/z/i/wadi
ingoyiki	i/nga/oyik/i
samasebe	sa/a/ma/sebe
iindlela	i/z/in/dlela
nezigidi	na/i/zi/gidi
namaziko	na/a/ma/ziko
iinkqubo	i/z/in/kqubo
iinjongo	i/z/in/jongo
sakudala	si/a/ku/dala
kumnxeba	ku/u/m/nxeba
wexesha	wa/i/li/xesha
kumnxeba	ku/u/m/nxeba
wexesha	wa/i/li/xesha
wexesha	wa/i/li/xesha
ngoluntu	nga/u/lu/ntu
esifundo	a/i/si/fundo
kwiphepha	ku/i/phepha
ngezizwe	nga/i/zi/zwe
kwinqanam	ku/i/nqanam
namagama	na/a/ma/gama
namaqela	na/a/ma/qela
kwembewu	kwa/i/m/bewu
kuqhutywa	ku/qhub/w/a
ikhonkco	i/li/khonkco
wemibuzo	wa/i/mi/buzo
iikomiti	i/z/i/komiti
namaqela	na/a/ma/qela
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
olawulo	a/u/lu/lawulo
iikomiti	i/z/i/komiti
iinkqubo	i/z/in/kqubo
iinkqubo	i/z/in/kqubo
iikomiti	i/z/i/komiti
iinkqubo	i/z/in/kqubo
nendlela	na/i/n/dlela
kwibhunga	ku/i/bhunga
yobumeli	ya/u/bu/meli
ebhunga	a/i/li/bhunga
iikomiti	i/z/i/komiti
nenkqubo	na/i/n/kqubo
iikomiti	i/z/i/komiti
eekomiti	a/i/i/komiti
zeewadi	za/i/z/i/wadi
akuyonto	a/ku/yi/n/to
eekomiti	a/i/i/komiti
zeewadi	za/i/z/i/wadi
neemfuno	na/i/in/funo
yexesha	ya/i/li/xesha
kwabantu	kwa/a/ba/ntu
nemfundo	na/i/n/fundo
iinkqubo	i/z/in/kqubo
ngobomi	nga/u/bu/bomi
beendawo	ba/i/in/dawo
iingxoxo	i/z/in/gxoxo
ebhunga	a/i/li/bhunga
iikomiti	i/z/i/komiti
nezindlu	na/i/zin/dlu
yeeteksi	ya/i/i/teksi
senkqubo	sa/i/n/kqubo
ngokwalo	nga/o/kwa/lo
kwicwecwe	ku/i/cwecwe
iinkqubo	i/z/in/kqubo
iinjongo	i/z/in/jongo
namaqela	na/a/ma/qela
iikomiti	i/z/i/komiti
kohlahlo	kwa/u/hlahlo
zendlela	za/i/n/dlela
namasebe	na/a/ma/sebe
noncedo	na/u/lu/ncedo
ngokwabo	nga/okw/a/bo
lwamanzi	lwa/a/ma/nzi
iindlela	i/z/in/dlela
iinkqubo	i/z/in/kqubo
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
ukongeza	u/ku/ongez/a
kweegesi	kwa/i/i/gesi
kwimpilo	ku/i/m/philo
yamaqela	ya/a/ma/qela
nabameli	na/a/ba/meli
iintsuku	i/z/in/tsuku
lexesha	la/i/li/xesha
kabutsha	ka/u/bu/tsha
eminyaka	a/i/mi/nyaka
kwezizwe	kwa/i/zi/zwe
kwabantu	kwa/a/ba/ntu
ngebala	nga/i/li/bala
ngebala	nga/i/li/bala
bamaziko	ba/a/ma/ziko
nemfundo	na/i/n/fundo
ukwabiwa	u/ku/ab/iw/a
eminyaka	a/i/mi/nyaka
lonyaka	lwa/u/m/nyaka
kumyinge	ku/u/m/yinge
ekhulwini	e/khulu/ini
neenzuzo	na/i/in/zuzo
kabutsha	ka/u/bu/tsha
iikomiti	i/z/i/komiti
nendlela	na/i/n/dlela
zeewadi	za/i/z/i/wadi
zenkqubo	za/i/n/kqubo
lophando	lwa/u/phando
neemfuno	na/i/in/funo
kwii-1950	ku/i/i/1950
kwii-1970	ku/i/i/1970
kwabantu	kwa/a/ba/ntu
yemfundo	ya/i/m/fundo
ekhulwini	e/khulu/ini
ekhulwini	e/khulu/ini
iikomiti	i/z/i/komiti
yamaqela	ya/a/ma/qela
zimelwe	zi/i/m/el/w/e
labameli	la/a/ba/meli
iingxaki	i/z/in/gxaki
kolwazi	kwa/u/lu/az/i
yohlobo	ya/u/lu/hlobo
lwelitye	lwa/i/li/tye
selahle	sa/i/li/lahle
ngezimbo	nga/i/zi/mbo
zemikhwa	za/i/mi/khwa
ekhulwini	e/khulu/ini
nomyinge	na/u/m/yinge
ekhulwini	e/khulu/ini
kwabantu	kwa/a/ba/ntu
nomyinge	na/u/m/yinge
ekhulwini	e/khulu/ini
iinkonzo	i/z/in/konzo
lesibini	la/i/si/bini
kwibakala	ku/i/bakala
yenkqubo	ya/i/n/kqubo
kumanani	ku/a/ma/nani
somhlaba	sa/u/m/hlaba
iikomiti	i/z/i/komiti
sobujoni	sa/u/bu/joni
kudushe	ku/u/lu/dushe
sobujoni	sa/u/bu/joni
yesixeko	ya/i/si/xeko
nexesha	na/i/li/xesha
ezenziwa	ezi/enz/iw/a
ebhunga	a/i/li/bhunga
lohlahlo	lwa/u/hlahlo
kohlahlo	kwa/u/hlahlo
lohlahlo	lwa/u/hlahlo
iikomiti	i/z/i/komiti
lohlahlo	lwa/u/hlahlo
iingxelo	i/z/in/gxelo
iindlela	i/z/in/dlela
lohlahlo	lwa/u/hlahlo
ebhunga	a/i/li/bhunga
ngendawo	nga/i/n/dawo
kwibhunga	ku/i/bhunga
neerhafu	na/i/i/rhafu
luthotywe	lu/thob/w/e
iindleko	i/z/in/dleko
ngelithi	nga/eli/th/i
kuqhutywa	ku/qhub/w/a
emdleni	e/u/m/dla/ini
lwabantu	lwa/a/ba/ntu
zentlalo	za/i/n/tlalo
kumaziko	ku/a/ma/ziko
kwasekwa	ku/a/sek/w/a
iikomiti	i/z/i/komiti
ukukwazi	u/ku/ku/az/i
eendaba	a/i/z/in/daba
engingqi	a/i/n/gingqi
namajelo	na/a/ma/jelo
eendaba	a/i/z/in/daba
yendlela	ya/i/n/dlela
namaqela	na/a/ma/qela
akakwazi	a/ka/ku/az/i
yenkqubo	ya/i/n/kqubo
iingxelo	i/z/in/gxelo
neegesi	na/i/z/i/gesi
zeendawo	za/i/in/dawo
kwimozulu	ku/i/mozulu
yomhlaba	ya/u/m/hlaba
nezimali	na/i/zi/mali
kwamanzi	kwa/a/ma/nzi
empixano	a/i/m/pixano
esifundo	a/i/si/fundo
icandelo	i/li/candelo
yeenzuzo	ya/i/in/zuzo
icandelo	i/li/candelo
iinkonzo	i/z/in/konzo
iingxelo	i/z/in/gxelo
iinkqubo	i/z/in/kqubo
othutho	a/u/lu/thutho
kolawulo	kwa/u/lawulo
ngoxolo	nga/u/lu/xolo
kwikomiti	ku/i/komiti
zexesha	za/i/li/xesha
iintsuku	i/z/in/tsuku
ngezinto	nga/i/zin/to
namasebe	na/a/ma/sebe
yamacala	ya/a/ma/cala
namadoda	na/a/ma/doda
kumxholo	ku/u/m/xholo
luqulethe	lu/qulath/e
iikomiti	i/z/i/komiti
iinkonzo	i/z/in/konzo
i-logframe	i/logframe
iinjongo	i/z/in/jongo
inqanaba	i/li/nqanaba
wengxelo	wa/i/n/gxelo
kwibhunga	ku/i/bhunga
kwinqanam	ku/i/nqanam
lemfundo	la/i/n/fundo
kumaziko	ku/a/ma/ziko
nemiqobo	na/i/mi/qobo
kwezenzo	kwa/i/z/enzo
ngombono	nga/u/m/bono
esamkela	e/sa/amkel/a
nemizamo	na/i/mi/zamo
zezindlu	za/i/zin/dlu
namaziko	na/a/ma/ziko
ngoluhlu	nga/u/lu/hlu
esandayo	esi/and/a/yo
labaxumi	la/a/ba/xumi
elandayo	eli/and/a/yo
lwamazwe	lwa/a/ma/zwe
bamaziko	ba/a/ma/ziko
iingxaki	i/z/in/gxaki
yabanini	ya/a/ba/nini
iindlela	i/z/in/dlela
koovimba	kwa/oo/vimba
lwamanzi	lwa/a/ma/nzi
lulwabiwo	lu/lu/abiwo
nendlela	na/i/n/dlela
kumaqela	ku/a/ma/qela
namagosa	na/a/ma/gosa
ebhunga	a/i/li/bhunga
ngeziko	nga/i/li/ziko
iinkqubo	i/z/in/kqubo
iindlela	i/z/in/dlela
kwiphepha	ku/i/phepha
lenkqubo	la/i/n/kqubo
ekuhleni	e/ku/hla/ini
lenkqubo	la/i/n/kqubo
yendlela	ya/i/n/dlela
yendlela	ya/i/n/dlela
iindlela	i/z/in/dlela
zamaqela	za/a/ma/qela
ngokuthe	nga/oku/th/e
iingxaki	i/z/in/gxaki
wendlela	wa/i/n/dlela
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
iinjongo	i/z/in/jongo
kwii-idp	ku/i/z/i/idp
nesiseko	na/i/si/seko
bomzimba	ba/u/m/zimba
kuqhutywe	ku/qhub/w/e
iingxoxo	i/z/in/gxoxo
obenziwa	obu/enz/iw/a
yegunya	ya/i/li/gunya
nengxaki	na/i/n/gxaki
ngoluhlu	nga/u/lu/hlu
iindlela	i/z/in/dlela
iinkqubo	i/z/in/kqubo
kwiphepha	ku/i/phepha
kolawulo	kwa/u/lawulo
wemfundo	wa/i/m/fundo
nemfundo	na/i/n/fundo
kumaziko	ku/a/ma/ziko
esifundo	a/i/si/fundo
kwikomiti	ku/i/komiti
ngabantu	nga/a/ba/ntu
iingxaki	i/z/in/gxaki
neenzuzo	na/i/in/zuzo
nokonga	na/u/ku/ong/a
yomhlaba	ya/u/m/hlaba
iikomiti	i/z/i/komiti
iinkqubo	i/z/in/kqubo
kuqhutywa	ku/qhub/w/a
nengqiqo	na/i/n/gqiqo
yamaqela	ya/a/ma/qela
yamaqela	ya/a/ma/qela
yamaqela	ya/a/ma/qela
kwiphepha	ku/i/phepha
esifundo	a/i/si/fundo
nemfundo	na/i/n/fundo
kwabantu	kwa/a/ba/ntu
kwezinto	kwa/i/zin/to
yenkqubo	ya/i/n/kqubo
iinkqubo	i/z/in/kqubo
nemibono	na/i/mi/bono
nenkxaso	na/i/n/kxaso
inqanaba	i/li/nqanaba
ziqhutywe	zi/qhub/w/e
bahlulwe	ba/ahlul/w/e
kwiphepha	ku/i/phepha
olawulo	a/u/lu/lawulo
yenkqubo	ya/i/n/kqubo
iinkqubo	i/z/in/kqubo
nendlela	na/i/n/dlela
iinkonzo	i/z/in/konzo
nezikimu	na/i/zi/kimu
nendlela	na/i/n/dlela
iinkonzo	i/z/in/konzo
nendlela	na/i/n/dlela
iingxelo	i/z/in/gxelo
ezenziwa	ezi/enz/iw/a
sethuba	sa/i/li/thuba
yenkqubo	ya/i/n/kqubo
iindlela	i/z/in/dlela
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
kwikomiti	ku/i/komiti
namadoda	na/a/ma/doda
nengxoxo	na/i/n/gxoxo
kumacala	ku/a/ma/cala
lexesha	la/i/li/xesha
ukongeza	u/ku/ongez/a
inexesha	i/na/i/xesha
nendlela	na/i/n/dlela
iikomiti	i/z/i/komiti
nendlela	na/i/n/dlela
iinjongo	i/z/in/jongo
iinkonzo	i/z/in/konzo
lorhwebo	lwa/u/rhwebo
ngamazwe	nga/a/ma/zwe
yabelwa	y/a/ab/el/w/a
iinjongo	i/z/in/jongo
kuqhutywa	ku/qhub/w/a
neemfuno	na/i/in/funo
lokholo	la/u/lu/kholo
yamanina	ya/a/ma/nina
icandelo	i/li/candelo
kwithenda	ku/i/thenda
inegunya	i/na/i/gunya
iinkonzo	i/z/in/konzo
zezimali	za/i/zi/mali
iindleko	i/z/in/dleko
bungekho	bu/nge/khona
kwendalo	kwa/i/n/dalo
ukongeza	u/ku/ongez/a
kwikomiti	ku/i/komiti
namaqela	na/a/ma/qela
namaqela	na/a/ma/qela
nengxaki	na/i/n/gxaki
yamaqela	ya/a/ma/qela
kwabizwa	ku/a/biz/w/a
iinkqubo	i/z/in/kqubo
iikomiti	i/z/i/komiti
namagosa	na/a/ma/gosa
iinkqubo	i/z/in/kqubo
iindlela	i/z/in/dlela
namaziko	na/a/ma/ziko
ngolimo	nga/u/lu/limo
kumaziko	ku/a/ma/ziko
ulwamkelo	u/lu/amkelo
lohlahlo	lwa/u/hlahlo
iinjongo	i/z/in/jongo
iinjongo	i/z/in/jongo
zamasebe	za/a/ma/sebe
nemibono	na/i/mi/bono
namasebe	na/a/ma/sebe
emicimbi	a/i/mi/cimbi
mpumelelo	m/phumelelo
yamaqela	ya/a/ma/qela
nabalimi	na/a/ba/limi
kwi-0.9kg	ku/i/0.9/kg
zeewadi	za/i/z/i/wadi
sengxoxo	sa/i/n/gxoxo
sendleko	sa/i/n/dleko
kumaziko	ku/a/ma/ziko
iindleko	i/z/in/dleko
kumaziko	ku/a/ma/ziko
zexesha	za/i/li/xesha
nezikolo	na/i/zi/kolo
iindlela	i/z/in/dlela
iinkqubo	i/z/in/kqubo
iinjongo	i/z/in/jongo
iikomiti	i/z/i/komiti
ngoluhlu	nga/u/lu/hlu
sexesha	sa/i/li/xesha
inexesha	i/na/i/xesha
lexesha	la/i/li/xesha
iizowuni	i/z/i/zowuni
iingcali	i/z/in/gcali
iinkqubo	i/z/in/kqubo
iinkqubo	i/z/in/kqubo
iikomiti	i/z/i/komiti
iinjongo	i/z/in/jongo
iikomiti	i/z/i/komiti
zingenza	zi/nga/enz/a
kwibhunga	ku/i/bhunga
iinkonzo	i/z/in/konzo
ngoluhlu	nga/u/lu/hlu
kwamanzi	kwa/a/ma/nzi
iikomiti	i/z/i/komiti
loovimba	lwa/oo/vimba
ngenani	nga/i/li/nani
iindleko	i/z/in/dleko
zamahala	za/a/ma/hala
kuqhutywa	ku/qhub/w/a
kwendalo	kwa/i/n/dalo
ngezinto	nga/i/zin/to
iikomiti	i/z/i/komiti
zingenza	zi/nge/enz/a
kuqhutywe	ku/qhub/w/e
ngombuzo	nga/u/m/buzo
kweqela	kwa/i/li/qela
eekomiti	a/i/i/komiti
zeewadi	za/i/z/i/wadi
iintlobo	i/z/in/tlobo
eekomiti	a/i/i/komiti
zeewadi	za/i/z/i/wadi
iinkonzo	i/z/in/konzo
yamaqela	ya/a/ma/qela
ngeqela	nga/i/li/qela
zeewadi	za/i/z/i/wadi
ilungelo	i/li/lungelo
zentlalo	za/i/n/tlalo
neemeko	na/i/zin/meko
namadoda	na/a/ma/doda
iinkonzo	i/z/in/konzo
namadoda	na/a/ma/doda
bayayazi	ba/ya/i/az/i
bayayazi	ba/ya/i/az/i
kungenza	ku/nga/enz/a
iingxaki	i/z/in/gxaki
ngobunye	nga/u/bu/nye
lwamanzi	lwa/a/ma/nzi
lwamanzi	lwa/a/ma/nzi
ulwakhiwo	u/lu/akhiwo
iinkonzo	i/z/in/konzo
nendlela	na/i/n/dlela
yenkqubo	ya/i/n/kqubo
iinkqubo	i/z/in/kqubo
ibinzana	i/li/binzana
ekhulwini	e/khulu/ini
kotywala	kwa/u/bu/ala
iimpompo	i/z/im/pompo
zenkqubo	za/i/n/kqubo
kunyulo	ku/u/lu/nyulo
iikomiti	i/z/i/komiti
yeeteksi	ya/i/i/teksi
wesixeko	wa/i/si/xeko
zanelise	zi/anel/is/e
kumaqela	ku/a/ma/qela
kwiphepha	ku/i/phepha
esifundo	a/i/si/fundo
iinjongo	i/z/in/jongo
lukotshwe	lu/koph/w/e
bamaziko	ba/a/ma/ziko
kwiqalela	ku/i/qalela
iimpompo	i/z/im/pompo
neenzuzo	na/i/in/zuzo
yexesha	ya/i/li/xesha
ye-ajenda	ya/i/ajenda
yexesha	ya/i/li/xesha
zentlalo	za/i/n/tlalo
lweqela	lwa/i/li/qela
lungakha	lu/nga/akh/a
lungakha	lu/nga/akh/a
ziqhutywa	zi/qhub/w/a
zeewadi	za/i/z/i/wadi
iinkqubo	i/z/in/kqubo
iingxaki	i/z/in/gxaki
iinkonzo	i/z/in/konzo
kwikomiti	ku/i/komiti
iingxaki	i/z/in/gxaki
ezakhayo	ezi/akh/a/yo
iingxaki	i/z/in/gxaki
weenqobo	wa/i/in/qobo
lohlahlo	lwa/u/hlahlo
kubudala	ku/u/bu/dala
iinkqubo	i/z/in/kqubo
iinkonzo	i/z/in/konzo
iikomiti	i/z/i/komiti
nenkxaso	na/i/n/kxaso
ngokuthe	nga/oku/th/e
ngamazwe	nga/a/ma/zwe
sokonga	sa/u/ku/ong/a
kwelizwe	kwa/i/li/zwe
ebhunga	a/i/li/bhunga
iingxaki	i/z/in/gxaki
neemfuno	na/i/in/funo
nabaniki	na/a/ba/niki
nendlela	na/i/n/dlela
uyakwazi	u/ya/ku/az/i
yohlobo	ya/u/lu/hlobo
kwikomiti	ku/i/komiti
bezixeko	ba/i/zi/xeko
iikomiti	i/z/i/komiti
zeewadi	za/i/z/i/wadi
labameli	la/a/ba/meli
yelungu	ya/i/li/lungu
lonyaka	lwa/u/m/nyaka
kwibhunga	ku/i/bhunga
iikomiti	i/z/i/komiti
inqanaba	i/li/nqanaba
ezintathu	ezin/thathu
seenzuzo	sa/i/in/zuzo
yenkqubo	ya/i/n/kqubo
lwamazwe	lwa/a/ma/zwe
sekhulu	sa/i/li/khulu
kumaziko	ku/a/ma/ziko
orhwebo	a/u/lu/rhwebo
