olwenziwe	olu/enz/iw/e
eyakhayo	e/ya/akh/a/yo
kwixesha	ku/i/li/xesha
lwempilo	lwa/i/m/philo
lwempilo	lwa/i/m/philo
kwindlela	ku/i/n/dlela
olwenzeka	olu/enz/ek/a
zokwenza	za/u/ku/enz/a
zokunika	za/u/ku/nik/a
sokwenza	sa/u/ku/enz/a
zokwakha	za/u/ku/akh/a
ebantwini	e/ba/ntu/ini
kwisixeko	ku/i/si/xeko
kwiilali	ku/i/z/i/lali
yokuwina	ya/u/ku/win/a
kwinyanga	ku/i/n/yanga
kwinkqubo	ku/i/n/kqubo
kwixesha	ku/i/li/xesha
kwemozulu	kwa/i/mozulu
kwixesha	ku/i/li/xesha
kuqoqosho	ku/u/qoqosho
kwinkqubo	ku/i/n/kqubo
yezaziso	ya/i/zi/aziso
abanokuba	aba/na/ukuba
ukuyenza	u/ku/yi/enz/a
kwiimbono	ku/i/in/bono
ngezantsi	nga/e/zantsi
kwimpatho	ku/i/m/patho
kwiimeko	ku/i/z/i/meko
lokwenza	la/u/ku/enz/a
enomvuzo	e/na/u/m/vuzo
uneekopi	u/na/i/i/kopi
wenkonzo	wa/i/n/khonzo
nenqanaba	na/i/nqanaba
kwimigama	ku/i/mi/gama
noxanduva	na/u/xanduva
kwindlela	ku/i/n/dlela
yokwenza	ya/u/ku/enz/a
kwebhunga	kwa/i/bhunga
zokwenza	za/u/ku/enz/a
kwixesha	ku/i/li/xesha
iyenzeka	i/yi/enz/ek/a
okuphila	a/u/ku/phil/a
wokwakha	wa/u/ku/akh/a
kuvavanyo	ku/u/vavanyo
lwebhunga	lwa/i/bhunga
yokuxoxa	ya/u/ku/xox/a
kwi'ladder	ku/i/ladder
ii-arhente	i/i/arhente
noxanduva	na/u/xanduva
kwindlela	ku/i/n/dlela
kwiinqobo	ku/i/in/qobo
kwiindawo	ku/i/in/dawo
nomhlophe	na/o/mhlophe
kwindleko	ku/i/n/dleko
yomzantsi	ya/u/mzantsi
ngamehlo	nga/a/ma/ihlo
kwixesha	ku/i/li/xesha
lokwenza	la/u/ku/enz/a
nomahluko	na/u/mahluko
sisakhono	s/i/si/khono
ngethemba	nga/i/themba
nokunika	na/u/ku/nik/a
zandiswe	zi/and/is/w/e
kwiiwadi	ku/i/z/i/wadi
zophuculo	za/u/phuculo
kwindlela	ku/i/n/dlela
nokwenza	na/u/ku/enz/a
yesantya	ya/i/si/antya
olwenziwa	olu/enz/iw/a
kwisazobe	ku/i/sa/zobe
lokuqala	la/u/ku/qal/a
kwinkqubo	ku/i/n/kqubo
kwithuba	ku/i/li/thuba
kwindlela	ku/i/n/dlela
equlethwe	e/qulath/w/e
kwiqonga	ku/i/li/qonga
nokucela	na/u/ku/cel/a
zecandelo	za/i/candelo
kwinkqubo	ku/i/n/kqubo
wokulima	wa/u/ku/lim/a
emntwini	e/u/m/ntu/ini
wokuseta	wa/u/ku/set/a
yokuseka	ya/u/ku/sek/a
komhlaba	kwa/u/m/hlaba
bomzantsi	ba/u/mzantsi
ngonyaka	nga/u/m/nyaka
ezinokuba	ezi/na/ukuba
womzantsi	wa/u/mzantsi
egumbini	e/i/gumbi/ini
nokwenza	na/u/ku/enz/a
okwenziwe	oku/enz/iw/e
kwimfundo	ku/i/m/fundo
lwempilo	lwa/i/m/philo
yeseshoni	ya/i/seshoni
ngokutsha	nga/oku/tsha
novelwano	na/u/velwano
oyenzayo	o/yi/enz/a/yo
yenkonzo	ya/i/n/khonzo
yokugaya	ya/u/ku/gay/a
yomelezwe	i/omelez/w/e
yokusika	ya/u/ku/sik/a
sedolophu	sa/i/dolophu
ngorhatya	nga/u/rhatya
abantwana	a/ba/ntu/ana
emnyameni	e/mnyama/ini
kwekomiti	kwa/i/komiti
lokwenza	la/u/ku/enz/a
nokunika	na/u/ku/nik/a
yokwenza	ya/u/ku/enz/a
kukuyila	ku/u/ku/yil/a
kwixesha	ku/i/li/xesha
kombutho	kwa/u/m/butho
lokuqala	la/u/ku/qal/a
kuqoqosho	ku/u/qoqosho
kwixesha	ku/i/li/xesha
ngezantsi	nga/e/zantsi
wenkonzo	wa/i/n/khonzo
kwixesha	ku/i/li/xesha
wenkonzo	wa/i/n/khonzo
noxanduva	na/u/xanduva
wenkonzo	wa/i/n/khonzo
kwiindawo	ku/i/in/dawo
nokudala	na/u/ku/dal/a
wokwakha	wa/u/ku/akh/a
eyenziwe	e/yi/enz/iw/e
boqoqosho	ba/u/qoqosho
kwifuthe	ku/i/li/futhe
bokwakha	ba/u/ku/akh/a
kwindlela	ku/i/n/dlela
kwixesha	ku/i/li/xesha
nokwenza	na/u/ku/enz/a
ngokutsha	nga/oku/tsha
zokunika	za/u/ku/nik/a
kwingxelo	ku/i/n/gxelo
kwinkqubo	ku/i/n/kqubo
woxanduva	wa/u/xanduva
lokunika	la/u/ku/nik/a
kubumbano	ku/u/bumbano
lelokuba	li/e/la/ukuba
eyakhayo	e/ya/akh/a/yo
kwathetha	ku/a/theth/a
kwisimilo	ku/i/si/milo
wokwenza	wa/u/ku/enz/a
noxanduva	na/u/xanduva
kwinkqubo	ku/i/n/kqubo
wenkonzo	wa/i/n/khonzo
yokwenza	ya/u/ku/enz/a
kwebhunga	kwa/i/bhunga
wokwenza	wa/u/ku/enz/a
okuxhasa	a/u/ku/xhas/a
kwinkqubo	ku/i/n/kqubo
kwinkqubo	ku/i/n/kqubo
yokwenza	ya/u/ku/enz/a
iqulethwe	i/qulath/w/e
nokwenza	na/u/ku/enz/a
bokwenza	ba/u/ku/enz/a
nokuyila	na/u/ku/yil/a
lokwenza	la/u/ku/enz/a
nokwenza	na/u/ku/enz/a
yokunika	ya/u/ku/nik/a
owenziwa	o/wa/enz/iw/a
libhunga	l/i/li/bhunga
ukuyenza	u/ku/yi/enz/a
bomzantsi	ba/u/mzantsi
kwiimali	ku/i/z/i/mali
kuqoqosho	ku/u/qoqosho
kwizintlu	ku/i/zin/tlu
kwinxenye	ku/i/n/xenye
kwisiseko	ku/i/si/seko
ngonyaka	nga/u/m/nyaka
bedolophu	ba/i/dolophu
kwincwadi	ku/i/n/cwadi
kwinkqubo	ku/i/n/kqubo
unendima	u/na/i/n/dima
anendima	a/na/i/n/dima
zoqoqosho	za/u/qoqosho
kwizibini	ku/i/zi/bini
olwenziwa	olu/enz/iw/a
libhunga	l/i/li/bhunga
lwempilo	lwa/i/m/philo
kwisiseko	ku/i/si/seko
engama-30	e/ng/a/ma/30
zokususa	za/u/ku/sus/a
lwempilo	lwa/i/m/philo
lokuqala	la/u/ku/qal/a
okufunda	a/u/ku/fund/a
kulungiso	ku/u/lungiso
wenkonzo	wa/i/n/khonzo
wenkonzo	wa/i/n/khonzo
konyulo	kwa/u/lu/nyulo
babelana	ba/ab/el/an/a
kwinyanga	ku/i/n/yanga
nenqanaba	na/i/nqanaba
yokwenza	ya/u/ku/enz/a
yokwenza	ya/u/ku/enz/a
ezibanjwa	ezi/bamb/w/a
kwiiklasi	ku/i/i/klasi
ecetyelwa	e/ceb/el/w/a
wenkonzo	wa/i/n/khonzo
ngexabiso	nga/i/xabiso
bahlukene	ba/ahlukan/e
banomdla	ba/na/u/m/dla
kwiinguqu	ku/i/in/guqu
luxwebhu	l/u/lu/xwebhu
nokuseka	na/u/ku/sek/a
lecandelo	la/i/candelo
kwindlela	ku/i/n/dlela
ophuhliso	a/u/phuhliso
zoqoqosho	za/u/qoqosho
kumzantsi	ku/u/mzantsi
wokuqala	wa/u/ku/qal/a
kwiindawo	ku/i/in/dawo
lokuqala	la/u/ku/qal/a
nezimbini	na/ezin/bini
-iinjongo	i/z/in/jongo
lokuxoxa	la/u/ku/xox/a
ngebakala	nga/i/bakala
aneliswe	a/anel/is/w/e
wokwenza	wa/u/ku/enz/a
noxanduva	na/u/xanduva
ezinokuba	ezi/na/ukuba
lokunika	la/u/ku/nik/a
lokunika	la/u/ku/nik/a
nokubona	na/u/ku/bon/a
kwinkqubo	ku/i/n/kqubo
yokwenza	ya/u/ku/enz/a
wahlulwe	w/a/ahlul/w/e
boqoqosho	ba/u/qoqosho
womzantsi	wa/u/mzantsi
endlwini	e/i/n/dlu/ini
lwexabiso	lwa/i/xabiso
neempawu	na/i/zim/pawu
ongowabo	o/nga/o/wa/bo
okwenziwa	oku/enz/iw/a
lokuqala	la/u/ku/qal/a
kwebakala	kwa/i/bakala
yokwenza	ya/u/ku/enz/a
noxanduva	na/u/xanduva
ii-arhente	i/i/arhente
zokugaya	za/u/ku/gay/a
nokwenza	na/u/ku/enz/a
womzantsi	wa/u/mzantsi
kuxanduva	ku/u/xanduva
kwiimfuno	ku/i/im/funo
yokuquka	ya/u/ku/quk/a
ecetywayo	e/ceb/w/a/yo
zokwenza	za/u/ku/enz/a
zokuvala	za/u/ku/val/a
sesikweni	s/e/siko/ini
eyenziwa	e/yi/enz/iw/a
amenyelwe	a/mem/el/w/e
oshishino	a/u/shishino
ayenzayo	a/yi/enz/a/yo
libhunga	l/i/li/bhunga
nokuquka	na/u/ku/quk/a
lwemozulu	lwa/i/mozulu
kumzantsi	ku/u/mzantsi
noxanduva	na/u/xanduva
lokunika	la/u/ku/nik/a
ngezenzo	nga/i/zi/enzo
zokufuna	za/u/ku/fun/a
eyakhayo	e/ya/akh/a/yo
bomzantsi	ba/u/mzantsi
ukwahluka	u/ku/ahluk/a
neletsema	na/i/letsema
eyenziwa	e/yi/enz/iw/a
ngomatshi	nga/u/matshi
libhunga	l/i/li/bhunga
kwamkelwe	ku/amkel/w/e
kwinkqubo	ku/i/n/kqubo
kwebakala	kwa/i/bakala
lokwenza	la/u/ku/enz/a
kwiiwadi	ku/i/z/i/wadi
kwiindawo	ku/i/in/dawo
libhunga	l/i/li/bhunga
lokwenza	la/u/ku/enz/a
kwinkqubo	ku/i/n/kqubo
nokumema	na/u/ku/mem/a
beenkozo	ba/i/in/konzo
kwinkqubo	ku/i/n/kqubo
yokunika	ya/u/ku/nik/a
yokwenza	ya/u/ku/enz/a
kwindlela	ku/i/n/dlela
ebantwini	e/ba/ntu/ini
noloyiko	na/u/lu/oyiko
libhunga	l/i/li/bhunga
neendawo	na/i/zin/dawo
anendima	a/na/i/n/dima
yokubeka	ya/u/ku/bek/a
kwiimfuno	ku/i/im/funo
kwinkqubo	ku/i/n/kqubo
othintelo	a/u/thintelo
kwixesha	ku/i/li/xesha
ngexabiso	nga/i/xabiso
boqoqosho	ba/u/qoqosho
zotyelelo	za/u/tyelelo
kwiimeko	ku/i/z/i/meko
oyenzayo	o/yi/enz/a/yo
sokwenza	sa/u/ku/enz/a
nokuzama	na/u/ku/zam/a
sedolophu	sa/i/dolophu
kwilungu	ku/i/li/lungu
eyakhayo	e/ya/akh/a/yo
libhunga	l/i/li/bhunga
kweshishi	kwa/i/shishi
kuqeqesho	ku/u/qeqesho
nedayethi	na/i/dayethi
kwinkqubo	ku/i/n/kqubo
kwinkqubo	ku/i/n/kqubo
ohlalutyo	a/u/hlalutyo
nokubeka	na/u/ku/bek/a
noxanduva	na/u/xanduva
lokunika	la/u/ku/nik/a
ebicetywe	e/bi/ceb/w/e
kwinkqubo	ku/i/n/kqubo
ngezantsi	nga/e/zantsi
yenkonzo	ya/i/n/khonzo
wenkonzo	wa/i/n/khonzo
wenkonzo	wa/i/n/khonzo
kwixesha	ku/i/li/xesha
wenkonzo	wa/i/n/khonzo
libhunga	l/i/li/bhunga
womzantsi	wa/u/mzantsi
nokwakha	na/u/ku/akh/a
yokuqala	ya/u/ku/qal/a
babelana	ba/ab/el/an/a
yecandelo	ya/i/candelo
ngolawulo	nga/u/lawulo
kokuvota	kwa/u/ku/vota
konyulo	kwa/u/lu/nyulo
kwinkqubo	ku/i/n/kqubo
yesondlo	ya/i/si/ondlo
noxanduva	na/u/xanduva
lujongene	lu/jong/an/e
unemfuno	u/na/i/m/funo
yoqoqosho	ya/u/qoqosho
bahlukene	ba/ahlukan/e
komyinge	kwa/u/m/yinge
ngonyaka	nga/u/m/nyaka
kwiiwadi	ku/i/z/i/wadi
lokuqala	la/u/ku/qal/a
wokwenza	wa/u/ku/enz/a
ababelwe	aba/ab/el/w/e
emntwini	e/u/m/ntu/ini
kwimfundo	ku/i/m/fundo
kwiindawo	ku/i/in/dawo
nokumela	na/u/ku/mel/a
kwiinkalo	ku/i/in/kalo
koncedo	kwa/u/lu/ncedo
nokunika	na/u/ku/nik/a
libakala	l/i/li/bakala
kwizigaba	ku/i/zi/gaba
ngebakala	nga/i/bakala
komhlaba	kwa/u/m/hlaba
ngebhunga	nga/i/bhunga
ngonyaka	nga/u/m/nyaka
wokuqala	wa/u/ku/qal/a
ngoondoqo	nga/oo/ndoqo
ngezenzo	nga/i/zi/enzo
ngezimvo	nga/i/zi/m/vo
kwixesha	ku/i/li/xesha
iyakheka	i/ya/akh/ek/a
izeziphi	i/zi/e/zi/phi
kuqoqosho	ku/u/qoqosho
lwempilo	lwa/i/m/philo
komhlaba	kwa/u/m/hlaba
ezolimo	e/za/u/lu/limo
komhlaba	kwa/u/m/hlaba
ziinkalo	z/i/z/in/kalo
okwenziwe	oku/enz/iw/e
okwenziwe	oku/enz/iw/e
kwindlela	ku/i/n/dlela
yokuqala	ya/u/ku/qal/a
lokuvula	la/u/ku/vul/a
kulungiso	ku/u/lungiso
nohlaziyo	na/u/hlaziyo
ngokutsha	nga/oku/tsha
lokuzala	la/u/ku/zal/a
unolwazi	u/na/u/lu/azi
yokwenza	ya/u/ku/enz/a
yokwenza	ya/u/ku/enz/a
lokwenza	la/u/ku/enz/a
ngefowuni	nga/i/fowuni
eenkonzo	a/i/zin/konzo
kwiirhafu	ku/i/i/rhafu
ngonyaka	nga/u/m/nyaka
kwinjongo	ku/i/n/jongo
ngecwecwe	nga/i/cwecwe
nocacisa	na/o/cac/is/a
kwiilali	ku/i/z/i/lali
okwenziwe	oku/enz/iw/e
noxanduva	na/u/xanduva
ekuyeni	e/u/ku/y/a/ini
kwilungu	ku/i/li/lungu
nokuseka	na/u/ku/sek/a
enyathelo	a/i/nyathelo
lolungiso	la/u/lungiso
kwekamva	kwa/i/ka/m/va
yoqoqosho	ya/u/qoqosho
nokudala	na/u/ku/dal/a
yokwenza	ya/u/ku/enz/a
kwinkqubo	ku/i/n/kqubo
anemfuno	a/na/i/m/funo
nokwakha	na/u/ku/akh/a
kuthenjwa	ku/themb/w/a
endlwini	e/i/n/dlu/ini
babelane	ba/ab/el/an/e
wondlalwa	a/andlal/w/a
yokuxoxa	ya/u/ku/xox/a
libhunga	l/i/li/bhunga
libhunga	l/i/li/bhunga
ukuzenza	u/ku/zi/enz/a
kwibanga	ku/i/li/banga
yokuzola	ya/u/ku/zol/a
ngonyaka	nga/u/m/nyaka
kwedesika	kwa/i/desika
lengeniso	la/i/ngeniso
wenkonzo	wa/i/n/khonzo
wenkonzo	wa/i/n/khonzo
zolawulo	za/u/lu/lawulo
kwicandelo	ku/i/candelo
ngamasebe	nga/a/ma/sebe
ngamasebe	nga/a/ma/sebe
ngamasebe	nga/a/ma/sebe
eekomiti	a/i/z/i/komiti
ngezigaba	nga/i/zi/gaba
zomjikelo	za/u/m/jikelo
ngendlela	nga/i/n/dlela
kwinkonzo	ku/i/n/khonzo
esibhozo	esi/i/si/bhozo
wengingqi	wa/i/n/gingqi
zabahlali	za/a/ba/hlali
ukwenziwa	u/ku/enz/iw/a
i-municipal	i/municipal
bolawulo	ba/u/lu/lawulo
iingingqi	i/z/in/gingqi
bengingqi	ba/i/n/gingqi
weekomiti	wa/i/i/komiti
bengingqi	ba/i/n/gingqi
lwesikolo	lwa/i/si/kolo
esiqhutywa	esi/qhub/w/a
kumanqaku	ku/a/ma/nqaku
iinqununu	i/z/in/qununu
lwesikolo	lwa/i/si/kolo
nabahlali	na/a/ba/hlali
zolawulo	za/u/lu/lawulo
weenkonzo	wa/i/in/konzo
neemfuno	na/i/z/in/funo
wophando	wa/u/lu/phando
anegalelo	a/na/i/galelo
ngocingo	nga/u/lu/cingo
kumazinga	ku/a/ma/zinga
lweemfuno	lwa/i/im/funo
nophando	na/u/lu/phando
ziintoni	z/i/z/in/to/ni
kumanqaku	ku/a/ma/nqaku
neenkqubo	na/i/in/kqubo
koololiwe	kwa/oo/loliwe
neenkonzo	na/i/in/konzo
kwamagosa	kwa/a/ma/gosa
kwimodyuli	ku/i/modyuli
kwinqanaba	ku/i/nqanaba
lephondo	la/i/li/phondo
kwamaziko	kwa/a/ma/ziko
lwezindlu	lwa/i/zin/dlu
kwinqanaba	ku/i/nqanaba
kwinqanaba	ku/i/nqanaba
zamakhaya	za/a/ma/khaya
ukwenzela	u/ku/enz/el/a
lweemfuno	lwa/i/im/funo
lwalufuna	lu/a/lu/fun/a
ukwenzela	u/ku/enz/el/a
lwengxelo	lwa/i/n/gxelo
bengayazi	be/nga/i/az/i
ngendlela	nga/i/n/dlela
ukwenziwa	u/ku/enz/iw/a
nabadlala	na/aba/dlal/a
neengxaki	na/i/in/gxaki
bayakwazi	ba/ya/ku/az/i
ukukwenza	u/ku/ku/enz/a
yolawulo	ya/u/lu/lawulo
ngendlela	nga/i/n/dlela
ecaleni	e/i/li/cala/ini
ukwandisa	u/ku/and/is/a
lezemali	la/e/za/i/mali
lezolimo	la/e/za/u/limo
lengingqi	la/i/n/gingqi
kumanqaku	ku/a/ma/nqaku
bezakhono	ba/i/zi/khono
bezakhono	ba/i/zi/khono
koogqirha	kwa/oo/gqirha
iinjineli	i/z/in/jineli
bolawulo	ba/u/lu/lawulo
zobugcisa	za/u/bu/gcisa
nolawulo	na/u/lu/lawulo
nezifundo	na/i/zi/fundo
ezolawulo	e/za/u/lawulo
njengokuba	njenga/ukuba
wokwenene	wa/oku/i/nene
kwamaziko	kwa/a/ma/ziko
kwinkonzo	ku/i/n/khonzo
wamakhaya	wa/a/ma/khaya
iimpiliso	i/z/im/piliso
namathuba	na/a/ma/thuba
labahlali	la/a/ba/hlali
yamathuba	ya/a/ma/thuba
ezothutho	e/za/u/thutho
ulwalamano	u/lu/alamano
kokuninzi	kwa/oku/ninzi
babahlali	ba/a/ba/hlali
namalungu	na/a/ma/lungu
kwexesha	kwa/i/li/xesha
eekomiti	a/i/z/i/komiti
komzantsi	kwa/u/mzantsi
eempahla	a/i/z/im/pahla
zorhwebo	za/u/lu/rhwebo
eempahla	a/i/z/im/pahla
zorhwebo	za/u/lu/rhwebo
babahlali	ba/a/ba/hlali
wengingqi	wa/i/n/gingqi
wengingqi	wa/i/n/gingqi
bengingqi	ba/i/n/gingqi
ngethuba	nga/i/li/thuba
ukwenziwa	u/ku/enz/iw/a
yabahlali	ya/a/ba/hlali
neendlela	na/i/in/dlela
lweemfuno	lwa/i/im/funo
nengqesho	na/i/n/gqesho
kummandla	ku/u/m/mandla
beenkonzo	ba/i/in/konzo
zabahlali	za/a/ba/hlali
negalelo	na/i/li/galelo
nobunzulu	na/u/bu/nzulu
lwamandla	lwa/a/ma/ndla
ukomeleza	u/ku/omelez/a
neenkqubo	na/i/in/kqubo
ngenjongo	nga/i/n/jongo
asebenzyo	a/sebenz/a/yo
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
nommandla	na/u/m/mandla
neenkqubo	na/i/in/kqubo
egameni	e/i/li/gama/ini
yesininzi	ya/i/si/ninzi
samalungu	sa/a/ma/lungu
nomthetho	na/u/m/thetho
kwiyunithi	ku/i/yunithi
lolawulo	la/u/lu/lawulo
yesigqeba	ya/i/si/gqeba
yesigqeba	ya/i/si/gqeba
labaphila	la/aba/phil/a
nabahlali	na/a/ba/hlali
ekubanjwe	e/ku/bamb/w/e
zabahlali	za/a/ba/hlali
leengxoxo	la/i/in/gxoxo
negalelo	na/i/li/galelo
leengxoxo	la/i/in/gxoxo
yesigqeba	ya/i/si/gqeba
iinkokeli	i/z/in/kokeli
leengxoxo	la/i/in/gxoxo
emsebenzi	e/u/m/sebenzi
ngexesha	nga/i/li/xesha
iinguquko	i/z/in/guquko
asenokuba	a/se/na/ukuba
asenokuba	a/se/na/ukuba
ikhefana	i/li/khefi/ana
ngexesha	nga/i/li/xesha
kwexesha	kwa/i/li/xesha
wengingqi	wa/i/n/gingqi
yolawulo	ya/u/lu/lawulo
yohlahlo	ya/u/lu/hlahlo
loqoqosho	lwa/u/qoqosho
noguqulo	na/u/lu/guqulo
lwamaziko	lwa/a/ma/ziko
wengingqi	wa/i/n/gingqi
wophando	wa/u/lu/phando
aluncedo	a/l/u/lu/ncedo
wesithili	wa/i/si/thili
ngendlela	nga/i/n/dlela
bazahlula	ba/zi/ahlul/a
ngempahla	nga/i/m/pahla
ukwenzela	u/ku/enz/el/a
wayengena	u/a/ye/ngen/a
wayetyala	u/a/ye/tyal/a
leminxeba	la/i/mi/nxeba
yeeofisi	ya/i/z/i/ofisi
neenkonzo	na/i/in/konzo
zeenkonzo	za/i/in/konzo
ngohlobo	nga/u/lu/hlobo
leengxoxo	la/i/in/gxoxo
lemicimbi	la/i/mi/cimbi
nengingqi	na/i/n/gingqi
leengxoxo	la/i/in/gxoxo
kummandla	ku/u/m/mandla
ngeeyure	nga/i/z/i/yure
kuxwebhu	ku/u/lu/xwebhu
ngexesha	nga/i/li/xesha
elaneleyo	eli/anel/e/yo
eentlobo	a/i/z/in/tlobo
inyathelo	i/li/nyathelo
labahlali	la/a/ba/hlali
yabahlali	ya/a/ba/hlali
ecaleni	e/i/li/cala/ini
ngendlela	nga/i/n/dlela
kubahlali	ku/a/ba/hlali
kwinkonzo	ku/i/n/khonzo
neenjongo	na/i/in/jongo
kwamadoda	kwa/a/ma/doda
iingingqi	i/z/in/gingqi
wengingqi	wa/i/n/gingqi
kwefuthe	kwa/i/li/futhe
nengqesho	na/i/n/gqesho
ukwenziwa	u/ku/enz/iw/a
zohlahlo	za/u/lu/hlahlo
iingingqi	i/z/in/gingqi
zabahlali	za/a/ba/hlali
ukomeleza	u/ku/omelez/a
kwamasebe	kwa/a/ma/sebe
emazantsi	e/a/ma/zantsi
endaweni	e/i/n/dawo/ini
nezakhono	na/i/zi/khono
zolawulo	za/u/lu/lawulo
neemfuno	na/i/z/in/funo
neenjongo	na/i/in/jongo
neenkqubo	na/i/in/kqubo
yabahlali	ya/a/ba/hlali
wengingqi	wa/i/n/gingqi
neendlela	na/i/in/dlela
i-organised	i/organised
wengingqi	wa/i/n/gingqi
yamalungu	ya/a/ma/lungu
zeengxaki	za/i/in/gxaki
negalelo	na/i/li/galelo
inxulumene	i/nxuluman/e
zephondo	za/i/li/phondo
wengingqi	wa/i/n/gingqi
enxulumene	e/nxuluman/e
lwegunya	lwa/i/li/gunya
nemicimbi	na/i/mi/cimbi
yeenjongo	ya/i/in/jongo
bengingqi	ba/i/n/gingqi
ngamasebe	nga/a/ma/sebe
bengingqi	ba/i/n/gingqi
koxanduva	kwa/u/xanduva
kwamandla	kwa/a/ma/ndla
nothutho	na/u/lu/thutho
zommandla	za/u/m/mandla
egameni	e/i/li/gama/ini
kokunika	kwa/u/ku/nik/a
yesininzi	ya/i/si/ninzi
lobulunga	la/u/bu/lunga
lomvelisi	la/u/m/velisi
ngenkqubo	nga/i/n/kqubo
neendleko	na/i/in/dleko
ngendlela	nga/i/n/dlela
zabahlali	za/a/ba/hlali
nomsantsa	na/u/m/santsa
neenkonzo	na/i/in/konzo
nemirhumo	na/i/mi/rhumo
ukwakhiwa	u/ku/akh/iw/a
kwexesha	kwa/i/li/xesha
labahlali	la/a/ba/hlali
yeentlobo	ya/i/in/tlobo
ngelinge	nga/i/li/linge
yabahlali	ya/a/ba/hlali
neenkonzo	na/i/in/konzo
neenguqu	na/i/z/in/guqu
lwamasebe	lwa/a/ma/sebe
wengingqi	wa/i/n/gingqi
wexabiso	wa/i/li/xabiso
wengingqi	wa/i/n/gingqi
wengingqi	wa/i/n/gingqi
leenguqu	la/i/z/in/guqu
lwempahla	lwa/i/m/pahla
neenkonzo	na/i/in/konzo
nemingeni	na/i/mi/ngeni
lwenkqubo	lwa/i/n/kqubo
oluqhutywa	olu/qhub/w/a
zeziphumo	za/i/zi/phumo
yolawulo	ya/u/lu/lawulo
sohlahlo	sa/u/lu/hlahlo
nokukodwa	na/oku/ko/dwa
bengingqi	ba/i/n/gingqi
zeengxaki	za/i/in/gxaki
weekomiti	wa/i/i/komiti
ukwandisa	u/ku/and/is/a
lwamaqela	lwa/a/ma/qela
njengokuba	njenga/ukuba
ngendlela	nga/i/n/dlela
kummandla	ku/u/m/mandla
lwengxelo	lwa/i/n/gxelo
koqoqosho	kwa/u/qoqosho
yeenqobo	ya/i/z/in/qobo
ngentando	nga/i/n/tando
yolawulo	ya/u/lu/lawulo
ezenkolo	e/za/i/n/kholo
eentlanga	a/i/in/tlanga
yobutyebi	ya/u/bu/tyebi
nolawulo	na/u/lu/lawulo
neenkqubo	na/i/in/kqubo
zeenkqubo	za/i/in/kqubo
abangekho	aba/nge/khona
ukwenzela	u/ku/enz/el/a
negalelo	na/i/li/galelo
neenjongo	na/i/in/jongo
iiarhente	i/z/i/arhente
kukwazisa	ku/ku/az/is/a
ngexesha	nga/i/li/xesha
ukwenziwa	u/ku/enz/iw/a
wengingqi	wa/i/n/gingqi
