lunelungelo	lu/na/i/lungelo
ngemithombo	nga/i/mi/thombo
kumanqanaba	ku/a/ma/nqanaba
yesixa-mali	ya/i/si/xa/mali
kothethwano	kwa/u/thethwano
kwiprojekthi	ku/i/projekthi
zizalathisi	z/i/zi/alathisi
kweenkonzo	kwa/i/z/in/konzo
iiprojekthi	i/z/i/projekthi
kweendleko	kwa/i/z/in/dleko
nezephondo	na/e/za/i/phondo
ngeendlela	nga/i/z/in/dlela
iinkcukacha	i/z/in/kcukacha
neengcambu	na/i/z/in/gcambu
zizalathisi	z/i/zi/alathisi
kothethwano	kwa/u/thethwano
aziingcali	a/z/i/z/in/gcali
neenkundla	na/i/z/in/kundla
sophuhliso	sa/u/lu/phuhliso
wophuhliso	wa/u/lu/phuhliso
ngenkqubela	nga/i/n/kqubela
nezempilo	na/e/za/i/m/philo
lweefowuni	lwa/i/z/i/fowuni
lweenkonzo	lwa/i/z/in/konzo
ngeendlela	nga/i/z/in/dlela
yokwenziwa	ya/u/ku/enz/iw/a
iiprojekthi	i/z/i/projekthi
nobudlelane	na/u/bu/dlelane
behlabathi	ba/i/li/hlabathi
nelekomiti	na/e/la/i/komiti
lweenkonzo	lwa/i/z/in/konzo
yenguqulelo	ya/i/n/guqulelo
ngeenjongo	nga/i/z/in/jongo
ngeentlobo	nga/i/z/in/tlobo
abasenokuba	aba/se/na/ukuba
sophuhliso	sa/u/lu/phuhliso
nobuhlwempu	na/u/bu/hlwempu
ezintandathu	ezin/thandathu
iinkcukacha	i/z/in/kcukacha
lweempiliso	lwa/i/im/piliso
ngeekomiti	nga/i/z/i/komiti
ngokwesini	nga/okwa/i/si/ni
yasekhaya	ya/s/e/i/li/khaya
ngovelwano	nga/u/lu/velwano
nokuviwayo	na/oku/v/iw/a/yo
kwemithombo	kwa/i/mi/thombo
njengendima	njenga/i/n/dima
yokwenziwa	ya/u/ku/enz/iw/a
lasekhaya	la/s/e/i/li/khaya
labasebenzi	la/a/ba/sebenzi
wokufundwa	wa/u/ku/fund/w/a
zinoxanduva	zi/na/u/xanduva
yophuhliso	ya/u/lu/phuhliso
nonikezelo	na/u/lu/nikezelo
lweenkonzo	lwa/i/z/in/konzo
kubasebenzi	ku/a/ba/sebenzi
ngokungekho	nga/oku/nge/kho
lunokufuna	lu/na/u/ku/fun/a
lohlalutyo	la/u/lu/hlalutyo
ngeempiliso	nga/i/im/piliso
ngokwesini	nga/okwa/i/si/ni
babasebenzi	ba/a/ba/sebenzi
njengabantu	njenga/a/ba/ntu
esibhedlele	e/i/si/bhedlele
iiprojekthi	i/z/i/projekthi
kweenkonzo	kwa/i/z/in/konzo
zeearhente	za/i/z/i/arhente
ubuthathaka	u/bu/buthathaka
kumacandelo	ku/a/ma/candelo
anesongezo	a/na/i/si/ongezo
ngokungekho	nga/oku/nge/kho
banoxanduva	ba/na/u/xanduva
kwiprojekthi	ku/i/projekthi
kweenzwane	kwa/i/z/in/zwane
neenkokheli	na/i/in/kokheli
neenkolelo	na/i/z/in/kolelo
iiprojekthi	i/z/i/projekthi
nabasebenzi	na/a/ba/sebenzi
kubasebenzi	ku/a/ba/sebenzi
namahlakani	na/a/ma/hlakani
namanqanaba	na/a/ma/nqanaba
wophuhliso	wa/u/lu/phuhliso
kwengama-24	ku/e/ng/a/ma/24
iinkcukacha	i/z/in/kcukacha
neethagethi	na/i/i/thagethi
lasekhaya	la/s/e/i/li/khaya
nokwandisa	na/u/ku/and/is/a
zophuhliso	za/u/lu/phuhliso
lokwenziwa	la/u/ku/enz/iw/a
inkxaso-mali	i/n/kxaso/mali
wenguqulelo	wa/i/n/guqulelo
neengcebiso	na/i/in/gcebiso
wesikhokelo	wa/i/si/khokelo
wemisebenzi	wa/i/mi/sebenzi
ineshishini	i/na/i/shishini
lweziganeko	lwa/i/zi/ganeko
othethwano	a/u/lu/thethwano
othethwano	a/u/lu/thethwano
neepesenti	na/i/z/i/pesenti
loomasipala	lwa/oo/masipala
lwafumanisa	lu/a/fuman/is/a
ne-municipal	na/i/municipal
yezikhokelo	ya/i/zi/khokelo
iinkcukacha	i/z/in/kcukacha
kwiprojekthi	ku/i/projekthi
ebekucetywe	e/be/ku/ceb/w/e
nesikhundla	na/i/si/khundla
nemisebenzi	na/i/mi/sebenzi
nokujongwa	na/u/ku/jong/w/a
ngeendlela	nga/i/z/in/dlela
kweenkonzo	kwa/i/z/in/konzo
kwenkunkuma	kwa/i/n/kunkuma
kuphuhliso	ku/u/lu/phuhliso
iinkcukacha	i/z/in/kcukacha
iiprojekthi	i/z/i/projekthi
ngokwesini	nga/okwa/i/si/ni
ngokwesini	nga/okwa/i/si/ni
zemisebenzi	za/i/mi/sebenzi
kumalungelo	ku/a/ma/lungelo
wobuhlwempu	wa/u/bu/hlwempu
ngaxeshanye	nga/i/xesha/nye
yamacandelo	ya/a/ma/candelo
ngeenjongo	nga/i/z/in/jongo
zabasebenzi	za/a/ba/sebenzi
esesikweni	e/s/e/i/siko/ini
nezikhalazo	na/i/zi/khalazo
eliliqonga	eli/l/i/li/qonga
nonikezelo	na/u/lu/nikezelo
lweenkonzo	lwa/i/z/in/konzo
ephepheni	e/i/li/phepha/ini
neethagethi	na/i/i/thagethi
ngeendlela	nga/i/z/in/dlela
lasekhaya	la/s/e/i/li/khaya
ne-municipal	na/i/municipal
ne-municipal	na/i/municipal
koomasipala	kwa/oo/masipala
kumacandelo	ku/a/ma/candelo
kumgangatho	ku/u/m/gangatho
nabasebenzi	na/a/ba/sebenzi
okunxulumene	oku/nxuluman/e
kumgangatho	ku/u/m/gangatho
kumgangatho	ku/u/m/gangatho
neengcinga	na/i/z/in/gcinga
yimpumelelo	y/i/m/phumelelo
weshishini	wa/i/li/shishini
le-municipal	la/i/municipal
lweemfanelo	lwa/i/im/fanelo
sophuhliso	sa/u/lu/phuhliso
ngeenjongo	nga/i/z/in/jongo
lweengingqi	lwa/i/in/gingqi
ngenkuthalo	nga/i/n/kuthalo
lokuqinisa	la/u/ku/qin/is/a
kweenkonzo	kwa/i/z/in/konzo
namalungelo	na/a/ma/lungelo
nemisebenzi	na/i/mi/sebenzi
wamalungelo	wa/a/ma/lungelo
nemisebenzi	na/i/mi/sebenzi
lokufumana	lwa/u/ku/fuman/a
yokwenziwa	ya/u/ku/enz/iw/a
ngeenjongo	nga/i/z/in/jongo
saqwalasela	si/a/qwalasel/a
wophuhliso	wa/u/lu/phuhliso
weengingqi	wa/i/z/in/gingqi
yophuhliso	ya/u/lu/phuhliso
weengingqi	wa/i/z/in/gingqi
nemisebenzi	na/i/mi/sebenzi
iinkcukacha	i/z/in/kcukacha
esiluncedo	esi/l/u/lu/ncedo
nophuhliso	na/u/lu/phuhliso
yokubonisa	ya/u/ku/bon/is/a
lokwenziwa	la/u/ku/enz/iw/a
kweengxelo	kwa/i/z/in/gxelo
inkxaso-mali	i/n/kxaso/mali
neepatheni	na/i/z/i/patheni
kuqukuqelo	ku/u/lu/qukuqelo
okunegalelo	oku/na/i/galelo
yeemveliso	ya/i/z/im/veliso
yoshishino	ya/u/lu/shishino
yasekhaya	ya/s/e/i/li/khaya
njengelizwe	njenga/i/li/zwe
seemveliso	sa/i/z/im/veliso
nophuhliso	na/u/lu/phuhliso
yezorhwebo	ya/e/za/u/rhwebo
wasekhaya	wa/s/e/i/li/khaya
yophuhliso	ya/u/lu/phuhliso
sophuhliso	sa/u/lu/phuhliso
nokomeleza	na/u/ku/omelez/a
lweenkonzo	lwa/i/z/in/konzo
neeshedyuli	na/i/i/shedyuli
lokusenza	lwa/u/ku/si/enz/a
ngokunikwa	nga/u/ku/nik/w/a
kwiprojekthi	ku/i/projekthi
njengezinto	njenga/i/zin/to
yopolitiko	ya/u/lu/politiko
zophuhliso	za/u/lu/phuhliso
elingelinye	eli/nga/eli/nye
ngeempiliso	nga/i/im/piliso
kwengama-50	ku/e/ng/a/ma/50
ngeenjongo	nga/i/z/in/jongo
nomgangatho	na/u/m/gangatho
sokulingwa	sa/u/ku/ling/w/a
nabasebenza	na/aba/sebenz/a
ngeentlobo	nga/i/z/in/tlobo
yokomeleza	ya/u/ku/omelez/a
kumfanekiso	ku/u/m/fanekiso
yophuhliso	ya/u/lu/phuhliso
nomnikezeli	na/u/m/nikezeli
ngeendlela	nga/i/z/in/dlela
zeekliniki	za/i/z/i/kliniki
wasekhaya	wa/s/e/i/li/khaya
ngeenkonzo	nga/i/z/in/konzo
banoxanduva	ba/na/u/xanduva
iinkcukacha	i/z/in/kcukacha
zezendlela	z/e/za/i/n/dlela
kweenkonzo	kwa/i/z/in/konzo
kweenkonzo	kwa/i/z/in/konzo
nemibandela	na/i/mi/bandela
yokufundwa	ya/u/ku/fund/w/a
labasebenzi	la/a/ba/sebenzi
akwanelanga	a/ku/anel/a/nga
ngeentlobo	nga/i/z/in/tlobo
olwenziweyo	olu/enz/iw/e/yo
weengingqi	wa/i/z/in/gingqi
lowe-1998	la/o/wa/i/li/1998
sophuhliso	sa/u/lu/phuhliso
lweedolophu	lwa/i/i/dolophu
lweenkqubo	lwa/i/z/in/kqubo
zophuhliso	za/u/lu/phuhliso
zeempiliso	za/i/z/im/piliso
ngeenkonzo	nga/i/z/in/konzo
kuphuhliso	ku/u/lu/phuhliso
kumacandelo	ku/a/ma/candelo
ngeentlobo	nga/i/z/in/tlobo
zamacandelo	za/a/ma/candelo
kuphuhliso	ku/u/lu/phuhliso
wokwandisa	wa/u/ku/and/is/a
ngokwesini	nga/okwa/i/si/ni
weengingqi	wa/i/z/in/gingqi
lowe-1998	la/o/wa/i/li/1998
liluxwebhu	li/l/u/lu/xwebhu
sophuhliso	sa/u/lu/phuhliso
weengingqi	wa/i/z/in/gingqi
ngeendlela	nga/i/z/in/dlela
zehlabathi	za/i/li/hlabathi
kuphuhliso	ku/u/lu/phuhliso
yehlabathi	ya/i/li/hlabathi
weengingqi	wa/i/z/in/gingqi
nemisebenzi	na/i/mi/sebenzi
nemisebenzi	na/i/mi/sebenzi
kweenkonzo	kwa/i/z/in/konzo
iinkcukacha	i/z/in/kcukacha
ngemvelaphi	nga/i/m/velaphi
wasekhaya	wa/s/e/i/li/khaya
weshishini	wa/i/li/shishini
ukufunyanwa	u/ku/fum/an/w/a
kuphuhliso	ku/u/lu/phuhliso
nophuhliso	na/u/lu/phuhliso
nabanomdla	na/ba/na/u/m/dla
neenkokheli	na/i/in/kokheli
neepatheni	na/i/z/i/patheni
ngokwesini	nga/okwa/i/si/ni
ngokwesini	nga/okwa/i/si/ni
boshishino	ba/u/lu/shishino
bayabelana	ba/ya/ab/el/an/a
zophuhliso	za/u/lu/phuhliso
nophuhliso	na/u/lu/phuhliso
ubuthathaka	u/bu/buthathaka
lweencwadi	lwa/i/z/in/cwadi
lokuvukela	la/u/ku/vuk/el/a
nokubonisa	na/u/ku/bon/is/a
nokwakhiwa	na/u/ku/akh/iw/a
lolondolozo	lwa/u/londolozo
wophuhliso	wa/u/lu/phuhliso
nowama-2010	na/o/wa/ma/2010
leempiliso	la/i/z/im/piliso
ezintandathu	ezin/thandathu
iinkcukacha	i/z/in/kcukacha
lweempiliso	lwa/i/im/piliso
le-municipal	la/i/municipal
kobungcali	kwa/u/bu/n/gcali
kwemithetho	kwa/i/mi/thetho
kumacandelo	ku/a/ma/candelo
nokuvumela	na/u/ku/vum/el/a
beedolophu	ba/i/z/i/dolophu
nakuqeqesho	na/ku/u/qeqesho
obelusenza	o/be/lu/sa/enz/a
lokwandisa	la/u/ku/and/is/a
yophuhliso	ya/u/lu/phuhliso
beengingqi	ba/i/z/in/gingqi
beengingqi	ba/i/z/in/gingqi
wamalungelo	wa/a/ma/lungelo
nophuhliso	na/u/lu/phuhliso
nophuhliso	na/u/lu/phuhliso
wamalungelo	wa/a/ma/lungelo
njengejelo	njenga/i/li/jelo
lokubonisa	la/u/ku/bon/is/a
ngeendlela	nga/i/z/in/dlela
iincwadana	i/z/in/cwadi/ana
kungabanjwa	ku/nga/bamb/w/a
ngeempiliso	nga/i/im/piliso
iinkcukacha	i/z/in/kcukacha
iinkcukacha	i/z/in/kcukacha
yopolitiko	ya/u/lu/politiko
yopolitiko	ya/u/lu/politiko
bopolitiko	ba/u/lu/politiko
lweenkonzo	lwa/i/z/in/konzo
lwezesondo	lwa/e/za/i/sondo
zinoxanduva	zi/na/u/xanduva
iinkcukacha	i/z/in/kcukacha
kwiprojekthi	ku/i/projekthi
ngenkuthalo	nga/i/n/kuthalo
nabasebenza	na/aba/sebenz/a
bazazisile	ba/zi/az/is/il/e
ngemithetho	nga/i/mi/thetho
kweenkonzo	kwa/i/z/in/konzo
iiprojekthi	i/z/i/projekthi
yophuhliso	ya/u/lu/phuhliso
lwemibhobho	lwa/i/mi/bhobho
kweenkonzo	kwa/i/z/in/konzo
seengcebiso	sa/i/in/gcebiso
nemisebenzi	na/i/mi/sebenzi
obomeleleyo	obu/omelel/e/yo
yemisebenzi	ya/i/mi/sebenzi
kokwamkela	kwa/u/ku/amkel/a
kwiprojekthi	ku/i/projekthi
weengingqi	wa/i/z/in/gingqi
weengingqi	wa/i/z/in/gingqi
weengingqi	wa/i/z/in/gingqi
weengingqi	wa/i/z/in/gingqi
kweenjongo	kwa/i/z/in/jongo
zinelungelo	zi/na/i/lungelo
lweenkonzo	lwa/i/z/in/konzo
lunoxanduva	lu/na/u/xanduva
iinkcukacha	i/z/in/kcukacha
iinkcukacha	i/z/in/kcukacha
ezinxulumene	ezi/nxuluman/e
iinkcukacha	i/z/in/kcukacha
iinkcukacha	i/z/in/kcukacha
lweengxelo	lwa/i/z/in/gxelo
kweenkonzo	kwa/i/z/in/konzo
kweenkonzo	kwa/i/z/in/konzo
ngokusekwa	nga/u/ku/sek/w/a
nemibandela	na/i/mi/bandela
lweekomiti	lwa/i/z/i/komiti
kokulawula	kwa/u/ku/lawul/a
kwamaqumrhu	kwa/a/ma/qumrhu
ngokwesini	nga/okwa/i/si/ni
kungenelelo	ku/lu/ngenelelo
ngokwesini	nga/okwa/i/si/ni
zahlukeneyo	zi/ahlukan/e/yo
namacandelo	na/a/ma/candelo
ne-municipal	na/i/municipal
iiprojekthi	i/z/i/projekthi
okuzigqiba	a/u/ku/zi/gqib/a
neethagethi	na/i/i/thagethi
ngeenjongo	nga/i/z/in/jongo
ezinokuthi	ezi/na/u/ku/th/i
sophuhliso	sa/u/lu/phuhliso
sesixa-mali	sa/i/si/xa/mali
ngesiganeko	nga/i/si/ganeko
kwiprojekthi	ku/i/projekthi
kumacandelo	ku/a/ma/candelo
kwiprojekthi	ku/i/projekthi
okunegalelo	oku/na/i/galelo
kuphuhliso	ku/u/lu/phuhliso
lokuthatha	lwa/u/ku/thath/a
nemisebenzi	na/i/mi/sebenzi
ngeenkonzo	nga/i/z/in/konzo
lweempiliso	lwa/i/im/piliso
ngeempiliso	nga/i/im/piliso
yophuhliso	ya/u/lu/phuhliso
leengcebiso	la/i/in/gcebiso
zophuhliso	za/u/lu/phuhliso
yophuhliso	ya/u/lu/phuhliso
sesamagosa	s/e/sa/a/ma/gosa
leshishini	la/i/li/shishini
lweenyaniso	lwa/i/in/yaniso
ezinxulumene	ezi/nxuluman/e
nokucacisa	na/u/ku/cac/is/a
kubasebenzi	ku/a/ba/sebenzi
ngamakhondo	nga/a/ma/khondo
neentsapho	na/i/z/in/tsapho
sobuhlwempu	sa/u/bu/hlwempu
nobuncinane	na/u/bu/ncinane
iiprojekthi	i/z/i/projekthi
zomthonyama	za/u/m/thonyama
nokuzingca	na/u/ku/zi/ngc/a
ngemithetho	nga/i/mi/thetho
lweempiliso	lwa/i/im/piliso
lweenkonzo	lwa/i/z/in/konzo
lweenkonzo	lwa/i/z/in/konzo
kweenkonzo	kwa/i/z/in/konzo
yenyathelo	ya/i/li/nyathelo
iinkcukacha	i/z/in/kcukacha
iiprojekthi	i/z/i/projekthi
nemisebenzi	na/i/mi/sebenzi
lemisebenzi	la/i/mi/sebenzi
kumacandelo	ku/a/ma/candelo
zemisebenzi	za/i/mi/sebenzi
ngemizekelo	nga/i/mi/zekelo
ekumiseni	e/u/ku/m/is/e/ini
iiprojekthi	i/z/i/projekthi
iinkcukacha	i/z/in/kcukacha
nomnikezeli	na/u/m/nikezeli
womnikezeli	wa/u/m/nikezeli
bobuhlwempu	ba/u/bu/hlwempu
nezindululo	na/i/zi/ndululo
iiprojekthi	i/z/i/projekthi
senyathelo	sa/i/li/nyathelo
isiswangciso	i/si/cwangciso
nokwandisa	na/u/ku/and/is/a
nonikezelo	na/u/lu/nikezelo
lweenkonzo	lwa/i/z/in/konzo
lophuhliso	la/u/lu/phuhliso
kushishino	ku/u/lu/shishino
nemisebenzi	na/i/mi/sebenzi
kwemithetho	kwa/i/mi/thetho
eludongeni	e/u/lu/donga/ini
iinkcukacha	i/z/in/kcukacha
wesiqulatho	wa/i/si/qulatho
zasekhaya	za/s/e/i/li/khaya
yehlabathi	ya/i/li/hlabathi
nokunyinwa	na/u/ku/nyin/w/a
zophuhliso	za/u/lu/phuhliso
nokwandisa	na/u/ku/and/is/a
zophuhliso	za/u/lu/phuhliso
lweenkonzo	lwa/i/z/in/konzo
ezibonelelo	a/i/zi/bonelelo
ngemithombo	nga/i/mi/thombo
sophuhliso	sa/u/lu/phuhliso
nesikhokelo	na/i/si/khokelo
nemisebenzi	na/i/mi/sebenzi
yophuhliso	ya/u/lu/phuhliso
yemisebenzi	ya/i/mi/sebenzi
sophuhliso	sa/u/lu/phuhliso
lwesilatini	lwa/i/si/latini
ezingama-20	ezi/nga/a/ma/20
ngaxeshanye	nga/i/xesha/nye
sobulungisa	sa/u/bu/lungisa
nokwandisa	na/u/ku/and/is/a
ezopolitiko	e/za/u/politiko
lweenkonzo	lwa/i/z/in/konzo
yeengcebiso	ya/i/in/gcebiso
kubulungisa	ku/u/bu/lungisa
nezikhundla	na/i/zi/khundla
ngokwesini	nga/okwa/i/si/ni
iiprojekthi	i/z/i/projekthi
neethagethi	na/i/i/thagethi
eyenzekayo	e/yi/enz/ek/a/yo
iipotfoliyo	i/z/i/potfoliyo
iiprojekthi	i/z/i/projekthi
yokwenziwa	ya/u/ku/enz/iw/a
elingelinye	eli/nga/eli/nye
kweengxelo	kwa/i/z/in/gxelo
ngenkqubela	nga/i/n/kqubela
neethagethi	na/i/i/thagethi
zokwenziwa	za/u/ku/enz/iw/a
okwiphepha	o/ku/i/li/phepha
lweenkonzo	lwa/i/z/in/konzo
sophuhliso	sa/u/lu/phuhliso
sophuhliso	sa/u/lu/phuhliso
yamalungelo	ya/a/ma/lungelo
okungundoqo	oku/ngu/u/ndoqo
nophuhliso	na/u/lu/phuhliso
sophuhliso	sa/u/lu/phuhliso
yophuhliso	ya/u/lu/phuhliso
yophuhliso	ya/u/lu/phuhliso
senyathelo	sa/i/li/nyathelo
ngokwesini	nga/okwa/i/si/ni
lweearhente	lwa/i/i/arhente
ezinxulumene	ezi/nxuluman/e
njengomqulu	njenga/u/m/qulu
weempendulo	wa/i/im/pendulo
iiprojekthi	i/z/i/projekthi
nentsukaphi	na/i/n/tsukaphi
eyenzekayo	e/yi/enz/ek/a/yo
kumacandelo	ku/a/ma/candelo
zeempiliso	za/i/z/im/piliso
ngakwicala	nga/ku/i/li/cala
iiprojekthi	i/z/i/projekthi
zeengcebiso	za/i/in/gcebiso
yophuhliso	ya/u/lu/phuhliso
kuphuhliso	ku/u/lu/phuhliso
yabathunywa	ya/a/ba/thunywa
iiprojekthi	i/z/i/projekthi
ezinokuthi	ezi/na/u/ku/th/i
nekwakhiwe	na/e/ku/akh/iw/e
kwiprojekthi	ku/i/projekthi
banoxanduva	ba/na/u/xanduva
obunengeniso	obu/na/ngeniso
onobunakho	o/na/u/bu/na/kho
nesikhundla	na/i/si/khundla
zeeyunithi	za/i/z/i/yunithi
senyathelo	sa/i/li/nyathelo
njengenzuzo	njenga/i/n/zuzo
akwixabiso	a/ku/i/li/xabiso
leenkedama	la/i/z/in/kedama
yehlabathi	ya/i/li/hlabathi
yasekhaya	ya/s/e/i/li/khaya
yehlabathi	ya/i/li/hlabathi
zeshishini	za/i/li/shishini
olomeleleyo	olu/omelel/e/yo
kushishino	ku/u/lu/shishino
woshishino	wa/u/lu/shishino
iinkcukacha	i/z/in/kcukacha
inkxaso-mali	i/n/kxaso/mali
kuncediseni	ku/nced/is/a/ni
lasekhaya	la/s/e/i/li/khaya
linoxanduva	li/na/u/xanduva
iiprojekthi	i/z/i/projekthi
kubathunywa	ku/a/ba/thunywa
iinkcukacha	i/z/in/kcukacha
eziluncedo	ezi/l/u/lu/ncedo
kwiprojekthi	ku/i/projekthi
obunokuthi	obu/na/u/ku/th/i
abanokuthi	aba/na/u/ku/th/i
kokuthatha	kwa/u/ku/thath/a
iinkcukacha	i/z/in/kcukacha
lenkosikazi	la/i/n/kosikazi
wenkosikazi	wa/i/n/kosikazi
leengcebiso	la/i/in/gcebiso
nenokuthi	na/e/na/u/ku/th/i
sophuhliso	sa/u/lu/phuhliso
kusandiswa	ku/sa/and/is/w/a
wophuhliso	wa/u/lu/phuhliso
kwenkcubeko	kwa/i/n/kcubeko
sokufakela	sa/u/ku/fak/el/a
ngeenjongo	nga/i/z/in/jongo
esesikweni	e/s/e/i/siko/ini
nemisebenzi	na/i/mi/sebenzi
zinokuyazi	zi/no/ku/ya/az/i
ngeenjongo	nga/i/z/in/jongo
iiprojekthi	i/z/i/projekthi
zophuhliso	za/u/lu/phuhliso
lweenkonzo	lwa/i/z/in/konzo
lweenkonzo	lwa/i/z/in/konzo
lweenkonzo	lwa/i/z/in/konzo
beevenkile	ba/i/z/i/venkile
yoshishino	ya/u/lu/shishino
kwezithuthi	kwa/i/zi/thuthi
kwenqanaba	kwa/i/li/nqanaba
kweenkonzo	kwa/i/z/in/konzo
iiprojekthi	i/z/i/projekthi
ngokufanayo	nga/oku/fan/a/yo
kwizikhokelo	ku/i/zi/khokelo
karhulumente	ka/u/rhulumente
karhulumente	ka/u/rhulumente
kwimisebenzi	ku/i/mi/sebenzi
ngokufanayo	nga/oku/fan/a/yo
nangesidima	na/nga/i/si/dima
kweenqununu	kwa/i/in/nqununu
kwiinqununu	ku/i/z/in/qununu
kwiiyunithi	ku/i/z/i/yunithi
okunamandla	oku/na/a/ma/ndla
kwezebhanki	ku/e/za/i/bhanki
bunegalelo	bu/na/i/li/galelo
lweprojekthi	lwa/i/projekthi
zongezeleka	zi/ongez/el/ek/a
okuthunyelwa	oku/thum/el/w/a
ehlabathini	e/i/hlabathi/ini
ngokucebisa	nga/u/ku/cebis/a
nokusebenza	na/u/ku/sebenz/a
norhulumente	na/u/rhulumente
lomgangatho	lwa/u/m/gangatho
nabathunywa	na/a/ba/thum/w/a
lokusebenza	la/u/ku/sebenz/a
anoqoqosho	a/na/u/lu/qoqosho
ezithunyelwa	ezi/thum/el/w/a
norhulumente	na/u/rhulumente
ekuqhubeni	e/u/ku/qhub/a/ini
ekuqondeni	e/u/ku/qond/a/ini
lezezimali	la/e/za/i/zi/mali
nezezimali	na/e/za/i/zi/mali
zokhathalelo	za/u/khathalelo
kucetyiswana	ku/cebis/w/an/a
lozalisekiso	la/u/zalisekiso
nediphozithi	na/i/diphozithi
wokugqibela	wa/u/ku/gqibel/a
sokusebenza	sa/u/ku/sebenz/a
kwiidolophu	ku/i/z/i/dolophu
karhulumente	ka/u/rhulumente
ngoqwalaselo	nga/u/qwalaselo
ukuhanjiswa	u/ku/hamb/is/w/a
nokuphucula	na/u/ku/phucul/a
yokuphucula	ya/u/ku/phucul/a
lezentlalo	la/e/za/i/n/tlalo
kwintlonipho	ku/i/n/tlonipho
lezemfundo	la/e/za/i/m/fundo
ebantwaneni	e/ba/ntu/ana/ini
neyentlalo	na/e/ya/i/n/tlalo
lokulungisa	la/u/ku/lungis/a
setheyibhile	sa/i/theyibhile
lezentlalo	la/e/za/i/n/tlalo
zokuqhutywa	za/u/ku/qhub/w/a
kweprojekthi	kwa/i/projekthi
kwisikhokelo	ku/i/si/khokelo
kwisikhokelo	ku/i/si/khokelo
kwisikhokelo	ku/i/si/khokelo
kwimisebenzi	ku/i/mi/sebenzi
nokumelwa	na/u/ku/i/m/el/w/a
kwizindululo	ku/i/zi/ndululo
karhulumente	ka/u/rhulumente
kwiikholeji	ku/i/z/i/kholeji
kokwandisa	kwa/u/ku/and/is/a
wokusebenza	wa/u/ku/sebenz/a
wokusebenza	wa/u/ku/sebenz/a
nobuthathaka	na/u/buthathaka
iimpembelelo	i/im/phembelelo
norhulumente	na/u/rhulumente
kokomelela	kwa/u/ku/omelel/a
olukwiphepha	olu/ku/i/phepha
kurhulumente	ku/u/rhulumente
bavakalise	ba/va/akal/is/w/e
kurhulumente	ku/u/rhulumente
zezentlalo	za/e/za/i/n/tlalo
ngokusekeke	nga/oku/sek/ek/e
wokusebenza	wa/u/ku/sebenz/a
kuselithuba	ku/sa/i/li/thuba
kurhulumente	ku/u/rhulumente
karhulumente	ka/u/rhulumente
kwimisebenzi	ku/i/mi/sebenzi
karhulumente	ka/u/rhulumente
ngoomasipala	nga/oo/masipala
lokuphumeza	la/u/ku/phumez/a
lwabantwana	lwa/a/ba/ntu/ana
nabathunywa	na/a/ba/thum/w/a
lokuphucula	la/u/ku/phucul/a
kwimisebenzi	ku/i/mi/sebenzi
karhulumente	ka/u/rhulumente
olukwiphepha	olu/ku/i/phepha
lomgangatho	lwa/u/m/gangatho
karhulumente	ka/u/rhulumente
