lwemibutho	lwa/i/mi/butho
zomsebenzi	za/u/m/sebenzi
ongezantsi	o/nga/e/zantsi
zemimiselo	za/i/mi/miselo
ngeenjongo	nga/i/in/jongo
nomsebenzi	na/u/m/sebenzi
ngeenzuzo	nga/i/z/in/zuzo
ngexabiso	nga/i/li/xabiso
boqoqosho	ba/u/lu/qoqosho
ahlukeneyo	a/ahlukan/e/yo
ahlukeneyo	a/ahlukan/e/yo
kwamalungu	kwa/a/ma/lungu
lwengingqi	lwa/i/n/gingqi
anoxanduva	a/na/u/xanduva
ngeenkonzo	nga/i/in/konzo
neenkonzo	na/i/z/in/konzo
lwengingqi	lwa/i/n/gingqi
onobunakho	o/na/bu/na/kho
kogqithiso	kwa/u/gqithiso
lwamaqonga	lwa/a/ma/qonga
yesipolisa	ya/i/si/polisa
yamapolisa	ya/a/ma/polisa
weengcali	wa/i/z/in/gcali
kweshishi	kwa/i/li/shishi
iingcebiso	i/z/in/gcebiso
kwishishini	ku/i/shishini
kuqeqesho	ku/u/lu/qeqesho
kweminyaka	kwa/i/mi/nyaka
kweminyaka	kwa/i/mi/nyaka
kwengqondo	kwa/i/n/gqondo
iingcebiso	i/z/in/gcebiso
neentsapho	na/i/in/tsapho
nengcebiso	na/i/n/gcebiso
beenkonzo	ba/i/z/in/konzo
lweenkonzo	lwa/i/in/konzo
kumsebenzi	ku/u/m/sebenzi
lweenkonzo	lwa/i/in/konzo
kweenkonzo	kwa/i/in/konzo
namaxabiso	na/a/ma/xabiso
yomsebenzi	ya/u/m/sebenzi
noxanduva	na/u/lu/xanduva
ahlukeneyo	a/ahlukan/e/yo
kusetyenzwa	ku/sebenz/w/a
neentloko	na/i/z/in/tloko
kumanqanam	ku/a/ma/nqanam
zisenokuba	zi/se/na/ukuba
zingakwazi	zi/nga/ku/az/i
kumsebenzi	ku/u/m/sebenzi
nakuhlahlo	na/ku/u/hlahlo
olwabiweyo	olu/ab/iw/e/yo
abendeleyo	aba/endel/e/yo
ezifunyenwe	ezi/fuman/w/e
namacwecwe	na/a/ma/cwecwe
nemimandla	na/i/mi/mandla
lweenkonzo	lwa/i/in/konzo
kwisahluko	ku/i/si/ahluko
yecandelo	ya/i/li/candelo
ahlukeneyo	a/ahlukan/e/yo
ngolawulo	nga/u/lu/lawulo
zingahluka	zi/nga/ahluk/a
nokuyilwa	na/u/ku/yil/w/a
iimpendulo	i/z/im/pendulo
neendlela	na/i/z/in/dlela
unezabelo	u/na/i/zi/abelo
iidayimani	i/z/i/dayimani
kwezimbiwa	kwa/i/zi/mbiwa
yeempahla	ya/i/z/im/pahla
kumabhinqa	ku/a/ma/bhinqa
kweminyaka	kwa/i/mi/nyaka
lweenkonzo	lwa/i/in/konzo
zomsebenzi	za/u/m/sebenzi
kweendima	kwa/i/z/in/dima
noxanduva	na/u/lu/xanduva
zomsebenzi	za/u/m/sebenzi
yoqoqosho	ya/u/lu/qoqosho
ngezakhono	nga/i/zi/khono
nakwindalo	na/ku/i/n/dalo
i-powerpoint	i/powerpoint
yamaqalela	ya/a/ma/qalela
okuqeshwa	a/u/ku/qesh/w/a
yeenkqubo	ya/i/z/in/kqubo
noluthetha	na/olu/theth/a
yezithuthi	ya/i/zi/thuthi
ngamakhaya	nga/a/ma/khaya
ngamaxesha	nga/a/ma/xesha
ahlukeneyo	a/ahlukan/e/yo
ekwiimeko	e/ku/i/z/i/meko
konikezelo	kwa/u/nikezelo
lweenkonzo	lwa/i/in/konzo
iingcaciso	i/z/in/gcaciso
kweziphumo	kwa/i/zi/phumo
ezoqoqosho	e/za/u/qoqosho
neenkonzo	na/i/z/in/konzo
zomsebenzi	za/u/m/sebenzi
zomsebenzi	za/u/m/sebenzi
yeekomiti	ya/i/z/i/komiti
kwesigqibo	kwa/i/si/gqibo
kweengxelo	kwa/i/in/gxelo
neenkonzo	na/i/z/in/konzo
iingcebiso	i/z/in/gcebiso
zomsebenzi	za/u/m/sebenzi
neekomiti	na/i/z/i/komiti
lweenkonzo	lwa/i/in/konzo
nobungqina	na/u/bu/ngqina
yenyathelo	ya/i/n/yathelo
endleleni	e/i/n/dlela/ini
olwaziwayo	olu/az/iw/a/yo
i-powerpoint	i/powerpoint
ngebakala	nga/i/li/bakala
kwabahlali	kwa/a/ba/hlali
zabathengi	za/a/ba/thengi
beenkonzo	ba/i/z/in/konzo
ekwi-ajenda	e/ku/i/ajenda
lwengingqi	lwa/i/n/gingqi
kwamalungu	kwa/a/ma/lungu
noqeqesho	na/u/lu/qeqesho
iimpendulo	i/z/im/pendulo
iimvelaphi	i/z/im/velaphi
zeempiliso	za/i/im/piliso
beenkonzo	ba/i/z/in/konzo
eyokuqala	e/ya/u/ku/qal/a
neenkonzo	na/i/z/in/konzo
leenkonzo	la/i/z/in/konzo
lokulamla	lwa/u/ku/laml/a
kuqoqosho	ku/u/lu/qoqosho
kwemveliso	kwa/i/m/veliso
neenkonzo	na/i/z/in/konzo
se-logframe	sa/i/logframe
neenkqubo	na/i/z/in/kqubo
sokubekwa	sa/u/ku/bek/w/a
somsebenzi	sa/u/m/sebenzi
kwisahluko	ku/i/si/ahluko
lweziphumo	lwa/i/zi/phumo
lesithunzi	la/i/si/thunzi
kwikhabhoni	ku/i/khabhoni
kwikhabhoni	ku/i/khabhoni
zeeyunithi	za/i/i/yunithi
beenkonzo	ba/i/z/in/konzo
nemithetho	na/i/mi/thetho
kulungiso	ku/u/lu/lungiso
neenkqubo	na/i/z/in/kqubo
wamabhinqa	wa/a/ma/bhinqa
lolosulelo	l/o/lwa/sulelo
leenkedama	la/i/in/kedama
neenkonzo	na/i/z/in/konzo
kuyakwenza	ku/ya/ku/enz/a
beenkonzo	ba/i/z/in/konzo
lweemfuno	lwa/i/z/im/funo
lwempumezo	lwa/e/m/pumezo
namaxabiso	na/a/ma/xabiso
zomsebenzi	za/u/m/sebenzi
neenkonzo	na/i/z/in/konzo
zomsebenzi	za/u/m/sebenzi
kwabathathu	ku/aba/thathu
ngeembono	nga/i/z/im/bono
kulwenziwo	ku/u/lu/enziwo
lwezigqibo	lwa/i/zi/gqibo
benxaxheba	ba/i/n/xaxheba
kwabahlali	kwa/a/ba/hlali
noxanduva	na/u/lu/xanduva
ezoqoqosho	e/za/u/qoqosho
kumapolisa	ku/a/ma/polisa
yobupolisa	ya/u/bu/polisa
yomkhuseli	ya/u/m/khuseli
enyathelo	a/i/li/nyathelo
iingcebiso	i/z/in/gcebiso
yoqoqosho	ya/u/lu/qoqosho
kwamalahle	kwa/a/ma/lahle
lwentsimbi	lwa/i/n/tsimbi
nomsebenzi	na/u/m/sebenzi
namabhunga	na/a/ma/bhunga
nobuqabane	na/u/bu/qabane
kwabahlali	kwa/a/ba/hlali
lweziphumo	lwa/i/zi/phumo
neengqiqo	na/i/z/in/gqiqo
ngomngxuma	nga/u/m/ngxuma
ngeenjongo	nga/i/in/jongo
nenxaxheba	na/i/n/xaxheba
ngeenjongo	nga/i/in/jongo
ngemfezeko	nga/i/n/fezeko
lwengingqi	lwa/i/n/gingqi
iimpendulo	i/z/im/pendulo
lweenkonzo	lwa/i/in/konzo
beenkonzo	ba/i/z/in/konzo
lweenkonzo	lwa/i/in/konzo
lweenkonzo	lwa/i/in/konzo
beevenkile	ba/i/i/venkile
u-powerpoint	u/powerpoint
kwemveliso	kwa/i/m/veliso
kweenkonzo	kwa/i/in/konzo
ngokukodwa	nga/oku/ko/dwa
kwicandelo	ku/i/li/candelo
ngokwalapha	nga/okwa/lapha
weprojekthi	wa/i/projekthi
weprojekthi	wa/i/projekthi
nokurhweba	na/u/ku/rhweb/a
ngokohlanga	nga/oko/hlanga
lokuchitha	la/u/ku/chith/a
ekufezeni	e/u/ku/fez/a/ini
ufundo-nzulu	u/fundo/nzulu
kwiikomiti	ku/i/z/i/komiti
komsebenzi	kwa/u/m/sebenzi
ekubekeni	e/u/ku/bek/a/ini
kwiinqununu	ku/i/in/qununu
nootitshala	na/oo/titshala
zabantwana	za/a/ba/ntu/ana
kwiiyunithi	ku/i/i/yunithi
kwimimandla	ku/i/mi/mandla
noomasipala	na/oo/masipala
anegalelo	a/na/i/li/galelo
ngokutyala	nga/u/ku/tyal/a
kwimpendulo	ku/i/m/pendulo
kwinqanaba	ku/i/li/nqanaba
ukwinqanaba	u/ku/i/nqanaba
asisambuku	a/s/i/si/ambuku
kwinqanaba	ku/i/li/nqanaba
kwinqanaba	ku/i/li/nqanaba
ngokwenene	nga/okwa/i/nene
zafumaneka	zi/a/fuman/ek/a
lwabiwo-mali	lu/abiwo/mali
ekuxoxeni	e/u/ku/xox/a/ini
ngophuhliso	nga/u/phuhliso
lwabiwo-mali	lu/abiwo/mali
enzululwazi	a/i/nzululwazi
seprojekthi	sa/i/projekthi
yeprojekthi	ya/i/projekthi
kwimithombo	ku/i/mi/thombo
lezolimo	la/e/za/u/lu/limo
lwabiwo-mali	lu/abiwo/mali
ekwakheni	e/u/ku/akh/a/ini
enobunzima	e/na/u/bu/nzima
ezolawulo	e/za/u/lu/lawulo
komsebenzi	kwa/u/m/sebenzi
ezothutho	e/za/u/lu/thutho
zokuthatha	za/u/ku/thath/a
yokudibana	ya/u/ku/diban/a
nokuthetha	na/u/ku/theth/a
lwabiwo-mali	lu/abiwo/mali
kwiingxoxo	ku/i/z/in/gxoxo
ngoseptemba	nga/u/septemba
esinemfano	esi/na/i/m/fano
ngophuhliso	nga/u/phuhliso
kwimimandla	ku/i/mi/mandla
impikiswano	i/m/phikiswano
kwiinkqubo	ku/i/z/in/kqubo
zocwangciso	za/u/cwangciso
kwimimandla	ku/i/mi/mandla
yokuthatha	ya/u/ku/thath/a
kwamasipala	kwa/u/masipala
lokuthatha	la/u/ku/thath/a
sekusemva	se/ku/s/e/u/m/va
kwiidolophu	ku/i/i/dolophu
lwabiwo-mali	lu/abiwo/mali
loqoqosho	lwa/u/lu/qoqosho
kwiinkonzo	ku/i/z/in/konzo
lalintinga	li/a/li/nting/a
kwaqaliswa	ku/a/qal/is/w/a
impembelelo	i/m/phembelelo
ezingama-24	ezi/ng/a/ma/24
ubenexesha	u/be/na/i/xesha
ezobuchule	e/za/u/bu/chule
nokhuseleko	na/u/khuseleko
weprojekthi	wa/i/projekthi
ngokusekwe	nga/oku/sek/w/e
lwabiwo-mali	lu/abiwo/mali
yokufumana	ya/u/ku/fuman/a
nokumelwa	na/u/ku/m/el/w/a
yemimmandla	ya/i/mi/mandla
kwiikomiti	ku/i/z/i/komiti
ekugayeni	e/u/ku/gay/a/ini
lwabiwo-mali	lu/abiwo/mali
kwiikholeji	ku/i/i/kholeji
nezinokuba	na/ezi/na/ukuba
ekubekeni	e/u/ku/bek/a/ini
ekufakeni	e/u/ku/fak/a/ini
yokhuseleko	ya/u/khuseleko
ekujikeni	e/u/ku/jik/a/ini
zoomasipala	za/oo/masipala
ukwakhelwa	u/ku/akh/el/w/a
lwabiwo-mali	lu/abiwo/mali
zoomasipala	za/oo/masipala
yonxulumano	ya/u/nxulumano
kwinkcubeko	ku/i/n/kcubeko
sokulawula	sa/u/ku/lawul/a
koomasipala	ku/oo/masipala
koxanduva	kwa/u/lu/xanduva
noomasipala	na/oo/masipala
loomasipala	la/oo/masipala
nokudibana	na/u/ku/diban/a
leprojekthi	la/i/projekthi
ekuqaleni	e/u/ku/qal/a/ini
abanomvuzo	aba/na/u/m/vuzo
zongenelelo	za/u/ngenelelo
yokwalatha	ya/u/ku/alath/a
ekubekeni	e/u/ku/bek/a/ini
yeprojekthi	ya/i/projekthi
zeprojekthi	za/i/projekthi
kwimimandla	ku/i/mi/mandla
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
kwimimandla	ku/i/mi/mandla
idityaniswe	i/diban/is/w/e
lwabiwo-mali	lu/abiwo/mali
okuphumeza	a/u/ku/phumez/a
olwamadoda	olu/a/a/ma/doda
lwabiwo-mali	lu/abiwo/mali
zokufumana	za/u/ku/fuman/a
nekufuneka	na/e/ku/funek/a
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
kweenyanga	kwa/i/in/nyanga
kwenyathelo	kwa/i/nyathelo
koqoqosho	kwa/u/lu/qoqosho
lwasekhaya	lwa/s/e/i/khaya
komsebenzi	kwa/u/m/sebenzi
impikiswano	i/m/phikiswano
ziiarhente	z/i/z/i/arhente
neprojekthi	na/i/projekthi
yedemokrasi	ya/i/demokrasi
yocwangciso	ya/u/cwangciso
lolwaphulo	lwa/u/lu/aphulo
nokhuseleko	na/u/khuseleko
nokukhonza	na/u/ku/khonz/a
kwiikomiti	ku/i/z/i/komiti
ekubekeni	e/u/ku/bek/a/ini
zokumamela	za/u/ku/mamel/a
zokumamela	za/u/ku/mamel/a
lwezakhiwo	lwa/i/zi/akhiwo
nokutotoba	na/u/ku/totob/a
ekwenzeni	e/u/ku/enz/a/ini
zokuvelisa	za/u/ku/velis/a
nokwamkela	na/u/ku/amkel/a
yokukhetha	ya/u/ku/kheth/a
ngokwenani	nga/okwa/i/nani
kwicandelo	ku/i/li/candelo
nezezimvo	na/e/za/i/zim/vo
abanolwazi	aba/na/u/lu/azi
lokugqitywa	la/ku/gqib/w/a
kweenkqubo	kwa/i/zin/kqubo
lwabiwo-mali	lu/abiwo/mali
zeprojekthi	za/i/projekthi
nonxulumano	na/u/nxulumano
lovavanyo	lwa/u/lu/vavanyo
abanomvuzo	aba/na/u/m/vuzo
ngokunyusa	nga/u/ku/nyus/a
ngokukhula	nga/u/ku/khul/a
kwiingxaki	ku/i/z/in/gxaki
nokulawula	na/u/ku/lawul/a
kweshishini	kwa/i/shishini
ezikolweni	e/i/zi/kolo/ini
komsebenzi	kwa/u/m/sebenzi
nokululeka	na/u/ku/lulek/a
nootitshala	na/oo/titshala
ezikolweni	e/i/zi/kolo/ini
zothethwano	za/u/thethwano
komsebenzi	kwa/u/m/sebenzi
ekwenzeni	e/u/ku/enz/a/ini
ekuzuzeni	e/u/ku/zuz/a/ini
kwiimveliso	ku/i/im/veliso
kwenyathelo	kwa/i/nyathelo
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
oluyenzayo	olu/yi/enz/a/yo
yokuthatha	ya/u/ku/thath/a
weprojekthi	wa/i/projekthi
zeprojekthi	za/i/projekthi
kwenyathelo	kwa/i/nyathelo
zolondolozo	za/u/londolozo
okulungisa	a/u/ku/lungis/a
nokucebisa	na/u/ku/cebis/a
ngophuhliso	nga/u/phuhliso
yokumamela	ya/u/ku/mamel/a
kwilungelo	ku/i/li/lungelo
kweenyanga	kwa/i/in/nyanga
ezobuchule	e/za/u/bu/chule
kwiiyunithi	ku/i/i/yunithi
kwiiplothi	ku/i/z/i/plothi
banemifuno	ba/na/i/mi/funo
kwiilokishi	ku/i/i/lokishi
koqoqosho	kwa/u/lu/qoqosho
kwicandelo	ku/i/li/candelo
lwabiwo-mali	lu/abiwo/mali
kucwangciso	ku/u/cwangciso
kwimimandla	ku/i/mi/mandla
ngokuqhuba	nga/u/ku/qhub/a
ezenziwayo	ezi/enz/iw/a/yo
nokulawula	na/u/ku/lawul/a
lokufumana	la/u/ku/fuman/a
yezempilo	ya/e/za/i/m/pilo
ngenyathelo	nga/i/nyathelo
kwiintlobo	ku/i/z/in/tlobo
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
ekwenzeni	e/u/ku/enz/a/ini
kungenzeka	ku/nga/enz/ek/a
koqoqosho	kwa/u/lu/qoqosho
lwehlabathi	lwa/i/hlabathi
kweenkqubo	kwa/i/zin/kqubo
nobanezayo	na/obu/nez/a/yo
isonjululwe	i/sombulul/w/e
nootitshala	na/oo/titshala
nokhuseleko	na/u/khuseleko
nokhuseleko	na/u/khuseleko
yokhuseleko	ya/u/khuseleko
nokufumana	na/u/ku/fuman/a
lomsebenzi	lwa/u/m/sebenzi
lomsebenzi	lwa/u/m/sebenzi
nokufumana	na/u/ku/fuman/a
inemfanelo	i/na/i/m/fanelo
ngeshedyuli	nga/i/shedyuli
ibha-tshathi	i/bha/tshathi
kwiinkokeli	ku/i/in/kokeli
noomasipala	na/oo/masipala
ngokwenene	nga/okwa/i/nene
lomsebenzi	lwa/u/m/sebenzi
weprojekthi	wa/i/projekthi
ekwenzeni	e/u/ku/enz/a/ini
kwiindlela	ku/i/z/in/dlela
ezenzekayo	ezi/enz/ek/a/yo
ekwenzeni	e/u/ku/enz/a/ini
woomasipala	wa/oo/masipala
kwimimandla	ku/i/mi/mandla
kwimimandla	ku/i/mi/mandla
yoomasipala	ya/oo/masipala
yokumiswa	ya/u/ku/m/is/w/a
ezenziweyo	ezi/enz/iw/e/yo
zokuphanda	za/u/ku/phand/a
lwabiwo-mali	lu/abiwo/mali
ezenziweyo	ezi/enz/iw/e/yo
nezakhelo	na/i/zi/akh/el/o
lomsebenzi	lwa/u/m/sebenzi
nonxulumano	na/u/nxulumano
lwabiwo-mali	lu/abiwo/mali
lomsebenzi	lwa/u/m/sebenzi
lweendlela	lwa/i/zin/dlela
nzaliso-mali	n/zaliso/mali
anezakhono	a/na/i/zi/khono
ekuzameni	e/u/ku/zam/a/ini
kwiikomiti	ku/i/z/i/komiti
zepotfoliyo	za/i/potfoliyo
ngokucotha	nga/u/ku/coth/a
koqoqosho	kwa/u/lu/qoqosho
kwinqanaba	ku/i/li/nqanaba
lwehlabathi	lwa/i/hlabathi
kwiimpahla	ku/i/z/im/pahla
kwiinkonzo	ku/i/z/in/konzo
ngokuxhasa	nga/u/ku/xhas/a
anexabiso	a/na/i/li/xabiso
kwiingingqi	ku/i/in/gingqi
ezinenzuzo	ezi/na/i/n/zuzo
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
nokuthatha	na/u/ku/thath/a
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
ezakhiweyo	ezi/akh/iw/e/yo
awayephila	a/wa/a/e/phil/a
zobungcali	za/u/bu/n/gcali
kwezakhiwo	kwa/i/zi/akhiwo
komsebenzi	kwa/u/m/sebenzi
weprojekthi	wa/i/projekthi
yokufumana	ya/u/ku/fuman/a
ngophuhliso	nga/u/phuhliso
loqoqosho	lwa/u/lu/qoqosho
zokuthatha	za/u/ku/thath/a
kwiingingqi	ku/i/in/gingqi
ekwakheni	e/u/ku/akh/a/ini
esiyilelwe	esi/yil/el/ew/e
ukumelana	u/ku/i/m/el/an/a
kwiinkqubo	ku/i/z/in/kqubo
kwadityanwa	ku/a/diban/w/a
lomsebenzi	lwa/u/m/sebenzi
ngokutsala	nga/u/ku/tsal/a
unemibutho	u/na/i/mi/butho
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
kwimimandla	ku/i/mi/mandla
inegalelo	i/na/i/li/galelo
sokuphatha	sa/u/ku/phath/a
weprojekthi	wa/i/projekthi
aneemfuno	a/na/i/z/in/funo
zokuthatha	za/u/ku/thath/a
lwabiwo-mali	lu/abiwo/mali
noomasipala	na/oo/masipala
nekufuneka	na/e/ku/funek/a
bokulawula	ba/u/ku/lawul/a
ekwenzeni	e/u/ku/enz/a/ini
ekunikeni	e/u/ku/nik/a/ini
unegalelo	u/na/i/li/galelo
ezobugcisa	e/za/u/bu/gcisa
yebroadband	ya/i/broadband
ngokungcono	nga/oku/ngcono
yedijithali	ya/i/dijithali
nonxulumano	na/u/nxulumano
ezidibeneyo	ezi/diban/e/yo
kwiikomiti	ku/i/z/i/komiti
lomsebenzi	lwa/u/m/sebenzi
ikumaqondo	i/ku/a/ma/qondo
kwiindlela	ku/i/z/in/dlela
yokuthatha	ya/u/ku/thath/a
njengooceba	njenga/oo/ceba
kwimimandla	ku/i/mi/mandla
neemveliso	na/i/zin/veliso
akamhlanga	a/ka/m/hle/anga
yocwangciso	ya/u/cwangciso
komsebenzi	kwa/u/m/sebenzi
lomsebenzi	lwa/u/m/sebenzi
ekubekeni	e/u/ku/bek/a/ini
lwenyathelo	lwa/i/nyathelo
koqoqosho	kwa/u/lu/qoqosho
kolwamkelo	kwa/u/lu/amkelo
lomsebenzi	lwa/u/m/sebenzi
kwinkqubela	ku/i/n/kqubela
koqoqosho	kwa/u/lu/qoqosho
koqoqosho	kwa/u/lu/qoqosho
nelomeleza	na/eli/omelez/a
soomasipala	sa/oo/masipala
nokuthatha	na/u/ku/thath/a
ekusekeni	e/u/ku/sek/a/ini
unegalelo	u/na/i/li/galelo
zeprojekthi	za/i/projekthi
abajongene	aba/jong/an/ile
yokulawula	ya/u/ku/lawul/a
yabantwana	ya/a/ba/ntu/ana
nokulawula	na/u/ku/lawul/a
ngokoluvo	nga/okwa/u/lu/vo
aneengxaki	a/na/i/in/gxaki
lomsebenzi	lwa/u/m/sebenzi
unemadlana	u/na/i/mali/ana
inamagunya	i/na/a/ma/gunya
neyoluntu	na/e/ya/u/lu/ntu
kutshintsho	ku/u/tshintsho
nokuthatha	na/u/ku/thath/a
ekwenzeni	e/u/ku/enz/a/ini
kokhuselo	kwa/u/lu/khuselo
ekunikeni	e/u/ku/nik/a/ini
okuphumeza	a/u/ku/phumez/a
lwabiwo-mali	lu/abiwo/mali
kwiinkqubo	ku/i/z/in/kqubo
ziiarhente	z/i/z/i/arhente
lwehlabathi	lwa/i/hlabathi
lokulawula	la/u/ku/lawul/a
komsebenzi	kwa/u/m/sebenzi
kwiindleko	ku/i/z/in/dleko
lwabiwo-mali	lu/abiwo/mali
lwasekhaya	lwa/s/e/i/khaya
abawenzayo	aba/wa/enz/a/yo
ekuhambeni	e/ku/hamb/a/ini
nokuchonga	na/u/ku/chong/a
kwiimfuneko	ku/i/in/funeko
abanolwazi	aba/na/u/lu/azi
yoomasipala	ya/oo/masipala
ziyahlulwa	zi/ya/ahlul/w/a
leprojekthi	la/i/projekthi
yobungcali	ya/u/bu/n/gcali
yoxinzelelo	ya/u/xinzelelo
kwimimandla	ku/i/mi/mandla
kwimimandla	ku/i/mi/mandla
ekuzameni	e/u/ku/zam/a/ini
lwezakhiwo	lwa/i/zi/akhiwo
ekujikeni	e/u/ku/jik/a/ini
okwendeleyo	oku/endel/e/yo
nonxulumano	na/u/nxulumano
ngokujonga	nga/u/ku/jong/a
kwicandelo	ku/i/li/candelo
zeprojekthi	za/i/projekthi
lokuthetha	la/u/ku/theth/a
ekwenzeni	e/u/ku/enz/a/ini
kwimimandla	ku/i/mi/mandla
kwiinkqubo	ku/i/z/in/kqubo
nokuthwala	na/u/ku/thwal/a
sokuthanda	sa/u/ku/thand/a
lwabiwo-mali	lu/abiwo/mali
koomasipala	ku/oo/masipala
kwimimandla	ku/i/mi/mandla
kwiinkonzo	ku/i/z/in/konzo
enobulunga	e/na/u/bu/lunga
kwiinkqubo	ku/i/z/in/kqubo
nokumamela	na/u/ku/mamel/a
loqoqosho	lwa/u/lu/qoqosho
ngokugcina	nga/u/ku/gcin/a
kwiingxaki	ku/i/z/in/gxaki
lwabiwo-mali	lu/abiwo/mali
okunobakho	oku/na/u/ba/kho
kweklinikhi	kwa/i/klinikhi
kwimimandla	ku/i/mi/mandla
nezoyikiso	na/i/zi/oyikiso
abangama-54	aba/ng/a/ma/54
nabantwana	na/a/ba/ntu/ana
kwiiseshoni	ku/i/i/seshoni
zeprojekthi	za/i/projekthi
ii-logframe	i/z/i/logframe
yeprojekthi	ya/i/projekthi
ii-logframe	i/z/i/logframe
zeprojekthi	za/i/projekthi
okulungisa	a/u/ku/lungis/a
ngezakhiwo	nga/i/zi/akhiwo
ngokwangoku	nga/okwa/ngoku
nequlethwe	na/e/qulath/w/e
komsebenzi	kwa/u/m/sebenzi
komsebenzi	kwa/u/m/sebenzi
lomsebenzi	lwa/u/m/sebenzi
lwabiwo-mali	lu/abiwo/mali
komsebenzi	kwa/u/m/sebenzi
kwiinkqubo	ku/i/z/in/kqubo
ngonikezelo	nga/u/nikezelo
ngokuhamba	nga/u/ku/hamb/a
empumelelo	a/i/m/phumelelo
uhlahlo-mali	u/hlahlo/mali
leprojekthi	la/i/projekthi
komsebenzi	kwa/u/m/sebenzi
ekwenzeni	e/u/ku/enz/a/ini
lwabamnyama	lwa/aba/mnyama
olwahlukana	olu/ahluk/an/a
nabantwana	na/a/ba/ntu/ana
ekunikeni	e/u/ku/nik/a/ini
kwinqanaba	ku/i/li/nqanaba
okusebenza	a/u/ku/sebenz/a
lwehlabathi	lwa/i/hlabathi
lwehlabathi	lwa/i/hlabathi
koqoqosho	kwa/u/lu/qoqosho
wawumalunga	u/a/wu/malunga
ngowe-1994	nga/o/wa/i/1994
ukwahlukana	u/ku/ahlukan/a
ayanelanga	a/ya/anel/a/nga
enobulunga	e/na/u/bu/lunga
yokumiswa	ya/u/ku/m/is/w/a
ekwakheni	e/u/ku/akh/a/ini
neemfuneko	na/i/zin/funeko
njengegqiza	njenga/i/gqiza
lomsebenzi	lwa/u/m/sebenzi
noomasipala	na/oo/masipala
kuma-afrika	ku/a/ma/afrika
komsebenzi	kwa/u/m/sebenzi
nokufumana	na/u/ku/fuman/a
nokuphanda	na/u/ku/phand/a
ukukhutshwa	u/ku/khuph/w/a
kwekhabhoni	kwa/i/khabhoni
