o-1	o/1
i-cbp	i/cbp
i-cbp	i/cbp
koku	ku/oku
kolo	ku/olo
i-anc	i/anc
i-cbp	i/cbp
i-idp	i/idp
noku	na/oku
zeli	za/eli
i-cbp	i/cbp
i-cbp	i/cbp
nezi	na/ezi
i-pms	i/pms
waze	u/a/ze
ezi-3	ezi/3
i-pms	i/pms
i-cbp	i/cbp
i-cbp	i/cbp
i-idp	i/idp
i-pms	i/pms
i-kpi	i/kpi
koko	ku/oko
zezi	za/ezi
koku	ku/oku
ixa	i/li/xa
wenu	wa/inu
esi-1	esi/1
ezi-2	ezi/2
se-12	sa/12
yoko	ya/oko
i-pms	i/pms
koko	ku/oko
i-cbp	i/cbp
i-cbp	i/cbp
i-idp	i/idp
koko	ku/oko
i-cbp	i/cbp
i-cbp	i/cbp
i-hiv	i/hiv
i-idp	i/idp
i-idp	i/idp
no-5	na/u/5
i-cbp	i/cbp
aba-4	aba/4
i-abc	i/abc
10-15	10/15
kweli	ku/eli
kweli	ku/eli
nemo	na/i/mo
neti	na/i/ti
leti	la/i/ti
koko	kwa/oko
ama-4	a/ma/4
kweli	ku/eli
entle	en/hle
kweli	ku/eli
nemo	na/i/mo
kwesi	ku/esi
kwezo	ku/ezo
kwezi	ku/ezi
koko	kwa/oko
zazi	zi/az/i
lwazi	lu/azi
lwazi	lu/azi
kwesi	ku/esi
koko	kwa/oko
kwesi	ku/esi
kwesi	ku/esi
kwezi	ku/ezi
neza	na/e/za
lwazi	lu/azi
ama-4	a/ma/4
kwesi	ku/esi
kwesi	ku/esi
kwezi	ku/ezi
behiv	ba/hiv
koko	kwa/oko
kwezi	ku/ezi
laze	li/a/ze
kweli	ku/eli
kwezi	ku/ezi
kwabo	ku/abo
kwesi	ku/esi
kwezi	ku/ezi
entle	en/hle
kwezi	ku/ezi
kwezi	ku/ezi
kwesi	ku/esi
kwezi	ku/ezi
kweli	ku/eli
kwesi	ku/esi
kweli	ku/eli
lolu	lwa/olu
lwazi	lu/azi
kweli	ku/eli
nemo	na/i/mo
kwezi	ku/ezi
lwazi	lu/azi
kwezi	ku/ezi
kwezi	ku/ezi
kwezi	ku/ezi
kwezi	ku/ezi
saza	si/a/za
kwezi	ku/ezi
lwazi	lu/azi
lwazi	lu/azi
kwezi	ku/ezi
kweli	ku/eli
koko	kwa/oko
zaye	zi/a/ye
saze	si/a/ze
kwezi	ku/ezi
ama-4	a/ma/4
kweli	ku/eli
ngexa	ngenxa
kwezi	ku/ezi
kwabo	ku/abo
kwezi	ku/ezi
kwesi	ku/esi
kwezi	ku/ezi
kwabo	ku/abo
kwesi	ku/esi
kweli	ku/eli
kwezi	ku/ezi
lwazi	lu/azi
lwazi	lu/azi
nemo	na/i/mo
laza	li/a/za
kwesi	ku/esi
kwezo	kwa/ezo
okuba	a/ukuba
ku-3.1	ku/3.1
ku-3.2	ku/3.2
yenza	i/enz/a
ilele	i/lal/e
yenza	i/enz/a
emva	e/u/m/va
e-asia	e/asia
ngoko	nga/oko
ngoko	nga/oko
emva	e/u/m/va
ngeli	nga/eli
emva	e/u/m/va
yenza	i/enz/a
ngezi	nga/ezi
ngeli	nga/eli
emva	e/u/m/va
emva	e/u/m/va
nkulu	n/khulu
i-mfma	i/mfma
emva	e/u/m/va
emva	e/u/m/va
we-5	wa/i/i/5
yenza	i/enz/a
emva	e/u/m/va
ngoku	nga/oku
i-mfma	i/mfma
wenza	u/enz/a
emva	e/u/m/va
kwaza	ku/a/za
emva	e/u/m/va
zethu	za/ithu
emva	e/u/m/va
emva	e/u/m/va
emva	e/u/m/va
we-15	wa/i/15
ngoko	nga/oko
emva	e/u/m/va
ngolu	nga/olu
i-100%	i/100%
kwimo	ku/i/mo
ngoko	nga/oko
ngoko	nga/oko
yenze	i/enz/e
wethu	wa/ithu
wenze	u/enz/e
ngoko	nga/oko
nee-	na/i/z/i
ngoko	nga/oko
ngoko	nga/oko
lweli	lwa/eli
ezele	e/zal/e
bazi	b/a/az/i
emva	e/u/m/va
we-16	wa/i/16
we-10	wa/i/10
emva	e/u/m/va
emva	e/u/m/va
kwixa	ku/i/xa
okuba	a/ukuba
emva	e/u/m/va
lwezi	lwa/ezi
yenza	i/enz/a
yenza	i/enz/a
kwimo	ku/i/mo
yenza	i/enz/a
emva	e/u/m/va
wenze	u/enz/e
ngoko	nga/oko
ngezi	nga/ezi
ngoko	nga/oko
ngoku	nga/oku
yenza	i/enz/a
yenza	i/enz/a
ngoko	nga/oko
ngoku	nga/oku
emva	e/u/m/va
we-10	wa/i/10
emva	e/u/m/va
wenza	u/enz/a
e-idp	a/i/idp
i-mfma	i/mfma
kwezo	kwa/ezo
ngoku	nga/oku
abemi	a/ba/mi
ezele	e/zal/e
nee-	na/i/z/i
i-mfma	i/mfma
ngelo	nga/elo
yenza	i/enz/a
abemi	a/ba/mi
lwezi	lwa/ezi
ngoko	nga/oko
nkulu	n/khulu
lwazi	lu/az/i
lwazi	lu/az/i
ngoko	nga/oko
ngeli	nga/eli
emva	e/u/m/va
ngoko	nga/oko
le-19	la/i/19
yenze	i/enz/e
yenze	i/enz/e
emva	e/u/m/va
kwezo	kwa/ezo
lethu	la/ithu
zethu	za/ithu
emva	e/u/m/va
ngoko	nga/oko
i-swot	i/swot
wenza	u/enz/a
eli-15	eli/15
e-idp	a/i/idp
emva	e/u/m/va
eli-15	eli/15
eli-15	eli/15
ngoko	nga/oko
we-17	wa/i/17
ngoko	nga/oko
ngeli	nga/eli
ngoku	nga/oku
ngezo	nga/ezo
ngoko	nga/oko
ngoko	nga/oko
zethu	za/ithu
emva	e/u/m/va
ngoku	nga/oku
ku-1.2	ku/1.2
emva	e/u/m/va
emva	e/u/m/va
lwezi	lwa/ezi
ngeli	nga/eli
yenze	i/enz/e
yenza	i/enz/a
lwenu	lwa/inu
emva	e/u/m/va
okuba	a/ukuba
kweso	kwa/eso
emva	e/u/m/va
yenza	i/enz/a
ngesi	nga/esi
zethu	za/ithu
ngolu	nga/olu
lwezi	lwa/ezi
ngoko	nga/oko
eli-10	eli/10
kweli	kwa/eli
yenza	i/enz/a
abemi	a/ba/mi
kweli	kwa/eli
ngoko	nga/oko
ngoko	nga/oko
yenza	i/enz/a
ngoko	nga/oko
abemi	a/ba/mi
ngoko	nga/oko
abemi	a/ba/mi
eli-10	eli/10
ngoko	nga/oko
e-gep	a/i/gep
yenza	i/enz/a
emva	e/u/m/va
yenza	i/enz/a
yenza	i/enz/a
nkulu	n/khulu
emva	e/u/m/va
yenza	i/enz/a
emva	e/u/m/va
ngoku	nga/oku
yenze	i/enz/e
we-5	wa/i/i/5
emva	e/u/m/va
ngeli	nga/eli
wenze	u/enz/e
kwimo	ku/i/mo
okuba	a/ukuba
kwezo	kwa/ezo
kwezo	kwa/ezo
kwixa	ku/i/xa
ngoko	nga/oko
we-10	wa/i/10
lethu	la/ithu
emva	e/u/m/va
wenza	u/enz/a
abemi	a/ba/mi
abemi	a/ba/mi
e-idp	a/i/idp
kweli	kwa/eli
yethu	ya/ithu
ngoko	nga/oko
ii-kpi	i/i/kpi
ii-kpi	i/i/kpi
zenza	zi/enz/a
senza	si/enz/a
lenze	li/enz/e
nehiv	na/i/hiv
eqela	a/i/qela
ii-ngo	i/i/ngo
lenze	li/enz/e
eqela	a/i/qela
zefet	za/i/fet
ii-ngo	i/i/ngo
ii-cbo	i/i/cbo
ii-cdw	i/i/cdw
ayazi	a/i/az/i
ii-kpi	i/i/kpi
zenza	zi/enz/a
ii-kpi	i/i/kpi
lenza	li/enz/a
evoti	a/i/voti
ali-10	a/li/10
yi-idp	y/i/idp
senza	si/enz/a
yehiv	ya/i/hiv
benze	ba/enz/e
zenza	zi/enz/a
ii-kpi	i/i/kpi
yenza	yi/enz/a
benze	ba/enz/e
benze	ba/enz/e
yi-idp	y/i/idp
ngexa	nga/i/xa
yepms	ya/i/pms
eqela	a/i/qela
senze	si/enz/e
wer&d	wa/i/r&d
zenza	zi/enz/a
lenze	li/enz/e
odano	a/u/dano
sefet	sa/i/fet
zefet	za/i/fet
lefet	la/i/fet
wegdp	wa/i/gdp
wegdp	wa/i/gdp
wegdp	wa/i/gdp
wegdp	wa/i/gdp
zintle	zin/hle
zenze	zi/enz/e
nepms	na/i/pms
senza	si/enz/a
ngexa	nga/i/xa
yer&d	ya/i/r&d
ii-kra	i/i/kra
ii-kpi	i/i/kpi
benze	ba/enz/e
benze	ba/enz/e
yi-cbp	y/i/cbp
umoya	u/m/moya
enzima	a/nzima
nonks	na/u/nks
yecbp	ya/i/cbp
yeidp	ya/i/idp
yeidp	ya/i/idp
seidp	sa/i/idp
ii-kpi	i/i/kpi
ii-kpi	i/i/kpi
zenza	zi/enz/a
zenza	zi/enz/a
ovoto	a/u/voto
ii-idp	i/i/idp
zenza	zi/enz/a
yenza	yi/enz/a
senza	si/enz/a
lenze	li/enz/e
bakhe	ba/akh/e
ngoya	nga/o/ya
unyimo	u/nyino
eqela	a/i/qela
ama-20	a/ma/20
kacaba	ka/ceba
zenze	zi/enz/e
wathi	u/a/th/i
ngexa	nga/i/xa
ngexa	nga/i/xa
ewadi	a/i/wadi
benza	ba/enz/a
kwi-12	ku/i/12
yehiv	ya/i/hiv
benze	ba/enz/e
ama-20	a/ma/20
wakuba	u/akuba
ngexa	nga/i/xa
yepms	ya/i/pms
zakhe	zi/akh/e
awami	a/ka/m/i
benza	ba/enz/a
yenye	ya/e/nye
nehiv	na/i/hiv
benze	ba/enz/e
lwemo	lwa/i/mo
ayazi	a/i/az/i
kwi-10	ku/i/10
ii-ngo	i/i/ngo
ii-idp	i/i/idp
ama-40	a/ma/40
nedata	na/data
benza	ba/enz/a
benza	ba/enz/a
ii-idp	i/i/idp
umoya	u/m/moya
lenze	li/enz/e
bakha	ba/akh/a
ii-kpi	i/i/kpi
yeidp	ya/i/idp
lenza	la/enz/a
benza	ba/enz/a
benze	ba/enz/e
lenze	li/enz/e
ye-cbp	ya/i/cbp
iqela	i/li/qela
yokuba	ya/ukuba
esweni	e/so/ini
isebe	i/li/sebe
kwenza	ku/enz/a
nokuba	na/ukuba
ulwazi	u/lu/azi
yokuba	ya/ukuba
ze-idp	za/i/idp
lwenze	lu/enz/e
ulwazi	u/lu/azi
enkulu	en/khulu
wokuba	wa/ukuba
be-cbp	ba/i/cbp
iqela	i/li/qela
iqela	i/li/qela
iqela	i/li/qela
iqela	i/li/qela
iqela	i/li/qela
ulwazi	u/lu/azi
ulwazi	u/lu/azi
ulwazi	u/lu/azi
inani	i/li/nani
inani	i/li/nani
inani	i/li/nani
be-idp	ba/i/idp
be-idp	ba/i/idp
iqela	i/li/qela
ye-idp	ya/i/idp
bakuba	ba/akuba
iqela	i/li/qela
iqela	i/li/qela
ulwazi	u/lu/azi
nokuba	na/ukuba
nokuba	na/ukuba
nokuba	na/ukuba
se-hiv	sa/i/hiv
ye-hiv	ya/i/hiv
isebe	i/li/sebe
we-hiv	wa/i/hiv
e-aids	a/i/aids
nokuba	na/ukuba
ulwazi	u/lu/azi
ze-idp	za/i/idp
we-cbp	wa/i/cbp
ulwazi	u/lu/azi
inani	i/li/nani
zokuba	za/ukuba
ulwazi	u/lu/azi
i-south	i/south
i-salga	i/salga
nokuba	na/ukuba
ye-pms	ya/i/pms
nokuba	na/ukuba
enkulu	en/khulu
se-iso	sa/i/iso
nokuba	na/ukuba
ne-idp	na/i/idp
ne-idp	na/i/idp
nokuba	na/ukuba
kwenza	ku/enz/a
iqela	i/li/qela
inani	i/li/nani
be-cbp	ba/i/cbp
inkulu	in/khulu
esweni	e/so/ini
yokuba	ya/ukuba
esweni	e/so/ini
ikweli	i/ku/eli
ulwazi	u/lu/azi
kwenza	ku/enz/a
we-0.1	wa/i/0.1
ne-0.2	na/i/0.2
ne-idp	na/i/idp
yokuba	ya/ukuba
inani	i/li/nani
iqela	i/li/qela
ulwazi	u/lu/azi
kwe-10	kwa/i/10
nokuba	na/ukuba
ntweni	n/to/ini
nokuba	na/ukuba
esweni	e/so/ini
kwenza	ku/enz/a
i-local	i/local
nokuba	na/ukuba
emiba	a/i/mi/ba
yento	ya/i/n/to
nokuba	na/ukuba
icala	i/li/cala
nokuba	na/ukuba
enkulu	en/khulu
inani	i/li/nani
iikpi	i/z/i/kpi
njl-njl	njl/njl
ye-cbp	ya/i/cbp
nokuba	na/ukuba
nokuba	na/ukuba
ze-led	za/i/led
nokuba	na/ukuba
inani	i/li/nani
be-cbp	ba/i/cbp
i-local	i/local
ulwazi	u/lu/azi
ye-cbp	ya/i/cbp
sakuba	si/akuba
nokuba	na/ukuba
iqela	i/li/qela
iqela	i/li/qela
be-cbp	ba/i/cbp
iqela	i/li/qela
iqela	i/li/qela
inani	i/li/nani
nokuba	na/ukuba
iqela	i/li/qela
ubomi	u/bu/bomi
ka-1997	ka/1997
ze-pms	za/i/pms
ulwazi	u/lu/azi
sokuba	sa/ukuba
iqela	i/li/qela
nokuba	na/ukuba
ye-cbp	ya/i/cbp
se-idp	sa/i/idp
ulwazi	u/lu/azi
iingo	i/z/i/ngo
nokuba	na/ukuba
yokuba	ya/ukuba
esazi	e/sa/az/i
kwenza	ku/enz/a
uyazi	u/ya/az/i
iqela	i/li/qela
iqela	i/li/qela
sokuba	sa/ukuba
nokuba	na/ukuba
ye-idp	ya/i/idp
ulwazi	u/lu/azi
ze-idp	za/i/idp
ne-cbp	na/i/cbp
ulwazi	u/lu/azi
ye-cbp	ya/i/cbp
ze-cbp	za/i/cbp
esweni	e/so/ini
ze-cbp	za/i/cbp
we-idp	wa/i/idp
ye-cbp	ya/i/cbp
njl-njl	njl/njl
ye-idp	ya/i/idp
inani	i/li/nani
kwenza	ku/enz/a
iqela	i/li/qela
nokuba	na/ukuba
yokuba	ya/ukuba
nokuba	na/ukuba
yokuba	ya/ukuba
awekho	a/wa/kho
kwir&d	ku/i/r&d
kwir&d	ku/i/r&d
enkulu	en/khulu
sakuba	si/akuba
ye-cbp	ya/i/cbp
ze-idp	za/i/idp
ulwazi	u/lu/azi
iqela	i/li/qela
ulwazi	u/lu/azi
ulwazi	u/lu/azi
sokuba	sa/ukuba
iqela	i/li/qela
iqela	i/li/qela
somda	sa/u/m/da
ulwazi	u/lu/azi
ulwazi	u/lu/azi
ubomi	u/bu/bomi
isebe	i/li/sebe
igama	i/li/gama
iqela	i/li/qela
ulwazi	u/lu/azi
inani	i/li/nani
inani	i/li/nani
nokuba	na/ukuba
ze-cbp	za/i/cbp
ulwazi	u/lu/azi
kwenza	ku/enz/a
yokuba	ya/ukuba
ulwazi	u/lu/azi
ulwazi	u/lu/azi
inani	i/li/nani
ka-1994	ka/1994
lokuba	la/ukuba
kumba	ku/u/m/ba
wokuba	wa/ukuba
ye-pms	ya/i/pms
yokuba	ya/ukuba
ye-idp	ya/i/idp
esweni	e/so/ini
nokuba	na/ukuba
ze-cbp	za/i/cbp
ezi-7.9	ezi/7.9
njl-njl	njl/njl
ulwazi	u/lu/azi
ye-wid	ya/i/wid
yokuba	ya/ukuba
ye-wid	ya/i/wid
ze-idp	za/i/idp
nokuba	na/ukuba
iqela	i/li/qela
iqela	i/li/qela
nento	na/i/n/to
ne-idp	na/i/idp
e-aids	a/i/aids
nokuba	na/ukuba
se-cbp	sa/i/cbp
ezi-3.2	ezi/3.2
kumda	ku/u/m/da
ulwazi	u/lu/azi
ka-1992	ka/1992
se-led	sa/i/led
iqela	i/li/qela
nokuba	na/ukuba
iqela	i/li/qela
ye-cbp	ya/i/cbp
ubomi	u/bu/bomi
ye-idp	ya/i/idp
ye-idp	ya/i/idp
ubomi	u/bu/bomi
ubomi	u/bu/bomi
inani	i/li/nani
sokuba	sa/ukuba
ne-idp	na/i/idp
ye-cbp	ya/i/cbp
inani	i/li/nani
ze-kpi	za/i/kpi
yokuba	ya/ukuba
kunolo	kuna/olo
ka-1992	ka/1992
ka-1992	ka/1992
ulwazi	u/lu/azi
ubomi	u/bu/bomi
enkulu	en/khulu
ne-idp	na/i/idp
nokuba	na/ukuba
ubomi	u/bu/bomi
yokuba	ya/ukuba
kamva	ka/u/m/va
inani	i/li/nani
we-0.5	wa/i/0.5
be-idp	ba/i/idp
le-idp	la/i/idp
ubomi	u/bu/bomi
icala	i/li/cala
ye-idp	ya/i/idp
kwenza	ku/enz/a
ne-idp	na/i/idp
esweni	e/so/ini
esweni	e/so/ini
nomba	na/u/m/ba
iqela	i/li/qela
nokuba	na/ukuba
ulwazi	u/lu/azi
ulwazi	u/lu/azi
ye-cbp	ya/i/cbp
iikpi	i/z/i/kpi
iikpi	i/z/i/kpi
iqela	i/li/qela
ubomi	u/bu/bomi
kumda	ku/u/m/da
nokuba	na/ukuba
wokuba	wa/ukuba
ye-cbp	ya/i/cbp
uhlalo	u/hlahlo
ze-idp	za/i/idp
nokuba	na/ukuba
iqela	i/li/qela
nokuba	na/ukuba
nokuba	na/ukuba
enkulu	en/khulu
nokuba	na/ukuba
isebe	i/li/sebe
ye-idp	ya/i/idp
emiba	a/i/mi/ba
iqela	i/li/qela
isebe	i/li/sebe
we-cbp	wa/i/cbp
nokuba	na/ukuba
ulwazi	u/lu/azi
esazi	e/sa/az/i
nokuba	na/ukuba
ye-msa	ya/i/msa
nokuba	na/ukuba
ulwazi	u/lu/azi
ulwazi	u/lu/azi
i-batho	i/batho
i-batho	i/batho
nokuba	na/ukuba
inani	i/li/nani
ye-cbp	ya/i/cbp
ye-idp	ya/i/idp
be-cbp	ba/i/cbp
nokuba	na/ukuba
ulwazi	u/lu/azi
nokuba	na/ukuba
ubomi	u/bu/bomi
iqela	i/li/qela
iqela	i/li/qela
se-cbp	sa/i/cbp
nokuba	na/ukuba
iqela	i/li/qela
njl-njl	njl/njl
kwenze	ku/enz/e
enkulu	en/khulu
ze-idp	za/i/idp
ne-cbp	na/i/cbp
le-idp	la/i/idp
esweni	e/so/ini
yamali-	ya/mali
esweni	e/so/ini
ulwazi	u/lu/azi
esweni	e/so/ini
yokuba	ya/ukuba
nokuba	na/ukuba
ze-cbp	za/i/cbp
iqela	i/li/qela
nokuba	na/ukuba
sokuba	sa/ukuba
ulwazi	u/lu/azi
ulwazi	u/lu/azi
ulwazi	u/lu/azi
ulwazi	u/lu/azi
ulwazi	u/lu/azi
ze-cbp	za/i/cbp
ye-idp	ya/i/idp
iziko	i/li/ziko
i-ofisi	i/ofisi
ulwazi	u/lu/azi
esweni	e/so/ini
kwenza	ku/enz/a
nokuba	na/ukuba
iqela	i/li/qela
iqela	i/li/qela
igama	i/li/gama
inani	i/li/nani
ulwazi	u/lu/azi
ka-1998	ka/1998
nokuba	na/ukuba
yayame	i/ayam/e
iqela	i/li/qela
yokuba	ya/ukuba
ilelo	i/l/i/elo
iqela	i/li/qela
iqela	i/li/qela
iqela	i/li/qela
se-idp	sa/i/idp
ne-idp	na/i/idp
we-cbp	wa/i/cbp
we-idp	wa/i/idp
iqela	i/li/qela
iqela	i/li/qela
-buqili	bu/qili
ulwazi	u/lu/azi
sangqa	si/angqa
iqela	i/li/qela
we-cbp	wa/i/cbp
wokuba	wa/ukuba
icala	i/li/cala
kwenza	ku/enz/a
ubomi	u/bu/bomi
enkulu	en/khulu
emiba	a/i/mi/ba
sokuba	sa/ukuba
sokuba	sa/ukuba
igama	i/li/gama
igama	i/li/gama
ye-cbp	ya/i/cbp
ze-idp	za/i/idp
ye-idp	ya/i/idp
se-idp	sa/i/idp
be-idp	ba/i/idp
azisa	a/az/is/a
iqela	i/li/qela
iqela	i/li/qela
enkulu	en/khulu
inani	i/li/nani
ijelo	i/li/jelo
zokuba	za/ukuba
elixa	a/i/li/xa
ka-1994	ka/1994
nento	na/i/n/to
i-sdbip	i/sdbip
yamva	ya/u/m/va
ku-1970	ku/1970
enkulu	en/khulu
icuba	i/li/cuba
yokuba	ya/ukuba
enkulu	en/khulu
enkulu	en/khulu
ne-idp	na/i/idp
ye-cdm	ya/i/cdm
lwethu	lwa/ithu
kwenza	ku/enz/a
iqela	i/li/qela
iikpi	i/z/i/kpi
iikpi	i/z/i/kpi
we-hiv	wa/i/hiv
esazi	e/sa/az/i
bakuba	ba/akuba
sokuba	sa/ukuba
lokuba	la/ukuba
ulwazi	u/lu/azi
nomba	na/u/m/ba
iqela	i/li/qela
nokuba	na/ukuba
yanele	i/anel/e
ntweni	n/to/ini
wokuba	wa/ukuba
yokuba	ya/ukuba
yokuba	ya/ukuba
enkulu	en/khulu
ka-1992	ka/1992
i-sanco	i/sanco
i-south	i/south
yokuba	ya/ukuba
ulwazi	u/lu/azi
ye-cbp	ya/i/cbp
sangqa	si/angqa
nokuba	na/ukuba
ulwazi	u/lu/azi
iqela	i/li/qela
lwethu	lwa/ithu
emiba	a/i/mi/ba
kwenza	ku/enz/a
