yoxanduva	ya/u/lu/xanduva
lokunikwa	la/u/ku/nik/w/a
kwabahlali	kwa/a/ba/hlali
lwesingesi	lwa/i/si/ngesi
ngabahlali	nga/a/ba/hlali
kuphunyezwa	ku/phumez/w/a
onoxanduva	o/na/u/xanduva
neekomiti	na/i/z/i/komiti
kophuhliso	kwa/u/phuhliso
lwezakhono	lwa/i/zi/khono
beentlanga	ba/i/in/tlanga
neendlela	na/i/z/in/dlela
iinkokheli	i/z/in/kokheli
nenkcubeko	na/i/n/kcubeko
kwemingeni	kwa/i/mi/ngeni
nezithuthi	na/i/zi/thuthi
womsebenzi	wa/u/m/sebenzi
nomsebenzi	na/u/m/sebenzi
kwezimbiwa	kwa/i/zi/mbiwa
kusenokuba	ku/se/na/ukuba
kwesithuba	kwa/i/si/thuba
lwamalungu	lwa/a/ma/lungu
lweenkonzo	lwa/i/in/konzo
ngokukodwa	nga/oku/ko/dwa
noqoqosho	na/u/lu/qoqosho
ugqaliselo	u/lu/gqaliselo
kweziphumo	kwa/i/zi/phumo
kulwenziwo	ku/u/lu/enziwo
lwezigqibo	lwa/i/zi/gqibo
lweenkonzo	lwa/i/in/konzo
ngeendlela	nga/i/in/dlela
yenxaxheba	ya/i/n/xaxheba
kwinyathelo	ku/i/nyathelo
nomsebenzi	na/u/m/sebenzi
wamaphondo	wa/a/ma/phondo
weengingqi	wa/i/in/gingqi
locwanciso	la/u/cwangciso
zomsebenzi	za/u/m/sebenzi
ngabahlali	nga/a/ba/hlali
novavanyo	na/u/lu/vavanyo
yecandelo	ya/i/li/candelo
ngokwazeka	nga/kw/az/ek/a
lweengxaki	lwa/i/in/gxaki
neepowusta	na/i/i/powusta
neepowusta	na/i/i/powusta
womsebenzi	wa/u/m/sebenzi
kwabahlali	kwa/a/ba/hlali
yeenjongo	ya/i/z/in/jongo
neendlela	na/i/z/in/dlela
lolumano-	lwa/u/lu/lumano
neenkqubo	na/i/z/in/kqubo
opolitiko	a/u/lu/politiko
ophuhliso	a/u/lu/phuhliso
noxanduva	na/u/lu/xanduva
neendlela	na/i/z/in/dlela
yenkcubeko	ya/i/n/kcubeko
noqoqosho	na/u/lu/qoqosho
beenkonzo	ba/i/z/in/konzo
zomsebenzi	za/u/m/sebenzi
novavanyo	na/u/lu/vavanyo
zomsebenzi	za/u/m/sebenzi
iinkokheli	i/z/in/kokheli
nomkhuseli	na/u/m/khuseli
necandelo	na/i/li/candelo
iithagethi	i/z/i/thagethi
zomsebenzi	za/u/m/sebenzi
ngobuchule	nga/u/bu/chule
bemithombo	ba/i/mi/thombo
sokwabiwa	sa/u/ku/ab/iw/a
beengingqi	ba/i/in/gingqi
kwamagunya	kwa/a/ma/gunya
ngobulumko	nga/u/bu/lumko
kokukhula	kwa/u/ku/khul/a
kophuhliso	kwa/u/phuhliso
leengxoxo	la/i/z/in/gxoxo
emisebenzi	a/i/mi/sebenzi
neziganeko	na/i/zi/ganeko
ngezidingo	nga/i/zi/dingo
kungenelo	ku/u/lu/ngenelo
zamaxabiso	za/a/ma/xabiso
kwabahlali	kwa/a/ba/hlali
kwezifundo	kwa/i/zi/fundo
yeekomiti	ya/i/z/i/komiti
kwimpumezo	ku/i/m/phumezo
kweenkonzo	kwa/i/in/konzo
ngosebenza	nga/o/sebenz/a
yenxaxheba	ya/i/n/xaxheba
yomndilili	ya/u/m/ndilili
namabhinqa	na/a/ma/bhinqa
ngezizathu	nga/i/zi/zathu
beenkonzo	ba/i/z/in/konzo
iinkxukacha	i/in/kcukacha
enoxanduva	e/na/u/xanduva
senxaxheba	sa/i/n/xaxheba
kuqoqosho	ku/u/lu/qoqosho
nemithetho	na/i/mi/thetho
kwesininzi	kwa/i/si/ninzi
neenkqubo	na/i/z/in/kqubo
nangeziphi	na/nga/ezi/phi
kweziphumo	kwa/i/zi/phumo
leengxoxo	la/i/z/in/gxoxo
leengxoxo	la/i/z/in/gxoxo
kweemfuno	kwa/i/z/im/funo
necandelo	na/i/li/candelo
kuqoqosho	ku/u/lu/qoqosho
yeemanyano	ya/i/i/manyano
kwipolitiki	ku/i/politiki
wethutyana	wa/i/thuba/ana
kweenkonzo	kwa/i/in/konzo
yeengingqi	ya/i/in/gingqi
ngesithili	nga/i/si/thili
kweendlela	kwa/i/in/dlela
kuhanjiswa	ku/hamb/is/w/a
zokunikwa	za/u/ku/nik/w/a
kweekomiti	kwa/i/i/komiti
iimbambano	i/z/in/bambano
abanovimba	aba/na/u/vimba
ngokukodwa	nga/oku/ko/dwa
ngamathuba	nga/a/ma/thuba
kwenqanam	kwa/i/li/nqanam
iingcebiso	i/z/in/gcebiso
neenjongo	na/i/z/in/jongo
esimmandla	esi/u/m/mandla
zeendibano	za/i/in/dibano
kubonelewa	ku/bonelel/w/a
somsebenzi	sa/u/m/sebenzi
kweembangi	kwa/i/in/bangi
ngeenjongo	nga/i/in/jongo
zakhuthaza	zi/a/khuthaz/a
iinkxalabo	i/z/in/kxalabo
weekomiti	wa/i/z/i/komiti
noqeqesho	na/u/lu/qeqesho
kwezifundo	kwa/i/zi/fundo
seenkonzo	sa/i/z/in/konzo
ngeminyaka	nga/i/mi/nyaka
kumanxweme	ku/a/ma/nxweme
kwisambuku	ku/i/si/ambuku
kumsebenzi	ku/u/m/sebenzi
lweenkonzo	lwa/i/in/konzo
kwezakhono	kwa/i/zi/khono
neekomiti	na/i/z/i/komiti
kwebhunga	kwa/i/li/bhunga
ngokwe-idp	nga/okwa/i/idp
abanolwimi	aba/na/u/lwimi
nenkcubeko	na/i/n/kcubeko
kwabahlali	kwa/a/ba/hlali
wesithathu	wa/i/si/thathu
kukwenziwa	ku/ku/enz/iw/a
neenkqubo	na/i/z/in/kqubo
yoqoqosho	ya/u/lu/qoqosho
neenkonzo	na/i/z/in/konzo
weenkonzo	wa/i/z/in/konzo
beenkonzo	ba/i/z/in/konzo
beenkonzo	ba/i/z/in/konzo
ngabubele	nga/u/bu/bubele
kwihlabathi	ku/i/hlabathi
beenkqubo	ba/i/z/in/kqubo
zemimiselo	za/i/mi/miselo
lwesininzi	lwa/i/si/ninzi
lwabafundi	lwa/a/ba/fundi
ukwahlulwa	u/ku/ahlul/w/a
ukongamela	u/ku/ongamel/a
ngokhanyo	nga/u/lu/khanyo
neyexesha	na/e/ya/i/xesha
kwengqesho	kwa/i/n/gqesho
kwihlabathi	ku/i/hlabathi
lemithetho	la/i/mi/thetho
ematankini	e/ma/tanki/ini
neekomiti	na/i/z/i/komiti
kweentloko	kwa/i/in/tloko
opolitiko	a/u/lu/politiko
siphunyezwa	si/phumez/w/a
noxanduva	na/u/lu/xanduva
kweenjongo	kwa/i/in/jongo
bezithuthi	ba/i/zi/thuthi
kweenkonzo	kwa/i/in/konzo
kuqoqosho	ku/u/lu/qoqosho
nomsebenzi	na/u/m/sebenzi
neengqiqo	na/i/z/in/gqiqo
lweemfuno	lwa/i/z/im/funo
lesithethe	la/i/si/thethe
kuqoqosho	ku/u/lu/qoqosho
ngokukodwa	nga/oku/ko/dwa
kwamashumi	kwa/a/ma/shumi
kuqoqosho	ku/u/lu/qoqosho
neenjongo	na/i/z/in/jongo
noxanduva	na/u/lu/xanduva
kwemibutho	kwa/i/mi/butho
kweziphumo	kwa/i/zi/phumo
ngesiphumo	nga/i/si/phumo
ngemicimbi	nga/i/mi/cimbi
sekwenziwe	se/ku/enz/iw/e
kwabahlali	kwa/a/ba/hlali
kusenokuba	ku/se/na/ukuba
ukwamkelwa	u/ku/amkel/w/a
noqoqosho	na/u/lu/qoqosho
zithunyelwa	zi/thumel/w/a
kumsebenzi	ku/u/m/sebenzi
ongezantsi	o/nga/e/zantsi
enyanisweni	e/nyaniso/ini
kwisambuku	ku/i/si/ambuku
neelwandle	na/i/i/lwandle
neenjongo	na/i/z/in/jongo
ahlukeneyo	a/ahlukan/e/yo
yeekomiti	ya/i/z/i/komiti
kwabahlali	kwa/a/ba/hlali
zeekomiti	za/i/z/i/komiti
ophuhliso	a/u/lu/phuhliso
yemimiselo	ya/i/mi/miselo
kwengqesho	kwa/i/n/gqesho
kwamathuba	kwa/a/ma/thuba
emisebenzi	a/i/mi/sebenzi
kuqoqosho	ku/u/lu/qoqosho
iingcebiso	i/z/in/gcebiso
ngokukodwa	nga/oku/ko/dwa
kwamathuba	kwa/a/ma/thuba
yeengcinga	ya/i/in/gcinga
ngeentlobo	nga/i/in/tlobo
iimpendulo	i/z/im/pendulo
lophuhliso	lwa/u/phuhliso
zoqoqosho	za/u/lu/qoqosho
njengemiba	njenga/i/mi/ba
njengemiba	njenga/i/mi/ba
kwemikhosi	kwa/i/mi/khosi
weentloko	wa/i/z/in/tloko
neenkqubo	na/i/z/in/kqubo
lwamalungu	lwa/a/ma/lungu
kwezigqibo	kwa/i/zi/gqibo
kweekholam	kwa/i/i/kholam
iimpendulo	i/z/im/pendulo
emaqeleni	e/a/ma/qela/ini
iimpendulo	i/z/im/pendulo
kuluncedo	ku/l/u/lu/ncedo
kuqeqesho	ku/u/lu/qeqesho
zenxaxheba	za/i/n/xaxheba
nenxaxheba	na/i/n/xaxheba
iinkampani	i/z/in/kampani
kuqoqosho	ku/u/lu/qoqosho
kwezakhono	kwa/i/zi/khono
noxanduva	na/u/lu/xanduva
zomsebenzi	za/u/m/sebenzi
somsebenzi	sa/u/m/sebenzi
yeenkonzo	ya/i/z/in/konzo
ngokukodwa	nga/oku/ko/dwa
iinkcubeko	i/z/in/kcubeko
neentlanga	na/i/in/tlanga
kungamkela	ku/nga/amkel/a
lungakwazi	lu/nga/ku/az/i
kweenjongo	kwa/i/in/jongo
zesithuthi	za/i/si/thuthi
kuphunyezwa	ku/phumez/w/a
kusenokuba	ku/se/na/ukuba
kusenokuba	ku/se/na/ukuba
lomsebenzi	la/u/m/sebenzi
zokusekwa	za/u/ku/sek/w/a
kweekomiti	kwa/i/i/komiti
neenkonzo	na/i/z/in/konzo
kwesithuba	kwa/i/si/thuba
ukwahlulwa	u/ku/ahlul/w/a
kwesithuba	kwa/i/si/thuba
kweemfuno	kwa/i/z/im/funo
kwihlabathi	ku/i/hlabathi
kuluncedo	ku/l/u/lu/ncedo
neekomiti	na/i/z/i/komiti
leengxoxo	la/i/z/in/gxoxo
ongezantsi	o/nga/e/zantsi
ahlukeneyo	a/ahlukan/e/yo
neenkonzo	na/i/z/in/konzo
nomsebenzi	na/u/m/sebenzi
iinkokheli	i/z/in/kokheli
kumaqumrhu	ku/a/ma/qumrhu
lweekomiti	lwa/i/i/komiti
kweekomiti	kwa/i/i/komiti
lweenkqubo	lwa/i/in/kqubo
njengowona	njenga/o/wo/na
neenkqubo	na/i/z/in/kqubo
yeekomiti	ya/i/z/i/komiti
kwezigqibo	kwa/i/zi/gqibo
nokubekwa	na/u/ku/bek/w/a
novavanyo	na/u/lu/vavanyo
nomsebenzi	na/u/m/sebenzi
neenkqubo	na/i/z/in/kqubo
nezenziwe	na/ezi/enz/iw/e
kokungena	kwa/u/ku/ngen/a
kwiphungulo	ku/i/phungulo
kumsebenzi	ku/u/m/sebenzi
zomsebenzi	za/u/m/sebenzi
kwishishini	ku/i/shishini
lwengingqi	lwa/i/n/gingqi
ngeengxaki	nga/i/in/gxaki
kweziphumo	kwa/i/zi/phumo
nenxaxheba	na/i/n/xaxheba
zenxaxheba	za/i/n/xaxheba
kwabahlali	kwa/a/ba/hlali
neenkqubo	na/i/z/in/kqubo
uyazazisa	u/ya/zi/az/is/a
wokusoloko	wa/u/ku/soloko
ngeenjongo	nga/i/in/jongo
anoxanduva	a/na/u/xanduva
wamaxwebhu	wa/a/ma/xwebhu
neenkqubo	na/i/z/in/kqubo
iithagethi	i/z/i/thagethi
iithagethi	i/z/i/thagethi
beenkonzo	ba/i/z/in/konzo
lwemingeni	lwa/i/mi/ngeni
lweenkonzo	lwa/i/in/konzo
esikhundla	a/i/si/khundla
anoxanduva	a/na/u/xanduva
neekomiti	na/i/z/i/komiti
weenkonzo	wa/i/z/in/konzo
neendleko	na/i/z/in/dleko
beenkonzo	ba/i/z/in/konzo
yokusekwa	ya/u/ku/sek/w/a
kweekomiti	kwa/i/i/komiti
neenkqubo	na/i/z/in/kqubo
novavanyo	na/u/lu/vavanyo
lweenkonzo	lwa/i/in/konzo
ngezihloko	nga/i/zi/hloko
kwezixhobo	kwa/i/zi/xhobo
kweziphumo	kwa/i/zi/phumo
necandelo	na/i/li/candelo
nabalawuli	na/a/ba/lawuli
neengcali	na/i/z/in/gcali
ezikhutshwa	ezi/khuph/w/a
ngokukodwa	nga/oku/ko/dwa
kunefuthe	kuna/i/li/futhe
ngokukodwa	nga/oku/ko/dwa
weengingqi	wa/i/in/gingqi
yeenkonzo	ya/i/z/in/konzo
weengingqi	wa/i/in/gingqi
kweenkonzo	kwa/i/in/konzo
nenxaxheba	na/i/n/xaxheba
ngeenjongo	nga/i/in/jongo
ethubeni	e/i/li/thuba/ini
lwamaxesha	lwa/a/ma/xesha
kokukhula	kwa/u/ku/khul/a
ngokukodwa	nga/oku/ko/dwa
kwamakhulu	kwa/a/ma/khulu
nase-indiya	na/s/e/indiya
ngeentetha	nga/i/in/tetha
nobuhlanga	na/u/bu/hlanga
bamabhinqa	ba/a/ma/bhinqa
kumabhinqa	ku/a/ma/bhinqa
kwesithuba	kwa/i/si/thuba
unoxanduva	u/na/u/xanduva
ngezidingo	nga/i/zi/dingo
yokusekwa	ya/u/ku/sek/w/a
kweekomiti	kwa/i/i/komiti
ngeendlela	nga/i/in/dlela
kubalawuli	ku/a/ba/lawuli
neenkokeli	na/i/in/kokeli
nakwiqela	na/ku/i/li/qela
kwezigqibo	kwa/i/zi/gqibo
abakwaziyo	aba/ku/az/i/yo
ngeendlela	nga/i/in/dlela
lweenkonzo	lwa/i/in/konzo
ngamanqaku	nga/a/ma/nqaku
needolophu	na/i/i/dolophu
yeedolophu	ya/i/i/dolophu
ngabahlali	nga/a/ba/hlali
kweminyaka	kwa/i/mi/nyaka
wokutyisa	wa/u/ku/ty/is/a
neenkqubo	na/i/z/in/kqubo
yesipolisa	ya/i/si/polisa
kubupolisa	ku/u/bu/polisa
kuhanjelwa	ku/hamb/el/w/a
kumapolisa	ku/a/ma/polisa
ngentsimbi	nga/i/n/tsimbi
ngorhatya	nga/u/lu/rhatya
iimpendulo	i/z/im/pendulo
neekomiti	na/i/z/i/komiti
neekomiti	na/i/z/i/komiti
lweenkonzo	lwa/i/in/konzo
lweenkonzo	lwa/i/in/konzo
ngeziphumo	nga/i/zi/phumo
elikwaziyo	eli/ku/az/i/yo
zomsebenzi	za/u/m/sebenzi
iintlawulo	i/z/in/tlawulo
kweenkonzo	kwa/i/in/konzo
yecandelo	ya/i/li/candelo
yecandelo	ya/i/li/candelo
lokugcina	lwa/u/ku/gcin/a
iinkokheli	i/z/in/kokheli
iinkokheli	i/z/in/kokheli
zoqoqosho	za/u/lu/qoqosho
unekratshi	u/na/i/kratshi
womsebenzi	wa/u/m/sebenzi
banegalelo	ba/na/i/galelo
nelungelo	na/i/li/lungelo
ngeentlobo	nga/i/in/tlobo
ngamathuba	nga/a/ma/thuba
ngegalelo	nga/i/li/galelo
novavanyo	na/u/lu/vavanyo
somsebenzi	sa/u/m/sebenzi
yohlaziyo	ya/u/lu/hlaziyo
kwabahlali	kwa/a/ba/hlali
zeepatheni	za/i/i/patheni
benxaxheba	ba/i/n/xaxheba
kwabahlali	kwa/a/ba/hlali
nelabucala	na/e/la/bucala
kwengontsi	kwa/i/n/gontsi
anengeniso	a/na/i/ngeniso
ngobuninzi	nga/u/bu/ninzi
unesaziso	u/na/i/si/aziso
yeenjongo	ya/i/z/in/jongo
lweenkonzo	lwa/i/in/konzo
ngeendlela	nga/i/in/dlela
yoqoqosho	ya/u/lu/qoqosho
lemithombo	la/i/mi/thombo
nenkqubela	na/i/n/kqubela
yoqeqesho	ya/u/lu/qeqesho
yomsebenzi	ya/u/m/sebenzi
zemimandla	za/i/mi/mandla
kopolitiko	kwa/u/politiko
loqoqosho	la/u/lu/qoqosho
iishedyuli	i/z/i/shedyuli
zeendleko	za/i/z/in/dleko
kokuhamba	kwa/u/ku/hamb/a
kwemihlaba	kwa/i/mi/hlaba
ezoqoqosho	e/za/u/qoqosho
ongezantsi	o/nga/e/zantsi
noxanduva	na/u/lu/xanduva
novavanyo	na/u/lu/vavanyo
engezantsi	e/nga/e/zantsi
noxanduva	na/u/lu/xanduva
yeenkonzo	ya/i/z/in/konzo
lwengingqi	lwa/i/n/gingqi
lweenjongo	lwa/i/in/jongo
ngeenzuzo	nga/i/z/in/zuzo
kweebhloko	kwa/i/i/bhloko
iingcebiso	i/z/in/gcebiso
yoqoqosho	ya/u/lu/qoqosho
zeziganeko	za/i/zi/ganeko
iinkcazelo	i/z/in/kcazelo
seempahla	sa/i/z/im/pahla
iingcebiso	i/z/in/gcebiso
konikezelo	kwa/u/nikezelo
enengeniso	e/na/i/ngeniso
nabaqeshwa	na/a/ba/qeshwa
yomsebenzi	ya/u/m/sebenzi
ngomthetho	nga/u/m/thetho
womsebenzi	wa/u/m/sebenzi
yomsebenzi	ya/u/m/sebenzi
ngabahlali	nga/a/ba/hlali
neenkqubo	na/i/z/in/kqubo
neengingqi	na/i/in/gingqi
nentlawulo	na/i/n/tlawulo
lomsebenzi	la/u/m/sebenzi
lonikezelo	lwa/u/nikezelo
lweenkonzo	lwa/i/in/konzo
lweenkonzo	lwa/i/in/konzo
lweenkonzo	lwa/i/in/konzo
lweenkonzo	lwa/i/in/konzo
onikezelo	a/u/lu/nikezelo
lweenkonzo	lwa/i/in/konzo
zisaziswa	zi/sa/az/is/w/a
lweenkonzo	lwa/i/in/konzo
lwezakhono	lwa/i/zi/khono
kwezakhono	kwa/i/zi/khono
zokukwazi	za/u/ku/ku/az/i
neengxaki	na/i/z/in/gxaki
ezinozinzo	ezi/na/u/zinzo
kwezakhono	kwa/i/zi/khono
ngeendlela	nga/i/in/dlela
unokwenza	u/na/u/ku/enz/a
zoqeqesho	za/u/lu/qeqesho
ngesixhobo	nga/i/si/xhobo
iimpendulo	i/z/im/pendulo
zokhuselo	za/u/lu/khuselo
lwezolimo	lwa/e/za/u/limo
weengingqi	wa/i/in/gingqi
kwengqesho	kwa/i/n/gqesho
nokususwa	na/u/ku/sus/w/a
kwemveliso	kwa/i/m/veliso
iingcebiso	i/z/in/gcebiso
nenxaxheba	na/i/n/xaxheba
zeengxoxo	za/i/z/in/gxoxo
ziluncedo	zi/l/u/lu/ncedo
kwezigqibo	kwa/i/zi/gqibo
yeengxoxo	ya/i/z/in/gxoxo
novavanyo	na/u/lu/vavanyo
nokusekwa	na/u/ku/sek/w/a
kweendlela	kwa/i/in/dlela
neendlela	na/i/z/in/dlela
nolwamkelo	na/u/lu/amkelo
yokwazisa	ya/u/ku/az/is/a
lwengingqi	lwa/i/n/gingqi
lweenkonzo	lwa/i/in/konzo
neenkonzo	na/i/z/in/konzo
yeenkqubo	ya/i/z/in/kqubo
neenkqubo	na/i/z/in/kqubo
kwisahluko	ku/i/si/ahluko
lweenkonzo	lwa/i/in/konzo
neenkqubo	na/i/z/in/kqubo
lweenkonzo	lwa/i/in/konzo
kumaqumrhu	ku/a/ma/qumrhu
nokunikwa	na/u/ku/nik/w/a
kweenkonzo	kwa/i/in/konzo
yemithetho	ya/i/mi/thetho
ngezigqibo	nga/i/zi/gqibo
zeenkonzo	za/i/z/in/konzo
lweenkonzo	lwa/i/in/konzo
beenkonzo	ba/i/z/in/konzo
novelwano	na/u/lu/velwano
kunokufuna	ku/na/ku/fun/a
ngeenkonzo	nga/i/in/konzo
kwezakhono	kwa/i/zi/khono
nakunxweme	na/ku/u/nxweme
zezitalato	za/i/zi/talato
kumsebenzi	ku/u/m/sebenzi
ngamaqondo	nga/a/ma/qondo
obuhlwempu	a/u/bu/hlwempu
lwengqesho	lwa/i/n/gqesho
neenkonzo	na/i/z/in/konzo
iingcebiso	i/z/in/gcebiso
nomsebenzi	na/u/m/sebenzi
lophuhliso	lwa/u/phuhliso
bamaphondo	ba/a/ma/phondo
zabaphathi	za/a/ba/phathi
iiklinikhi	i/z/i/klinikhi
lweenkonzo	lwa/i/in/konzo
iinkokheli	i/z/in/kokheli
ngeendidi	nga/i/z/in/didi
kwengqesho	kwa/i/n/gqesho
neenkonzo	na/i/z/in/konzo
neengeniso	na/i/i/ngeniso
beekomiti	ba/i/z/i/komiti
leengxoxo	la/i/z/in/gxoxo
kwezigqibo	kwa/i/zi/gqibo
kwabahlali	kwa/a/ba/hlali
namaxabiso	na/a/ma/xabiso
nokubekwa	na/u/ku/bek/w/a
kumaphepha	ku/a/ma/phepha
okubonisa	a/u/ku/bon/is/a
neenkqubo	na/i/z/in/kqubo
leengxoxo	la/i/z/in/gxoxo
iithagethi	i/z/i/thagethi
kwimpumezo	ku/i/m/phumezo
ngobuchule	nga/u/bu/chule
ngesithuba	nga/i/si/thuba
kweenkonzo	kwa/i/in/konzo
kwezithuba	kwa/i/zi/thuba
i-inshorensi	i/inshorensi
kweendleko	kwa/i/in/dleko
ngeendlela	nga/i/in/dlela
ngokukodwa	nga/oku/ko/dwa
lusenokuba	lu/se/na/ukuba
zemvelaphi	za/i/m/velaphi
kwabahlali	kwa/a/ba/hlali
beenkonzo	ba/i/z/in/konzo
neengcambu	na/i/in/gcambu
kophuhliso	kwa/u/phuhliso
neenkundla	na/i/in/kundla
lweefowuni	lwa/i/i/fowuni
lweenkonzo	lwa/i/in/konzo
yokucocwa	ya/u/ku/coc/w/a
ngeendlela	nga/i/in/dlela
ngesiphumo	nga/i/si/phumo
kwezigqibo	kwa/i/zi/gqibo
nezimiselo	na/i/zi/miselo
kweenkalo	kwa/i/z/in/kalo
kuqoqosho	ku/u/lu/qoqosho
ongezantsi	o/nga/e/zantsi
beenkonzo	ba/i/z/in/konzo
kwabahlali	kwa/a/ba/hlali
lweenkonzo	lwa/i/in/konzo
iimpendulo	i/z/im/pendulo
emaqeleni	e/a/ma/qela/ini
ngeenjongo	nga/i/in/jongo
ngeentlobo	nga/i/in/tlobo
ngeekomiti	nga/i/i/komiti
kweziphumo	kwa/i/zi/phumo
neengqiqo	na/i/z/in/gqiqo
zomsebenzi	za/u/m/sebenzi
iimpendulo	i/z/im/pendulo
yomsebenzi	ya/u/m/sebenzi
nenqanaba	na/i/li/nqanaba
ngeminyaka	nga/i/mi/nyaka
iimpendulo	i/z/im/pendulo
noxanduva	na/u/lu/xanduva
lwesiphumo	lwa/i/si/phumo
lengcaciso	la/i/n/gcaciso
