ngokwamabakala	nga/okwa/a/ma/bakala
nokuvunyelwana	na/u/ku/vum/el/w/an/a
uthetha-thethwano	u/thetha/thethwano
kwisixokelelwano	ku/i/si/xokelelwano
nasekuhleleni	na/s/e/u/ku/hlel/a/ini
yokubonakalisa	ya/u/ku/bon/akal/is/a
ngokuhambelana	nga/u/ku/hamb/el/an/a
iintlobo-ntlobo	i/z/in/tlobo/n/tlobo
kwiiyunivesithi	ku/i/z/i/yunivesithi
kwiiyunivesithi	ku/i/z/i/yunivesithi
sinokuhlaziywa	si/na/u/ku/hlaziy/w/a
kunokuphuculwa	ku/na/u/ku/phucul/w/a
eempepha-mvume	a/i/z/im/pepha/m/vume
lokungahlulwa	lwa/u/ku/nga/ahlul/w/a
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
entlanganisweni	e/i/n/tlanganiso/ini
entlanganisweni	e/i/n/tlanganiso/ini
nokulinganisela	na/u/ku/linganisel/a
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
imithetho-siseko	i/mi/thetho/si/seko
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
kwisixokelelwano	ku/i/si/xokelelwano
banengqwalasela	ba/na/i/n/gqwalasela
yezitsala-manzi	ya/i/zi/tsala/ma/nzi
okulungeleleneyo	oku/lungelelan/e/yo
ngokuhambelana	nga/u/ku/hamb/el/an/a
zokuzithandisa	za/u/ku/zi/thand/is/a
oluseluxolweni	olu/s/e/u/lu/xolo/ini
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
abezopolitiko	aba/e/za/u/lu/politiko
lokuqinisekisa	lwa/u/ku/qinisek/is/a
kwizixokelelwano	ku/i/zi/xokelelwano
ezinempembelelo	ezi/na/i/m/pembelelo
nesibandakanywe	na/esi/bandakany/w/e
zowiso-mthetho	za/u/lu/wiso/m/thetho
ngokwezelizwe	nga/okwa/e/za/i/li/zwe
kusenokufuneka	ku/se/na/u/ku/funek/a
nezokubuyiswa	na/e/za/u/ku/buyis/w/a
ngokwedemokrasi	nga/okwa/i/demokrasi
wasekuhlaleni	wa/s/e/u/ku/hlal/a/ini
oluneenkcukacha	olu/na/i/in/kcukacha
ekusombululeni	e/u/ku/sombulul/a/ini
ngokokubaluleka	nga/oko/ku/balulek/a
kwiiyunivesithi	ku/i/z/i/yunivesithi
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
nenokubangela	na/e/na/u/ku/bang/el/a
anobukrelekrele	a/na/u/bu/krelekrele
kwezenzululwazi	kwa/e/za/n/zululwazi
yoqhagamshelwano	ya/u/qhagamshelwano
ngokwedemokrasi	nga/okwa/i/demokrasi
asinampumelelo	a/si/na/i/m/phumelelo
nokunqongophala	na/u/ku/nqongophal/a
ekuqwalaseleni	e/u/ku/qwalasel/a/ini
nemigaqo-nkqubo	na/i/mi/gaqo/n/kqubo
yokuvandlakanya	ya/u/ku/vandlakany/a
anobuntununtunu	a/na/u/bu/ntununtunu
ngokungalingani	nga/oku/nga/lingan/i
lweenzululwazi	lwa/i/z/in/nzululwazi
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
ekuqwalaseleni	e/u/ku/qwalasel/a/ini
ekufezekisweni	e/u/ku/fezek/is/a/ini
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
unokusebenzisa	u/na/u/ku/sebenz/is/a
kokungalingani	kwa/u/ku/nga/lingan/i
ekutshintsheni	e/u/ku/tshintsh/a/ini
kusenokufuneka	ku/se/na/u/ku/funek/a
owamkelekileyo	o/wa/amkel/ek/il/e/yo
ekusombululeni	e/u/ku/sombulul/a/ini
lasekuhlaleni	la/s/e/u/ku/hlal/a/ini
kusenokufuneka	ku/se/na/u/ku/funek/a
weedolophukazi	wa/i/z/i/dolophu/kazi
kwiingxowa-mali	ku/i/z/in/gxowa/mali
ngokuphathelene	nga/oku/phathel/en/e
elinjengombutho	eli/njenga/u/m/butho
kwiintlanganiso	ku/i/z/in/tlanganiso
ekucwangciseni	e/u/ku/cwangcis/a/ini
esinokubanceda	esi/na/u/ku/ba/nced/a
nobezoqoqosho	na/obu/za/u/lu/qoqosho
ekuphelisweni	e/u/ku/phel/is/w/a/ini
olunemphumelelo	olu/na/i/m/phumelelo
ezaziphembelela	ezi/a/zi/phembelel/a
ngokwedemokrasi	nga/okwa/i/demokrasi
basekuhlaleni	ba/s/e/u/ku/hlal/a/ini
ngokuhambisana	nga/u/ku/hamb/is/an/a
ezinokuzinceda	ezi/na/u/ku/zi/nced/a
entlanganisweni	e/i/n/tlanganiso/ini
entlanganisweni	e/i/n/tlanganiso/ini
entlanganisweni	e/i/n/tlanganiso/ini
imithetho-siseko	i/mi/thetho/si/seko
lokuqinisekisa	lwa/u/ku/qinisek/is/a
zoqhagamshelwano	za/u/qhagamshelwano
yangowama-2009	ya/nga/o/wa/a/ma/2009
ekuqwalaseleni	e/u/ku/qwalasel/a/ini
ngokuhambelana	nga/u/ku/hamb/el/an/a
ngamagcuntswana	nga/a/ma/gcuntsu/ana
anonaniselwano	a/na/u/lu/naniselwano
langowama-2008	la/nga/o/wa/a/ma/2008
yokunqongophala	ya/u/ku/nqongophal/a
soqhagamshelwano	sa/u/qhagamshelwano
kwemizi-mveliso	kwa/i/mi/zi/m/veliso
nangokwendlela	na/nga/okwa/i/n/dlela
imithetho-siseko	i/mi/thetho/si/seko
imithetho-siseko	i/mi/thetho/si/seko
imithetho-siseko	i/mi/thetho/si/seko
komhlalaphantsi	kwa/u/m/hlalaphantsi
komhlalaphantsi	kwa/u/m/hlalaphantsi
wokuzithandela	wa/u/ku/zi/thand/el/a
esineenkcukacha	esi/na/i/in/kcukacha
ingabula-zigcawu	i/n/gabula/zi/gcawu
kwiintlanganiso	ku/i/z/in/tlanganiso
imithetho-siseko	i/mi/thetho/si/seko
kwiiyantlukwano	ku/i/z/i/yantlukwano
nolwahlukenenyo	na/olu/ahlukan/an/yo
ekuphumeleleni	e/u/ku/phumelel/a/ini
olungathatyathwa	olu/nga/thabath/w/a
olunjengeepaka	olu/njenga/i/z/i/paka
uthetha-thethwano	u/thetha/thethwano
lokujikelezisa	lwa/u/ku/jikelez/is/a
ngokuhlangeneyo	nga/oku/hlangan/e/yo
kwiintlanganiso	ku/i/z/in/tlanganiso
ngemisetyenzana	nge/i/mi/sebenzi/ana
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
nangeenkxalabo	na/nga/i/z/in/kxalabo
nokunxibelelana	na/u/ku/nxibelelan/a
imithetho-siseko	i/mi/thetho/si/seko
lokuqwalaselwa	lwa/u/ku/qwalasel/w/a
lunokufinyezwa	lu/na/u/ku/finyez/w/a
imithetho-siseko	i/mi/thetho/si/seko
nowangaphambili	na/o/wa/nga/phambili
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
imithetho-siseko	i/mi/thetho/si/seko
imithetho-siseko	i/mi/thetho/si/seko
ngokokubaluleka	nga/oko/ku/balulek/a
nokuthakazelela	na/u/ku/thakazelel/a
ekusombululeni	e/u/ku/sombulul/a/ini
kwiingxowa-mali	ku/i/z/in/gxowa/mali
entlanganisweni	e/i/n/tlanganiso/ini
ekuqwalaseleni	e/u/ku/qwalasel/a/ini
ngokokubaluleka	nga/oko/ku/balulek/a
nakwiyantlukwano	na/ku/i/yantlukwano
konxibelelwano	kwa/u/lu/nxibelelwano
nangokwentlalo	na/nga/okwa/i/n/tlalo
nokungaphathwa	na/u/ku/nga/phath/w/a
ingabula-zigcawu	i/n/gabula/zi/gcawu
nokubanombono	na/u/ku/ba/na/u/m/bono
kokungalingani	kwa/u/ku/nga/lingan/i
entlanganisweni	e/i/n/tlanganiso/ini
ezingoshishino	ezi/nga/u/lu/shishino
kwiintlanganiso	ku/i/z/in/tlanganiso
uthetha-thethwano	u/thetha/thethwano
zisenokuyenza	zi/se/na/u/ku/yi/enz/a
nekuvunyelwene	na/e/ku/vum/el/w/en/e
kwiintlanganiso	ku/i/z/in/tlanganiso
kwiintlanganiso	ku/i/z/in/tlanganiso
kwiintlanganiso	ku/i/z/in/tlanganiso
lwangowama-2010	lwa/nga/o/wa/ma/2010
kwizixokelelwano	ku/i/zi/xokelelwano
lokuqwalaselwa	lwa/u/ku/qwalasel/w/a
ekucwangciseni	e/u/ku/cwangcis/a/ini
esigqityezelwayo	esi/gqibezel/w/a/yo
linokuyichitha	li/na/u/ku/yi/chith/a
kunokuphuculwa	ku/na/u/ku/phucul/w/a
ekubonisaneni	e/u/ku/bon/is/an/a/ini
olunjengeebhanki	olu/njenga/i/bhanki
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
seyingasenguwo	se/yi/nga/se/i/ngu/wo
nokuvandlakanya	na/u/ku/vandlakany/a
olwamkelekileyo	olu/amkel/ek/il/e/yo
olwalunenjongo	olu/a/lu/na/i/n/jongo
kusenokufuneka	ku/se/na/u/ku/funek/a
imithetho-siseko	i/mi/thetho/si/seko
imithetho-siseko	i/mi/thetho/si/seko
ekufezekisweni	e/u/ku/fezek/is/a/ini
lasekuhlaleni	la/s/e/u/ku/hlal/a/ini
lusemthethweni	lu/s/e/u/m/thetho/ini
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
kwiiyantlukwano	ku/i/z/i/yantlukwano
kwiiyantlukwano	ku/i/z/i/yantlukwano
nowiso-mthetho	na/u/lu/wiso/m/thetho
kuhlangatyezwane	ku/hlangabez/w/an/e
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
kwisixokelelwano	ku/i/si/xokelelwano
ngokokubaluleka	nga/oko/ku/balulek/a
nokuyigqithisa	na/u/ku/yi/gqith/is/a
wasekuhlaleni	wa/s/e/u/ku/hlal/a/ini
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
wasekuhlaleni	wa/s/e/u/ku/hlal/a/ini
zoqhagamshelwano	za/u/qhagamshelwano
ekungeneleleni	e/u/ku/ngenelel/a/ini
lokuqinisekisa	lwa/u/ku/qinisek/is/a
neyezincedisi	na/e/ya/i/zi/nced/is/i
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
ekusombululeni	e/u/ku/sombulul/a/ini
ekufezekisweni	e/u/ku/fezek/is/a/ini
zisenokuguquka	zi/se/na/u/ku/guquk/a
lokuqinisekisa	lwa/u/ku/qinisek/is/a
ngokokubaluleka	nga/oko/ku/balulek/a
yasemthethweni	ya/s/e/u/m/thetho/ini
ngokuhambelana	nga/u/ku/hamb/el/an/a
zoqhagamshelwano	za/u/qhagamshelwano
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
ekucwangciseni	e/u/ku/cwangcis/a/ini
nokuvandlakanya	na/u/ku/vandlakany/a
esigqityezelweyo	esi/gqibezel/w/e/yo
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
nowiso-mthetho	na/u/lu/wiso/m/thetho
nowiso-mthetho	na/u/lu/wiso/m/thetho
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
nawezopolitiko	na/wa/e/za/u/politiko
ngokwamalungelo	nga/okw/a/ma/lungelo
kwiintlanganiso	ku/i/z/in/tlanganiso
ekusombululeni	e/u/ku/sombulul/a/ini
ngokuchaphazela	nga/u/ku/chaphazel/a
imithetho-siseko	i/mi/thetho/si/seko
wasekuhlaleni	wa/s/e/u/ku/hlal/a/ini
ngokweenxalenye	nga/okwa/i/n/xalenye
kolwangaphandle	ku/o/lwa/nga/phandle
nokuvandlakanya	na/u/ku/vandlakany/a
esineenkcukacha	esi/na/i/in/kcukacha
imithetho-siseko	i/mi/thetho/si/seko
sokuvandlakanya	sa/u/ku/vandlakany/a
eyamkelekileyo	e/ya/amkel/ek/il/e/yo
iimvavanyo-zimvo	i/im/vavanyo/zim/vo
olunempembelelo	olu/na/i/m/pembelelo
nokunqongophala	na/u/ku/nqongophal/a
nethembekileyo	na/e/themb/ek/il/e/yo
lasekuhlaleni	la/s/e/u/ku/hlal/a/ini
neyezopolitiko	na/e/ya/za/u/politiko
nasekufunzeni	na/s/e/u/ku/funz/a/ini
entlanganisweni	e/i/n/tlanganiso/ini
lasekuhlaleni	la/s/e/u/ku/hlal/a/ini
ekusombululeni	e/u/ku/sombulul/a/ini
wowiso-mthetho	wa/u/lu/wiso/m/thetho
yowiso-mthetho	ya/u/lu/wiso/m/thetho
bokunxibelelana	ba/u/ku/nxibelelan/a
ezithatyathiweyo	ezi/thabath/iw/e/yo
zokulungiselela	za/u/ku/lungiselel/a
yokunqongophala	ya/u/ku/nqongophal/a
nokunqongophala	na/u/ku/nqongophal/a
nokuqosheliswa	na/u/ku/qoshel/is/w/a
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
yokulinganisela	ya/u/ku/linganis/el/a
ngokwemfaneleko	nga/okwa/i/m/faneleko
esemaphandleni	e/s/e/a/ma/phandle/ini
basezidolophini	ba/s/e/zi/dolophu/ini
nesetyenziselwa	na/e/sebenz/is/el/w/a
zasetyenziselwa	zi/a/sebenz/is/el/w/a
ukwaneenkampani	u/kwa/na/i/in/kampani
kowiso-mthetho	kwa/u/lu/wiso/m/thetho
laselihlawulwe	l/i/a/se/li/hlawul/w/e
nentsebenziswano	na/i/n/tsebenziswano
ekusebenziseni	e/u/ku/sebenz/is/a/ini
nokuphononongwa	na/u/ku/phononong/w/a
nakwizicwangciso	na/ku/i/zi/cwangciso
zokuphononongwa	za/u/ku/phononong/w/a
kwesixokelelwano	kwa/i/si/xokelelwano
enokufezekiswa	e/na/u/ku/fezek/is/w/a
njengokungafani	njenga/u/ku/nga/fan/i
lwesixokelelwano	lwa/i/si/xokelelwano
ekunikezelweni	e/u/ku/nikezel/w/a/ini
ngokuwunikezela	nga/u/ku/wu/nikezel/a
elingenamkhethe	eli/nge/na/u/m/khethe
ngokubonakalayo	nga/oku/bon/akal/a/yo
inganesikhululo	i/nga/na/i/si/khululo
lokulahlekelwa	lwa/u/ku/lahlek/el/w/a
abanokufunyanwa	aba/na/u/ku/fuman/w/a
sinokuphunyezwa	si/na/u/ku/phumez/w/a
yokutshintshela	ya/u/ku/tshintsh/el/a
kowiso-mthetho	kwa/u/lu/wiso/m/thetho
nokuthomalalisa	na/u/ku/thomalal/is/a
abasemagunyeni	aba/s/e/a/ma/gunya/ini
ukunyityilikiswa	u/ku/nyibilik/is/w/a
zingasetyenziswa	zi/nga/sebenz/is/w/a
kusenokwenzeka	ku/se/na/u/ku/enz/ek/a
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
nezokunikezela	na/e/za/u/ku/nikezel/a
lasekuhlaleni	lwa/s/e/u/ku/hlal/a/ini
ngokubonakalayo	nga/oku/bon/akal/a/yo
necekethekileyo	na/e/cekethek/il/e/yo
kwemilinganiselo	kwa/i/mi/linganiselo
kusenokwenzeka	ku/se/na/u/ku/enz/ek/a
ngokungqalileyo	nga/oku/ngqal/il/e/yo
kweemathiriyeli	kwa/i/z/i/mathiriyeli
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
ngeengxowa-mali	nga/i/z/in/gxowa/mali
nangokuphendula	na/nga/u/ku/phendul/a
ngamalungiselelo	nga/a/ma/lungiselelo
awunakumelana	a/wu/na/u/ku/vumel/an/a
lukwabanegalelo	lu/kwa/ba/na/i/galelo
kudliwano-ndlebe	ku/u/dliwano/n/dlebe
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
lunokunxulumana	lu/na/u/ku/nxuluman/a
wesishwankathelo	wa/i/si/shwankathelo
namava-ngamava	na/a/ma/va/nga/a/ma/va
ukunxulunyaniswa	u/ku/nxuluman/is/w/a
abanempembelelo	aba/na/i/n/phembelelo
ngokungqalileyo	nga/oku/ngqal/il/e/yo
lokusetyenziswa	la/u/ku/sebenz/is/w/a
umdlalo-linganiso	u/m/dlalo/linganiso
umdlalo-linganiso	u/m/dlalo/linganiso
nokunobangela	na/oku/na/u/ku/bangel/a
neyolungiselelo	na/e/ya/u/lungiselelo
ziluthungelwano	zi/l/u/lu/thungelwano
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
lweeyantlukwano	lwa/i/z/i/yantlukwano
busenokucuthwa	bu/se/na/u/ku/cuth/w/a
yeziphathamandla	ya/i/zi/phathamandla
kwesixokelelwano	kwa/i/si/xokelelwano
bekwanoxanduva	be/kwa/na/u/lu/xanduva
nokwananiselana	na/u/ku/ananisel/an/a
ngokuqinisekisa	nga/u/ku/qinisek/is/a
njengezinikezela	njenga/ezi/nikezel/a
ilulwahlulelwano	i/l/u/lu/ahlulelwano
nentsebenziswano	na/i/n/tsebenziswano
bentsebenziswano	ba/i/n/tsebenziswano
asenokuchongwa	a/se/na/u/ku/chong/w/a
lokusetyenziswa	la/u/ku/sebenz/is/w/a
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
ezinokufikelela	ezi/na/u/ku/fikelel/a
ngokuvunyelwene	nga/oku/vum/el/w/en/e
nakwizisombululo	na/ku/i/zi/sombululo
oluyimpumelelo	olu/y/i/z/im/phumelelo
kudliwano-ndlebe	ku/u/dliwano/n/dlebe
wodliwano-ndlebe	wa/u/dliwano/n/dlebe
yokuziqhelanisa	ya/u/ku/zi/qhelanis/a
silulwahlulelano	si/l/u/lu/ahlulelano
nokusetyenziswa	na/u/ku/sebenz/is/w/a
ngokubonakalayo	nga/oku/bon/akal/a/yo
