ekucabangeni	e/ku/cabang/a/ini
ekwenziweni	e/u/ku/enz/iw/a/ini
ekulawulweni	e/ku/lawul/w/a/ini
lezinsizakalo	le/i/zin/sizakalo
bezinsizakalo	ba/i/zin/sizakalo
nokunciphisa	na/u/ku/nciph/is/a
nokunciphisa	na/u/ku/nciph/is/a
nokungezwani	no/ku/nge/zw/a/ini
nasemhlabeni	na/s/e/m/hlaba/ini
njengezikhungo	njenga/zi/khungo
zezejiyoloji	za/i/za/i/jiyoloji
ekukhuliseni	e/ku/khul/is/a/ini
nezokuxhumana	na/zo/ku/xhuman/a
nokukhombisa	na/u/ku/khomb/is/a
namabhizinisi	na/a/ma/bhizinisi
ngokuxhumana	nga/u/ku/xhum/an/a
nezinhlangano	na/i/zin/hlangano
njengezindaba	njenga/i/zin/daba
njengezindaba	njenga/i/zin/daba
lusetshenziswe	lu/sebenz/is/w/e
emisebenzini	e/i/mi/sebenzi/ini
esemthethweni	e/se/m/thetho/ini
kwemiphakathi	kwa/i/mi/phakathi
neziphakamiso	ne/i/zi/phakamiso
njengamalungu	njenga/a/ma/lungu
ngokuphathwa	nga/u/ku/phath/w/a
yezinsizakalo	ya/i/zin/sizakalo
lezentengiso	la/i/za/i/ntengiso
ziyahlonishwa	zi/ya/hloniph/w/a
zokuxolelana	za/u/ku/xolel/an/a
emisebenzini	e/i/mi/sebenzi/ini
wobandlululo	wa/u/lu/bandlululo
nezinsizakalo	ne/i/zin/sizakalo
zamabhizinisi	za/a/ma/bhizinisi
esemthethweni	e/se/m/thetho/ini
ekuthathweni	e/ku/thath/w/a/ini
semkhandlwini	s/e/m/khandlu/ini
emisebenzini	e/i/mi/sebenzi/ini
kwenqubomgomo	kwa/i/n/qubomgomo
ekulandelweni	e/ku/landel/a/ini
nomtholampilo	na/u/m/tholampilo
zokwenziwayo	zo/kwe/enz/iw/a/yo
yokugcwalisa	ya/u/ku/gcwal/is/a
ezehlakalweni	e/zi/ehlakalo/ini
emisetshenzana	e/mi/sebenzi/ana
ngezinsizakalo	nga/zin/sizakalo
nephothifoliyo	na/iphothifoliyo
namabhizinisi	na/a/ma/bhizinisi
emiphumeleni	e/i/mi/phumela/ini
nangokomnotho	na/nga/oko/mnotho
wobandlululo	wa/u/lu/bandlululo
zabesifazane	za/a/ba/isi/fazane
kwamaphesenti	kwa/a/ma/phesenti
nasekuqaleni	na/s/e/ku/qala/ini
yokumeleleka	ya/u/ku/melel/ek/a
nokunciphisa	na/u/ku/nciph/is/a
lusetshenziswe	lu/sebenz/is/w/e
namaphrojethi	na/a/ma/phrojethi
yokuhlinzeka	ya/u/ku/hlinz/ek/a
yokuhlinzekwa	ya/uku/hlinzekw/a
ekuvumelaneni	e/ku/vumelano/ini
ebudlelwaneni	e/bu/dlelwane/ini
ezinhlotsheni	e/i/zin/hlobo/ini
lezepolitiki	la/i/za/i/politiki
ekuthathweni	e/ku/thath/w/a/ini
emisebenzini	e/i/mi/sebenzi/ini
kwifliphushadi	ku/i/fliphushadi
yezinsizakalo	ye/i/zin/sizakalo
nezinhlangano	na/i/zin/hlangano
ekukhuliseni	e/ku/khul/is/a/ini
yokunciphisa	ya/u/ku/nciph/is/a
bezivumelwano	ba/i/zi/vumelwano
kwabesifazane	ku/a/be/si/fazane
namaprojekthi	na/a/ma/projekthi
ngokuthamela	nga/u/ku/tham/iw/a
ezokuxhumana	e/za/u/ku/xhuman/a
nezingqinamba	na/i/zi/ngqinamba
kwezinyathelo	kwa/i/zi/nyathelo
nokunciphisa	na/u/ku/nciph/is/a
ezinkampanini	e/zin/kampani/ini
namabhizinisi	na/a/ma/bhizinisi
ekudingekeni	e/ku/ding/ek/e/ini
ekukhiqizeni	e/uku/khiqiz/e/ini
nawomsebenzi	na/wa/u/mu/sebenzi
nangokomnotho	na/nga/oko/mnotho
yokudlulisela	ya/uku/dlulisel/a
ngokubhekana	nga/u/ku/bhek/an/a
ekuphathweni	e/ku/phath/w/a/ini
nokuqeqeshwa	na/u/ku/qeqesh/w/a
kwenqubomgomo	kwa/i/n/qubomgomo
ngokuguqulwa	nga/u/ku/guqul/w/a
nokukhiqizwa	na/u/ku/khiqiz/w/a
kwamaphrojethi	kwa/amaphrojethi
nokuzinikela	na/u/ku/zi/nikel/a
ngamaqenjana	nga/a/ma/qembu/ana
babenomqondo	ba/be/na/u/m/qondo
zisetshenziswa	zi/sebenz/is/w/a
lwemihlangano	lwa/i/mi/hlangano
esetshenzisiwe	e/sebenz/is/iw/e
yamabhizinisi	ya/a/ma/bhizinisi
nezinhlangano	na/i/zin/hlangano
zicatshangelwe	zi/cabang/el/w/e
ekuthathweni	e/ku/thath/w/a/ini
beyisebenzisa	ba/yi/sebenz/is/a
lwezombusazwe	lwa/e/za/mbusazwe
ngokwebalazwe	nga/u/kwe/balazwe
njengamalunga	njenga/a/ma/lunga
emisebenzini	e/i/mi/sebenzi/ini
ngokugciniwe	nga/u/ku/gcin/iw/e
bamaphrojekthi	ba/amaphrojekthi
ngezinsizalo	nga/i/zin/sizakalo
kwifliphushadi	ku/i/fliphushadi
kokungaphinde	ku/oku/nga/phinde
zisetshenziswe	zi/sebenz/is/w/e
esinomkhawulo	esi/na/um/khawulo
inesabiwomali	i/ne/si/abiwomali
emihlanganeni	e/mi/hlangano/ini
ekutholeleni	e/ku/thol/el/a/ini
ekuthathweni	e/ku/thath/w/a/ini
bezinsizakalo	ba/i/zin/sizakalo
bezinsizakalo	ba/i/zin/sizakalo
kunamathuluzi	kuna/a/ma/thuluzi
lusetshenziswa	lu/sebenz/is/w/a
kwifliphushadi	ku/i/fliphushadi
ekuphathweni	e/ku/phath/w/a/ini
kwifliphushadi	ku/i/fliphushadi
ekwethulweni	e/ku/ethul/w/a/ini
besetshenziswa	be/sebenz/is/w/a
nangokuthula	na/nga/u/ku/thul/a
ekuthathweni	e/ku/thath/w/a/ini
ekuhleleleni	e/ku/hlel/el/a/ini
ngokomthetho	nga/kwa/u/m/thetho
lokuhlaziywa	la/u/ku/hlaziy/w/a
lokuthembana	la/u/ku/themb/an/a
wezinsizakalo	wa/i/zin/sizakalo
yokuziphatha	ya/u/ku/zi/phath/a
abanomsebenzi	aba/na/mu/sebenzi
ekuphathweni	e/ku/phath/w/a/ini
ngokuzimela	nga/u/ku/zi/misel/a
nokuqeqeshwa	no/u/ku/qeqesh/w/a
ngokuzimela	ngo/u/ku/zi/misel/a
nokuqeqeshwa	na/u/ku/qeqesh/w/a
ekuxazululeni	e/ku/xazulule/ini
yokuziphatha	ya/u/ku/zi/phath/a
namaprojekthi	na/a/ma/projekthi
yokumeleleka	ya/u/ku/melel/ek/a
njenge-overhead	njenga/overhead
kwabesifazane	ku/a/be/si/fazane
ekuthathweni	e/ku/thath/w/a/ini
kusetshenziswa	ku/sebenz/is/w/a
nezingqinamba	na/i/zin/gqinamba
sisetshenziswa	si/sebenz/is/w/a
nesilinganiso	na/i/si/linganiso
kwifliphushadi	ku/i/fliphushadi
namaphrojethi	na/a/ma/phrojethi
asetshenzisiwe	a/sebenz/is/iw/e
nezivumelwano	na/i/zi/vumelwano
namawolintshi	na/a/ma/wolintshi
ngokubhalela	nga/u/ku/bhal/el/a
nesivumelwano	na/i/si/vumelwano
kokuxoxisana	ku/oku/xox/is/an/a
ekwethulweni	e/ku/ethul/w/a/ini
kwenqubomgomo	kwa/i/n/qubomgomo
kunomthelela	ku/na/u/mu/thelela
nezokuhlela	na/i/za/u/ku/hlel/a
ngemihlangano	nga/i/mi/hlangano
usuvumelene	u/se/u/vumelan/il/e
ngemihlangano	nga/i/mi/hlangano
namabhizinisi	na/a/ma/bhizinisi
yokubalekela	ya/u/ku/balek/el/a
benengcindezi	be/na/i/ngcindezi
ngokukhokhwa	nga/u/ku/khokh/w/a
ngesixazululo	nga/i/si/xazululo
esemukelekile	esi/amukel/ek/ile
njengamabhange	njenga/ma/bhanga
ekuphathweni	e/ku/phath/w/a/ini
nokugcwalisa	na/u/ku/gcwal/is/a
nezokutshala	na/e/za/ku/tshal/a
ekwemukeleni	e/uku/amukel/a/ini
nangokungena	na/nga/u/ku/ngen/a
nezentengiso	na/i/za/i/ntengiso
kwakuyi-sanco	kwa/u/ku/yi/sanco
zenhlalakahle	za/i/n/hlalakahle
yezingqinamba	ya/i/zin/gqinamba
ngokuqondisa	nga/u/ku/qond/is/a
zokunciphisa	za/u/ku/nciph/is/a
kwenqubomgomo	kwa/i/n/qubomgomo
ekwahlukaneni	e/ku/ahlukana/ini
kwenqubomgomo	kwa/i/n/qubomgomo
kwenqubomgomo	kwa/i/n/qubomgomo
wokulungiswa	wa/u/ku/lungis/w/a
kwenqubomgomo	kwa/i/n/qubomgomo
ngokomthetho	nga/kwa/u/m/thetho
yokuziphatha	ya/u/ku/zi/phath/a
bezinsizakalo	ba/i/zin/sizakalo
ezinjongweni	e/zin/jong/w/a/ini
ngebandakanya	nga/i/bandakany/a
zokungalingani	zo/okungalingani
nezinhlangano	na/i/zin/hlangano
nokunciphisa	na/u/ku/nciph/is/a
ezokuxhumana	e/za/u/ku/xhuman/a
nezokuphepha	na/za/u/ku/pheph/a
nokuphatheka	na/u/ku/phath/ek/a
ngokomthetho	nga/kwa/u/m/thetho
luyakwamukela	lu/ya/ku/amukel/a
ngezixazululo	nga/i/zi/xazululo
emiphumeleni	e/i/mi/phumela/ini
emiphumeleni	e/i/mi/phumela/ini
zokufunelana	za/u/ku/funel/an/a
kwenqubomgomo	kwa/i/n/qubomgomo
emzuluswaneni	e/m/zuluswane/ini
lwe-powerpoint	lwa/i/powerpoint
kwifliphushadi	ku/i/fliphushadi
enkohlakalweni	e/nkohlakalo/ini
ngabaxhumanisi	nga/abaxhumanisi
ebezisabalele	e/ba/zi/sabalel/e
lezentuthuko	la/i/za/i/ntuthuko
nokugunyazwa	na/u/ku/gunyaz/w/a
njenge-letsema	njenga/i/letsema
njengomsunguli	njenga/umsunguli
kunomthelela	ko/na/u/mu/thelela
ngezimpendulo	nga/i/zi/mpendulo
nangokuyikho	na/ngo/u/ku/yi/kho
zisetshenziswe	zi/sebenz/is/w/e
bezohlanganisa	ba/zo/hlanganisa
ngeziqondile	nga/i/zi/qond/il/e
ngokuphindwe	nga/u/ku/phind/w/e
ngokomlando	nga/u/kwa/u/m/lando
kwabanakekeli	kwa/a/ba/nakekeli
ekwenziweni	e/u/ku/enz/iw/a/ini
kunomthelela	ku/na/u/mu/thelela
kunomthelela	ku/na/u/mu/thelela
ekunciphiseni	e/ku/nciphisa/ini
yokuziphatha	ya/u/ku/zi/phath/a
emisebenzini	e/i/mi/sebenzi/ini
yamabhizinisi	ya/a/ma/bhizinisi
nokuziphatha	na/u/ku/zi/phath/a
emisebenzini	e/i/mi/sebenzi/ini
zisetshenziswa	zi/sebenz/is/w/a
basetshenziswa	ba/sebenz/is/w/a
ekwenziweni	e/u/ku/enz/iw/a/ini
nezinsizakalo	na/i/zin/sizakalo
ekwenziweni	e/u/ku/enz/iw/a/ini
esemthethweni	e/se/m/thetho/ini
zisetshenziswa	zi/sebenz/is/w/a
nezivumelwano	na/i/zi/vumelwano
zisetshenziswe	zi/sebenz/is/w/e
lwenqubomgomo	lwa/i/n/qubomgomo
ngenqubomgomo	nga/i/n/qubomgomo
wezokumbiwa	wa/i/za/oku/mb/iw/a
ekunikezelweni	e/kunikezelo/ini
nasempahleni	na/s/e/m/pahla/ini
kwamaphesenti	kwa/a/ma/phesenti
nasedolobheni	na/s/e/dolobh/ini
namavolontiya	na/a/ma/volontiya
bezepolotiki	ba/i/za/i/polotiki
ebulungisweni	e/bu/lungiswa/ini
nezinsizakalo	na/i/zin/sizakalo
ekulawulweni	e/ku/lawul/w/a/ini
zokwenziwayo	z/u/ku/enz/iw/a/yo
kwifliphushadi	ku/i/fliphushadi
esingangehora	esi/nganga/i/hora
ngokulawulwa	nga/u/ku/lawul/w/a
sezinsizakalo	se/i/zin/sizakalo
ngokusemqoka	nga/u/ku/se/m/qoka
njengamalungu	njenga/a/ma/lungu
isineminikelo	i/si/na/mi/nikelo
yamabhizinisi	ya/a/ma/bhizinisi
ngokuhlosiwe	nga/u/ku/hlos/iw/e
lusetshenziswe	lu/sebenz/is/w/e
sesitatimende	sa/i/si/tatimende
nabanikezeli	na/a/ba/nikez/el/i
bezinsizakalo	ba/i/zin/sizakalo
zesivumelwano	za/i/si/vumelwano
yokuziphatha	ya/u/ku/zi/phath/a
sabesifazane	sa/aba/i/si/fazane
nabakholelwa	na/aba/khol/el/w/a
ingabelwanwa	i/nga/abelw/an/w/a
esingangehora	esi/nganga/i/hora
nezinhlangano	na/i/zin/hlangano
lwenqubomgomo	lwa/i/n/qubomgomo
ekuthathweni	e/ku/thath/w/a/ini
okusohlelweni	oku/s/o/hlelo/ini
ekuphathweni	e/ku/phath/w/a/ini
nezokuthutha	na/za/u/ku/thuth/a
esemthethweni	e/se/m/thetho/ini
ngezimpendulo	nga/i/zi/mpendulo
ngemalimboleko	nga/imalimboleko
ngamaprojekthi	nga/amaprojekthi
yokwenzekayo	ya/u/ku/enz/ek/a/yo
enhlalakahleni	e/nhlalakahle/ini
nezesikhathi	na/i/za/i/si/khathi
nezokudayisa	na/e/za/uku/dayis/a
nesikholelwa	na/i/si/khol/el/w/a
wezombusazwe	wa/i/za/u/m/busazwe
bezombusazwe	ba/e/za/u/m/busazwe
zokufinyelela	za/u/ku/finyelel/a
ekusebenzeni	e/u/ku/sebenz/a/ini
enhlalakahleni	e/nhlalakahle/ini
sokubonakalayo	sa/ku/bonakala/yo
nesezomnotho	na/i/se/za/u/mnotho
nangokobulili	na/nga/oko/bu/lili
zezombusazwe	za/i/za/u/m/busazwe
lezokuphepha	la/i/za/u/ku/phepha
osemthethweni	o/s/e/m/thetho/ini
esemukelekile	e/se/amukel/ek/ile
bengabanikazi	be/nga/a/ba/nikazi
kwabayizicebi	kwa/aba/yi/zi/cebi
nezesikhathi	na/i/za/i/si/khathi
yokuqhubezela	ya/u/ku/qhubezel/a
waseningizimu	wa/s/e/i/ningizimu
zokufinyelela	za/u/ku/finyelel/a
njengomphumela	njenga/u/mphumela
eziqhakanjiswe	ezi/qhakambis/w/e
kwabesifazane	kwa/a/be/si/fazane
sezombusazwe	sa/i/za/u/m/busazwe
ingancishiswa	i/nga/nciph/is/w/a
eziphathelene	ezi/phathalan/il/e
ekuhlonipheni	e/ku/hloniph/a/ini
kwabesifazane	kwa/a/be/si/fazane
ngokuvumelana	nga/u/ku/vumelan/a
ngokukhuphula	nga/u/ku/khuphul/a
angamarekhodi	a/nga/a/ma/rekhodi
kwabesifazane	kwa/a/be/si/fazane
kokuqeqeshwa	kwa/u/ku/qeqesh/w/a
kwizinsizakalo	ku/i/zin/sizakalo
kungumsebenzi	ku/ng/u/mu/sebenzi
izokwethulwa	i/zo/u/kwe/thul/w/a
wokufinyelela	wa/u/ku/finyelel/a
nangokubuzwa	na/nga/u/ku/buz/w/a
ngokungaphathi	na/oku/nga/phathi
yezamaqhinga	ya/i/za/a/ma/qhinga
wokubonisana	wa/u/ku/bon/is/an/a
ababengakwazi	aba/be/nga/ku/az/i
inezinyunyana	i/na/i/zi/nyunyana
njengokuhlela	njenga/u/ku/hlel/a
njengesinqumo	njenga/i/si/n/qumo
elikwingxabano	eli/ku/i/ngxabano
zobuchwepheshe	za/ubu/chwepheshe
wokucobelelana	wo/uku/cobelelana
nokunakekelwa	na/uku/nakekel/w/a
kusemazingeni	ku/s/e/ma/zing/ini
yokulandelela	yo/u/ku/landelel/a
okuzokwakhiwa	oku/zo/ku/akh/iw/a
ngokunakekela	ngo/uku/nakek/iw/a
kungumsebenzi	ku/ng/u/mu/sebenzi
nowesikhathi	na/u/wa/i/si/khathi
kokuphothulwa	ku/oku/phothul/w/a
kokwemukelwa	kwa/u/ku/amukel/w/a
ezahlonzelwa	e/za/hlonzel/el/w/a
ezinomthelela	ezi/na/u/m/thelela
nochungechunge	na/u/chungechunge
ngokusemqoka	nga/u/ku/s/e/m/qoka
ngokwamandla	nga/u/kwa/a/ma/ndla
kwabesifazane	kwa/a/be/si/fazane
ngokuyiqiniso	nga/u/ku/yi/qiniso
yokuqondiswa	ya/u/ku/qond/is/w/a
