olwenzelwe	olu/enz/el/w/e
nomabhalane	na/ma/bhalane
emindenini	e/mi/ndeni/ini
kwamalungu	kwa/a/ma/lungu
yentuthuko	ya/i/n/tuthuko
nesikhungo	na/i/si/khungo
kumkhandlu	ku/u/m/khandlu
ibhizinisi	i/li/bhizinisi
ngamathuba	nga/a/ma/thuba
kweminyaka	kwa/i/mi/nyaka
kweminyaka	kwa/i/mi/nyaka
yangaphambi	ya/angaphambi
kwemigwaqo	kwa/i/mi/gwaqo
ngezidingo	nga/i/zi/dingo
nezindleko	na/i/zin/dleko
kwangempela	kwa/nga/mpela
zokuqashwa	za/ku/qash/w/a
kwababambe	kwa/aba/bamb/e
yemikhakha	ya/i/mi/khakha
kwezidingo	kwa/i/zi/dingo
ngekhansela	nga/ikhansela
namakhanda	na/a/ma/khanda
nezinhlelo	na/i/zin/hlelo
ngamaqembu	nga/a/ma/qembu
ngezidingo	nga/i/zi/dingo
yesikhathi	ya/i/si/khathi
kwisahluko	kwi/i/si/ahluko
lwamaqembu	lwa/a/ma/qembu
weprojekthi	wa/iprojekthi
weprojekthi	wa/iprojekthi
okhethweni	o/u/khetho/ini
okhethweni	o/u/khetho/ini
izimpendulo	i/zin/pendulo
nezindlela	na/i/zin/dlela
sokufanele	sa/oku/fanel/e
eshumini	e/i/li/shumi/ini
kokumbiwa	kwa/oku/mb/iw/a
kwezidingo	kwa/i/zi/dingo
emathubeni	e/ma/thuba/ini
ngamakhono	nga/a/ma/khono
i-powerpoint	i/powerpoint
lezinhlelo	la/i/zin/hlelo
zokuqashwa	za/ku/qash/w/a
eshumini	e/i/li/shumi/ini
komthetho	kwa/u/mu/thetho
ngamafuphi	nga/a/ma/fuphi
nemikhakha	na/i/mi/khakha
sokususwa	sa/u/ku/sus/w/a
yezithuthi	ye/i/zi/thuthi
namaphepha	na/a/ma/phepha
lwamaphuzu	lwa/a/ma/phuzu
ngezindaba	nga/i/zin/daba
kumkhandlu	ku/u/m/khandlu
ngokwesimo	nga/u/kwe/simo
kwenzekani	ku/enz/ek/a/ni
ezindabeni	ezi/n/daba/ini
emisebenzi	a/i/mi/sebenzi
yamakomiti	ya/a/ma/komiti
ekudluseni	e/ku/dlusa/ini
nezinkomba	na/i/zin/komba
namakomidi	na/a/ma/komidi
nezinhlelo	na/i/zin/hlelo
endleleni	e/i/n/dlela/ini
i-powerpoint	i/powerpoint
wumsebenzi	w/u/mu/sebenzi
ngezinyawo	nga/i/zi/nyawo
nesikhathi	na/i/si/khathi
yomkhandlu	ya/u/m/khandlu
womkhandlu	wa/u/m/khandlu
womkhandlu	wa/u/m/khandlu
wezinhlelo	wa/i/zin/hlelo
nezinhlelo	na/i/zin/hlelo
kwezidingo	kwe/i/zi/dingo
endleleni	e/i/n/dlela/ini
endleleni	e/i/n/dlela/ini
yomkhandlu	ya/u/m/khandlu
womkhandlu	wa/u/m/khandlu
wezinhlelo	wa/i/zin/hlelo
zezinhlelo	za/i/zin/hlelo
kwamalungu	kwa/a/ma/lungu
lingakwazi	li/nga/ku/az/i
ezikhulwini	ezi/khulu/ini
nezinhlobo	na/i/zin/hlobo
zezindlela	za/i/zin/dlela
okwesibili	okwa/i/si/bili
namaforamu	na/a/ma/foramu
kwamathuba	kwa/a/ma/thuba
nezimayini	na/i/zi/mayini
kwezolimo	kwa/i/za/u/limo
ngamaphuzu	nga/a/ma/phuzu
ezihlalweni	ezi/hlalo/ini
nezindlela	na/i/zin/dlela
namakomiti	na/a/ma/komiti
emaqenjini	e/ma/qembu/ini
esahlukweni	e/sahluko/ini
esigcemeni	e/si/gceme/ini
ngezindaba	nga/i/zin/daba
somhlangano	so/umhlangano
nomthelela	na/u/mu/thelela
wokwelapha	wa/uku/elaph/a
sekwehlile	se/ku/ehl/il/e
nesikhathi	na/i/si/khathi
ezindaweni	e/zin/dawo/ini
kuyokwenza	ku/yo/ku/enz/a
ngesigceme	nga/i/si/gceme
ngokubanzi	nga/u/ku/banzi
emisebenzi	a/i/mi/sebenzi
ngokubanzi	nga/u/ku/banzi
wezinhlelo	wa/i/zin/hlelo
kwezinqumo	kwa/i/zin/qumo
lamapulazi	la/a/ma/pulazi
ngokubanzi	nga/u/ku/banzi
emalungeni	e/ma/lunga/ini
kokubamba	kwa/u/ku/bamb/a
ngamakhono	nga/a/ma/khono
nemithwalo	na/i/mi/thwalo
ngokomnotho	nga/ko/mnotho
besifazane	ba/i/si/fazane
ezindaweni	ezi/n/dawo/ini
ezindabeni	ezi/n/daba/ini
nokudalwa	na/u/ku/dal/w/a
kwamalahle	kwa/a/ma/lahle
yokuthutha	ya/uku/thuth/a
yomkhandlu	ya/u/m/khandlu
yomkhandlu	ya/u/m/khandlu
emaqenjini	e/ma/qembu/ini
nezinhlelo	na/i/zin/hlelo
yokucasuka	ya/uku/casuk/a
izinganhle	i/zin/nga/nhle
i-powerpoint	i/powerpoint
lwamazinga	lwa/a/ma/zinga
ekhasini	e/i/li/khasi/ini
yasebritain	ya/asebritain
kwezithuthi	kwa/izithuthi
ekudalweni	e/ku/dalwa/ini
kwamathuba	kwa/a/ma/thuba
emisebenzi	a/i/mi/sebenzi
zokuqashwa	za/ku/qash/w/a
kwezidingo	kwa/i/zi/dingo
komjikelezo	kwa/u/jikelezo
emnyangweni	e/m/nyango/ini
asekhasini	a/s/e/khasi/ini
kungenzeka	ku/nga/enz/ek/a
ngokuxhasa	nga/u/ku/xhas/a
amakhudlwana	ama/khulu/ana
kungenzeka	ku/nga/enz/ek/a
azisebenzi	azi/zi/sebenz/i
yomsebenzi	ya/u/mu/sebenzi
ngokosiko	nga/u/kwa/u/siko
esizokwenza	esi/zoku/enz/a
yimpumelelo	y/i/n/pumelelo
nomsebenzi	na/u/mu/sebenzi
yokuvikela	ya/u/ku/vikel/a
osezingeni	o/s/e/zinga/ini
asezingeni	a/s/e/zinga/ini
kungenzeka	ku/nga/enz/ek/a
izabelomali	i/zi/abelomali
yomsebenzi	ya/u/mu/sebenzi
zokuthutha	za/u/ku/thuth/a
omphakathi	a/u/mu/phakathi
esikhathini	esi/khathi/ini
nekhiqizwa	na/i/khiqiz/w/a
omphakathi	a/u/mu/phakathi
nomthelela	na/u/mu/thelela
nochwepeshe	na/o/chwepeshe
unesibopho	u/na/i/si/bopho
ohlelweni	o/u/lu/hlelo/ini
sokuphatha	sa/u/ku/phath/a
esigungwini	e/si/gungu/ini
ewadini-abc	e/wadi/ini/abc
zokuphatha	za/u/ku/phath/a
ezenzekile	ezi/enz/ek/il/e
ezinqumweni	ezi/n/qumo/ini
okumayelana	oku/mayela/ana
nomthelela	na/u/mu/thelela
wokuqedela	wa/u/ku/qedel/a
zenkosikazi	z/i/n/kosikazi
esikhathini	esi/khathi/ini
bangabantu	ba/nga/a/ba/ntu
okunomsoco	oku/na/u/m/soco
ngokubheka	nga/u/ku/bhek/a
abanolwazi	aba/na/u/lu/azi
zezemvelo	za/i/za/i/m/velo
linamavoti	li/na/a/ma/voti
asendaweni	a/se/n/dawo/ini
kungenzeka	ku/nga/enz/ek/a
engezansi	e/nga/i/li/zansi
ezimayelana	ezi/mayela/ana
ukwahlukana	u/ku/ahlukan/a
yokuxwayisa	ya/ku/xwayis/a
kungenzeka	ku/nga/enz/ek/a
sokuphatha	sa/u/ku/phath/a
womkhiqizo	wa/u/mu/khiqizo
yomsebenzi	ya/u/mu/sebenzi
ezelulekayo	ezi/lulek/a/yo
kwezakhiwo	kwa/i/zi/akhiwo
emizamweni	e/i/mi/zamo/ini
isabelomali	i/si/abelomali
isabelomali	i/si/abelomali
emaphuzwini	e/ma/phuzu/ini
bazejwayeza	ba/zi/jwayez/a
olwamukelwe	olu/amukel/w/e
omphakathi	a/u/mu/phakathi
ngokubheka	nga/u/ku/bhek/a
yokulandela	ya/ku/landel/a
nokuthemba	na/u/ku/themb/a
kungenzeka	ku/nga/enz/ek/a
lwentuthuko	lwa/i/ntuthuko
nokwamukela	na/ku/amukel/a
yokudiliva	ya/u/ku/diliv/a
nokuphepha	na/u/ku/pheph/a
kungenzeka	ku/nga/enz/ek/a
ngokubheka	nga/u/ku/bhek/a
osekhasini	o/s/e/khasi/ini
zephrojekthi	zi/phrojekthi
yokuthenga	ya/u/ku/theng/a
yokuthenga	ya/u/ku/theng/a
esikhathini	esi/khathi/ini
omphakathi	a/u/mu/phakathi
omphakathi	a/u/mu/phakathi
ngokugxila	nga/u/ku/gxil/a
ekukhuleni	e/ku/khul/a/ini
zokuthutha	za/u/ku/thuth/a
ezimayelana	ezi/mayela/ana
omphakathi	o/u/mu/phakathi
ngokubamba	nga/u/ku/bamb/a
nokwamukela	n/uku/amukel/a
osekhasini	o/s/e/khasi/ini
bezenkolo	ba/i/za/i/n/kolo
abanolwazi	aba/na/u/lu/azi
olwengeziwe	olu/engez/iw/e
zokwethula	za/u/kwe/thul/a
nokulawula	na/u/ku/lawul/a
ngokukhula	nga/u/ku/khul/a
kukhushulwa	ku/khuphul/w/a
ngokubheka	nga/u/ku/bhek/a
esikhathini	esi/khathi/ini
emasontweni	e/ma/sonto/ini
nomsebenzi	na/u/mu/sebenzi
komkhandlu	kwa/u/m/khandlu
ngokuxhasa	nga/u/ku/xhas/a
nomsebenzi	na/u/mu/sebenzi
esiqondene	esi/qond/an/ile
nabesilisa	na/a/be/si/lisa
izabiwomali	i/zi/abiwomali
yokuhlahla	ya/u/ku/hlahl/a
yokukhetha	ya/u/ku/kheth/a
nabesilisa	na/a/be/si/lisa
esakhiweni	e/si/akhiwo/ini
esikhathini	esi/khathi/ini
nomthelela	na/u/mu/thelela
ngohulumeni	nga/o/hulumeni
kobandlululo	ku/bandlululo
nomsebenzi	na/u/mu/sebenzi
emisindweni	e/mi/sindo/ini
wensizakalo	wa/i/nsizakalo
senkingeni	s/e/n/kinga/ini
kokulethwa	ku/oku/leth/w/a
ekutholeni	e/ku/thol/a/ini
ohlelweni	o/u/lu/hlelo/ini
kungenzeka	ku/nga/enz/ek/a
bangabantu	ba/nga/a/ba/ntu
yomsebenzi	ya/u/mu/sebenzi
kokuxhaswa	ku/oku/xhas/w/a
ngomasipala	nga/o/masipala
ohlelweni	o/u/lu/hlelo/ini
isabelomali	i/si/abelomali
kwesinqumo	kwa/i/si/n/qumo
lokwethula	la/u/kwe/thul/a
ngokuthula	nga/u/ku/thul/a
ekuqondeni	e/ku/qond/a/ini
zokuthutha	za/u/ku/thuth/a
womsebenzi	wa/u/mu/sebenzi
nomsebenzi	na/u/mu/sebenzi
omphakathi	a/u/mu/phakathi
ngokobulili	nga/ko/bu/lili
ngokobulili	nga/ko/bu/lili
yokuxwayisa	ya/ku/xwayis/a
kwezakhiwo	kwa/i/zi/akhiwo
zokuphatha	za/u/ku/phath/a
zokuhlela	za/u/ku/hlel/a
nomsebenzi	na/u/mu/sebenzi
ekwenzeni	e/u/ku/enz/a/ini
nomphumela	na/u/mu/phumela
esehlangene	e/se/hlangan/e
ukuyethula	u/ku/yi/ethul/a
ohlelweni	o/u/lu/hlelo/ini
ngokubamba	nga/u/ku/bamb/a
kwezakhiwo	kwa/i/zi/akhiwo
osegunyeni	o/s/e/gunya/ini
elimayelana	eli/mayela/ana
ngokugxila	nga/u/ku/gxil/a
ezinqubweni	ezi/n/qubo/eni
nomthelela	na/u/mu/thelela
ezinqumweni	ezi/n/qumo/ini
nokwakheka	na/uku/akh/ek/a
ngokubamba	nga/u/ku/bamb/a
esikhathini	esi/khathi/ini
ekukhuleni	e/ku/khul/a/ini
kokuxhumana	ku/oku/xhumana
zemikhiqizo	za/imi/khiqizo
wemikhiqizo	wa/imi/khiqizo
nokwandisa	na/uku/and/is/a
kusesimeni	ku/s/e/simo/ini
omphakathi	a/u/mu/phakathi
ngokuhlela	nga/u/ku/hlel/a
kusetshenzwe	ku/sebenz/w/e
osezingeni	o/s/e/zinga/ini
yimpumelelo	y/i/n/pumelelo
ohlelweni	o/u/lu/hlelo/ini
bezakhamizi	ba/i/zakhamizi
kuxhunyanwe	ku/xhum/an/w/e
ekwakheni	e/u/ku/akh/a/ini
ezimayelana	ezi/mayela/ana
isabelomali	i/si/abelomali
isabelomali	i/si/abelomali
ohlelweni	o/u/lu/hlelo/ini
nokukhetha	na/u/ku/kheth/a
nokuxhunywa	no/ku/xhum/w/a
esezingeni	e/s/e/zinga/ini
ekukwazini	e/ku/ku/azi/ini
lingasenza	li/nga/si/enz/a
ekwesekeni	e/kwe/sek/a/ini
nokulamula	na/u/ku/lamul/a
ekuqambeni	e/ku/qamb/e/ini
kucatshangwe	ku/cabang/w/e
ohlelweni	o/u/lu/hlelo/ini
abayenzile	aba/yi/enz/il/e
ngokudweba	nga/u/ku/dweb/a
yimpumelelo	y/i/n/pumelelo
ekuqaleni	e/u/ku/qal/a/ini
esezingeni	e/s/e/zinga/ini
embandeleni	e/mbandela/ini
omphakathi	a/u/mu/phakathi
olungesilo	olu/nga/i/si/lo
nomthelela	na/u/mu/thelela
nomkhandlu	na/u/mu/khandlu
ekhanseleni	e/khansela/ini
yokuqalisa	ya/u/ku/qalis/a
ngokobulili	nga/ko/bu/lili
nokuguqula	na/u/ku/guqul/a
emhlabeni	e/u/mu/hlaba/ini
nokulawula	na/u/ku/lawul/a
womkhiqizo	wa/u/mu/khiqizo
ekukhuleni	e/ku/khul/a/ini
nokuncipha	na/u/ku/nciph/a
ekukhuleni	e/ku/khul/a/ini
uqinisekise	u/qinisek/is/a
ngokuhamba	nga/u/ku/hamb/a
nokunikeza	no/u/ku/nikez/a
zokuphepha	za/u/ku/pheph/a
kungenzeka	ku/nga/enz/ek/a
zokuphatha	za/u/ku/phath/a
esikhathini	esi/khathi/ini
nabesilisa	na/a/be/si/lisa
nomphumela	na/u/mu/phumela
zobelelesi	za/u/bu/elelesi
ngabohlelo	ng/a/ba/u/hlelo
esikhathini	esi/khathi/ini
nabesilisa	na/a/be/si/lisa
ezinqumweni	ezi/n/qumo/ini
ezimayelana	ezi/mayela/ana
ebezibikwe	e/ba/zi/bik/w/e
ekhanseleni	e/khansela/ini
ohlelweni	o/u/lu/hlelo/ini
nomsebenzi	na/u/mu/sebenzi
wokulawula	wa/u/ku/lawul/a
esigungwini	e/si/gungu/ini
lwentuthuko	lwa/i/ntuthuko
nomkhandlu	na/u/mu/khandlu
nasemalini	na/s/e/mali/ini
kokuthathu	kwa/u/ku/thathu
yokwehluka	ya/u/ku/ehluk/a
yengcindezi	ya/i/ngcindezi
yomsebenzi	ya/u/mu/sebenzi
yokwakhiwa	yo/uku/akh/iw/a
kwamakomidi	kwa/ama/komidi
ekutholeni	e/ku/thol/a/ini
ekuqedeni	e/u/ku/qed/a/ini
weprojekthi	wa/i/projekthi
nezicacile	na/i/zi/cac/ile
emhlabeni	e/u/mu/hlaba/ini
yokulamula	ya/u/ku/lamul/a
nomsebenzi	na/u/mu/sebenzi
kungenzeka	ku/nga/enz/ek/a
esesimweni	e/s/e/si/mo/ini
ezakhiweni	e/zi/akhiwo/ini
ngomthetho	nga/u/mu/thetho
nomsebenzi	na/u/mu/sebenzi
kungenzeka	ku/nga/enz/ek/a
isabelomali	i/si/abelomali
kungenzeka	ku/nga/enz/ek/a
esikhathini	esi/khathi/ini
ngokugcina	nga/u/ku/gcin/a
ekutholeni	e/ku/thol/a/ini
sohlangothi	sa/u/hlangothi
osezingeni	o/s/e/zinga/ini
nezomdabu	na/i/za/u/m/dabu
zokulawula	za/u/ku/lawul/a
ohlelweni	o/u/lu/hlelo/ini
zokulungisa	za/ku/lungis/a
izinyathelo	i/zin/nyathelo
ngezakhiwo	nga/i/zi/akhiwo
inemiklamo	i/na/i/mi/klamo
komkhandlu	kwa/u/m/khandlu
ezimayelana	ezi/mayela/ana
ezimayelana	ezi/mayela/ana
kwezomnotho	kwa/i/zomnotho
isabelomali	i/si/abelomali
sinamandla	si/na/a/ma/ndla
zokugcinwa	zo/uku/gcin/w/a
kwamakomidi	kwa/ama/komidi
nezokuhlola	na/zoku/hlol/a
ngokuqonda	nga/u/ku/qond/a
emibhalweni	e/mi/bhalo/ini
kwezimboni	kwa/i/zin/mboni
esikhathini	esi/khathi/ini
ngokokuqala	nga/ko/ku/qala
esezingeni	e/s/e/zinga/ini
esikhathini	esi/khathi/ini
esikhathini	esi/khathi/ini
nokusimama	na/u/ku/simam/a
kwekhabhoni	kwa/i/khabhoni
okunomsoco	oku/na/u/m/soco
ezenzekile	ezi/enz/ek/il/e
emadlelweni	e/ma/dlelo/ini
ebungakweni	e/bu/ngako/ini
okwenzekile	oku/enz/ek/ile
ezinsukwini	ezi/n/suku/ini
zokuphatha	za/u/ku/phath/a
ngokuletha	nga/u/ku/leth/a
ekwenzeni	e/u/ku/enz/a/ini
wabathathi	wa/a/ba/thath/i
lwentuthuko	lwa/i/ntuthuko
ezimayelana	ezi/mayela/ana
nomphumela	na/u/mu/phumela
isabelomali	i/si/abelomali
isabelomali	i/si/abelomali
ezimfunweni	e/zi/mfuno/ini
ngentuthuko	nge/i/ntuthuko
nomphumela	na/u/mu/phumela
esikhathini	esi/khathi/ini
nomkhandlu	no/u/mu/khandlu
kunamandla	ku/na/a/ma/ndla
ekwakheni	e/u/ku/akh/a/ini
ngokuhamba	nga/u/ku/hamb/a
ewadini-abc	e/wadi/ini/abc
sinezibane	si/ne/i/zi/bane
nomsebenzi	na/u/mu/sebenzi
kunomlando	ku/na/u/m/lando
ngokubheka	nga/u/ku/bhek/a
esikhathini	esi/khathi/ini
zokulungisa	za/ku/lungis/a
nokujulisa	na/uku/jul/is/a
lokudalula	la/u/ku/dalul/a
nabesilisa	na/a/be/si/lisa
nokulawula	na/u/ku/lawul/a
nokuthatha	na/u/ku/thath/a
nezemvelo	na/e/za/i/m/velo
engezansi	e/nga/i/li/zansi
kwabaphathi	kwa/aba/phathi
isabelomali	i/si/abelomali
yokuthenga	ya/u/ku/theng/a
womkhandlu	wa/u/mu/khandlu
esikhathini	esi/khathi/ini
ukwehliswa	u/ku/ehl/is/w/a
weningizimu	wa/i/ningizimu
emizamweni	e/i/mi/zamo/ini
ngokubheka	nga/u/ku/bhek/a
ekukhuleni	e/ku/khul/a/ini
ezimayelana	ezi/mayela/ana
isabelomali	i/si/abelomali
amenyezelwe	a/memez/el/w/e
ngokufunga	nga/u/ku/fung/a
elingezansi	eli/nga/izansi
osekhasini	o/s/e/khasi/ini
ekwenzeni	e/u/ku/enz/a/ini
ekuhlelweni	e/ku/hlelo/ini
kokulethwa	ko/oku/leth/w/a
nokuqinisa	na/u/ku/qinis/a
ngokuthile	nga/u/ku/th/ile
ekukhuleni	e/ku/khul/a/ini
isendlalelo	i/si/n/dlalelo
ngokwe-swot	nga/u/kwe/swot
nokuthatha	na/u/ku/thath/a
nezokuhlola	na/zoku/hlol/a
omphakathi	a/u/mu/phakathi
esikhathini	esi/khathi/ini
lunendlela	lu/na/i/n/dlela
esesimweni	e/s/e/si/mo/ini
ngokobulili	nga/ko/bu/lili
nomkhandlu	na/u/mu/khandlu
ezinqumweni	ezi/n/qumo/ini
ezimayelana	ezi/mayela/ana
kungenzeka	ku/nga/enz/ek/a
nokuthatha	na/u/ku/thath/a
ukwahlukana	u/ku/ahlukan/a
emhlabeni	e/u/mu/hlaba/ini
emakhoneni	ee/ma/khona/ini
womkhandlu	wa/u/mu/khandlu
kungenzeka	ku/nga/enz/ek/a
enamathuba	e/na/a/ma/thuba
ekutholeni	e/ku/thol/a/ini
zingenzeka	zi/nga/enz/ek/a
nomsebenzi	na/u/mu/sebenzi
nomphumela	na/u/mu/phumela
nokuphatha	na/u/ku/phath/a
neyendawo	na/i/ya/i/n/dawo
yabaphathi	ya/a/ba/pathi
emnyangweni	e/m/nyango/ini
okwenzekile	oku/enz/ek/ile
izabelomali	i/zi/abelomali
yeningizimu	ya/i/ningizimu
ngokukhula	nga/u/ku/khul/a
komkhiqizo	kwa/u/m/khiqizo
esezingeni	e/s/e/zinga/ini
kwekhabhoni	kwa/i/khabhoni
nokuthatha	na/u/ku/thath/a
esikhathini	esi/khathi/ini
ngezezimali	nga/ze/zi/mali
ngokuhamba	nga/u/ku/hamb/a
kungenzeka	ku/nga/enz/ek/a
kungenziwa	ku/nga/enz/iw/a
ngokobulili	nga/ko/bu/lili
esikhathini	esi/khathi/ini
kunezigaba	ku/na/i/zi/gaba
zokuthatha	za/u/ku/thath/a
ebesifazane	e/ba/si/fazane
zezinselelo	za/izin/selelo
olumayelana	olu/mayela/ana
esendaweni	e/se/n/dawo/ini
okuneqiniso	oku/ne/iqiniso
ngesivivini	nga/isi/vivini
kungenziwa	ku/nga/enz/iw/a
ekwenzeni	e/u/ku/enz/a/ini
kuqhutshekwe	ku/qhubek/w/e
kwabathathu	kwa/aba/thathu
engezansi	e/nga/i/li/zansi
ngokubheka	nga/u/ku/bhek/a
ekuqaleni	e/u/ku/qal/a/ini
ekwenzeni	e/u/ku/enz/a/ini
ngamakomidi	nga/ama/komidi
zomphakathi	zo/mu/phakathi
ngokobulili	nga/ko/bu/lili
nabesilisa	na/a/be/si/lisa
ezikhathini	ezi/khathi/ini
ekuhleleni	e/ku/hlel/a/ini
elikhudlwana	eli/khulu/ana
esikhathini	esi/khathi/ini
ekubambeni	e/ku/bamb/a/ini
sokuguqula	sa/u/ku/guqul/a
inamazinga	i/na/a/ma/zinga
kungenzeka	ku/nga/enz/ek/a
kungenzeka	ku/nge/enz/ek/a
wokuthutha	wa/u/ku/thuth/a
esimayelana	esi/mayela/ana
ngokufunda	nga/u/ku/fund/a
osezingeni	o/s/e/zinga/ini
isabelomali	i/si/abelomali
ezikhathini	ezi/khathi/ini
ngokwanele	nga/u/ku/anel/e
nemjondolo	na/i/mi/jondolo
esikhathini	esi/khathi/ini
kusetshenzwa	ku/sebenz/w/a
ngokuchaza	nga/u/ku/chaz/a
nokucacisa	na/u/ku/cacis/a
ohlelweni	o/u/lu/hlelo/ini
ekwenzeni	e/u/ku/enz/a/ini
lokutshala	la/u/ku/tshal/a
ekuhleleni	e/ku/hlel/a/ini
emiqondweni	e/mi/qondo/ini
emiqondweni	e/mi/qondo/ini
unesibindi	u/na/i/si/bindi
ngebhajethi	nga/i/bhajethi
esikhathini	esi/khathi/ini
nabesilisa	na/a/be/si/lisa
ngokuphela	nga/u/ku/phel/a
nokuguquka	na/u/ku/guquk/a
nomphumela	na/u/mu/phumela
zokuphatha	za/u/ku/phath/a
nokuphatha	na/u/ku/phath/a
ezimayelana	ezi/mayela/ana
ewadini-xyz	e/wadi/ini/xyz
ngokungabi	nga/u/ku/nga/bi
ngokwe-swot	nga/u/kwe/swot
omphakathi	a/u/mu/phakathi
kungenzeka	ku/nga/enz/ek/a
ohlelweni	o/u/lu/hlelo/ini
wesabelomali	w/isabelomali
omphakathi	a/u/mu/phakathi
isabelomali	i/si/abelomali
isabelomali	i/si/abelomali
asezingeni	a/s/e/zinga/ini
omphakathi	a/u/mu/phakathi
elikhuthele	eli/khuth/iw/e
yokuthatha	ya/u/ku/thath/a
ngokuhlela	nga/u/ku/hlel/a
ngokuchaza	nga/u/ku/chaz/a
engezansi	e/nga/i/li/zansi
womsebenzi	wa/u/mu/sebenzi
womsebenzi	wa/u/mu/sebenzi
yomsebenzi	ya/u/mu/sebenzi
izinsukwana	i/zin/suku/ana
lenhlangano	l/i/n/hlangano
omphakathi	a/u/mu/phakathi
womkhandlu	wa/u/mu/khandlu
isabelomali	i/si/abelomali
bokwakhiwa	ba/uku/akh/iw/a
osekhasini	o/s/e/khasi/ini
emiqondweni	e/mi/qondo/ini
iyamukelwa	i/ya/amukel/w/a
nomkhandlu	na/u/mu/khandlu
isabelomali	i/si/abelomali
lwentuthuko	lwa/i/ntuthuko
asekhasini	a/s/e/khasi/ini
isabelomali	i/si/abelomali
ngomasipala	nga/o/masipala
sokuqinisa	sa/u/ku/qinis/a
kungenzeka	ku/nga/enz/ek/a
ekuhlukeni	e/ku/hluk/a/ini
nabesilisa	na/a/be/si/lisa
ukwehluleka	u/ku/ehlulek/a
emhlabeni	e/u/mu/hlaba/ini
esikhathini	esi/khathi/ini
nabesilisa	na/a/be/si/lisa
zingenzeki	zi/nga/enz/ek/i
nabesilisa	na/a/be/si/lisa
yokulalela	ya/u/ku/lalel/a
