kunezizathu	ku/na/i/zi/zathu
ngokunikeza	nga/u/ku/nikez/a
zezentuthuko	za/za/n/tuthuko
emsebenzini	e/mu/sebenzi/ini
zezentuthuko	za/za/n/tuthuko
emsebenzini	e/mu/sebenzi/ini
komphakathi	ko/u/mu/phakathi
nesabelomali	na/i/sabelomali
kokwenziwa	kwa/u/ku/enz/iw/a
komphakathi	ko/u/mu/phakathi
anomthelela	a/na/u/m/thelela
komphakathi	ko/u/mu/phakathi
lomphakathi	lwa/u/m/phakathi
luwukwazisa	lu/wu/ku/az/is/a
lomhlangano	lwa/u/m/hlangano
womphakathi	wa/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
komphakathi	ko/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
komphakathi	ko/u/mu/phakathi
ekuhloleni	e/u/ku/hlol/a/ini
okungenzeka	oku/nga/enz/ek/a
zomphakathi	za/u/mu/phakathi
nenkohlakalo	na/i/nkohlakalo
semthethweni	se/m/thetho/ini
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
zenkohlakalo	za/i/nkohlakalo
yenkohlakalo	ya/i/nkohlakalo
ngokushesha	nga/u/ku/shesh/a
nokudingeka	na/oku/ding/ek/a
kwezimpahla	kwa/i/zin/pahl/a
bokutshalwa	ba/uku/tshal/w/a
womphakathi	wa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
emsebenzini	e/mu/sebenzi/ini
kuyadingeka	ku/nga/ding/ek/a
yokusebenza	ya/u/ku/sebenz/a
ngokucacile	nga/u/ku/cac/ile
ngokucacile	nga/u/ku/cac/ile
womphakathi	wa/u/mu/phakathi
yokukhiqiza	ya/u/ku/khiqiz/a
zezentuthuko	za/za/n/tuthuko
zomphakathi	zo/u/mu/phakathi
ekuhleleni	e/u/ku/hlel/a/ini
ezinkingeni	ezi/n/khinga/ini
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
sokusebenza	sa/u/ku/sebenz/a
yokuqhubeka	ya/u/ku/qhubek/a
kokwenziwa	kwa/u/ku/enz/iw/a
ekupheleni	e/u/ku/phel/a/ini
zokusebenza	za/u/ku/sebenz/a
ezinhlelweni	e/zin/hlelo/ini
ezingenzeka	ezi/nge/enz/ek/a
kokwenzeka	kwa/u/ku/enz/ek/a
ngephrojekthi	nga/phrojekthi
emkhandlwini	e/m/khandlu/ini
eminyangweni	e/mi/nyango/ini
lukazwelonke	luka/u/zwelonke
komphakathi	ko/u/mu/phakathi
wephrojekthi	wa/i/phrojekthi
sokuqhubeka	sa/u/ku/qhubek/a
nasohlelweni	na/so/hlelo/ini
ukweneliseka	u/ku/enelisek/a
ngokucacile	nga/u/ku/cac/ile
kwabesilisa	kwa/a/be/si/lisa
kwabesilisa	kwa/a/be/si/lisa
zokulungisa	za/u/ku/lungis/a
emsebenzini	e/mu/sebenzi/ini
emsebenzini	e/mu/sebenzi/ini
kukahulumeni	kuka/u/hulumeni
ezisebenzela	ezi/sebenz/iw/a
ngomthelela	nga/u/mu/thelela
anomthelela	a/na/u/m/thelela
ezehlukene	ezi/ehluk/an/e
engxenyeni	e/i/n/ngxenye/ini
komphakathi	ko/u/mu/phakathi
kuyadingeka	ku/nga/ding/ek/a
ekuhleleni	e/u/ku/hlel/a/ini
komphakathi	ko/u/mu/phakathi
nephakanyiswe	na/phakanyiswe
zezentuthuko	za/za/n/tuthuko
yokusebenza	ya/u/ku/sebenz/a
yokusekela	ya/u/ku/sek/el/a
nokusebenza	na/u/ku/sebenz/a
lomphakathi	la/u/mu/phakathi
nokufiswayo	na/ku/fis/w/a/yo
komphakathi	ko/u/mu/phakathi
ubambiswano	u/lu/bambiswan/o
womphakathi	wa/u/mu/phakathi
kumphakathi	ku/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
zisonjululwe	zi/sombulul/w/e
komphakathi	ko/u/mu/phakathi
ngokuqinisa	nga/u/ku/qinis/a
zomphakathi	za/u/mu/phakathi
yokunakekela	ya/ku/nakekel/a
komphakathi	ko/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
zomphakathi	zo/u/mu/phakathi
ngokunikeza	nga/u/ku/nikez/a
komphakathi	ko/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
ibambisene	i/bamb/is/an/e
zokusebenza	za/u/ku/sebenz/a
kweprojekthi	kwa/i/projekthi
emkhakheni	e/u/mu/khakha/ini
kwezinkinga	kwa/i/zin/khinga
komphakathi	ko/u/mu/phakathi
kokwenziwa	kwa/u/ku/enz/iw/a
wokuklanywa	wa/uku/klany/w/a
okungenzeke	oku/nge/enz/ek/e
ekupheleni	e/u/ku/phel/a/ini
zokusebenza	za/u/ku/sebenz/a
ezigamekweni	e/zi/gameko/ini
womphakathi	wa/u/mu/phakathi
emsebenzini	e/mu/sebenzi/ini
emkhakheni	e/u/mu/khakha/ini
ngokwendawo	nga/u/kwa/n/dawo
ukubanjelwa	u/ku/bamb/el/w/a
ezinhlosweni	ezi/n/hloso/ini
zomphakathi	zo/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ezinhlelweni	ezi/n/hlelo/ini
notshalomali	na/u/tshalomali
nokukhulisa	na/uku/khul/is/a
emsebenzini	e/mu/sebenzi/ini
kwemikhiqizo	kwa/imi/khiqizo
ezehlukene	ezi/ehluk/an/e
komphakathi	ko/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ekuhloleni	e/u/ku/hlol/a/ini
zokusebenza	za/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
yephrojekthi	ya/i/phrojekthi
ezinkingeni	ezi/n/khinga/ini
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
olwehlukene	olu/ehluk/an/ile
nenkohlakalo	na/i/nkohlakalo
kukahulumeni	kuka/u/hulumeni
nomphakathi	na/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
semthethweni	se/m/thetho/ini
komphakathi	ko/u/mu/phakathi
nezakhamuzi	na/i/zi/akhamuzi
engamashumi	e/nga/a/ma/shumi
wobandlululo	wa/u/bandlululo
anomthelela	a/na/u/m/thelela
ngokumelwa	nga/u/ku/m/el/w/a
nezentuthuko	na/ze/n/tuthuko
zokusebenza	za/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
azipheleli	a/zi/phel/el/el/i
lasembonini	la/s/e/mboni/ini
nomphakathi	no/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
kunezimfuno	ku/na/i/zi/mfuno
wephrojekthi	wa/i/phrojekthi
banezidingo	ba/na/i/zi/dingo
zomphakathi	za/u/mu/phakathi
zokusebenza	za/u/ku/sebenz/a
kukahulumeni	ku/ka/uhulumeni
komphakathi	ko/u/mu/phakathi
bengamaqembu	ba/nga/ma/qembu
kunamathuba	ku/na/a/ma/thuba
ezingenzeka	ezi/nge/enz/ek/a
esigamekweni	e/si/gameko/ini
ngokushesha	nga/u/ku/shesh/a
yomphakathi	ya/u/mu/phakathi
zokuxhumana	za/u/ku/xhuman/a
embuthanweni	e/m/buthano/ini
lukazwelonke	luka/u/zwelonke
engxenyeni	e/i/n/ngxenye/ini
zomphakathi	zo/u/mu/phakathi
nabancishwe	na/aba/ncish/w/e
yokusebenza	ya/u/ku/sebenz/a
ngokushesha	nga/u/ku/shesh/a
yokusebenza	ya/u/ku/sebenz/a
ngokushesha	nga/u/ku/shesh/a
nangendlela	na/nga/i/n/dlela
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
ngokuhlonza	nga/u/ku/hlonz/a
engxenyeni	e/i/n/ngxenye/ini
nothuthukayo	na/thuthuk/a/yo
kukahulumeni	kuka/u/hulumeni
wokulingisa	wa/u/ku/lingis/a
yokucabanga	ya/u/ku/cabang/a
wokulingisa	wa/u/ku/lingis/a
kumphakathi	ku/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
nomphakathi	na/u/mu/phakathi
kokudedelwa	ku/oku/dedel/w/a
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
ngokwelapha	nga/u/kwe/laph/a
yasemakhaya	ya/s/e/ama/khaya
semiphakathi	s/i/mi/phakathi
yasemakhaya	ya/s/e/ama/khaya
ekuhloleni	e/u/ku/hlol/a/ini
yobandlululo	ya/u/bandlululo
yokudlulisa	ya/uku/dlul/is/a
zomphakathi	zo/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
nokukhiqiza	na/u/ku/khiqiz/a
ekulungiseni	e/ku/lungis/ini
wokuxhumana	wa/u/ku/xhuman/a
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ezinamandla	ezi/na/a/ma/ndla
ezombusazwe	e/za/u/m/busazwe
zomphakathi	zo/u/mu/phakathi
elingayenza	eli/nga/yi/enz/a
nesicabanga	na/i/si/cabang/a
nokusebenza	na/u/ku/sebenz/a
lomphakathi	la/u/mu/phakathi
kunesidingo	ku/na/i/si/dingo
zezentuthuko	za/za/n/tuthuko
ngokobungako	nga/ko/bu/ngako
kokuvikeleka	ku/oku/vikeleka
zomphakathi	zo/u/mu/phakathi
kukahulumeni	kuka/u/hulumeni
wezobulili	wa/i/za/u/bu/lili
ngokwendawo	nga/u/kwe/n/dawo
komphakathi	ko/u/mu/phakathi
emsebenzini	e/mu/sebenzi/ini
nomthelela	na/u/mu/thel/el/a
nokuguqulwa	na/uku/guqul/w/a
womphakathi	wa/u/mu/phakathi
emkhandlwini	e/m/khandlu/ini
ekuhleleni	e/u/ku/hlel/a/ini
lwentuthuko	lwa/i/n/ntuthuko
ngama-ejenti	nga/a/ma/ejenti
ekuncishweni	e/kuncishwe/ini
zomphakathi	za/u/mu/phakathi
zabesifazane	za/be/si/fazene
kokwenziwa	kwa/u/ku/enz/iw/a
amukelekile	a/amukel/ek/il/e
yokuqeqesha	ya/u/ku/qeqesh/a
ebhizinisini	e/bhizinisi/ini
ezokumbiwa	e/za/u/ku/mb/iw/a
ngokushesha	nga/u/ku/shesh/a
zokusebenza	za/u/ku/sebenz/a
lephrojekthi	la/i/phrojekthi
zephrojekthi	za/i/phrojekthi
kwabesilisa	kwa/a/be/si/lisa
ngenkokhelo	nga/i/n/khokhelo
lezakhamuzi	la/i/zi/akhamuzi
komphakathi	ko/u/mu/phakathi
ezahlukene	ezi/ahluk/an/il/e
ekulawuleni	e/ku/lawul/a/ini
zokusebenza	za/u/ku/sebenz/a
ngokwengeza	nga/u/ku/engez/a
kukahulumeni	kuka/u/hulumeni
nokusebenza	na/u/ku/sebenz/a
kweprojekthi	kwa/i/projekthi
ezahlukene	ezi/ahluk/an/il/e
komphakathi	ko/u/mu/phakathi
kwabesilisa	kwa/a/be/si/lisa
komphakathi	ko/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
ngokushesha	nga/u/ku/shesh/a
komphakathi	ko/u/mu/phakathi
ezinhlelweni	ezi/n/hlelo/ini
ezinhlelweni	ezi/n/hlelo/ini
komphakathi	ko/u/mu/phakathi
esikhundleni	esi/khundla/ini
ezinkingeni	ezi/n/khinga/ini
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
okungenzeka	oku/nga/enz/ek/a
nezixazululo	na/izi/xazululo
benezingane	be/na/i/zi/ngane
kwakungomnu	kwa/ku/nga/o/mnu
zephrojekthi	za/i/phrojekthi
yephrojekthi	ya/i/phrojekthi
yokusebenza	ya/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
komphakathi	ko/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
zokusebenza	za/u/ku/sebenz/a
inezinhlobo	i/na/i/zin/hlobo
kweprojekthi	kwa/i/projekthi
ekuhleleni	e/u/ku/hlel/a/ini
zezentuthuko	za/za/n/tuthuko
eminyangweni	e/mi/nyango/ini
kunesidingo	ku/na/i/si/dingo
kunesidingo	ku/na/i/si/dingo
ngokushesha	nga/u/ku/shesh/a
yezakhamuzi	ya/i/zi/akhamuzi
ngokushesha	nga/u/ku/shesh/a
kwabathengi	kwa/a/ba/theng/i
komphakathi	ko/u/mu/phakathi
somphakathi	sa/u/mu/phakathi
nomthelela	na/u/mu/thel/el/a
engamashumi	e/nga/a/ma/shumi
yokukhiqiza	ya/u/ku/khiqiz/a
ngokushesha	nga/u/ku/shesh/a
ezehlukene	ezi/ehluk/an/e
uzokwenziwa	u/zo/ku/enz/iw/a
komhlangano	kwa/u/m/hlangano
zesabelomali	ze/i/sabelomali
zesabelomali	za/i/sabelomali
kweprojekthi	kwa/i/projekthi
ngomsebenzi	nga/u/mu/sebenzi
likazwelonke	lika/u/zwelonke
banesibopho	ba/na/i/si/bopho
nangendlela	na/nga/i/n/dlela
kunesidingo	ku/na/i/si/dingo
nangendlela	na/nga/i/n/dlela
okucatshangwa	oku/cabang/w/a
yokwabelana	yo/ku/ab/el/an/a
inesikhathi	i/na/i/si/khathi
banezidingo	ba/na/i/zi/dingo
kwezakhamizi	kwa/i/zakhamizi
komphakathi	ko/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
komphakathi	ko/u/mu/phakathi
nokusabalala	na/ku/sabalal/a
komphakathi	ko/u/mu/phakathi
lomhlangano	lwa/u/m/hlangano
kunezindawo	ku/na/i/zin/dawo
ngokushesha	nga/u/ku/shesh/a
ngokunikela	nga/u/ku/nikel/a
wobandlululo	wa/u/bandlululo
ngokushesha	nga/u/ku/shesh/a
entuthukweni	e/n/tuthuko/ini
kwezakhamuzi	kwa/zi/akhamuzi
emkhakheni	e/u/mu/khakha/ini
ezombusazwe	e/za/u/m/busazwe
zokusebenza	za/u/ku/sebenz/a
ngokucacisa	nga/u/ku/cacis/a
emkhandlwini	e/m/khandlu/ini
zomphakathi	zo/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
kweprojekthi	kwa/i/projekthi
yezakhamuzi	ya/i/zi/akhamuzi
ngokushesha	nga/u/ku/shesh/a
emsebenzini	e/mu/sebenzi/ini
okuhlangene	oku/hlangan/il/e
zomphakathi	za/u/mu/phakathi
enempumelelo	e/na/m/pumelelo
ngokushesha	nga/u/ku/shesh/a
kwezimpahla	kwa/i/zin/pahl/a
semthethweni	se/m/thetho/ini
yokusebenza	ya/u/ku/sebenz/a
nokusebenza	na/u/ku/sebenz/a
sokusebenza	sa/u/ku/sebenz/a
zokusebenza	za/u/ku/sebenz/a
ezehlukene	ezi/ehluk/an/e
nokusebenza	na/u/ku/sebenz/a
ezahlukene	ezi/ahluk/an/il/e
lokuhlaziya	la/u/ku/hlaziy/a
ezehlukene	ezi/ehluk/an/e
ngokushesha	nga/u/ku/shesh/a
zomphakathi	zo/u/mu/phakathi
lotshalomali	la/u/tshalomali
ngokugcwala	nga/u/ku/gcwal/a
emkhakheni	e/u/mu/khakha/ini
kwabesilisa	kwa/a/be/si/lisa
zomphakathi	zo/u/mu/phakathi
sekhephithali	s/ikhephithali
kunesidingo	ku/na/i/si/dingo
ngokushesha	nga/u/ku/shesh/a
nokwandiswa	na/ku/and/is/w/a
ngokushesha	nga/u/ku/shesh/a
komphakathi	ko/u/mu/phakathi
somphakathi	sa/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
ezentuthuko	e/za/i/n/tuthuko
nezakhamuzi	na/i/zi/akhamuzi
ezicatshangwe	ezi/cabang/w/e
lomphakathi	la/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
kwabesilisa	kwa/a/be/si/lisa
ekubukeleni	e/ku/bukel/a/ini
inesikhathi	i/na/i/si/khathi
okungenzeka	oku/nga/enz/ek/a
zomphakathi	zo/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
yezezimali	ya/i/za/i/zi/mali
entuthukweni	e/n/tuthuko/ini
yomphakathi	ya/u/mu/phakathi
enempumelelo	e/na/m/pumelelo
ngokukhokha	nga/u/ku/khokh/a
emsebenzini	e/mu/sebenzi/ini
komphakathi	ko/u/mu/phakathi
zokungabusi	za/uku/nga/bus/i
yobandlululo	ya/u/bandlululo
lephrojekthi	la/i/phrojekthi
yephrojekthi	ya/i/phrojekthi
yokusekela	ya/u/ku/sek/el/a
yokusebenza	ya/u/ku/sebenz/a
womphakathi	wa/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
komphakathi	ko/u/mu/phakathi
likahulumeni	lika/u/hulumeni
nokusebenza	na/u/ku/sebenz/a
ngokukhetha	nga/u/ku/kheth/a
esabelweni	e/sa/abel/w/a/ini
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
oselwenziwe	o/se/lu/enz/iw/e
sokusebenza	sa/u/ku/sebenz/a
inesikhathi	i/na/i/si/khathi
ekulethweni	e/ku/leth/w/an/i
ezehlukene	ezi/ehluk/an/e
komphakathi	ko/u/mu/phakathi
inomthelela	i/na/u/m/thelela
wokucabanga	wa/u/ku/cabang/a
ezimpilweni	e/zi/m/philo/ini
kunesidingo	ku/na/i/si/dingo
ezinhlelweni	ezi/n/hlelo/ini
nokusebenza	na/u/ku/sebenz/a
ezahlukene	ezi/ahluk/an/il/e
ngokushesha	nga/u/ku/shesh/a
komphakathi	ko/u/mu/phakathi
ekunikezeni	e/ku/nikez/a/ini
zomphakathi	zo/u/mu/phakathi
ezahlukene	ezi/ahluk/an/il/e
yephrojekthi	ya/i/phrojekthi
okungenzeka	oku/nga/i/n/zeka
yokubhekana	ya/uku/bhek/an/a
zomphakathi	zo/u/mu/phakathi
nokufiswayo	na/ku/fis/w/a/yo
ekuhlukaneni	e/kuhlukana/ini
komphakathi	ko/u/mu/phakathi
aphakanyiswe	a/phakam/is/w/e
emsebenzini	e/mu/sebenzi/ini
emsebenzini	e/mu/sebenzi/ini
kweprojekthi	kwa/i/projekthi
zokuchelela	za/u/ku/chelel/a
nomphakathi	no/u/mu/phakathi
nomphakathi	no/u/mu/phakathi
nomphakathi	no/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
sokusebenza	sa/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
emsebenzini	e/mu/sebenzi/ini
emsebenzini	e/mu/sebenzi/ini
zomphakathi	zo/u/mu/phakathi
zokunciphisa	za/ku/nciphis/a
komphakathi	ko/u/mu/phakathi
lomphakathi	la/u/mu/phakathi
emkhakheni	e/u/mu/khakha/ini
zomphakathi	zo/u/mu/phakathi
nothuthukayo	na/thuthuk/a/yo
zokusebenza	za/u/ku/sebenz/a
lezakhamuzi	la/i/zi/akhamuzi
wobandlululo	wa/u/bandlululo
olusabalele	olu/sabalel/il/e
womphakathi	wa/u/mu/phakathi
ngokwemvelo	nga/u/kwe/m/velo
okungenzeka	oku/nga/i/n/zeka
lokusebenza	lo/u/ku/sebenz/a
kukahulumeni	kuka/u/hulumeni
komphakathi	ko/u/mu/phakathi
yemukelekile	i/emukelek/il/e
emkhakheni	e/u/mu/khakha/ini
zomphakathi	zo/u/mu/phakathi
lomhlangano	lwa/u/m/hlangano
nomphakathi	na/u/mu/phakathi
zokusebenza	za/u/ku/sebenz/a
wokusebenza	wa/u/ku/sebenz/a
ekuhloleni	e/u/ku/hlol/a/ini
zomphakathi	zo/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
engxenyeni	e/i/n/ngxenye/ini
kwizinombolo	ku/i/zi/nombolo
ezinhlelweni	ezi/n/hlelo/ini
ekupheleni	e/u/ku/phel/a/ini
ekuhleleni	e/u/ku/hlel/a/ini
nokubhekana	na/uku/bhek/an/a
kokusebenza	kwa/uku/sebenz/a
nokusebenza	na/u/ku/sebenz/a
komphakathi	ko/u/mu/phakathi
akwisahluko	a/ku/i/si/ahluko
emsebenzini	e/mu/sebenzi/ini
zokusebenza	za/u/ku/sebenz/a
noguqukayo	na/u/guquka/yo
ngokohlanga	ng/okwa/u/hlanga
nomphakathi	na/u/mu/phakathi
seziyakwazi	se/zi/ya/ku/az/i
kunangonyaka	ku/na/nga/nyaka
zephrojekthi	za/i/phrojekthi
wephrojekthi	wa/i/phrojekthi
ngokufanayo	nga/u/ku/fana/yo
okulungisela	oku/lungis/iw/a
nesabelomali	na/i/sabelomali
emsebenzini	e/mu/sebenzi/ini
ngokucacile	nga/u/ku/cac/ile
nesabelomali	na/i/sabelomali
zokusebenza	za/u/ku/sebenz/a
lekhomishani	la/i/khomishani
kwakulinywa	kwa/u/ku/linyw/a
esikhundleni	esi/khundla/ini
zomphakathi	za/u/mu/phakathi
nokuphawula	na/u/ku/phawul/a
womphakathi	wa/u/mu/phakathi
sokusebenza	sa/u/ku/sebenz/a
ngokufanele	nga/u/ku/fanel/e
ngephrojekthi	nga/phrojekthi
ngesabelomali	nga/sabelomali
ngomsebenzi	nga/u/mu/sebenzi
kumphakathi	ku/u/mu/phakathi
engxenyeni	e/i/n/ngxenye/ini
ngomsebenzi	nga/u/mu/sebenzi
ekuthengeni	e/ku/theng/a/ini
lomphakathi	la/u/mu/phakathi
ezinhlosweni	ezi/n/hloso/ini
zephrojekthi	za/i/phrojekthi
lomphakathi	lo/u/mu/phakathi
kunenkulumo	ku/na/i/n/kulumo
nesabelomali	na/i/sabelomali
yokusebenza	ya/u/ku/sebenz/a
ekuhwebeni	e/u/ku/hweb/a/ini
nomphumela	na/u/mu/phum/el/a
ezicatshangwa	ezi/cabang/w/a
komphakathi	ko/u/mu/phakathi
sokusebenza	sa/u/ku/sebenz/a
ekubanjweni	e/ku/banjw/a/ini
nokusebenza	na/u/ku/sebenz/a
akwingxabano	a/ku/i/ngxabano
ngokufanayo	nga/u/ku/fana/yo
ekuhleleni	e/u/ku/hlel/a/ini
yesibonelelo	ye/isi/bonelelo
kokuqaliswa	ku/oku/qalis/w/a
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ngomsebenzi	nga/u/mu/sebenzi
inezinhlelo	i/na/i/zin/hlelo
ngokushesha	nga/u/ku/shesh/a
emsebenzini	e/mu/sebenzi/ini
lephrojekthi	la/i/phrojekthi
wephrojekthi	wa/i/phrojekthi
nesabelomali	na/i/sabelomali
zekhephithali	z/ikhephithali
nesabelomali	na/i/sabelomali
neningizimu	na/i/n/ningizimu
nokudingeka	na/oku/ding/ek/a
kwemikhiqizo	kwa/imi/khiqizo
ezindlekweni	e/zin/dleko/ini
lukazwelonke	luka/u/zwelonke
zomphakathi	zo/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
okunenhloso	oku/na/i/n/hloso
yezakhamuzi	ya/i/zi/akhamuzi
notshalomali	na/u/tshalomali
emkhakheni	e/u/mu/khakha/ini
nokusebenza	na/u/ku/sebenz/a
zomphakathi	zo/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ngokwemvelo	nga/u/kwe/m/velo
nabaphathwa	na/aba/phath/w/a
ngokufanayo	nga/u/ku/fana/yo
owesithathu	o/wa/i/si/thathu
nokuqondisa	na/u/ku/qondis/a
yephrojekthi	ya/i/phrojekthi
komphakathi	ko/u/mu/phakathi
namakomijana	na/ama/komijana
yezomnotho	ya/i/za/u/m/notho
ubambiswano	u/lu/bambiswan/o
yomphakathi	ya/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
lomhlangano	lwa/u/m/hlangano
yokusebenza	ya/u/ku/sebenz/a
ezinhlelweni	ezi/n/hlelo/ini
yokuphathwa	yo/uku/phath/w/a
ezethulelwa	ezi/ethul/el/w/a
ngomsebenzi	nga/u/mu/sebenzi
emsebenzini	e/mu/sebenzi/ini
kusezingeni	ku/s/e/zinga/ini
ngokwendawo	nga/u/kwa/n/dawo
ezinelungelo	ezi/na/ilungelo
njengomthetho	njenga/mthetho
zomphakathi	zo/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
ezinemibono	ezi/ne/i/mi/bono
lomhlangano	lwa/u/m/hlangano
ekukhombeni	e/ku/khomb/a/ini
