wokuhlela	wa/u/ku/hlel/a
nokukhula	na/u/ku/khul/a
ezokwakha	ezi/u/ku/akh/a
ezemfundo	e/za/i/m/fundo
yokubamba	ya/u/ku/bamb/a
zokubamba	za/u/ku/bamb/a
ezehlukile	ezi/ehluk/ile
lokubamba	la/u/ku/bamb/a
nomasipala	na/u/masipala
kazwelonke	ka/u/zwelonke
kumasipala	ku/u/masipala
zokubamba	za/u/ku/bamb/a
isetshenzwe	i/sebenz/w/e
lokubheka	la/u/ku/bhek/a
nokokumaka	na/ko/ku/maka
lepolitiki	la/i/politiki
umphakathi	u/mu/phakathi
nalingene	na/lingan/il/e
kuhulumeni	ku/u/hulumeni
yokuthola	ya/u/ku/thol/a
yezemfundo	ya/i/za/i/n/fundo
selimile	se/li/i/ma/il/e
sokuphila	sa/u/ku/phil/a
zoshintsho	za/u/shintsho
eminingana	emi/ningi/ana
emhlabeni	e/mu/hlaba/ini
ngokuqoqa	nga/u/ku/qoq/a
yokuthola	ya/u/ku/thol/a
zokuhlela	za/u/ku/hlel/a
umphakathi	u/mu/phakathi
kumasipala	ku/u/masipala
yokuhlela	ya/u/ku/hlel/a
umphakathi	u/mu/phakathi
nengxabano	na/i/ngxabano
engasimeme	e/nga/simam/e
komthetho	kwa/u/m/thetho
kazwelonke	ka/u/zwelonke
lokuqonda	la/u/ku/qond/a
umphakathi	u/mu/phakathi
kazwelonke	ka/u/zwelonke
yokubamba	ya/u/ku/bamb/a
engenziwa	e/nge/enz/iw/a
esigcemeni	esi/gceme/ini
umphakathi	u/mu/phakathi
wokugcina	wa/u/ku/gcin/a
umhlangano	u/mu/hlangano
umphakathi	u/mu/phakathi
kazwelonke	ka/u/zwelonke
nengabizi	na/i/nga/biz/i
ezamandla	e/za/a/ma/ndla
yokufakwa	ya/uku/fak/w/a
kahulumeni	ka/u/hulumeni
nomthetho	no/u/mu/thetho
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
nekhansela	na/i/khansela
nakwezinye	na/ku/ezi/nye
kahulumeni	ka/u/hulumeni
izakhamuzi	i/zi/akhamuzi
yokuvikela	ya/ku/vikel/a
umphakathi	u/mu/phakathi
kunomehluko	ku/na/mehluko
besifazane	ba/i/si/fazane
kwangempela	kwa/nga/mpela
kumphumela	ku/u/m/phumela
wezinhlaka	wa/i/zin/hlaka
lokulawula	la/uku/lawul/a
ezindaweni	e/i/zin/ndawo/ini
namasekela	na/a/ma/sekela
ngokubanzi	nga/u/ku/banzi
zesikhathi	za/i/si/khathi
ngamathuba	nga/a/ma/thuba
nentuthuko	na/i/n/tuthuko
nomthelela	na/u/m/thelela
kwezidingo	kwa/i/zi/dingo
kweziphumo	kwa/i/zi/phumo
bomkhandlu	ba/u/m/khandlu
kokungcola	ku/oku/ngcol/a
nesikhwama	na/i/si/khwama
kwezindawo	kwa/i/zin/dawo
kwezidingo	kwa/i/zi/dingo
besifazane	ba/i/si/fazane
nentuthuko	na/i/n/tuthuko
nezinkinga	na/i/zin/kinga
yomkhandlu	ya/u/m/khandlu
zemisakazo	za/i/mi/sakazo
nemkhiqizo	na/i/m/khiqizo
ngezidingo	nga/i/zi/dingo
zase-afrika	za/s/e/afrika
bengakwazi	be/nga/ku/az/i
emanothini	e/ma/nothi/ini
kodokotela	kwa/o/dokotela
ngezifundo	nga/i/zi/fundo
kwamakhono	kwa/a/ma/khono
yesikhathi	ya/i/si/khathi
nabaphathi	na/a/ba/phathi
zesikhungo	za/i/si/khungo
zezinhlobo	ze/i/zin/hlobo
wezigigaba	wa/i/zi/gigaba
zesikhathi	ze/i/si/khathi
nezindleko	ne/i/zin/dleko
nezikhwama	ne/i/zi/khwama
ngezidingo	nga/i/zi/dingo
ngamalungu	nga/a/ma/lungu
ngobuningi	nga/u/bu/ningi
okungenani	oku/nga/i/nani
okungenani	oku/nga/i/nani
nezindlela	na/i/zin/dlela
i-millennium	i/millennium
kwezidingo	kwa/i/zi/dingo
wezinkinga	wa/i/zin/kinga
besifazane	ba/i/si/fazane
zomphakathi	za/m/phakathi
sokubalwa	sa/u/ku/bal/w/a
lokuqedela	la/uku/qedel/a
kokukwazi	kwa/u/ku/ku/azi
ngokubanzi	nga/u/ku/banzi
emiboneni	e/mi/bon/a/en/i
nomthelela	na/u/mu/thelela
emathubeni	e/ma/thuba/ini
ezifundeni	e/zi/funda/ini
nezinhlelo	na/i/zin/hlelo
okokuqala	okwa/u/ku/qal/a
okwesibili	okwa/i/si/bili
bomkhandlu	ba/u/m/khandlu
zombusazwe	za/u/m/busazwe
lokuqashwa	la/ku/qash/w/a
kwiwadi-xyz	ku/i/wadi/xyz
emaqenjini	e/ma/qembu/ini
emakhadini	e/ma/khadi/ini
kwezinqumo	kwa/i/zin/qumo
ngamaqembu	nga/a/ma/qembu
ngamaqembu	nga/a/ma/qembu
lwamaphuzu	lwa/a/ma/phuzu
nesithunzi	na/i/si/thunzi
ngamakhaya	nga/a/ma/khaya
ezindaweni	e/i/zin/ndawo/ini
ngezindaba	nga/i/zin/daba
nezikhungo	na/i/zi/khungo
kumkhandlu	ku/u/m/khandlu
nesikhathi	na/i/si/khathi
kwemicimbi	kwa/i/mi/cimbi
ngokwesimo	nga/u/kwe/simo
ezifundeni	e/zi/funda/ini
ngobukhona	nga/u/bu/khona
elihlangene	eli/hlangan/e
endleleni	e/i/n/dlela/ini
ngezindaba	nga/i/zin/daba
besifazane	ba/i/si/fazane
nezinhlelo	na/i/zin/hlelo
besifazane	ba/i/si/fazane
besifazane	ba/i/si/fazane
kwezifunda	kwa/i/zi/funda
iningizimu	i/li/ningizimu
ngamathuba	nga/a/ma/thuba
iningizimu	i/li/ningizimu
namaqhinga	na/a/ma/qhinga
womkhandlu	wa/u/m/khandlu
nesikhathi	na/i/si/khathi
ukuvinjelwa	u/ku/vimjelwa
esingezansi	esi/nga/zansi
nokufunwa	na/u/ku/fun/w/a
nezinjongo	na/i/zin/jongo
nezomnotho	na/i/za/u/mnotho
nezinhlelo	na/i/zin/hlelo
nezindlela	na/i/zin/dlela
ekhasini	e/i/li/khasi/ini
zezinkinga	ze/i/zin/kinga
ngokwenze	nga/u/kwa/enz/e
nokwabiwa	na/u/ku/ab/iw/a
kwezinsiza	kwa/i/zin/siza
ukwahlukana	uku/ahlukan/a
yezinhloso	ye/i/zi/nhloso
kwamakhono	kwa/a/ma/khono
kokungcola	ku/oku/ngcol/a
kwezindawo	kwa/i/zin/dawo
esamukelwe	esi/amukel/w/e
nesikhathi	na/i/si/khathi
nezindleko	na/i/zin/dleko
neminikelo	na/i/mi/nikelo
ekuxhaseni	e/kuxhas/a/ini
zezikhathi	za/i/zi/khathi
ekhasini	e/i/li/khasi/ini
nemithetho	ne/i/mi/thetho
kwezinsiza	kwa/i/zin/siza
owandulela	o/wa/andulel/a
wezingxoxo	wa/i/zi/ngxoxo
lokuhlola	lwa/u/ku/hlol/a
zomphumela	za/u/m/phumela
emazingeni	e/ma/zinga/ini
kwezinqumo	kwa/i/zin/qumo
kwababambe	kwa/aba/bamb/e
sokwenzeka	so/ku/enz/ek/a
kunokuthi	ku/na/u/ku/th/i
nanokuthi	na/na/u/ku/th/i
yezinyanga	ya/i/zi/nyanga
kumkhandlu	ku/u/m/khandlu
kokukhula	kwa/u/ku/khul/a
kwamaqembu	kwa/a/ma/qembu
lwamaqembu	lwa/a/ma/qembu
sokwazisa	sa/u/ku/az/is/a
lokuhlola	lwa/u/ku/hlol/a
kwezinsiza	kwa/i/zin/siza
kwamaqembu	kwa/a/ma/qembu
nezinhlelo	na/i/zin/hlelo
kwezinqumo	kwa/i/zin/qumo
zezinhlelo	za/i/zin/hlelo
nezinhloso	na/i/zin/hloso
kwezinqumo	kwa/i/zin/qumo
kwezinqumo	kwa/i/zin/qumo
emakhasini	e/ma/khasi/ini
abangayazi	aba/nga/i/az/i
nokungcola	na/u/ku/ngcola
wentuthuko	wa/i/n/tuthuko
ngamakhono	nga/a/ma/khono
sezinkinga	sa/i/zin/kinga
lezinjongo	le/i/zin/jongo
nesikhathi	ne/i/si/khathi
lokuhlela	lwa/u/ku/hlel/a
nezinhlelo	na/i/zin/hlelo
kubhekanwe	ku/bhek/an/w/a
bezinhlaka	ba/i/zin/hlaka
kwamathuba	kwa/a/ma/thuba
emisebenzi	a/i/mi/sebenzi
nezinhlaka	na/i/zin/hlaka
ibhizinisi	i/li/bhizinisi
nezinkinga	na/i/zin/kinga
ngamakhono	nga/a/ma/khono
ezwenikazi	e/zwe/ini/kazi
kwezidingo	kwa/i/zi/dingo
ukwamukela	u/ku/amuk/el/a
kwisahluko	kwi/i/si/ahluko
ngamalungu	nga/a/ma/lungu
yokukhetha	ya/uku/kheth/a
ngebhalothi	nga/ibhalothi
emalungeni	e/ma/lunga/ini
ngokubanzi	nga/u/ku/banzi
kwibhajethi	ku/i/bhajethi
nobunikazi	na/u/bu/nikazi
ngokubanzi	nga/u/ku/banzi
nezinhloso	na/i/zin/hloso
zobunikazi	za/u/bu/nikazi
zobunikazi	za/u/bu/nikazi
nezimayini	na/i/zi/mayini
kwamahhala	kwa/a/ma/hhala
ngezidingo	nga/i/zi/dingo
empilweni	e/i/n/philo/ini
kumkhandlu	ku/u/m/khandlu
nesikhathi	na/i/si/khathi
nokuyalwa	na/u/ku/yal/w/a
kwezidingo	kwa/i/zi/dingo
ezindaweni	e/i/zin/ndawo/ini
wezinhlelo	wa/i/zin/hlelo
nezindlela	na/i/zin/dlela
kokubheka	kwa/u/ku/bhek/a
okunenzuzo	oku/na/i/nzuzo
ngamasheya	nga/a/ma/sheya
kwezimboni	kwa/i/zi/mboni
besifazane	ba/i/si/fazane
besifazane	ba/i/si/fazane
besifazane	ba/i/si/fazane
wumsebenzi	w/u/mu/sebenzi
yemikhakha	ya/i/mi/khakha
lwezindawo	lwa/i/zin/dawo
nezinhlelo	na/i/zin/hlelo
kokuphela	kwa/u/ku/phel/a
sokulalela	sa/uku/lalel/a
bengakwazi	be/nga/ku/az/i
kwababambe	kwa/aba/bamb/e
kwezidingo	kwa/i/zi/dingo
sezinkinga	sa/i/zin/kinga
izimbangela	i/zi/mbamgela
ne-community	na/community
yobunikazi	ya/u/bu/nikazi
kwezidingo	kwa/i/zi/dingo
ngamakhono	nga/a/ma/khono
yesikhathi	ya/i/si/khathi
zemikhakha	za/i/mi/khakha
ngokubanzi	nga/u/ku/banzi
zokwenziwa	zo/ku/enz/iw/a
kwabafundi	kwa/a/ba/fundi
nelungelo	na/i/lungelo
nezinkinga	na/i/zin/kinga
sebemukele	se/be/amukel/e
nempendulo	na/i/m/pendulo
eshumini	e/i/li/shumi/ini
kwamakhono	kwa/a/ma/khono
empilweni	e/i/n/philo/ini
kwezempilo	kwe/ze/m/philo
kwezempilo	kwe/ze/m/philo
kwezempilo	kwe/ze/m/philo
nezinhlelo	na/i/zin/hlelo
ngezindaba	nga/i/zin/daba
nezesekwe	na/i/zi/sek/w/e
kwezikhulu	kwa/i/zi/khulu
ezikhulwini	ezi/khulu/ini
zezempilo	ze/za/i/n/philo
kwezindawo	kwa/i/zin/dawo
wesikhathi	wa/i/si/khathi
kwezindawo	kwa/i/zin/dawo
kwamalungu	kwa/a/ma/lungu
wezinhlelo	wa/i/zin/hlelo
lwentuthuko	lwa/intuthuko
ngezindaba	nga/i/zin/daba
semikhumbi	sa/i/mi/khumbi
ekuhleleni	e/ku/hlela/ini
namakomidi	na/a/ma/komidi
kunomehluko	ku/na/mehluko
weprojekthi	wa/iprojekthi
ezindabeni	e/i/zin/ndawo/ini
yezinhloso	ya/i/zin/hloso
ezindabeni	e/i/zin/ndawo/ini
nezindlela	na/i/zin/dlela
kwezinqumo	kwa/i/zin/qumo
ukwamukela	u/ku/amuk/el/a
ezepolotiki	e/za/polotiki
nezindlela	na/i/zin/dlela
yobuhlanga	ya/u/bu/hlanga
nempendulo	na/i/m/pendulo
kwemigwaqo	kwa/i/mi/gwaqo
onyakeni	o/u/nyaka/ini
lesikhathi	la/i/si/khathi
ezindaweni	ezi/n/dawo/ini
iningizimu	i/li/ningizimu
lwamaqembu	lwa/a/ma/qembu
kunqanyulwa	ku/nqamul/w/a
emashumini	e/ma/shumi/ini
nomthelela	na/u/mu/thelela
besifazane	ba/i/si/fazane
zemikhakha	za/i/mi/khakha
enelungelo	e/na/i/lungelo
lamakomidi	la/a/ma/komidi
ekuhleleni	e/ku/hlela/ini
esigcemeni	e/si/gceme/ini
ngezizathu	nga/i/zi/zathu
neyohlelo	na/i/ya/u/hlelo
ngesibopho	nga/i/si/bopho
kwesihloko	kwa/i/si/hloko
ngamaqembu	nga/a/ma/qembu
ezindaweni	ezi/n/dawo/ini
yesikhathi	ya/i/si/khathi
nemithetho	na/i/mi/thetho
ngezindawo	nga/i/zin/dawo
nobufakazi	na/u/bu/fakazi
zesikhathi	za/i/si/khathi
kwabahlali	kwa/a/ba/hlali
ngokuzayo	nga/u/ku/z/a/yo
lwentuthuko	lwa/intuthuko
kwamakhono	kwa/a/ma/khono
lokugcina	lwa/u/ku/gcin/a
sesikhungo	se/i/si/khungo
wesikhathi	wa/i/si/khathi
kwamazinga	kwa/a/ma/zinga
selwenziwe	se/lu/enz/iw/e
nomthelela	na/u/m/thelela
ngokubanzi	nga/u/ku/banzi
nonekhono	na/u/na/i/khono
kwemigwaqo	kwa/i/mi/gwaqo
namaqhinga	na/a/ma/qhinga
kwamazinga	kwa/a/ma/zinga
ngamathuba	nga/a/ma/thuba
nezinhloso	na/i/zin/hloso
sokufakwa	sa/u/ku/fak/w/a
iningizimu	i/li/ningizimu
nezikhungo	na/i/zi/khungo
ezengeziwe	ezi/engez/iw/e
nezikhungo	na/i/zi/khungo
senkingeni	se/n/kinga/ini
kwehlukana	uku/ahluk/an/a
sezinkinga	sa/i/zin/kinga
yesihlahla	ya/i/si/hlahla
wamakomiti	wa/a/ma/komiti
lomphumela	lo/u/m/phumela
kwezifundo	kwa/i/zi/fundo
kweminyaka	kwa/i/mi/nyaka
emigwaqeni	e/mi/gwaqo/ini
yesitimela	ya/i/si/timela
kwamakhono	kwa/a/ma/khono
kwamaqembu	kwa/a/ma/qembu
lezezindlu	le/za/izi/ndlu
zezezindlu	za/za/izi/ndlu
kwezempilo	kwe/ze/m/philo
kwezempilo	kwe/ze/m/philo
nangokonga	na/nga/ku/onga
nesiphakeme	na/si/phakeme
njengohlelo	njenga/uhlelo
nezinhlelo	na/i/zin/hlelo
nezinhlelo	na/i/zin/hlelo
neyohlaka	na/e/ya/u/hlaka
nemikhakha	na/i/mi/khakha
nezimayini	na/i/zi/mayini
kwezindawo	kwa/i/zin/dawo
nezinjongo	na/i/zin/jongo
kuyokwenza	ku/yo/ku/enz/a
kwamathuba	kwa/a/ma/thuba
kumkhandlu	ku/u/m/khandlu
kumkhandlu	ku/u/m/khandlu
esifundeni	e/si/funda/ini
wase-afrika	wa/s/e/afrika
nomphumela	na/u/m/phumela
beminyango	ba/i/mi/nyango
nezinhlelo	na/i/zin/hlelo
kwezidingo	kwa/i/zi/dingo
kwamashumi	kwa/a/ma/shumi
nokufakwa	na/u/ku/fak/w/a
ezindaweni	e/zin/dawo/ini
kwabampofu	kwa/a/ba/mpofu
sezindleko	sa/i/zin/dleko
nezinhloso	na/i/zin/hloso
nezinhlaka	na/i/zin/hlaka
yokuguquka	ya/uku/guquk/a
ngezidingo	nga/i/zi/dingo
ngezindaba	nga/i/zin/daba
zomkhandlu	za/u/m/khandlu
nomkhandlu	na/u/m/khandlu
ngezindaba	nga/i/zin/daba
zomkhandlu	za/u/m/khandlu
zezakhamizi	z/i/zakhamizi
kwezimboni	kwa/i/zi/mboni
ezokudoba	e/za/u/ku/dob/a
kungezeka	ku/nga/enz/ek/a
yabelanani	ya/abelan/an/i
ngemiqondo	nga/i/mi/qondo
angama-848	a/nga/a/ma/848
kwamaphuzu	kwa/a/ma/phuzu
kwamathuba	kwa/a/ma/thuba
emisebenzi	a/i/mi/sebenzi
kwezindawo	kwa/i/zin/dawo
eziningana	ezin/ningi/ana
kwamathuba	kwa/a/ma/thuba
izimpendulo	i/zin/pendulo
besifazane	ba/i/si/fazane
nezinkinga	na/i/zin/kinga
wabaphathi	wa/a/ba/phathi
beminyango	ba/i/mi/nyango
lwamaqembu	lwa/a/ma/qembu
yentuthuko	ya/i/n/tuthuko
besihlelela	ba/si/hlelela
emaqenjini	e/ma/qembu/ini
namaphepha	na/a/ma/phepha
abaneqhaza	aba/na/i/qhaza
wezinhlelo	wa/i/zin/hlelo
nezingxoxo	na/i/zi/ngxoxo
kwamakhono	kwa/a/ma/khono
nezindleko	na/i/zin/dleko
besikhathi	ba/i/si/khathi
ezindaweni	e/zin/dawo/ini
ezindaweni	e/zin/dawo/ini
zinethonya	zi/na/i/thonya
zezinhlaka	za/i/zi/nhlaka
kwesifunda	kwa/i/si/funda
nezinkomba	na/i/zin/komba
nezinjongo	na/i/zin/jongo
zentuthuko	za/i/n/tuthuko
emakhadini	e/ma/khadi/ini
emakhasini	e/ma/khasi/ini
namakomidi	na/a/ma/komidi
kwamakhono	kwa/a/ma/khono
esingezansi	esi/nga/zansi
kwenzekani	ku/enz/ek/a/ni
emanothini	e/ma/nothi/ini
okungenani	oku/nga/i/nani
nezindlela	na/i/zin/dlela
zentuthuko	za/i/n/tuthuko
ngomdlandla	nga/umdlandla
amazingeni	a/ma/zinga/ini
wamakomiti	wa/a/ma/komiti
ezizokwazi	ezi/zo/ku/az/i
njengokuthi	njenga/ukuthi
nezinhlelo	na/i/zin/hlelo
lamakomidi	la/a/ma/komidi
kwezinqumo	kwa/i/zin/qumo
zomkhandlu	za/u/m/khandlu
yomkhandlu	ya/u/m/khandlu
nemikhakha	na/i/mi/khakha
nezinhlelo	na/i/zin/hlelo
ukukhishwa	u/ku/khiph/w/a
ezindaweni	e/i/zin/ndawo/ini
ngezinkinga	nga/zin/kinga
ngamalungu	nga/a/ma/lungu
sezinkinga	sa/i/zin/kinga
nezinhlelo	na/i/zin/hlelo
ngosihlalo	ngo/o/si/hlalo
nomkhandlu	na/u/m/khandlu
nenqubekela	na/n/qubekela
nezinkinga	na/i/zin/kinga
yamatekisi	ya/a/ma/tekisi
ekuhleleni	e/ku/hlela/ini
endleleni	e/i/n/dlela/ini
nezinkinga	na/i/zin/kinga
yentuthuko	ya/i/n/tuthuko
nanokuthi	na/na/u/ku/th/i
kwezindawo	kwa/i/zin/dawo
wezinhlaka	wa/i/zin/hlaka
wezinhlelo	wa/i/zin/hlelo
uhambisana	u/ku/hambisana
wezinhlelo	wa/i/zin/hlelo
lwentuthuko	lwa/intuthuko
ngezihloko	nga/i/zi/hloko
besifazane	ba/i/si/fazane
iningizimu	i/li/ningizimu
yokuguquka	ya/uku/guquk/a
endleleni	e/i/n/dlela/ini
yezinhlelo	ya/i/zin/hlelo
zesikhathi	za/i/si/khathi
nase-brazil	na/s/e/brazil
kwamakhulu	kwa/a/ma/khulu
okwehlukana	oku/ahlukan/a
nomthelela	na/u/mu/thelela
ngokwenele	nga/u/kwe/nele
kwezindawo	kwa/i/zin/dawo
ngezidingo	nga/i/zi/dingo
ebebedinga	e/ba/be/ding/a
wezinhlaka	wa/i/zin/hlaka
wezinhlelo	wa/i/zin/hlelo
kubaphathi	ku/a/ba/phathi
bezinhlelo	ba/i/zin/hlelo
ekupheleni	e/ku/phela/ini
kweminyaka	kwa/i/mi/nyaka
enkundleni	e/n/kundla/ini
nezingxoxo	ne/i/zi/ngxoxo
nokwandisa	na/ku/and/is/a
emaqenjini	e/ma/qembu/ini
nezikhathi	na/i/zi/khathi
njengezifo	njenga/i/zi/fo
zesikhathi	za/i/si/khathi
zezithombo	za/i/zi/thombo
nezinhlelo	na/i/zin/hlelo
nesikhathi	na/i/si/khathi
zabaphathi	za/a/ba/phathi
kwesigceme	kwa/i/si/gceme
namakomidi	na/a/ma/komidi
namakomidi	na/a/ma/komidi
bezinhlelo	ba/i/zin/hlelo
wezinhlaka	wa/i/zin/hlaka
wezinhlelo	wa/i/zin/hlelo
ezindaweni	e/i/zin/ndawo/ini
kwezidingo	kwa/i/zi/dingo
kwenzekani	ku/enz/ek/a/ni
ezindabeni	e/i/zin/ndawo/ini
kumphumela	ku/u/m/phumela
yomkhandlu	ya/u/m/khandlu
ukwenelisa	u/ku/enel/is/a
nokuqalwe	na/u/ku/qal/w/e
kwezinqumo	kwa/i/zin/qumo
lwamalungu	lwa/a/ma/lungu
ngamathuba	nga/a/ma/thuba
ukukhishwa	u/ku/khiph/w/a
nomthelela	na/u/mu/thelela
kwamazinga	kwa/a/ma/zinga
nezigameko	na/i/zi/gameko
emaqenjini	e/ma/qembu/ini
emthamweni	e/mu/thamo/ini
wokwethula	wa/u/kwe/thula
yezinhloso	ya/i/zi/nhloso
kwezidingo	kwa/i/zi/dingo
ezindaweni	e/i/zin/ndawo/ini
ngezinsiza	nga/i/zin/siza
nenqubekela	na/n/qubekela
wokuguquka	wa/uku/guquk/a
zokukwazi	za/u/ku/ku/az/i
lokufunwa	la/u/ku/fun/w/a
nabanikazi	na/a/ba/nikazi
nezindlela	na/i/zin/dlela
okokuqala	okwa/u/ku/qal/a
ekuhleleni	e/ku/hlela/ini
nezinhlelo	na/i/zin/hlelo
nezindlela	na/i/zin/dlela
lwentuthuko	lwa/intuthuko
yomhlangano	ya/umhlangano
ngempendulo	nga/impendulo
nezinhloso	na/i/zin/hloso
kwiphakheji	ku/i/phakheji
kwamathuba	kwa/a/ma/thuba
kwezindawo	kwa/i/zin/dawo
ezifundeni	e/zi/funda/ini
kwezindawo	kwa/i/zin/dawo
yehlukene	i/ehluk/an/il/e
ngezindlela	nga/zin/dlela
ezindaweni	e/zin/dawo/ini
lokuhlola	lwa/u/ku/hlol/a
iningizimu	i/li/ningizimu
zabathengi	za/a/ba/thengi
bezikhungo	ba/i/zi/khungo
nezindlela	na/i/zin/dlela
zezezimali	za/za/izi/mali
emaqenjini	e/ma/qembu/ini
ngesifundo	nga/i/si/fundo
nenqubekela	na/n/qubekela
ngamazinga	nga/a/ma/zinga
wezinhlelo	wa/i/zin/hlelo
sendlalela	se/andlal/el/a
nezinhlelo	na/i/zin/hlelo
besifazane	ba/i/si/fazane
nanokuthi	na/na/u/ku/th/i
besifazane	ba/i/si/fazane
wokulethwa	wa/u/ku/lethwa
yokulethwa	ya/ku/leth/w/a
nesisekelo	na/i/si/sekelo
nezinkinga	na/i/zin/kinga
negciwane	na/i/li/gciwane
besifazane	ba/i/si/fazane
besifazane	ba/i/si/fazane
kubhekanwe	ku/bhek/an/w/a
lesikhungo	le/i/si/khungo
luzokwenza	lu/zo/ku/enz/a
izimpendulo	i/zin/pendulo
yokuvikela	ya/uku/vikel/a
kwezolimo	kwa/i/za/u/limo
kwezindawo	kwa/i/zin/dawo
yomkhandlu	ya/u/m/khandlu
yomkhandlu	ya/u/m/khandlu
unelungelo	u/na/i/lungelo
yomkhandlu	ya/u/m/khandlu
womkhandlu	wa/u/m/khandlu
womkhandlu	wa/u/m/khandlu
yomkhandlu	ya/u/m/khandlu
emaqenjini	e/ma/qembu/ini
kwamaqembu	kwa/a/ma/qembu
ekhasini	e/i/li/khasi/ini
zezinhlaka	za/i/zi/nhlaka
emazingeni	e/ma/zinga/ini
besifazane	ba/i/si/fazane
ukukhishwa	u/ku/khiph/w/a
ngezindaba	nga/i/zin/daba
ngamaqembu	nga/a/ma/qembu
ngezinqubo	nga/i/zin/qubo
wezinhlelo	wa/i/zin/hlelo
nezinhlelo	na/i/zin/hlelo
zokuqashwa	za/ku/qash/w/a
obelelesi	wa/u/bu/elelesi
nezohlelo	na/i/za/u/hlelo
lweminyaka	lwa/i/mi/nyaka
nezinhlelo	na/i/zin/hlelo
kwisahluko	kwi/i/si/ahluko
ngamakomidi	nga/amakomidi
nezinhlelo	na/i/zin/hlelo
nokufezwa	na/u/ku/fez/w/a
kwezidingo	kwa/i/zi/dingo
ngezinqumo	nga/i/zin/qumo
nezindlebe	na/i/zin/dlebe
nentuthuko	na/i/n/tuthuko
nezinhlelo	na/i/zin/hlelo
nentuthuko	na/i/n/tuthuko
ngobumnene	nga/u/bu/mnene
zokuthatha	za/uku/thath/a
kwezinsiza	kwa/i/zin/siza
