kokusetshenziswa	kwa/u/ku/sebenz/is/w/a
ngokuzishikashika	nga/u/ku/zi/shikashik/a
nasekucubunguleni	na/s/e/ku/cubungula/ini
nabasemaphandleni	n/aba/s/e/ma/phandle/ini
kwizinsizakusebenza	ku/i/zin/sizakusebenza
nabanentshisekelo	na/a/ba/na/i/ntshisekelo
ngezobuchwepheshe	nga/i/za/u/bu/chwepheshe
kwezokungcebeleka	ku/e/za/u/ku/ngcebelek/a
kwezobuchwepheshe	kwa/i/za/u/bu/chwepheshe
wokungabakhuthazi	wa/u/ku/nga/ba/khuthaz/i
ekuthuthukisweni	e/u/ku/thuthuk/is/w/a/ini
kwezobuchwepheshe	kwa/i/za/u/bu/chwepheshe
kuyahlangatshezwana	ku/ya/hlangabez/w/an/a
ekuthuthukisweni	e/u/ku/thuthuk/is/w/a/ini
kwezokuziqambela	kwa/e/za/uku/zi/qamb/el/a
ekuthuthukisweni	e/u/ku/thuthuk/is/w/a/ini
ngezobuchwepheshe	nga/i/za/u/bu/chwepheshe
ekuthuthukisweni	e/u/ku/thuthuk/is/w/a/ini
nasekusombululeni	na/s/e/ku/sombulul/a/ini
kuyahlangatshezwana	ku/ya/hlangabez/w/an/a
ngokushintshisana	nga/u/ku/shintsh/is/an/a
ngokuwahlanganisa	nga/uku/wa/hlang/an/is/a
kuyahlangatshezwana	ku/ya/hlangabez/w/an/a
ekwahlukanisweni	e/u/ku/ahlukan/is/w/a/ini
kokwahlukahlukana	kwa/u/ku/ahlukahluk/an/a
njengokuxhumanisa	njenga/u/ku/xhum/an/is/a
nakwezokuvakasha	na/kwa/i/za/u/ku/vakash/a
kwezokungcebeleka	ku/e/za/u/ku/ngcebelek/a
kuyahlangatshezwana	ku/ya/hlangabez/w/an/a
ngokulungiselelwe	nga/u/ku/lungis/elel/w/e
ngosekuzokwenziwa	ngo/s/e/ku/zoku/enz/iw/a
kwezobuchwepheshe	kwa/i/za/u/bu/chwepheshe
kwezobuchwepheshe	kwa/i/za/u/bu/chwepheshe
kwezobuchwepheshe	kwa/i/za/u/bu/chwepheshe
kwezobuchwepheshe	kwa/i/za/u/bu/chwepheshe
kuyahlangatshezwana	ku/ya/hlangabez/w/an/a
ekwahlukahlukaneni	e/kwa/ahlukahlukana/ini
ekwahlukahlukaneni	e/kwa/ahlukahlukana/ini
njengezijwayelekile	njenga/zi/jwayelek/ile
ngokusemthethweni	nga/u/ku/s/e/m/thetho/ini
ngokwengqalasizinda	nga/u/kwe/ngqalasizinda
ezinokungajwayeleki	ezi/na/ku/nga/jwayeleki
kwezinsizakusebenza	kwa/i/zin/sizakusebenza
kwezinsizakusebenza	kwa/i/zin/sizakusebenza
ngasohlangothini	nga/s/o/u/lu/hlangothi/ini
kwezinsizakusebenza	kwa/i/zin/sizakusebenza
kwingxoxo-mpikiswano	ku/i/ngxoxo/mpikiswano
kwezinsizakusebenza	kwa/i/zin/sizakusebenza
ngokusemthethweni	nga/u/ku/s/e/m/thetho/ini
ongenakusetshenziswa	o/nge/na/ku/sebenz/w/a
ngasohlangothini	nga/s/o/u/lu/hlangothi/ini
ngokwengqalasizinda	nga/u/kwe/ngqalasizinda
nangokuqinisekisa	na/nga/u/ku/qinis/ek/is/a
ngokusemthethweni	nga/u/ku/s/e/m/thetho/ini
kwezinsizakusebenza	kwa/i/zin/sizakusebenza
ngokusemthethweni	nga/u/ku/s/e/m/thetho/ini
zenqubekelaphambili	za/i/n/qubekelaphambili
nokuphokophokoplelwe	na/ku/phokophokoplelwe
neyasemadolobheni	na/i/ya/s/e/ma/dolobha/ini
yezinkulumompikiswano	y/izinkulumompikiswano
yezokuthuthukiswa	ya/e/za/uku/thuthuk/is/w/a
nangokobuchwepheshe	na/nga/oko/bu/chwepheshe
nasekufundisweni	na/s/e/u/ku/fund/is/w/a/ini
enenqubekelaphambili	e/na/inqubekelaphambili
nezinsizakusebenza	na/i/zi/nsiza/ku/sebenz/a
ngokungayinakekeli	nga/u/ku/nga/yi/nakekel/i
kwakuyisisombululo	kwa/u/ku/y/i/si/sombululo
okusesingenisweni	oku/s/e/si/ngen/is/w/e/ini
nezinsizakusebenza	na/i/zi/nsiza/ku/sebenz/a
ekwahlukahlukaneni	e/kwa/ahlukahluk/an/a/ini
njengawezinhlangano	njenga/wa/i/zin/hlangano
ngokwemininingwane	nga/u/kwa/i/mi/niningwane
ngangokusemandleni	nganga/oku/s/e/ma/ndla/ini
nasemadolobhenikazi	na/s/e/ma/dolobh/ini/kazi
ezisekubuyekezweni	e/zi/se/ku/buyekez/w/a/ini
ngumthethosivivinywa	ngu/mu/thethosivivinyw/a
ngenqubekelaphambili	nga/i/n/qubekelaphambili
zizosetsheziselwani	zi/zo/sebenz/is/el/w/a/ni
owabasezikhundleni	o/wa/ba/s/e/zi/khundla/ini
enjengokuqashiswa	e/njengango/u/ku/qash/is/w/a
nasekusebenzisaneni	na/s/e/ku/sebenz/is/an/ini
abanezinsizakusebenza	aba/na/zin/sizakusebenza
njengokuthuthukiswa	njenga/u/ku/thuthuk/is/w/a
nasekuqinisekiseni	na/s/e/u/ku/qinisek/is/a/ini
nokushintshaniselana	na/u/ku/shintshanis/el/an/a
zazingasetshenziselwa	za/zi/nga/sebenz/is/el/w/a
ngokomthethosisekelo	ng/okwa/u/mu/thethosisekelo
ngangokunokwenzeka	nga/nga/u/ku/na/u/ku/enz/ek/a
ngokwezenhlalakahle	nga/u/kwa/i/za/i/nhlalakahle
njengokwahlukahlukana	njenga/kwa/hluk/a/hluk/an/a
ngowabasezikhundleni	ngo/wa/ba/s/e/zi/khundla/ini
njengokungahlinzekwa	njenga/u/ku/nga/hlinz/ek/w/a
nasekusetshenzisweni	na/s/e/u/ku/sebenz/is/w/a/ini
okunokuphindaphindeka	oku/na/u/ku/phindaphind/ek/a
