kokunaka	kwa/u/ku/nak/a
kilendawo	ki/le/n/ndawo
ngendlela	nga/i/n/dlela
ekwenzeka	e/ku/enz/ek/a
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ukwenziwa	u/ku/enz/iw/a
neqhinga	na/i/li/qhinga
nezethulo	na/i/ze/thulo
ngendlela	nga/i/n/dlela
kilendawo	ki/le/n/ndawo
labahlali	la/a/ba/hlali
kilendawo	ki/le/n/ndawo
kilendawo	ki/le/n/ndawo
sokutlama	sa/u/ku/tlama
ngendlela	nga/i/n/dlela
abonelele	aba/onel/el/e
elaneleko	e/li/anele/ko
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
eenarheni	e/e/narha/eni
lokusisa	la/u/ku/si/s/a
ngendlela	nga/i/n/dlela
ukwenzela	u/ku/enz/el/a
ukwenziwa	u/ku/enz/iw/a
emibuzweni	e/mibuzo/eni
nesihloko	na/i/si/hloko
wamalunga	wa/a/ma/lunga
komnyaka	kwa/u/mu/nyaka
wamahlelo	wa/a/ma/hlelo
ngendlela	nga/i/n/dlela
ukwenziwa	u/ku/enz/iw/a
nephetheni	na/iphetheni
weminyaka	wa/i/mi/nyaka
komhlaba	kwa/u/mu/hlaba
yokugcina	ya/u/ku/gcina
namazinga	na/a/ma/zinga
komnyaka	kwa/u/mu/nyaka
ebubulweni	e/bubulo/ini
amabubulo	a/a/ma/bubulo
nesibopho	na/i/si/bopho
amabubulo	a/a/ma/bubulo
ukwenzela	u/ku/enz/el/a
yeenqhema	ye/i/in/qhema
ngemibono	nga/i/mi/bono
ukwenziwa	u/ku/enz/iw/a
ukwenziwa	u/ku/enz/iw/a
weminyaka	wa/i/mi/nyaka
kwehlelo	kwa/i/li/hlelo
ukwenzela	u/ku/enz/el/a
nokutlama	na/u/ku/tlama
ukwenzela	u/ku/enz/el/a
eendabeni	e/e/ndaba/eni
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
wesigungu	wa/i/si/gungu
yokuhlela	ya/u/ku/hlela
nethemba	na/i/li/themba
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
nesisekelo	na/si/sekelo
nesibopho	na/i/si/bopho
nesibopho	na/i/si/bopho
nesibopho	na/i/si/bopho
nemithelo	na/i/mi/thelo
ngendlela	nga/i/n/dlela
komtlamo	kwa/u/mu/tlamo
ukwenzela	u/ku/enz/el/a
wokutlama	wa/u/ku/tlama
ngendlela	nga/i/n/dlela
eneselele	e/na/i/selele
ngendlela	nga/i/n/dlela
entumbeni	e/n/tumba/eni
nokutlama	na/u/ku/tlama
ukwenzela	u/ku/enz/el/a
etjhonweni	e/tjhono/eni
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
eengozini	e/e/ngozi/ini
eliphasi	a/li/li/phas/i
eenarheni	e/e/narha/eni
eenarheni	e/e/narha/eni
neqhinga	na/i/li/qhinga
ukwakhiwa	u/ku/akh/iw/a
komtlamo	kwa/u/mu/tlamo
nengeniso	na/i/n/geniso
eliphasi	a/li/li/phas/i
eliphasi	a/li/li/phas/i
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
umsebenzi	u/mu/sebenz/i
nge-ajenda	nga/i/ajenda
kwemigomo	kwa/i/mi/gomo
nesiqhema	na/i/si/qhema
wamahlelo	wa/a/ma/hlelo
wokufunda	wa/u/ku/funda
namathuba	na/a/ma/thuba
kwemigomo	kwa/i/mi/gomo
namathuba	na/a/ma/thuba
ngokutlama	nga/ukutlama
lamalanga	la/a/ma/langa
namazinga	na/a/ma/zinga
nomkhakha	na/u/m/khakha
zizokwazi	zi/zo/ku/az/i
ku-national	ku/national
akukaneli	aku/ka/anel/i
ngemitlamo	nga/mi/tlamo
komzombe	kwa/u/mu/zombe
namathuba	na/a/ma/thuba
ngeyakhako	nga/ya/khako
emtlameni	e/m/tlamo/eni
eenkorweni	e/enkoro/eni
nokutlama	na/u/ku/tlama
ukwenzela	u/ku/enz/el/a
wokutlama	wa/u/ku/tlama
ngokutlola	nga/ukutlola
nesiqhema	na/i/si/qhema
ukwenziwa	u/ku/enz/iw/a
nesiqhema	na/i/si/qhema
eendabeni	e/e/ndaba/eni
umsebenzi	u/mu/sebenz/i
ngendlela	nga/i/n/dlela
ukwakhiwa	u/ku/akh/iw/a
wokumebha	wa/u/ku/mebha
ngendlela	nga/i/n/dlela
zamaphilo	za/a/ma/philo
ngobulili	nga/u/bu/lili
ngobulili	nga/u/bu/lili
nemirholo	na/i/mi/rholo
erherhweni	e/rherho/eni
yabafundi	ya/a/ba/fundi
kwesibalo	kwa/i/si/balo
umsebenzi	u/mu/sebenz/i
emithathu	a/i/mi/thathu
wokutlama	wa/u/ku/tlama
komnyaka	kwa/u/mu/nyaka
newee-2010	ne/we/e/2010
ukwenzela	u/ku/enz/el/a
namazinga	na/a/ma/zinga
ukwenzela	u/ku/enz/el/a
ukwenziwa	u/ku/enz/iw/a
ngokubanzi	nga/ukubanzi
nomkhakha	na/u/m/khakha
okufunwa	a/u/ku/fun/w/a
neyomnotho	na/yo/mnotho
ngendlela	nga/i/n/dlela
ukwazisa	u/ku/az/is/w/a
ekuqedeni	e/ku/qeda/eni
kwendlela	kwa/i/n/dlela
nemilandu	na/i/mi/landu
ngendlela	nga/i/n/dlela
eendabeni	e/e/ndaba/eni
komzimba	kwa/u/mu/zimba
ngendlela	nga/i/n/dlela
nesidingo	na/i/si/dingo
emtlameni	e/m/tlamo/eni
okufunwa	a/u/ku/fun/w/a
ukwazisa	u/ku/az/is/w/a
lobunjalo	lo/i/bu/njalo
ngendlela	nga/i/n/dlela
sokususwa	sa/u/ku/suswa
ngendlela	nga/i/n/dlela
nesibopho	na/i/si/bopho
ngendlela	nga/i/n/dlela
embusweni	e/mu/buso/eni
zokwahluka	zo/ku/ahluka
ukwenzela	u/ku/enz/el/a
ukwenziwa	u/ku/enz/iw/a
limumethe	li/mumath/ile
yeminyaka	ya/i/mi/nyaka
bekwazise	be/ku/az/is/e
ngendlela	nga/i/n/dlela
nesidingo	na/i/si/dingo
ngananyana	nga/nani/ana
nephepha	na/i/li/phepha
nephepha	na/i/li/phepha
namalunga	na/a/ma/lunga
ukukwenza	u/ku/ku/enz/a
nethemba	na/i/li/themba
kunethuba	ku/na/i/thuba
lokubamba	lo/i/ku/bamba
eendabeni	e/e/ndaba/eni
ngendlela	nga/i/n/dlela
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
ukwenzeka	u/ku/enz/ek/a
umsebenzi	u/mu/sebenz/i
emtlameni	e/m/tlamo/eni
kwamambala	ku/amambal/a
nemihlobo	na/i/mi/hlobo
lamaphuzu	la/i/ma/phuzu
ngehlelo	nga/i/li/hlelo
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
namathuba	na/a/ma/thuba
nokulinga	na/u/ku/linga
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
nokuhlola	na/u/ku/hlola
ngendlela	nga/i/n/dlela
ukwakhiwa	u/ku/akh/iw/a
ukwenzela	u/ku/enz/el/a
nokondleka	na/ukondleka
nemindeni	na/i/mi/ndeni
ukwakhiwa	u/ku/akh/iw/a
wokutlama	wa/u/ku/tlama
ngendlela	nga/i/n/dlela
kwendlela	kwa/i/n/dlela
komtlamo	kwa/u/mu/tlamo
komnyaka	kwa/u/mu/nyaka
komnyaka	kwa/u/mu/nyaka
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ukwenziwa	u/ku/enz/iw/a
nemitlamo	na/i/mi/tlamo
yokuhlela	ya/u/ku/hlela
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
komtlamo	kwa/u/mu/tlamo
komtlamo	kwa/u/mu/tlamo
ngendlela	nga/i/n/dlela
emtlameni	e/m/tlamo/eni
emtlameni	e/m/tlamo/eni
wamalahle	wa/a/ma/lahle
kwezenjiwa	ku/ezenjiw/a
eenarheni	e/e/narha/eni
lokutlama	la/u/ku/tlama
sokutlama	sa/u/ku/tlama
yabahlali	ya/9/ba/hlali
wesifunda	wa/i/si/funda
nokuqatjha	na/ukuqatjha
nesidingo	na/i/si/dingo
ngendlela	nga/i/n/dlela
abanamali	aba/na/i/mali
ngendlela	nga/i/n/dlela
nesiqhema	na/i/si/qhema
ngendlela	nga/i/n/dlela
emnothweni	e/mnotho/ini
ukwenzela	u/ku/enz/el/a
namathuba	na/a/ma/thuba
ngezethulo	nga/ze/thulo
ukwenzela	u/ku/enz/el/a
eendabeni	e/e/ndaba/eni
ukwenziwa	u/ku/enz/iw/a
ukwenziwa	u/ku/enz/iw/a
wokutlama	wa/u/ku/tlama
ngendlela	nga/i/n/dlela
namazinga	na/a/ma/zinga
ngesigaba	nga/i/si/gaba
nokutlama	na/u/ku/tlama
kusidingo	ku/i/si/dingo
namahlelo	na/a/ma/hlelo
ukwenziwa	u/ku/enz/iw/a
ukwenziwa	u/ku/enz/iw/a
ngemibono	nga/i/mi/bono
ngendlela	nga/i/n/dlela
wamahlelo	wa/a/ma/hlelo
ngendlela	nga/i/n/dlela
sokuraga	sa/u/ku/kuraga
sokuhloma	sa/u/ku/hloma
wabadlali	wa/a/ba/dlali
eenkorweni	e/enkoro/eni
nemihlobo	na/i/mi/hlobo
ngemibono	nga/i/mi/bono
namathuba	na/a/ma/thuba
eenarheni	e/e/narha/eni
nemihlobo	na/i/mi/hlobo
emtlolweni	e/mtlolo/eni
kwamagama	kwa/a/ma/gama
ukwenzela	u/ku/enz/el/a
ezintweni	ezi/n/nto/ini
emibonweni	e/mibono/eni
wokuhluza	wa/u/ku/hluza
ngomulwana	nga/umulwana
ngomulwana	nga/umulwana
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
namazinga	na/a/ma/zinga
komnotho	kwa/u/mu/notho
kwemigomo	kwa/i/mi/gomo
kokwenza	kwa/u/ku/enz/a
neqhinga	na/i/li/qhinga
nephepha	na/i/li/phepha
ngemibono	nga/i/mi/bono
zemakhaya	ze/a/ma/khaya
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
ukwenzela	u/ku/enz/el/a
ngobulili	nga/u/bu/lili
nabahlali	na/a/ba/hlali
i-ofisiseli	i/ofisiseli
wamalahle	wa/a/ma/lahle
ukwenzela	u/ku/enz/el/a
wamalahle	wa/a/ma/lahle
e-waterberg	e/waterberg
wamalahle	wa/a/ma/lahle
ngendlela	nga/i/n/dlela
namalanga	na/a/ma/langa
nengeniso	na/i/n/geniso
nokutlama	no/u/ku/tlama
ukwenzela	u/ku/enz/el/a
yeqhinga	ya/i/li/qhinga
ngendlela	nga/i/n/dlela
kwezinga	kwa/i/li/zinga
lengeniso	le/i/n/geniso
kumkhandlu	ku/mu/khandlu
kwezindlu	kwa/i/zin/ndlu
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
ebujameni	e/bu/jam/e/ini
zangomuso	za/nga/u/mu/so
ebhajedini	e/bhajedi/ini
izakhamuzi	i/zi/akhamuzi
yokufunda	ya/u/ku/fund/a
encwadini	e/i/n/cwad/ini
lokuhlola	la/u/ku/hlol/a
ngokwakha	nga/u/ku/akh/a
ngokwakha	nga/u/ku/akh/a
umphakathi	u/mu/phakathi
ngomnyaka	nga/u/mu/nyaka
umhlangano	u/mu/hlangano
esiqhemeni	esi/qhema/eni
umhlangano	u/mu/hlangano
ngobunengi	nga/obu/nengi
njengento	njenga/i/n/tho
ngokwakha	nga/u/ku/akh/a
ezizakwazi	ezi/zaku/az/i
yokugcina	ya/u/ku/gcin/a
kukwazisa	ku/kwa/az/is/i
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
endaweni	e/i/n/ndawo/ini
ngomnyaka	nga/u/mu/nyaka
sokukhula	sa/u/ku/khul/a
ekutheni	e/u/ku/th/a/ini
zomthetho	za/u/mu/thetho
umphakathi	u/mu/phakathi
nokufunda	na/u/ku/fund/a
nehlonipho	na/i/hlonipho
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
umphakathi	u/mu/phakathi
wobunikazi	w/o/ibunikazi
wobunikazi	w/o/ibunikazi
ngezenjiwa	nga/i/zenjiwa
lokuhlola	la/u/ku/hlol/a
zokuphila	za/u/ku/phil/a
zokuphila	za/u/ku/phil/a
lokuphila	la/u/ku/phil/a
umphakathi	u/mu/phakathi
nokuzwana	no/u/ku/zwan/a
ekutheni	e/u/ku/th/a/ini
lokufunda	la/u/ku/fund/a
kuzakwenza	ku/zaku/enz/a
ngokuqala	nga/u/ku/qal/a
umphakathi	u/mu/phakathi
nomthetho	na/u/mu/thetho
sokuthoma	sa/u/ku/thom/a
kuyenzeka	ku/ya/enz/ek/a
sokuthoma	sa/u/ku/thom/a
endaweni	e/i/n/ndawo/ini
ekutheni	e/u/ku/th/a/ini
zokuhlala	za/u/ku/hlal/a
umphakathi	u/mu/phakathi
emzombeni	e/mu/zombe/eni
zihlangana	zi/hlanga/ana
lokuthoma	la/u/ku/thom/a
endaweni	e/i/n/ndawo/ini
esiqhemeni	esi/qhema/eni
bazokwenza	ba/zoku/enz/a
ngokwenza	nga/u/ku/enz/a
lokuhlola	la/u/ku/hlol/a
lokufunda	la/u/ku/fund/a
umphakathi	u/mu/phakathi
izakhamuzi	i/zi/akhamuzi
nomasipala	na/u/masipala
ngetuthuko	nga/i/tuthuko
endaweni	e/i/n/ndawo/ini
sokutlama	sa/u/ku/tlam/a
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
nomasipala	na/u/masipala
esiqhemeni	esi/qhema/eni
izakhamuzi	i/zi/akhamuzi
yokufunda	ya/u/ku/fund/a
umphakathi	u/mu/phakathi
zebhoduluko	za/bhoduluko
zokuhlala	za/u/ku/hlal/a
umphakathi	u/mu/phakathi
endaweni	e/i/n/ndawo/ini
ukuzwana	u/ku/i/z/w/an/a
nezeemali	na/i/ze/e/mali
incwajana	e/i/n/cwaj/ana
lethekwini	le/i/thekwini
umphakathi	u/mu/phakathi
ebujameni	e/bu/jam/e/ini
nahlangana	na/hlanga/ana
ngomzombe	nga/u/mu/zombe
ngokwenza	nga/u/ku/enz/a
nomasipala	na/u/masipala
umphakathi	u/mu/phakathi
lokuthoma	la/u/ku/thom/a
izakhamuzi	i/zi/akhamuzi
nezeemali	na/i/ze/e/mali
ebhajedini	e/bhajedi/ini
ebujameni	e/bu/jam/e/ini
wokugcina	wa/u/ku/gcin/a
wokuthoma	wa/u/ku/thom/a
engconywana	e/ngcono/ana
endaweni	e/i/n/ndawo/ini
sokuthoma	sa/u/ku/thom/a
sekomidini	se/komidi/ini
lokukhula	la/u/ku/khul/a
umphakathi	u/mu/phakathi
zokufunda	za/u/ku/fund/a
zebhoduluko	za/bhoduluko
zokuhlala	za/u/ku/hlal/a
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
ngeenzathu	nga/e/n/zathu
ebujameni	e/bu/jam/e/ini
zokuhlala	za/u/ku/hlal/a
namphumela	na/mu/phumela
wokuphila	wa/u/ku/phil/a
ngomnyaka	nga/u/mu/nyaka
umphakathi	u/mu/phakathi
wokuthoma	wa/u/ku/thom/a
yokuthoma	ya/u/ku/thom/a
onamandla	o/na/a/ma/ndla
enturhwini	e/n/turhu/ini
nokuphela	na/u/ku/phel/a
umphakathi	u/mu/phakathi
esifundeni	esi/funda/eni
nomasipala	na/u/masipala
kumkhandlu	ku/mu/khandlu
yomphumela	yo/mu/phumela
ngomnyaka	nga/u/mu/nyaka
yehlwengiso	ya/hlwengiso
ngomnyaka	nga/u/mu/nyaka
umphakathi	u/mu/phakathi
endaweni	e/i/n/ndawo/ini
komkhandlu	ko/mu/khandlu
nahlangana	na/hlanga/ana
umphakathi	u/mu/phakathi
kwezindlu	kwa/i/zin/ndlu
kwezindlu	kwa/i/zin/ndlu
endaweni	e/i/n/ndawo/ini
nomkhandlu	no/mu/khandlu
umphakathi	u/mu/phakathi
lokwenziwa	loku/enz/iw/a
zokuhlala	za/u/ku/hlal/a
nomasipala	na/u/masipala
ngeentambo	nga/e/n/tambo
wokuphila	wa/u/ku/phil/a
umphakathi	u/mu/phakathi
ekutheni	e/u/ku/th/a/ini
nokukhula	na/u/ku/khul/a
emtlhaleni	e/mtlhala/ini
wokuphila	wa/u/ku/phil/a
izakhamuzi	i/zi/akhamuzi
umphakathi	u/mu/phakathi
zokuphila	za/u/ku/phil/a
komadlano	kwa/u/ma/dlano
esakhiweni	e/sakhiwo/eni
eengabeni	e/e/nga/ba/eni
izakhamuzi	i/zi/akhamuzi
ezizakwazi	ezi/zaku/az/i
emphakathi	e/mu/phakathi
umphakathi	u/mu/phakathi
ethresteni	e/threste/eni
edorobheni	e/dorobha/eni
ebujameni	e/bu/jam/e/ini
somthetho	sa/u/mu/thetho
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
nokugcina	na/u/ku/gcin/a
umhlangano	u/mu/hlangano
zokuhlola	za/u/ku/hlol/a
umhlangano	u/mu/hlangano
ebhajedeni	e/bhajedi/eni
ebujameni	e/bu/jam/e/ini
lokuphila	la/u/ku/phil/a
ngezahluko	nga/i/zahluko
sokuthoma	sa/u/ku/thom/a
ngokwenza	nga/u/ku/enz/a
zomthetho	za/u/mu/thetho
ekusizeni	e/ku/siz/a/eni
lokukhula	la/u/ku/khul/a
endaweni	e/i/n/ndawo/ini
umphakathi	u/mu/phakathi
endaweni	e/i/n/ndawo/ini
umphakathi	u/mu/phakathi
nekomidini	ne/komidi/ini
umphakathi	u/mu/phakathi
njengento	njenga/i/n/tho
nokwelusa	na/u/ku/elus/a
zokuhlala	za/u/ku/hlal/a
zokuhlala	za/u/ku/hlal/a
noneenkomba	na/neenkomba
yokuthoma	ya/u/ku/thom/a
esiqhemeni	esi/qhema/eni
izehlakalo	i/zi/ehlakalo
ngezelela	nga/i/z/elel/a
ngomnyaka	nga/u/mu/nyaka
ngokuqala	nga/u/ku/qal/a
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
ebujameni	e/bu/jam/e/ini
