nokunehlonipho	na/u/ku/nehlonipho
ngokwesibonelo	nga/u/kwe/si/bonelo
lokuthuthukiswa	l/o/ikuthuthukiswa
elungiselelweko	e/ilungiselelwe/ko
nokungathuthuki	na/ku/nga/thuthuki
bokutjhuguluka	ba/u/ku/tjhuguluk/a
njengezakhamuzi	njenga/zi/akhamuzi
efliphutjhadini	e/fliphutjhadi/ini
efliphutjhadini	e/fliphutjhadi/ini
emphakathinabo	e/u/mu/phakathinabo
ekulinganisweni	e/ku/linganiso/eni
nokubandakanya	na/u/ku/bandakany/a
efliphutjhadini	e/fliphutjhadi/ini
ekuthintaneni	e/u/ku/thintan/a/ini
ezibulungiweko	ezi/izibulungiwe/ko
efliphutjhadini	e/fliphutjhadi/ini
yomhlahlandlela	y/o/imhlahlandlela
efliphutjhadini	e/fliphutjhadi/ini
sokurhwebelana	ssa/u/ku/rhwebelana
lamatjhuguluko	la/a/ma/tjhugulu/ko
emaphethelweni	e/a/ma/phethelo/ini
eliphathelene	eli/phath/el/an/il/e
ngawo-isibonelo	nga/wo/i/si/bonelo
efliphutjhadini	e/fliphutjhadi/ini
nokubandakanya	na/u/ku/bandakany/a
ngokuzinikela	nga/u/ku/zi/nik/el/a
ngokuzinikela	nga/u/ku/zi/nik/el/a
ngokutloliweko	nga/u/ku/tloliwe/ko
ngemithetjhwana	nga/mi/thetjho/ana
nokulahlekelwa	na/u/ku/lahlekelw/a
ngokuzinikela	nga/u/ku/zi/nik/el/a
nemiphakathini	na/i/mi/phakath/ini
nokukhutjhulwa	no/u/ku/khutjhalw/a
ngemithetjhwana	nga/mi/thetjho/ana
ngokuzinikela	nga/u/ku/zi/nik/el/a
nokuthengiswa	na/u/ku/theng/is/w/a
nemithetjhwana	na/i/mi/thetjho/ana
lemithetjhwana	le/i/mi/thetjho/ana
nokungasolisi	na/u/ku/nga/sol/is/i
njengelinganako	njenga/lingan/a/ko
neesetjenziswa	ne/i/in/setjenziswa
efliphutjhadini	e/fliphutjhadi/ini
nokuhlanganisa	na/u/ku/hlanganis/a
ngokwengcenyeye-	ngo/kwe/ngcenyeye
yomhlahlandlela	y/o/imhlahlandlela
siyangezeleleka	si/ya/engezeleleka
nemiphakathini	na/i/mi/phakath/ini
ngokwenziwako	nga/u/ku/enz/iw/a/ko
wokubandakanya	wa/u/ku/bandakany/a
emphakathinabo	e/u/mu/phakathinabo
ekubonisaneni	e/u/ku/bonisan/e/ini
ngokwemikhandlu	nga/kwe/mi/khandlu
wokuthuthukisa	wa/u/ku/thuthuk/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
wokuthuthukisa	u/yo/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
lokusabalalisa	la/u/ku/sabalal/is/a
sangokomthetho	sa/nga/u/ku/m/thetho
nokusilaphazeka	na/u/ku/silaphazeka
ngokusebenzisa	nga/u/ku/sebenz/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
nokudzimelelisa	na/u/ku/dzimelelisa
wokuhlanganisa	wa/u/ku/hlangan/is/a
ngamaphrojekthi	nga/a/ma/phrojekthi
kwalomhlangano	kwa/lo/u/mu/hlangano
zokuthuthukisa	za/u/ku/thuthuk/is/a
nokuthuthukisa	na/u/ku/thuthuk/is/a
zokuhlanganyela	zo/u/ku/hlanganyela
nokukghonakala	na/u/ku/kghon/akal/a
nokuphumelelisa	na/u/ku/phumelelisa
sokutshwayeleka	sa/u/ku/tshwayeleka
sokutshwayeleka	sa/u/ku/tshwayeleka
nokulalelisisa	no/u/ku/lalel/isis/a
nokungalingani	na/u/ku/nga/lingan/i
nokungalingani	na/u/ku/nga/lingan/i
ngokunqophileko	nga/ku/nqoph/ile/ko
lendlelakambiso	le/i/n/dlelakambiso
kwamaphrojekthi	kwa/a/ma/phrojekthi
sokuthuthukisa	sa/u/ku/thuthuk/is/a
wokuthuthukisa	u/yo/ku/thuthuk/is/a
esivumelwaneni	e/i/si/vumelwana/ini
kwalomhlangano	kwa/lo/u/mu/hlangano
yokuthuthukisa	ya/u/ku/thuthuk/is/a
ngokunqophileko	nga/ku/nqoph/ile/ko
ngokukhululeka	nga/u/ku/khulul/ek/a
ngokukhululeka	nga/u/ku/khulul/ek/a
nokuthuthukissa	na/u/ku/thuthukissa
lendlelakambiso	le/i/n/dlelakambiso
wokuhlanganisa	wa/u/ku/hlangan/is/a
ngewomphakathi	nga/wa/u/mu/phakathi
wokuhlanganyela	wa/u/ku/hlanganyela
sokuphumelelisa	sa/u/ku/phumelelisa
wokuthuthukisa	u/yo/ku/thuthuk/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
zokuhlanganyela	zo/u/ku/hlanganyela
wokuhlanzekisa	wa/u/ku/hlanzek/is/a
wokuphumelelisa	wa/u/ku/phumelelisa
njengomsebenzeli	njenga/umsebenzeli
lerhemiso-kambiso	lerhemiso/kambiso
ekutjhugululeni	e/ku/tjhugulula/eni
wokungasebenzi	wa/u/ku/nga/sebenz/i
sokuthuthukisa	sa/u/ku/thuthuk/is/a
okungezelelweko	oku/kungezelelwe/ko
ngokusebenzisa	nga/u/ku/sebenz/is/a
esemaphandleni	e/s/e/ma/phandla/eni
zokuhlanganyela	zo/u/ku/hlanganyela
nabasebenzisani	na/a/ba/sebenzisani
njengobhalelwako	njenga/bhalelwa/ko
langokomthetho	la/nga/u/ku/m/thetho
nokuhlanganisa	na/u/ku/hlangan/is/a
ngokunqophileko	nga/ku/nqoph/ile/ko
sangokomthetho	sa/nga/u/ku/m/thetho
ngokunqophileko	nga/ku/nqoph/ile/ko
zokuthuthukisa	za/u/ku/thuthuk/is/a
zokuthuthukisa	za/u/ku/thuthuk/is/a
nokuthuthukisa	na/u/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
njengesikhundla	njenga/i/si/khundla
ngokusebenzisa	nga/u/ku/sebenz/is/a
kwamaphrojekthi	kwa/a/ma/phrojekthi
wamaphothfoliyo	wa/a/ma/phothfoliyo
wamaphothfoliyo	wa/a/ma/phothfoliyo
komhlahlandlela	kwa/u/mhlahlandlela
yokuthuthukisa	ya/u/ku/thuthuk/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
-inesikhatjhana	i/ne/si/khatjha/ana
yokusabalalisa	ya/u/ku/sabalal/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
njengengcenyakhe	njenga/ingcenyakhe
ngokusebenzisa	nga/u/ku/sebenz/is/a
wokuhlanganyela	wa/u/ku/hlanganyela
nokungalingani	na/u/ku/nga/lingan/i
ngokwehlalakuhle	nga/kwe/hlalakuhle
nokungalingani	na/u/ku/nga/lingan/i
ngokusebenzisa	nga/u/ku/sebenz/is/a
nekulinganiseni	ne/ku/linganisa/eni
wokuthuthukisa	wa/u/ku/thuthuk/is/a
wokuphumelelisa	wa/ku/phumelel/is/a
kwamaphrojekthi	kwa/a/ma/phrojekthi
kunokutlhayela	ku/na/u/ku/tlhayel/a
wokungasebenzi	wa/u/ku/nga/sebenz/i
ekuthuthukiseni	e/ku/thuthukisa/eni
yokuphumelelisa	yo/o/ku/phumelelisa
wokuthuthukisa	wa/u/ku/thuthuk/is/a
lokuthuthukisa	la/u/ku/thuthuk/is/a
nokuhlinzekelwa	na/u/ku/hlinzekelwa
ngokuthuthukisa	nga/ku/thuthuk/is/a
iimfundo-bandulo	i/im/fundo/bandulo
lokuthuthukisa	la/u/ku/thuthuk/is/a
labahlanganyeli	la/a/ba/hlanganyeli
nokuphumelelisa	na/u/ku/phumelelisa
wokuthuthukisa	wa/u/ku/thuthuk/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
esisemthethweni	esi/s/e/mthetho/eni
nokuthuthukisa	na/u/ku/thuthuk/is/a
nokungasebenzi	na/u/ku/nga/sebenz/i
nemiphakathini	na/i/mi/phakathi/ini
nokungalingani	na/u/ku/nga/lingan/i
yokuthuthukisa	ya/u/ku/thuthuk/is/a
ngokunqophileko	nga/ku/nqoph/ile/ko
zokuthuthukisa	za/u/ku/thuthuk/is/a
ngokuvakatjhela	nga/u/ku/vakatjhela
ngokusebenzisa	nga/u/ku/sebenz/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
nokungalingani	na/u/ku/nga/lingan/i
wabahlanganyeli	wa/a/ba/hlanganyeli
zokuthuthukisa	za/u/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
nokuzwisisekako	na/u/ku/zwisisekako
nokungalingani	na/u/ku/nga/lingan/i
ngokukhululeka	nga/u/ku/khulul/ek/a
ngokukhululeka	nga/u/ku/khulul/ek/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
nokuphumelelisa	na/u/ku/phumelelisa
ngokunqophileko	nga/ku/nqoph/ile/ko
ngokunqophileko	nga/ku/nqoph/ile/ko
wokukhulumisana	wa/u/ku/khulumisana
wokukhulumisana	wa/u/ku/khulumisana
kwalomhlangano	kwa/lo/u/mu/hlangano
yokuthuthukisa	ya/u/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
nokungalingani	na/u/ku/nga/lingan/i
ngokunzinzileko	nga/u/ku/nzinzileko
yokusetjenziswa	ya/u/ku/setjenziswa
ngokusebenzisa	nga/u/ku/sebenz/is/a
ezinganamirabhu	ezi/ngana/imiirabhu
ezinganamirabhu	ezi/ngana/imiirabhu
sokuhlanganyela	sa/u/ku/hlanganyela
ekuziphatheni	e/u/ku/zi/phath/a/ini
ngokwerhubhululo	nga/kwe/rhubhululo
lokunganikelwa	lo/u/ku/nga/nikelw/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
sokurweyilelana	sa/u/ku/rweyilelana
sokurweyilelana	sa/u/ku/rweyilelana
nekuyithengeni	na/ku/yi/theng/e/ini
lokuthuthikiswa	lo/i/ku/thuthikiswa
yokuthuthukisa	ya/u/ku/thuthuk/is/a
labahlanganyeli	la/a/ba/hlanganyeli
wokuhlanganyela	wa/u/ku/hlanganyela
wokuthuthukisa	wa/u/ku/thuthuk/is/a
ngokulandelana	nga/u/ku/landel/an/a
ekutjhugulukeni	e/ku/tjhuguluka/eni
lokuthuthukisa	la/u/ku/thuthuk/is/a
lokuthuthukisa	la/u/ku/thuthuk/is/a
nebonelophambili	na/bonelo/phambili
nokuthuthukisa	na/u/ku/thuthuk/is/a
ngokungakatjheji	nga/ukungakatjheji
awusisezingeni	awu/si/s/e/zinga/eni
ngokusebenzisa	nga/u/ku/sebenz/is/a
lendlelakambiso	le/i/n/dlelakambiso
nokuthuthukisa	na/u/ku/thuthuk/is/a
ngokuthuthukisa	nga/ku/thuthuk/is/a
ngokulandelana	nga/u/ku/landel/an/a
yokuphumelelisa	yo/o/ku/phumelelisa
sokutjhugululwa	sa/u/ku/tjhugululwa
lokungezelela	la/u/ku/ngi/ezel/el/a
lokungezelela	la/u/ku/ngi/ezel/el/a
nokuthuthukisa	na/u/ku/thuthuk/is/a
ngokwejiyografi	nga/u/kwe/jiyografi
wokungasebenzi	wa/u/ku/nga/sebenz/i
yokuthuthukisa	ya/u/ku/thuthuk/is/a
ekuhlanganiseni	e/ku/hlanganisa/eni
lendlelakambiso	le/i/n/dlelakambiso
langokomthetho	la/nga/u/ku/m/thetho
nokungalingani	na/u/ku/nga/lingan/i
yokuthuthukisa	ya/u/ku/thuthuk/is/a
nokungalingani	na/u/ku/nga/lingan/i
wokukhulumisana	wa/u/ku/khulumisana
ngokusebenzisa	nga/u/ku/sebenz/is/a
osemthethweni	o/s/e/u/m/thethwe/eni
ngokusebenzisa	nga/u/ku/sebenz/is/a
nemisebenzinabo	na/i/mi/sebenzinabo
nokungalingani	na/u/ku/nga/lingan/i
nokuphumelelisa	na/u/ku/phumelelisa
yokuthuthukisa	ya/u/ku/thuthuk/is/a
wokuthuthukisa	u/yo/ku/thuthuk/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
nokuthuthukisa	na/u/ku/thuthuk/is/a
wokutjhugululwa	wa/u/ku/tjhugululwa
zokuthuthukisa	za/u/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
zokuthuthukisa	za/u/ku/thuthuk/is/a
wokuthuthukisa	wa/u/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
yokuthuthukisa	ya/u/ku/thuthuk/is/a
wokuhlanganyela	wa/u/ku/hlanganyela
ngokunqotjhiweko	nga/ukunqotjhiweko
wokuhlanganyela	wa/u/ku/hlanganyela
nokuthuthukisa	na/u/ku/thuthuk/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
nekubuyekezweni	na/ku/buyekezwa/eni
lokuhlongakala	la/u/ku/hlong/akal/a
abaseminyakeni	aba/s/e/mi/nyaka/eni
sokutshwayeleka	sa/u/ku/tshwayeleka
zokuhlanganyela	zo/u/ku/hlanganyela
nokuhlanganyela	no/u/ku/hlanganyela
wokukhulumisana	wa/u/ku/khulumisana
ekugcugcuzeleni	e/ku/gcugcuzela/eni
wokuhlanganyela	wa/u/ku/hlanganyela
wokuthuthukisa	wa/u/ku/thuthuk/is/a
wokukhulumisana	wa/u/ku/khulumisana
iinqondo-hlaliso	i/in/qondo/hlaliso
ezinganamirabhu	ezi/ngana/imiirabhu
wokuhlanganyela	wa/u/ku/hlanganyela
wokuthuthukisa	wa/u/ku/thuthuk/is/a
ngokunqophileko	nga/ku/nqoph/ile/ko
nobuzibophelela	na/bu/zi/boph/elel/a
kunokuthintana	ku/na/u/ku/thint/an/a
nokuqinisekisa	na/u/ku/qinis/ek/is/a
werhemiso-kambiso	we/rhemiso/kambiso
ekutholakaleni	e/u/ku/tholakal/a/ini
nokuzikhethela	na/u/ku/zi/kheth/el/a
njengekhamphanini	njenga/khamphanini
kokusetjenziswa	kwa/u/ku/setjenziswa
ngokwemibandela	nga/u/kwe/mi/bandela
nokulinganiswa	na/u/ku/lingan/is/w/a
ngokubambisana	nga/u/ku/bamb/is/iw/a
nokusebenzisana	no/u/ku/sebenzisan/a
ngeensetjenziswa	nga/e/n/setjenziswa
nokusebenzisana	na/u/ku/sebenzisan/a
wokungacaciswa	wa/u/ku/nga/cacis/w/a
ekutholakaleni	e/u/ku/tholakal/a/ini
ngokuhlanganisa	nga/u/ku/hlanganis/a
lezobuthekhiniki	le/i/zobuthekhiniki
yamathungelelwano	ye/mathungelelwano
lokungalingani	la/u/ku/nga/ling/an/i
nokuhlanganyela	no/u/ku/hlanganyel/a
nokuqinisekisa	na/u/ku/qinis/ek/is/a
kwemininingwana	kwa/i/mi/niningo/ana
ezahlukanisiweko	ezi/ahlukanisiwe/ko
ekuthuthukisweni	e/ku/thuthukiso/eni
lokuqinisekisa	la/u/ku/qinis/ek/is/a
yeentjhabatjhaba	ya/e/n/tjhabatjhaba
neyathenjiswako	na/ya/thenjis/w/a/ko
yeentjhabatjhaba	ya/e/n/tjhabatjhaba
ngokubambisana	nga/u/ku/bamb/is/iw/a
ngokubambisana	nga/u/ku/bamb/is/iw/a
nokusebenzisana	no/u/ku/sebenzisan/a
nokukhulumisana	na/u/ku/khulumisan/a
unemininingwana	u/na/i/mi/niningwana
ngokubambisana	nga/u/ku/bamb/is/iw/a
kwemininingwana	kwa/i/mi/niningo/ana
kweminqophobegodu	kwa/minqophobegodu
nokusetjenziswa	na/u/ku/setjenzisw/a
nokuqinisekisa	na/u/ku/qinis/ek/is/a
ngeensetjenziswa	nga/e/n/setjenziswa
nokungasolisiko	na/u/ku/nga/solisiko
nokuthuwelelisa	na/u/ku/thuwelelis/a
kwemininingwana	kwa/i/mi/niningo/ana
ngokukhathalela	nga/u/ku/khathalel/a
nokuhlanganyela	no/u/ku/hlanganyel/a
yabasebujameni	ya/ba/s/e/bu/jama/eni
wokungathembeki	wa/u/ku/nga/thembeki
nokuqinisekisa	na/u/ku/qinis/ek/is/a
kwemininingwana	kwa/i/mi/niningo/ana
ngemininingwana	nga/i/mi/niningo/ana
nokungalingani	na/u/ku/nga/ling/an/i
sokungenzelwa	sa/u/ku/nge/enz/el/w/a
ematjhugulukweni	e/ma/tjhuguluka/eni
nokuhlanganyela	no/u/ku/hlanganyel/a
wokuqinisekisa	wa/u/ku/qinis/ek/is/a
nokusebenzisana	no/u/ku/sebenzisan/a
nokuqinisekisa	na/u/ku/qinis/ek/is/a
ngokunganembiko	nga/u/ku/nga/nembiko
lokuqinisekisa	la/u/ku/qinis/ek/is/a
ngeensetjenziswa	nga/e/n/setjenziswa
emphakathinakho	e/u/mu/phakathinakho
lokuhlanganyela	la/u/ku/hlanganyel/a
nokuhlanganyela	no/u/ku/hlanganyel/a
ekuthuthukisweni	e/ku/thuthukiso/eni
njengephrojekthi	njenga/i/phrojekthi
ematjhugulukweni	e/ma/tjhuguluka/eni
lokungalingani	la/u/ku/nga/ling/an/i
nokusetjenziswa	na/u/ku/setjenzisw/a
sokuqinisekisa	sa/u/ku/qinis/ek/is/a
nokuqinisekisa	na/u/ku/qinis/ek/is/a
zokuqinisekisa	zo/u/ku/qinis/ek/is/a
yerhemiso-kambiso	ye/rhemiso/kambiso
ekutjhugululweni	e/ku/tjhugululo/eni
nokuqinisekisa	na/u/ku/qinis/ek/is/a
nokungalingani	na/u/ku/nga/ling/an/i
ekutholakaleni	e/u/ku/tholakal/a/ini
nokusetjenziswa	na/u/ku/setjenzisw/a
kwemininingwana	kwa/i/mi/niningo/ana
nokuhlanganyela	na/u/ku/hlanganyel/a
nemihlanganweni	na/i/mi/hlangano/eni
okwesikhatjhana	o/kwe/si/khatjha/ana
nokuhlanganyela	na/u/ku/hlanganyel/a
ngokungeneleleko	nga/ku/ngenelele/ko
njengobokumukela	njenga/bo/ku/mukela
esisekelo-kambiso	esi/sekelo/kambiso
ezisemthethweni	ezi/s/e/m/thetho/eni
ezahlukahlukeneko	ezi/hlukahlukene/ko
nezeenlinganiso	na/i/ze/e/n/linganiso
kwamayunivesithi	kwa/a/ma/yunivesithi
lomthethokambiso	lo/i/m/thethokambiso
sokuqinisekisa	sa/u/ku/qin/is/ek/is/a
nokuzibophelela	na/u/ku/zi/bophelel/a
ekulinganiseni	e/u/ku/lingan/is/a/ini
wokukghonakalisa	wa/u/ku/kghonakalisa
ekusetjenzisweni	e/ku/setjenziswa/eni
ngokusemthethweni	nga/ku/semthethweni
ngokusemthethweni	nga/ku/semthethweni
ezahlukahlukeneko	ezi/hlukahlukene/ko
nokuzibophelela	na/u/ku/zi/bophelel/a
njengamakhansela	njenga/a/ma/khansela
njengeenhlangano	njenga/i/in/hlangano
lamatjhejontangi	la/a/ma/tjhejontangi
neleensetjenziswa	na/ileensetjenziswa
wokuphumelelisa	wa/u/ku/phumelel/is/a
ngokutjhaphuluka	nga/u/ku/tjhaphuluka
njengokuqakatheka	njenga/ku/qakatheka
ngokuhlukunyezwa	nga/u/ku/hlukunyezwa
nekwengezeleleni	ne/kwe/ngezelela/eni
ezahlukahlukeneko	ezi/hlukahlukene/ko
komkghonakalisi	kwa/u/mu/kghonakalisi
ezahlukahlukeneko	ezi/hlukahlukene/ko
ezahlukahlukeneko	ezi/hlukahlukene/ko
njengomgcugcuzeli	njenga/umgcugcuzeli
ezahlukahlukeneko	ezi/hlukahlukene/ko
kokuhlanganyela	kwa/u/ku/hlanganyel/a
ngokwedemokhrasi	nga/u/kwe/demokhrasi
wokukghonakalisa	wa/u/ku/kghonakalisa
kokuhlanganyela	kwa/u/ku/hlanganyel/a
sokuqinisekisa	sa/u/ku/qin/is/ek/is/a
ngokusemthethweni	nga/ku/semthethweni
kokusetjenziswa	kwa/u/ku/setjenzisw/a
wokukghonakalisa	wa/u/ku/kghonakalisa
nokuzibophelela	na/u/ku/zi/bophelel/a
nokuzibophelela	na/u/ku/zi/bophelel/a
kokuhlanganyela	kwa/u/ku/hlanganyel/a
ngokusemthethweni	nga/ku/semthethweni
njengokulungiswa	njenga/u/ku/lungiswa
ngomtjhiningqondo	nga/umtjhiningqondo
newezobulungiswa	na/we/zo/bu/lungiswa
semikhulumiswano	se/i/mi/khulumiswano
ngokunqophileko	nga/u/ku/nqoph/ile/ko
okusemandlenayo	oku/ku/s/e/mandlenayo
lamastathistikhi	la/a/ma/stathistikhi
ezahlukahlukeneko	ezi/hlukahlukene/ko
ngomtjhiningqondo	nga/umtjhiningqondo
ngeyokuqinisekisa	nga/yoku/qinisekisa
yemihlahlandlela	ye/i/mi/hlahlandlela
ngokwesilinganiso	nga/kwe/silinganiso
yamatjhejontangi	ya/a/ma/tjhejontangi
ekusebenziseni	e/u/ku/sebenz/is/a/ini
wokuphumelelisa	wa/u/ku/phumelel/is/a
lomthethokambiso	lo/i/m/thethokambiso
ezahlukahlukeneko	ezi/hlukahlukene/ko
nokudosaphambili	na/u/ku/dosaphambili
wokukghonakalisa	wa/u/ku/kghonakalisa
ngokutlhogonyelwa	nga/ukutlhogonyelwa
ngokwedemokhrasi	nga/u/kwe/demokhrasi
wokukghonakalisa	wa/u/ku/kghonakalisa
wokulungiselela	wa/u/ku/lungis/elel/a
ekusetjenzisweni	e/ku/setjenziswa/eni
ngokweembalobalo	nga/kwe/e/m/balobalo
ngokusemthethweni	nga/ku/semthethweni
njengekulumiswano	njenga/ikulumiswano
ekuhlanganyeleni	e/ku/hlanganyela/eni
ngokutjhaphuluka	nga/u/ku/tjhaphuluka
nokuthuwelelisa	na/u/ku/thuwelel/is/a
ngeleemphathiswa	nga/le/e/m/phathiswa
ngeleemphathiswa	nga/le/e/m/phathiswa
nokuzibophelela	na/u/ku/zi/bophelel/a
wokutjhugululela	wa/u/ku/tjhugululela
wokuphumelelisa	wa/u/ku/phumelel/is/a
ekuhlanganyeleni	e/ku/hlanganyela/eni
ekuhlanganyeleni	e/ku/hlanganyela/eni
ngelokusebenzisa	nga/loku/sebenz/is/a
eensetjenzisweni	e/e/n/setjenziswa/eni
njengemsebenzini	njenga/mu/sebenzi/ini
ngokuhlanganyela	nga/u/ku/hlanganyel/a
yokuzibophelela	ya/u/ku/zi/boph/elel/a
leentjhabatjhaba	le/i/e/n/tjhabatjhaba
nokungalawuleki	na/u/ku/nga/lawul/ek/i
ngokuqinisekisa	nga/u/ku/qinis/ek/is/a
ngokuhlanganyela	nga/u/ku/hlanganyel/a
nokuthuthukiswa	na/u/ku/thuthuk/is/w/a
enjengeferokhromu	e/injenge/ferokhromu
nokuhlanganiswa	na/u/ku/hlangan/is/w/a
ngokuzinqophanisa	nga/ku/zi/nqophanisa
nokuthuthukiswa	na/u/ku/thuthuk/is/w/a
nokukhulumisana	na/u/ku/khulum/is/an/a
nokukghonakalisa	na/u/ku/kghonakalis/a
nokukhulumisana	na/u/ku/khulum/is/an/a
ngokuhlanganyela	nga/u/ku/hlanganyel/a
ngokuhlanganyela	nga/u/ku/hlanganyel/a
ngokuhlanganyela	nga/u/ku/hlanganyel/a
zokuthuthukiswa	za/u/ku/thuthuk/is/w/a
ngokuhlanganyela	nga/u/ku/hlanganyel/a
nokuwuhlobanisa	na/u/ku/wu/hloban/is/a
kumphathimandla	ku/u/mu/phathi/ma/ndla
nokusatjalaliswa	na/u/ku/satjalalisw/a
kunokutjhuguluka	ku/no/u/ku/tjhuguluka
ngendlelakambiso	nga/i/n/dlela/kambiso
ngokuhlanganyela	nga/u/ku/hlanganyel/a
ngendlelakambiso	nga/i/n/dlela/kambiso
zomthethokambiso	za/u/mu/thethokambiso
