-xyz	xyz
labantu	la/a/ba/ntu
labantu	la/a/ba/ntu
labantu	la/a/ba/ntu
labantu	la/a/ba/ntu
labantu	la/a/ba/ntu
ungenza	u/nga/enz/a
nabantu	na/a/ba/ntu
ekubeni	e/ku/be/eni
ezikwazi	ezi/ku/azi
wenziwa	we/enz/iw/a
iqhinga	i/li/qhinga
iqhinga	i/li/qhinga
nabantu	na/a/ba/ntu
epilweni	e/pilo/eni
nanyana	li/nani/ana
hlangana	hlanga/ana
nanyana	li/nani/ana
nanyana	li/nani/ana
hlangana	hlanga/ana
nabantu	na/a/ba/ntu
nanyana	li/nani/ana
kwaphela	ku/aphel/a
khudlwana	khulu/ana
khudlwana	khulu/ana
samukela	si/amukela
nanyana	li/nani/ana
benzeka	bu/enz/ek/a
ne-salga	na/i/salga
zenziwa	za/enz/iw/a
zenziwa	za/enz/iw/a
wobuntu	wa/u/bu/ntu
welizwe	wa/i/li/zwe
yelizwe	ya/i/li/zwe
welizwe	wa/i/li/zwe
kweminye	kwa/mi/nye
yelizwe	ya/i/li/zwe
komuntu	ka/u/mu/ntu
yombuso	ya/u/mu/buso
ngelawulo	nga/lawulo
wombuso	wa/u/mu/buso
wendawo	wa/i/n/ndawo
wendawo	wa/i/n/ndawo
bendawo	ba/i/n/ndawo
kwenzeka	ku/enz/ek/a
zokwakha	zo/ku/akh/a
kwenziwe	ku/enz/iw/e
kwemali	kwa/i/n/mali
umehluko	u/mu/ehluko
negalelo	na/i/galelo
kwenziwa	ku/enz/iw/a
nokuthi	na/u/ku/th/i
kwenziwe	ku/enz/iw/e
nenturhu	na/i/nturhu
umlayezo	u/mu/layezo
umlayezo	u/mu/layezo
kwesinye	kwa/esi/nye
nezinto	na/i/zin/tho
enelwazi	e/ne/lu/azi
we-afrika	w/e/afrika
ephasini	e/phasi/ini
izakhiwo	i/zi/akhiwo
awukwazi	awu/ku/az/i
yombuso	ya/u/mu/buso
yokobana	y/o/ikobana
wombuso	wa/u/mu/buso
yokobana	y/o/ikobana
wendawo	wa/i/n/ndawo
nendawo	na/i/n/ndawo
nedorobho	na/dorobho
wendawo	wa/i/n/ndawo
ngesinye	nga/esi/nye
ngamanye	nga/ama/nye
ngamanye	nga/ama/nye
ngamanye	nga/ama/nye
kwelinye	kwa/eli/nye
nombuso	na/u/mu/buso
ngemali	nga/i/n/mali
ngebanga	nga/i/banga
ngokuya	nga/u/ku/y/a
nendawo	na/i/n/ndawo
wetuthuko	wa/tuthuko
ngebanga	nga/i/banga
umthetho	u/mu/thetho
umthetho	u/mu/thetho
izakhiwo	i/zi/akhiwo
nombono	na/u/mu/bono
sokudla	sa/u/ku/dl/a
ngemali	nga/i/n/mali
unelwazi	u/ne/lu/azi
nombono	na/u/mu/bono
umthetho	u/mu/thetho
kwepahla	kwe/phahl/a
umthetho	u/mu/thetho
nokuthi	na/u/ku/th/i
ozakwazi	o/za/ku/azi
lombuso	la/u/mu/buso
yomzombe	yo/mu/zombe
lendawo	la/i/n/ndawo
umnikeli	u/mu/nikeli
yamandla	ya/a/mandla
we-afrika	w/e/afrika
kwenziwa	ku/enz/iw/a
zombuso	za/u/mu/buso
kweminye	kwa/emi/nye
umnikeli	u/mu/nikeli
bokobana	b/o/ikobana
sombuso	sa/u/mu/buso
wendawo	wa/i/n/ndawo
umthetho	u/mu/thetho
ngebanga	nga/i/banga
umehluko	u/mu/ehluko
nge-ejensi	nga/ejensi
nobujamo	na/u/bu/jamo
nemigomo	na/i/mi/gomo
i-overhead	i/overhead
kwabantu	kwa/a/ba/ntu
wekhaya	wa/i/li/khaya
yekhaya	ya/i/li/khaya
nemibiko	na/i/mi/biko
kwe-afrika	kwe/afrika
kwabantu	kwa/a/ba/ntu
wekhaya	wa/i/li/khaya
bangenza	ba/nga/enz/a
wamawadi	wa/a/ma/wadi
lobujamo	lo/i/bu/jamo
nemiraro	na/i/mi/raro
nomtlamo	na/u/m/tlamo
nephiko	na/i/li/phiko
yemizamo	ya/i/mi/zamo
ngconywana	ngcono/ana
wekhaya	wa/i/li/khaya
kunengozi	ku/na/ngozi
wekhaya	wa/i/li/khaya
ezintweni	ezi/nto/ini
iindeleko	i/lidele/ko
emihlanu	a/i/mi/hlanu
emazweni	e/ma/zwe/eni
emazweni	e/ma/zwe/eni
lendabazo	le/indabazo
ezintathu	ezin/thathu
kwabantu	kwa/a/ba/ntu
lobujamo	lo/u/bu/jamo
nobujamo	na/u/bu/jamo
kweendaba	ku/eendab/a
kwabantu	kwa/a/ba/ntu
komnotho	kwa/u/mnotho
nethuba	na/i/li/thuba
iyindawo	i/yi/n/ndawo
emjejeni	e/m/jejo/eni
wesibili	wa/i/si/bili
wekhaya	wa/i/li/khaya
nendlela	na/i/n/dlela
zeendaba	ze/i/i/ndaba
wekhaya	wa/i/li/khaya
e-ofisini	e/ofisi/ini
e-ofisini	e/ofisi/ini
nephumako	na/phuma/ko
neendawo	ne/e/n/ndawo
nomnyango	na/umnyango
wekhaya	wa/i/li/khaya
beyikhona	ba/yi/khona
emazweni	e/ma/zwe/eni
komnotho	kwa/u/mnotho
wekhaya	wa/i/li/khaya
nomfakela	na/umfakela
nabelane	na/abel/an/e
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
babelana	ba/abel/an/a
wekhaya	wa/i/li/khaya
ezintweni	ezi/nto/ini
nemigomo	na/i/mi/gomo
kwabantu	kwa/a/ba/ntu
kwabantu	kwa/a/ba/ntu
kwendaba	kwa/i/n/daba
ezenzeka	ezi/enz/ek/a
lomzombe	lo/i/mu/zombe
zomzombe	za/u/mu/zombe
ukwenzeka	u/ku/enzek/a
umphumela	u/mu/phumela
wezakhiwo	we/zi/akhiwo
okwenzako	o/ku/enza/ko
lokwenza	la/u/ku/enz/a
bokwenza	ba/u/ku/enz/a
nokwenza	na/u/ku/enz/a
netuthuko	na/i/tuthuko
hlangana	ku/hlanga/ana
yokubika	ya/u/ku/bik/a
umsebenzi	u/mu/sebenzi
umsebenzi	u/mu/sebenzi
umsebenzi	u/mu/sebenzi
sokwakha	sa/u/ku/akh/a
lokutlama	lo/i/kutlama
zomkhaya	za/u/mu/khaya
zokulima	za/u/ku/lim/a
ngetuthuko	nga/tuthuko
netuthuko	na/i/tuthuko
hlangana	ku/hlanga/ana
yezenjiwa	ya/i/zenjiwa
yokwakha	ya/u/ku/akh/a
umkhandlu	u/mu/khandlu
umsebenzi	u/mu/sebenzi
besayensi	be/e/sayensi
umsebenzi	u/mu/sebenzi
nesiqhelo	na/isi/qhelo
nokufaka	na/u/ku/fak/a
malungana	ma/lunga/ana
ngezinto	nga/i/zin/tho
esigabeni	esi/gaba/ini
malungana	ma/lunga/ana
malungana	ma/lunga/ana
nokwenza	na/u/ku/enz/a
wokwenza	wa/u/ku/enz/a
umsebenzi	u/mu/sebenzi
zokwenza	za/u/ku/enz/a
sokwenza	sa/u/ku/enz/a
kwesibili	kwa/esi/bili
ekomidini	e/komidi/ini
ngokuthi	nga/u/ku/th/i
yokwakha	ya/u/ku/akh/a
malungana	ma/lunga/ana
umkhandlu	u/mu/khandlu
umsebenzi	u/mu/sebenzi
umsebenzi	u/mu/sebenzi
umsebenzi	u/mu/sebenzi
nokwenza	na/u/ku/enz/a
nerevenyu	na/i/revenyu
ebantwini	e/ba/ntu/ini
zokubeka	za/u/ku/bek/a
wokubeka	wa/u/ku/bek/a
umsebenzi	u/mu/sebenzi
owenziwa	o/wu/enz/iw/a
kwama-iri	kwa/a/ma/iri
umsebenzi	u/mu/sebenzi
zomtlamo	za/u/mu/tlamo
zomnotho	za/u/mu/notho
ngokudla	nga/u/ku/dl/a
okwenzeke	oku/enz/ek/e
malungana	ma/lunga/ana
nokubeka	na/u/ku/bek/a
umsebenzi	u/mu/sebenzi
umsebenzi	u/mu/sebenzi
nebumbano	na/i/bumbano
nomnotho	na/u/mu/notho
ezakwenza	e/zaku/enz/a
nokubona	na/u/ku/bon/a
umsebenzi	u/mu/sebenzi
owenziwe	o/wu/enz/iw/e
nomzimba	na/u/mu/zimba
ezakwenza	eza/ku/enz/a
nokwenza	na/u/ku/enz/a
umsebenzi	u/mu/sebenzi
umsebenzi	u/mu/sebenzi
ekwabeni	e/u/ku/ab/eni
njengemali	njenga/mali
ebujameni	e/bu/jama/eni
kwamagama	kwa/a/ma/gama
ukwazisa	u/ku/az/is/w/a
wabafundi	wa/a/ba/fundi
ngendlela	nga/i/n/dlela
ngamandla	ngu/a/ma/ndla
ngendlela	nga/i/n/dlela
wesifunda	wa/i/si/funda
ukwenzela	u/ku/enz/el/a
emtlameni	e/m/tlamo/eni
wokuthoma	wa/u/ku/thoma
esigabeni	e/si/gaba/ini
nokutlama	na/u/ku/tlama
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
nemitlamo	na/i/mi/tlamo
ngendlela	nga/i/n/dlela
abawaziko	aba/wa/azi/ko
kwamaziko	kwa/a/ma/ziko
namathuba	na/a/ma/thuba
ukwenziwa	u/ku/enz/iw/a
namalunga	na/a/ma/lunga
namalunga	na/a/ma/lunga
-umkhandlu	u/mu/khandlu
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
nesiqhema	na/i/si/qhema
ukwenzela	u/ku/enz/el/a
eenarheni	e/e/narha/eni
lokukwenza	loku/ku/enza
emtlameni	e/m/tlamo/eni
emtlameni	e/m/tlamo/eni
nesenzeko	na/i/se/nzeko
nesiqhema	na/i/si/qhema
ukwenziwa	u/ku/enz/iw/a
ukwenziwa	u/ku/enz/iw/a
lomnyango	lo/u/m/nyango
wamahlelo	wa/a/ma/hlelo
ngendlela	nga/i/n/dlela
i-akhawundi	i/akhawundi
epahleni	e/i/phahla/ini
ukwenziwa	u/ku/enz/iw/a
ukwakhiwa	u/ku/akh/iw/a
wokutlama	wa/u/ku/tlama
eenkorweni	e/enkoro/eni
erherhweni	e/rherho/eni
simumethe	si/mumath/ile
umsebenzi	u/mu/sebenz/i
ngehlelo	nga/i/li/hlelo
ngendlela	nga/i/n/dlela
kwabanzima	ku/abanzim/a
simumethe	si/mumath/ile
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
namahlelo	na/a/ma/hlelo
ukwenzela	u/ku/enz/el/a
ngemiraro	nga/i/mi/raro
emibuzweni	e/mibuzo/eni
ngendlela	nga/i/n/dlela
wesifunda	wa/i/si/funda
nemakhaya	na/a/ma/khaya
nemikghwa	na/i/mi/kghwa
ngokungasi	nga/ku/ngasi
ukwenziwa	u/ku/enz/iw/a
ukwenziwa	u/ku/enz/iw/a
komtlamo	kwa/u/mu/tlamo
webubulo	wa/i/li/bubulo
namalunga	na/a/ma/lunga
wesiqhema	wa/i/si/qhema
kwakhelwe	ku/akh/el/w/e
labafundi	la/a/ba/fundi
ebujameni	e/bu/jam/e/ini
nahlangana	na/hlanga/ana
eliqalene	eli/qal/an/ile
ukuzwana	u/ku/i/z/w/an/a
ukwaziswa	u/ku/az/is/w/a
womthetho	wa/u/mu/thetho
yomthetho	ya/u/mu/thetho
umphakathi	u/mu/phakathi
ngokuqala	nga/u/ku/qal/a
nomasipala	na/u/masipala
umphakathi	u/mu/phakathi
ukwakhelwa	u/ku/khel/w/a
wokutlama	wa/u/ku/tlam/a
ebujameni	e/bu/jam/e/ini
kwezindlu	kwa/i/zin/ndlu
endaweni	e/i/n/ndawo/ini
bazokwenza	ba/zoku/enz/a
lekhansela	le/i/khansela
isehlakalo	i/si/ehlakalo
ngokwenza	nga/u/ku/enz/a
engenziwa	e/nga/enz/iw/a
eenkorweni	e/en/koro/eni
umphakathi	u/mu/phakathi
emanothini	e/manothi/ini
ebujameni	e/bu/jam/e/ini
nokumebha	na/u/ku/mebh/a
umhlangano	u/mu/hlangano
ngeentengo	nga/e/n/tengo
ngeyokobana	nga/yokobana
sokutlama	sa/u/ku/tlam/a
ngomnyaka	nga/u/mu/nyaka
yokuthoma	ya/u/ku/thom/a
abaqalene	aba/qal/an/ile
izakhamuzi	i/zi/akhamuzi
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
nomthetho	na/u/mu/thetho
isehlakalo	i/si/ehlakalo
izakhamuzi	i/zi/akhamuzi
ngenyanga	nga/i/n/nyanga
endaweni	e/i/n/ndawo/ini
umphakathi	u/mu/phakathi
esiqhemeni	esi/qhema/eni
umhlangano	u/mu/hlangano
umhlangano	u/mu/hlangano
esiqhemeni	esi/qhema/eni
abanelwazi	aba/ne/lu/azi
yokuthoma	ya/u/ku/thom/a
ngokufaka	nga/u/ku/fak/a
singeziwa	si/nge/ez/iw/a
endaweni	e/i/n/ndawo/ini
ngentengo	nga/i/n/thengo
esakhiweni	e/sakhiwo/eni
umphakathi	u/mu/phakathi
nokuhlola	na/u/ku/hlol/a
nokulinga	na/u/ku/ling/a
wokuthoma	wa/u/ku/thom/a
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
ekufuneka	e/u/ku/funek/a
ethebulini	e/thebuli/ini
esifundeni	esi/funda/eni
zomkhakha	za/u/mu/khakha
kwezindlu	kwa/i/zin/ndlu
umphakathi	u/mu/phakathi
kwekambiso	kwa/i/kambiso
yokuphatha	ya/uku/phatha
nokuhlola	na/u/ku/hlol/a
yokuthoma	ya/u/ku/thom/a
wokukhula	wa/u/ku/khul/a
ngokunjani	nga/u/ku/njani
esisekelo	esi/i/si/sekelo
nakwakhiwa	na/ku/akh/iw/a
namabubulo	na/a/ma/bubulo
etuthukweni	e/tuthuko/eni
ngamalanga	nga/a/ma/langa
ependulweni	e/pendulo/eni
ekwenziwa	e/u/ku/enz/iw/a
ezingeni	e/i/li/zinga/ini
wokwakhelwa	wo/ikwakhelwa
ezingeni	e/i/li/zinga/ini
sokunikela	sa/u/ku/nikela
sokunikela	sa/u/ku/nikela
ezingeni	e/i/li/zinga/ini
bekwenziwa	be/ku/enz/iw/a
nangebanga	na/nga/i/banga
lamaqhinga	la/i/m/aqhinga
nemikhakha	na/i/mi/khakha
yesikhathi	ya/i/si/khathi
wesikhathi	wa/i/si/khathi
ekutloleni	e/ku/tlola/eni
emakhasini	e/ma/khasi/ini
nelemukweni	na/lemuko/eni
kokuthoma	kwa/u/ku/thom/a
wokutjheja	wa/u/ku/tjheja
kokuthoma	kwa/u/ku/thom/a
nedibhozidi	na/idibhozidi
embuzweni	e/u/mu/buzo/ini
namaqhinga	na/a/ma/qhinga
eendaweni	e/e/n/ndawo/eni
kweqhinga	kwa/i/li/qhinga
kweqhinga	kwa/i/li/qhinga
kwephepha	kwa/i/li/phepha
nesikhathi	na/i/si/khathi
elenzelwe	e/li/enz/el/w/e
neminqopho	na/i/mi/nqopho
wokuqatjha	wa/u/ku/qatjha
emthethweni	e/mthetho/eni
kwamalunga	kwa/a/ma/lunga
emitlameni	e/mi/tlamo/eni
embusweni	e/u/mu/buso/ini
endleleni	e/i/n/dlela/ini
eendaweni	e/e/n/ndawo/eni
wesikhathi	wa/i/si/khathi
eendaweni	e/e/n/ndawo/eni
zamarhwebo	za/a/ma/rhwebo
labantwana	la/a/ba/ntwana
emthethweni	e/m/thetho/eni
ngesehlakalo	nga/sehlakalo
wokulawula	wa/u/ku/lawul/a
nokutjheja	na/u/ku/tjhej/a
eenqhemeni	e/e/n/qhema/eni
zokuphatha	za/u/ku/phath/a
sokukhomba	sa/u/ku/khomb/a
zomkhandlu	za/u/mu/khandlu
semisebenzi	se/e/misebenzi
ngepumelelo	nga/i/pumelelo
nomkhiqizo	na/u/mu/khiqizo
womkhandlu	wa/u/mu/khandlu
wokuphatha	wa/u/ku/phath/a
ehlelweni	e/i/li/hlelo/ini
eenqhemeni	e/e/n/qhema/eni
lokuphatha	la/u/ku/phath/a
nokuphatha	na/u/ku/phath/a
zokuphatha	za/u/ku/phath/a
somsebenzi	sa/u/mu/sebenzi
kungenzeka	ku/nga/enz/ek/a
ngepumelelo	nga/i/pumelelo
nomsebenzi	na/u/mu/sebenzi
ngepumelelo	nga/i/pumelelo
nomthelela	na/u/mu/thelela
zizakhamuzi	zi/zi/akhamuzi
bomkhandlu	ba/u/mu/khandlu
sokuphatha	sa/u/ku/phath/a
lomsebenzi	la/u/mu/sebenzi
eenqhemeni	e/e/n/qhema/eni
nokuthatha	na/u/ku/thath/a
nomsebenzi	na/u/mu/sebenzi
lokuthatha	la/u/ku/thath/a
eenqundweni	e/e/nqundo/eni
ekwenzeni	e/u/ku/enz/a/ini
zizakhamuzi	zi/zi/akhamuzi
lomsebenzi	la/u/mu/sebenzi
zehlalakuhle	za/hlalakuhle
inomthelela	i/na/m/thelela
kumsebenzi	ku/u/mu/sebenzi
eenqhemeni	e/e/n/qhema/eni
ukwahlukana	u/ku/ahlukan/a
esikhathini	esi/khathi/ini
womsebenzi	wa/u/mu/sebenzi
yephrojekthi	ya/phrojekthi
ngokurhaba	ngo/u/ku/rhab/a
ngepumelelo	nga/i/pumelelo
nokutjheja	na/u/ku/tjhej/a
nekubekeni	ne/ku/bek/e/ini
kobulelesi	kwa/u/bu/lelesi
nokuphepha	na/u/ku/pheph/a
wokuphatha	wa/u/ku/phath/a
lingenziwa	li/nge/enz/iw/a
nekhwalithi	na/i/khwalithi
yomsebenzi	ya/u/mu/sebenzi
njengombana	njenga/omu/bana
ngesithunzi	nga/i/si/thunzi
ekutjhejeni	e/ku/tjheja/eni
ngokwenzeka	ngo/ku/enz/ek/a
nemisebenzi	na/i/mi/sebenzi
sokwakhiwa	sa/u/ku/akh/iw/a
yokubolekwa	ya/u/ku/bolekwa
ngesikhathi	nga/i/si/khathi
ngokuzeleko	nga/u/ku/zeleko
njengombana	njenga/omu/bana
ngebamambala	nga/ba/mambala
emrhatjhweni	e/mrhatjho/eni
yemisebenzi	ya/i/mi/sebenzi
nemisebenzi	na/i/mi/sebenzi
wobuthekniki	wa/bu/thekniki
ezinegalelo	ezi/na/i/galelo
komsebenzi	kwa/u/mu/sebenzi
ecozululweni	e/cozululo/eni
ecozululweni	e/cozululo/eni
kwesikhathi	kwa/i/si/khathi
eminyakeni	e/i/mi/nyaka/ini
ngesikhathi	nga/i/si/khathi
nemitjhwana	na/i/mi/tjhwana
bezomnotho	be/za/u/mu/notho
ekulawuleni	e/ku/lawula/eni
komsebenzi	kwa/u/mu/sebenzi
ekufudukeni	e/ku/fuduka/eni
njengombana	njenga/omu/bana
lemisebenzi	la/i/mi/sebenzi
wemisebenzi	wa/i/mi/sebenzi
ngeminqopho	nga/i/mi/nqopho
ngokuzeleko	nga/u/ku/zeleko
ngemithelela	nga/mi/thelela
komsebenzi	kwa/u/mu/sebenzi
ngesikhathi	nga/i/si/khathi
eminyakeni	e/i/mi/nyaka/ini
lamadorobha	la/a/ma/dorobha
lomhlabathi	lo/u/m/hlabathi
ukujanyiswa	u/ku/jam/is/w/a
komkhandlu	kwa/u/mu/khandlu
kwe-akhawundi	kwe/akhawundi
njengombana	njenga/omu/bana
komsebenzi	kwa/u/mu/sebenzi
ebantwaneni	e/ba/ntwana/eni
ngesikhathi	nga/i/si/khathi
kwesikhathi	kwa/i/si/khathi
ngesikhathi	nga/i/si/khathi
njengombana	njenga/omu/bana
komphumela	kwa/u/mu/phumela
wokubandula	wa/u/ku/bandula
nemibandela	na/i/mi/bandela
zemisebenzi	za/i/mi/sebenzi
ekukhombeni	e/ku/khomba/eni
emithonjeni	e/mi/thonjo/eni
lemisebenzi	la/i/mi/sebenzi
yamakholiji	ya/a/ma/kholiji
ngokomnotho	nga/u/ku/mnotho
nokwenzela	na/u/ku/enz/el/a
njengombana	njenga/omu/bana
norhulumende	na/urhulumende
nemisebenzi	na/i/mi/sebenzi
ehlanganweni	e/hlangano/eni
kwesikhathi	kwa/i/si/khathi
njengombana	njenga/omu/bana
nokwenziwa	na/u/ku/enz/iw/a
komsebenzi	kwa/u/mu/sebenzi
komsebenzi	kwa/u/mu/sebenzi
nabenzelwa	na/ba/enz/el/w/a
nemisebenzi	na/i/mi/sebenzi
wokwakhiwa	wa/u/ku/akh/iw/a
nokwenziwa	na/u/ku/enz/iw/a
nokwenziwa	na/u/ku/enz/iw/a
nokuhlolwa	na/u/ku/hlol/w/a
ngesikhathi	nga/i/si/khathi
ngokwebizelo	nga/kwe/bizelo
yemisebenzi	ya/i/mi/sebenzi
kunemihlobo	ku/na/i/mi/hlobo
lephrojekthi	le/i/phrojekthi
eminyangweni	e/mi/nyango/eni
zomphakathi	za/u/mu/phakathi
nezakhamuzi	na/i/zi/akhamuzi
unelungelo	u/na/i/li/lungelo
nehlalakuhle	na/i/hlalakuhle
ngomsebenzi	nga/u/mu/sebenzi
womphakathi	wa/u/mu/phakathi
nehlalakuhle	na/i/hlalakuhle
zomphakathi	za/u/mu/phakathi
eqinisweni	e/i/li/qiniso/ini
zokuhlalisa	za/u/ku/hlalis/a
njengeenhloko	njenga/enhloko
nezemidlalo	na/i/ze/mi/dlalo
