ngokwakho	nga/kwakho
ngokuya	nga/u/ku/y/a
wombuso	wa/u/mu/buso
lombuso	la/u/mu/buso
iindleko	i/ii/ndleko
kwemali	kwa/i/n/mali
ngokuya	nga/u/ku/y/a
ngokuya	nga/u/ku/y/a
lendawo	la/i/n/ndawo
waziswe	wa/az/is/w/e
ngemali	nga/i/n/mali
komuntu	kwa/u/mu/ntu
zombuso	za/u/mu/buso
zombuso	za/u/mu/buso
wombuso	wa/u/mu/buso
kwamanzi	kwa/a/manzi
nendlela	na/i/ndlela
nokuthi	na/u/ku/th/i
lekomidi	le/i/komidi
nekghono	na/i/kghono
ngebanga	nga/i/banga
anelwazi	a/ne/lu/azi
umlayezo	u/mu/layezo
ngehloko	nga/i/hloko
kwenziwe	ku/enz/iw/e
bezinto	ba/i/zin/tho
wendawo	wa/i/n/ndawo
kwesinye	kwa/esi/nye
nelama-64	ne/lama/64
lombuso	la/u/mu/buso
kwenziwa	ku/enz/iw/a
nekghono	na/i/kghono
ngokuya	nga/u/ku/y/a
umphathi	u/mu/phathi
anelwazi	a/ne/lu/azi
izakhiwo	i/zi/akhiwo
nombuso	na/u/mu/buso
msinyana	mu/sini/ana
ukwesaba	u/ku/esab/a
umthetho	u/mu/thetho
yokuthi	ya/u/ku/th/i
nesaziso	ne/si/aziso
zombuso	za/u/mu/buso
zombuso	za/u/mu/buso
zombuso	za/u/mu/buso
wendawo	wa/i/n/ndawo
ezakwazi	e/za/ku/azi
lephahla	le/i/phahla
nekghono	na/i/kghono
wobulili	w/o/ibulili
umehluko	u/mu/ehluko
zenzeka	ze/enza/ek/a
ukunaba	u/ku/ni/ab/a
kukwenza	ku/ku/enz/a
kwenziwa	ku/enz/iw/a
kwemali	kwa/i/n/mali
nelawulo	na/i/lawulo
umehluko	u/mu/ehluko
lendawo	la/i/n/ndawo
enarheni	e/narha/eni
kwesinye	kwa/esi/nye
nokulwa	na/u/ku/lw/a
ngemali	nga/i/n/mali
zombuso	za/u/mu/buso
wombuso	wa/u/mu/buso
wendawo	wa/i/n/ndawo
lendawo	le/i/n/ndawo
ngekghono	nga/kghono
yombuso	ya/u/mu/buso
yombuso	ya/u/mu/buso
msinyana	mu/sini/ana
yombuso	ya/u/mu/buso
iindleko	i/in/ndleko
wombuso	wa/u/mu/buso
iindleko	i/in/ndleko
iindleko	i/in/ndleko
kwenziwe	ku/enz/iw/e
nokuthi	na/u/ku/th/i
ngesinye	nga/esi/nye
ngerhelo	nga/i/rhelo
lombuso	la/u/mu/buso
yombuso	ya/u/mu/buso
bombuso	ba/u/mu/buso
wendawo	wa/i/n/ndawo
oqalene	o/qal/an/ile
ozakwazi	o/za/ku/azi
kwamanzi	kwa/a/manzi
msinyana	mu/sini/ana
ngokuya	nga/u/ku/y/a
lenturhu	le/i/nturhu
msinyana	mu/sini/ana
kwenziwe	ku/enz/iw/e
nombuzo	na/u/mu/buzo
yombuso	ya/u/mu/buso
zombuso	za/u/mu/buso
komuntu	kwa/u/mu/ntu
bendawo	ba/i/n/ndawo
kwamanzi	kwa/a/manzi
ngabanye	nga/aba/nye
wendawo	wa/i/n/ndawo
msinyana	mu/sini/ana
nendawo	na/i/n/ndawo
aphezulu	a/a/phezulu
nombuso	na/u/mu/buso
ngezinye	nga/ezi/nye
nekomidi	ne/i/komidi
kweminye	kwa/emi/nye
wombuso	wa/u/mu/buso
lendawo	la/i/n/ndawo
lephahla	le/i/phahla
kwenziwa	ku/enz/iw/a
yombuso	ya/u/mu/buso
wombuso	wa/u/mu/buso
kwelinye	kwa/eli/nye
kwesinye	kwa/esi/nye
nokuzwa	na/u/ku/zw/a
kwelesi-3	kwe/lesi/3
yokobana	y/o/ikobana
kwabanye	kwa/aba/nye
nebandulo	na/bandulo
wendawo	wa/i/n/ndawo
ezingeni	e/zinga/eni
sikwenza	si/ku/enz/a
izakhiwo	i/zi/akhiwo
ngonyaka	nga/u/nyaka
wendawo	wa/i/n/ndawo
nomzombe	no/mu/zombe
enarheni	e/narha/eni
wamandla	wa/a/mandla
ezifana	ezi/zi/fan/a
umthetho	u/mu/thetho
kwenziwa	ku/enz/iw/a
nelawulo	na/i/lawulo
kwekghono	kwa/kghono
nombuso	na/u/mu/buso
ayakwazi	a/yaku/az/i
nokwenza	no/ku/enz/a
kwenziwa	ku/enz/iw/a
nombuso	na/u/mu/buso
wombuso	wa/u/mu/buso
kwenzeka	ku/enz/ek/a
umphathi	u/mu/phathi
umthetho	u/mu/thetho
yombuso	ya/u/mu/buso
ngebanga	nga/i/banga
zombuso	za/u/mu/buso
yombuso	ya/u/mu/buso
ngokuya	nga/u/ku/y/a
umnikeli	u/mu/nikeli
zombuso	za/u/mu/buso
ngebanga	nga/i/banga
umehluko	u/mu/ehluko
kwesinye	kwa/esi/nye
ngokuya	nga/u/ku/y/a
kwenziwa	ku/enz/iw/a
nelama-45	ne/lama/45
yendawo	ya/i/n/ndawo
wombuso	wa/u/mu/buso
umehluko	u/mu/ehluko
umehluko	u/mu/ehluko
wendawo	wa/i/n/ndawo
wombuso	wa/u/mu/buso
zombuso	za/u/mu/buso
elangeni	e/langa/eni
nendawo	na/i/n/ndawo
umehluko	u/mu/ehluko
wesekelo	wa/i/sekelo
kwesinye	kwa/esi/nye
kwenziwe	ku/enz/iw/e
umphathi	u/mu/phathi
ngemali	nga/i/n/mali
umehluko	u/mu/ehluko
kwezinye	kwa/ezi/nye
kwamanzi	kwa/a/manzi
zedorobha	za/dorobha
wendawo	wa/i/n/ndawo
wabomma	w/a/a/bo/mma
wombuso	wa/u/mu/buso
unendima	u/na/n/dima
iindleko	i/ii/ndleko
yezinto	ya/i/zin/tho
eqalene	e/qal/an/ile
kwenziwa	ku/enz/iw/a
ema-30-50	e/ma/30/50
ngomunye	nga/omu/nye
umphathi	u/mu/phathi
onelwazi	o/ne/lu/azi
lokuveza	lo/i/kuveza
nombuso	na/u/mu/buso
kwerherho	kwa/rherho
ngesinye	nga/esi/nye
ngendima	nga/i/ndima
bezinto	ba/i/zin/tho
bezinto	ba/i/zin/tho
kwenziwe	ku/enz/iw/e
umthetho	u/mu/thetho
wetuthuko	wa/tuthuko
nokuthi	na/u/ku/th/i
yendawo	ya/i/n/ndawo
kwelinye	kwa/eli/nye
umthetho	u/mu/thetho
ngamanzi	nga/a/manzi
kwenziwa	ku/enz/iw/a
wendawo	wa/i/n/ndawo
wendawo	wa/i/n/ndawo
zokwakha	zo/ku/akh/a
ngebanga	nga/i/banga
umthetho	u/mu/thetho
wombuso	wa/u/mu/buso
wendawo	wa/i/n/ndawo
aphezulu	a/a/phezulu
ngefanelo	nga/fanelo
nekghono	na/i/kghono
lombuso	la/u/mu/buso
bombuso	ba/u/mu/buso
aphezulu	a/a/phezulu
aphezulu	a/a/phezulu
wombuso	wa/u/mu/buso
nezakhiwo	na/zakhiwo
kwenziwe	ku/enz/iw/e
bombuso	ba/u/mu/buso
ngebanga	nga/i/banga
bendawo	ba/i/n/ndawo
bendawo	ba/i/n/ndawo
ehlelwe	e/ehl/el/w/e
kwenziwa	ku/enz/iw/a
umthetho	u/mu/thetho
umthetho	u/mu/thetho
nombuzo	na/u/mu/buzo
lombuso	la/u/mu/buso
ngelinye	nga/eli/nye
abakwazi	aba/ku/az/i
enarheni	e/narha/eni
kwesinye	kwa/esi/nye
kwenziwe	ku/enz/iw/e
lendawo	la/i/n/ndawo
wendawo	wa/i/n/ndawo
wombuso	wa/u/mu/buso
zabelwa	zi/ab/el/w/a
nomqopho	no/m/nqopho
nendawo	na/i/n/ndawo
izakhiwo	i/zi/akhiwo
ngomunye	nga/omu/nye
nendawabo	na/ndawabo
nombono	na/u/mu/bono
ngebanga	nga/i/banga
ngokuya	nga/u/ku/y/a
ngama-kpi	nga/ma/kpi
abaku-idp	aba/ku/idp
iindleko	i/in/ndleko
yokobana	y/o/ikobana
womzombe	wo/mu/zombe
wendawo	wa/i/n/ndawo
wendawo	wa/i/n/ndawo
ekwenza	e/u/ku/enz/a
nesentha	na/i/sentha
nesekelo	ne/i/sekelo
ngebhadi	nga/i/bhadi
nombuso	na/u/mu/buso
kukwakha	ku/ku/akh/a
kwakhiwe	ku/akh/iw/e
lokusiza	lo/uku/siza
ngekusasa	nga/kusasa
kwenziwe	ku/enz/iw/e
kwenziwe	ku/enz/iw/e
wendawo	wa/i/n/ndawo
umntwana	u/mu/ntwana
nokuthi	na/u/ku/th/i
baziswa	ba/az/is/w/a
yombuso	ya/u/mu/buso
ngezinye	nga/ezi/nye
ngobumbi	nga/ubu/mbi
ngendaba	nga/i/ndaba
kwenziwa	ku/enz/iw/a
kwenziwe	ku/enz/iw/e
ngobumbi	nga/ubu/mbi
kwenziwe	ku/enz/iw/e
weenteji	we/e/enteji
ngemali	nga/i/n/mali
yombuso	ya/u/mu/buso
ephasini	e/phasi/ini
yefuneko	ye/e/funeko
aphezulu	a/a/phezulu
nepahleni	na/pahleni
yomtlamo	y/o/imtlamo
yombuso	ya/u/mu/buso
yombuso	ya/u/mu/buso
wendawo	wa/i/n/ndawo
lenturhu	le/i/nturhu
zomlilo	za/u/mu/lilo
kwabanye	kwa/aba/nye
wombuso	wa/u/mu/buso
yombuso	ya/u/mu/buso
eentweni	e/e/nto/eni
izahluko	i/zi/ahluko
kwenziwe	ku/enz/iw/e
kwabanye	kwa/aba/nye
ngokuya	nga/u/ku/y/a
ngokuya	nga/u/ku/y/a
ngokuya	nga/u/ku/y/a
lelawulo	le/i/lawulo
zaziswa	zi/az/is/w/a
emzileni	e/mzilo/eni
ngesinye	nga/esi/nye
sombuso	sa/u/mu/buso
wendawo	wa/i/n/ndawo
nebumbano	na/bumbano
ngebanga	nga/i/banga
nengcenye	na/ngcenye
yendawo	ya/i/n/ndawo
nendawo	na/i/n/ndawo
zombiko	za/u/mu/biko
umthetho	u/mu/thetho
emihlanu	e/emi/hlanu
ngonyaka	nga/u/nyaka
neragelo	na/i/ragelo
wombuso	wa/u/mu/buso
nokuthi	na/u/ku/th/i
wombuso	wa/u/mu/buso
zibanjwe	zi/bamb/w/e
umthetho	u/mu/thetho
yendawo	ya/i/n/ndawo
yommongo	y/o/immongo
kwenziwe	ku/enz/iw/e
komraro	kwa/u/m/raro
nekghono	na/i/kghono
nesakhelo	na/sakhelo
enarheni	e/narha/eni
ngokuya	nga/u/ku/y/a
kwesinye	kwa/esi/nye
kwenziwe	ku/enz/iw/e
kwenziwa	ku/enz/iw/a
kwenziwa	ku/enz/iw/a
kwenziwa	ku/enz/iw/a
lephahla	le/i/phahla
sombono	sa/u/mu/bono
sombono	sa/u/mu/bono
kwerherho	kwa/rherho
yombuso	ya/u/mu/buso
nebandulo	na/bandulo
nekghono	na/i/kghono
nezinto	na/i/zin/tho
ebuzweni	e/buzwa/eni
negalelo	na/i/galelo
inelwazi	i/ne/lu/azi
kwenziwe	ku/enz/iw/e
-iinqunto	i/in/qunto
wendawo	wa/i/n/ndawo
kwenengi	kwa/e/nengi
zommoya	za/u/mu/moya
iindleko	i/in/ndleko
ema-irini	e/ma/irini
umthetho	u/mu/thetho
izahluko	i/zi/ahluko
umntwana	u/mu/ntwana
umntwana	u/mu/ntwana
nokupha	na/u/ku/ph/a
umntwana	u/mu/ntwana
kwenziwe	ku/enz/iw/e
kwakhiwe	ku/akh/iw/e
yamandla	ya/a/mandla
yendawo	ya/i/n/ndawo
izakhiwo	i/zi/akhiwo
wendawo	wa/i/n/ndawo
wendawo	wa/i/n/ndawo
wendawo	wa/i/n/ndawo
kwesinye	kwa/esi/nye
ngesinye	nga/esi/nye
komgodi	kwa/u/m/godi
komgodi	kwa/u/m/godi
umthetho	u/mu/thetho
ngemali	nga/i/n/mali
aku-3.2.1	a/ku/3.2.1
nokuthi	na/u/ku/th/i
kwelinye	kwa/eli/nye
nokuthi	na/u/ku/th/i
ngemali	nga/i/n/mali
ngemali	nga/i/n/mali
kwemali	kwa/i/n/mali
ngebanga	nga/i/banga
kwezinye	kwa/ezi/nye
kokwakha	ko/ku/akh/a
yombuso	ya/u/mu/buso
ngokwakhe	nga/kwa/khe
nobujamo	na/u/bu/jamo
wekhaya	wa/i/li/khaya
weendawo	we/e/n/ndawo
ezakhako	e/zi/akha/ko
embonweni	e/mbono/eni
kommoya	kwa/u/mu/moya
nobujamo	na/u/bu/jamo
ngeengaba	nga/e/ngaba
erhelweni	e/rhelo/eni
ukwabiwa	u/ku/ab/iw/a
komnotho	kwa/u/mnotho
emayelana	e/imayelana
imumethe	i/mumath/ile
ngomraro	nga/u/m/raro
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
namajamo	na/a/ma/jamo
abaku-idp	a/ba/ku/idp
wekhaya	wa/i/li/khaya
ezenzweni	e/zenzo/eni
yokusiza	ya/u/ku/siza
yesikolo	ya/i/si/kolo
nehlelo	na/i/li/hlelo
mphakathi	mu/phakathi
nomtlamo	na/u/m/tlamo
nezinga	na/i/li/zinga
yekhaya	ya/i/li/khaya
wekhaya	wa/i/li/khaya
bazazise	ba/za/azis/e
ngconywana	ngcono/ana
ikululeko	i/khululeko
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
kwabantu	kwa/a/ba/ntu
yeendawo	y/e/en/ndawo
ipumelelo	i/phumelelo
emihlanu	a/i/mi/hlanu
ubulwele	u/bu/lu/el/e
mphakathi	mu/phakathi
mphakathi	mu/phakathi
komnotho	kwa/u/mnotho
nomtlamo	na/u/m/tlamo
imumethe	i/mumath/ile
kinanyana	ki/nani/ana
lesikolo	la/i/si/kolo
ezintathu	ezin/thathu
wekhaya	wa/i/li/khaya
lemibiko	le/i/mi/biko
wamawadi	wa/a/ma/wadi
kombiko	kwa/u/mu/biko
wamawadi	wa/a/ma/wadi
komnotho	kwa/u/mnotho
komgomo	kwa/u/mu/gomo
unethuba	u/na/i/thuba
sokudosa	sa/u/ku/dosa
wokwemba	wa/u/ku/emba
nomrholo	na/u/m/rholo
neendawo	ne/e/n/ndawo
kwabantu	kwa/a/ba/ntu
kwabantu	kwa/a/ba/ntu
nephiko	na/i/li/phiko
ipumelelo	i/phumelelo
ezintathu	ezin/thathu
ezintathu	ezin/thathu
ne-gauteng	ne/gauteng
esenzweni	e/senzo/eni
wekhaya	wa/i/li/khaya
lekhaya	la/i/li/khaya
wamawadi	wa/a/ma/wadi
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
lomtlamo	lo/i/m/tlamo
nendlela	na/i/n/dlela
ipumelelo	i/phumelelo
wekhaya	wa/i/li/khaya
nephiko	na/i/li/phiko
emihlanu	a/i/mi/hlanu
ipumelelo	i/phumelelo
ephikweni	e/phiko/ini
wephiko	wa/i/li/phiko
komnotho	kwa/u/mnotho
komnotho	kwa/u/mnotho
kommoya	kwa/u/mu/moya
kungakha	ku/nga/akh/a
nobungako	na/bu/ngako
kwabantu	kwa/a/ba/ntu
ngconywana	ngcono/ana
ezakwazi	e/za/ku/az/i
zekhaya	za/i/li/khaya
eminengi	a/i/mi/nengi
kwabantu	kwa/a/ba/ntu
nokutlama	na/ukutlama
nokuqala	na/u/ku/qala
nendlela	na/i/n/dlela
komnotho	kwa/u/mnotho
wekhaya	wa/i/li/khaya
kwendlela	ku/endlel/a
kombuso	kwa/u/mu/buso
eminengi	a/i/mi/nengi
ngokwazo	nga/u/ku/azo
nomtlamo	na/u/m/tlamo
esingaba	esi/ngi/ab/a
komgomo	kwa/u/mu/gomo
nekorweni	na/koro/eni
eminengi	a/i/mi/nengi
ezingaba	ezi/ngi/ab/a
nemibono	na/i/mi/bono
nemibono	na/i/mi/bono
kungenza	ku/nga/enz/a
nemibono	na/i/mi/bono
ilungelo	i/li/lungelo
zemibono	za/i/mi/bono
esangweni	e/sango/eni
mphakathi	mu/phakathi
ukwabiwa	u/ku/ab/iw/a
mphakathi	mu/phakathi
lokwenza-	lo/ku/enz/a
nendlela	na/i/n/dlela
ezintathu	ezin/thathu
ukwahluka	u/ku/ahluka
ukulwela	u/ku/lu/el/a
kwabantu	kwa/a/ba/ntu
kwesigaba	ku/esigab/a
ngconywana	ngcono/ana
eminengi	a/i/mi/nengi
ngconywana	ngcono/ana
kungenza	ku/nga/enz/a
imumethe	i/mumath/ile
ku-avareji	ku/avareji
sokusisa	sa/u/ku/sisa
nezinga	na/i/li/zinga
zabalimi	za/a/ba/limi
namasiko	na/a/ma/siko
ngomraro	nga/u/m/raro
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
isayensi	i/li/sayensi
eziphasi	ezi/iziphasi
nezinga	na/i/li/zinga
yesikolo	ya/i/si/kolo
lendlela	la/i/n/dlela
nendlela	na/i/n/dlela
nemibono	na/i/mi/bono
lekhaya	la/i/li/khaya
i-logfremu	i/logfremu
nemibiko	na/i/mi/biko
okwenzeka	oku/enzek/a
nephasini	na/phas/ini
komnotho	kwa/u/mnotho
beendima	ba/e/n/ndima
ipumelelo	i/phumelelo
efundweni	a/fundo/eni
nendlela	ne/e/n/dlela
kwabomma	kwa/a/bo/mma
kombuso	kwa/u/mu/buso
yekhaya	ya/i/li/khaya
weendawo	we/e/n/ndawo
lokusiza	lo/u/ku/siza
nobulili	na/u/bu/lili
komnotho	kwa/u/mnotho
kommoya	kwa/u/mu/moya
mphakathi	mu/phakathi
kwabelwe	ku/ab/el/w/e
yomnqopho	ye/m/nqopho
yekhaya	ya/i/li/khaya
yekhaya	ya/i/li/khaya
yesikolo	ya/i/si/kolo
wekhaya	wa/i/li/khaya
ezintathu	ezin/thathu
wesibili	wa/i/si/bili
yekhaya	ya/i/li/khaya
zekhaya	za/i/li/khaya
mphakathi	mu/phakathi
nendlela	na/i/n/dlela
lobujamo	lo/i/bu/jamo
kwabantu	kwa/a/ba/ntu
eminengi	a/i/mi/nengi
kwabantu	kwa/a/ba/ntu
nehlelo	na/i/li/hlelo
sehlelo	sa/i/li/hlelo
wekhaya	wa/i/li/khaya
kumawadi	ku/a/ma/wadi
ngconywana	ngcono/ana
komnotho	kwa/u/mnotho
wekhaya	wa/i/li/khaya
abangaba	aba/ngi/ab/a
esingaba	esi/ngi/ab/a
oyenzako	o/yi/enza/ko
nendlela	na/i/n/dlela
ngeengaba	nga/e/ngaba
ngobutjha	nga/ubutjha
kwabantu	kwa/a/ba/ntu
kwabantu	kwa/a/ba/ntu
kwabantu	kwa/a/ba/ntu
kwabantu	kwa/a/ba/ntu
zokusiza	za/u/ku/siza
kwabantu	kwa/a/ba/ntu
nendlela	na/i/n/dlela
le-methane	le/methane
kwabantu	kwa/a/ba/ntu
namanani	na/a/ma/nani
sokuqeda	sa/u/ku/qeda
ezenziwa	ezi/enz/iw/a
ngewewadi	nga/we/wadi
nomtlamo	na/u/m/tlamo
kwenzekani	kwenzakani
nemibuzo	na/i/mi/buzo
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
wekhaya	wa/i/li/khaya
kwendlela	kwe/endlela
wekhaya	wa/i/li/khaya
nezibanga	na/zi/banga
kwabantu	kwa/a/ba/ntu
kokudla	kwa/u/ku/dl/a
kwabantu	kwa/a/ba/ntu
e-ofisini	e/ofisi/ini
nendlela	na/i/n/dlela
zemakhaya	za/ma/khaya
ezintathu	ezin/thathu
kwabantu	kwa/a/ba/ntu
kwabomma	kwa/a/bo/mma
nobujamo	na/u/bu/jamo
nobulili	na/u/bu/lili
nobulili	na/u/bu/lili
wekhaya	wa/i/li/khaya
ngomtlamo	nga/m/tlamo
nemibono	na/i/mi/bono
nemibono	na/i/mi/bono
nemizamo	na/i/mi/zamo
zendlela	za/i/n/dlela
ngefanelo	nga/ifanelo
ngefanelo	nga/ifanelo
nobujamo	na/u/bu/jamo
emihlanu	a/i/mi/hlanu
imumethe	i/mumath/ile
nemileyo	na/i/mi/leyo
ngomhlobo	nga/umhlobo
ngezitho	nga/i/zi/tho
ngemiraro	nga/mi/raro
wekhaya	wa/i/li/khaya
lemibuzo	le/i/mi/buzo
nobulili	na/u/bu/lili
lamaziko	la/i/ma/ziko
kungenza	ku/nga/enz/a
ukwethula	u/ku/ethula
emihlanu	a/i/mi/hlanu
komnotho	kwa/u/mnotho
ngomtlamo	nga/m/tlamo
nomtlamo	na/u/m/tlamo
komnotho	kwa/u/mnotho
ipumelelo	i/phumelelo
wekhaya	wa/i/li/khaya
abangaba	aba/nga/ab/a
ngendaba	nga/i/n/daba
ngeengaba	nga/e/ngaba
wekhaya	wa/i/li/khaya
wendlela	wa/i/n/dlela
esingaba	esi/ngi/ab/a
emihlanu	a/i/mi/hlanu
ngeengaba	nga/e/ngaba
emihlanu	a/i/mi/hlanu
i-elemende	i/elemende
e-ofisini	e/ofisi/ini
nendlela	na/i/n/dlela
wokwenza	wa/u/ku/enza
komnotho	kwa/u/mnotho
welanga	wa/i/li/langa
wekhaya	wa/i/li/khaya
ngomraro	nga/u/m/raro
lendleko	le/i/n/dleko
nemibono	na/i/mi/bono
yeendawo	ye/e/n/ndawo
ezintathu	ezin/thathu
ipumelelo	i/phumelelo
ewadinayo	e/iwadinayo
komnotho	kwa/u/mnotho
wekhaya	wa/i/li/khaya
wamawadi	wa/a/ma/wadi
nendlela	na/i/n/dlela
nekorweni	na/koro/eni
kombuso	kwa/u/mu/buso
wekhaya	wa/i/li/khaya
kwelizwe	kwa/i/li/zwe
nethuba	na/i/li/thuba
komnotho	kwa/u/mnotho
kwabantu	kwa/a/ba/ntu
ezenziwa	ezi/enz/iw/a
lekhaya	la/i/li/khaya
