lelikhasi	la/li/khasi
temmango	ta/u/mu/mango
ngemgomo	nga/u/mu/gomo
nesakhiwo	ne/si/akhiwo
lesakhiwo	le/si/akhiwo
ngekwenta	nge/ku/ent/a
tekushaya	ta/ku/shay/a
ekomidini	e/komidi/ini
emkhandlu	a/mu/khandlu
umsebenti	u/mu/sebenti
ekomidini	e/komidi/ini
yekutfola	ya/ku/tfol/a
yemmango	ya/u/mu/mango
yemmango	ya/u/mu/mango
sesenteko	se/si/enteko
temmango	ta/u/mu/mango
lekunatsa	la/ku/nats/a
yemphatfo	ya/in/phatfo
umsebenti	u/mu/sebenti
wekutfola	wa/ku/tfol/a
ngekwakha	nga/ku/akh/a
labeswele	laba/eswel/e
labeswele	laba/eswel/e
umkhandlu	u/mu/khandlu
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
sebentisa	s/e/ibentisa
ngeli-awa	nga/eli/aw/a
tekuhlela	ta/ku/hlel/a
yekuhlela	ya/ku/hlel/a
wemmango	wa/u/mu/mango
lemklamo	la/u/mu/klamo
ngekubeka	nga/ku/bek/a
yekucasha	ya/ku/cash/a
yemnontfo	ye/um/nontfo
yemmango	ya/u/mu/mango
ngekufaka	nga/ku/fak/a
yemmango	ya/u/mu/mango
lekhetfwa	le/khets/w/a
leteswele	leti/eswel/e
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
babelana	ba/ab/el/an/a
tekuchaza	ta/ku/chaz/a
temmango	ta/u/mu/mango
aniketwe	a/a/niket/w/e
ngekwe-iso	nge/kwe/iso
kubukene	ku/buk/an/ile
yemklamo	ya/u/mu/klamo
lemklamo	la/u/mu/klamo
temmango	ta/u/mu/mango
letitako	leti/i/t/a/ko
umkhandlu	u/mu/khandlu
umsebenti	u/mu/sebenti
utakwenta	u/taku/ent/a
yekuhlela	ya/ku/hlel/a
behlukana	ba/ehlukan/a
umphumela	u/mu/phumela
lemmango	la/u/mu/mango
yemmango	ya/u/mu/mango
eluhlweni	e/lu/hlu/ini
yekuhlela	ya/ku/hlel/a
yekuhlela	ya/ku/hlel/a
esigabeni	esi/gaba/ini
tekuzuza	ta/u/ku/zuz/a
wemmango	wa/u/mu/mango
umkhandlu	u/mu/khandlu
yekuletsa	ya/ku/lets/a
nekwesaba	ne/ku/esab/a
temmango	ta/u/mu/mango
kwekwenta	kwa/ku/ent/a
umsebenti	u/mu/sebenti
ekulalela	a/ku/lalel/a
ekulalela	a/ku/lalel/a
yekutfula	ya/kwe/tfula
tenkinga	ta/in/inkinga
lekukhula	la/ku/khul/a
letiku-idp	leti/ku/idp
yekuhlela	ya/ku/hlel/a
temmango	ta/u/mu/mango
yemmango	ya/u/mu/mango
bevisise	be/i/v/isis/e
betakhiwo	ba/ti/akhiwo
emsebenti	a/mu/sebenti
labukene	la/buk/an/ile
tesakhiwo	te/i/sakhiwo
kwekubeka	kwa/ku/bek/a
labamele	laba/i/m/el/e
wemmango	wa/u/mu/mango
etsembeke	a/tsemb/ek/e
nemkhakha	na/mu/khakha
semmango	sa/u/mu/mango
kukhonjwe	ku/khomb/w/e
eluhlwini	e/lu/hlu/ini
eluhlwini	e/lu/hlu/ini
eluhlwini	e/lu/hlu/ini
lemmango	la/u/mu/mango
umsebenti	u/mu/sebenti
nekugadza	na/ku/gadz/a
kwenyuswa	ku/enyus/w/a
temmango	ta/u/mu/mango
lekhetfwe	le/khets/w/e
emkhandlu	a/mu/khandlu
temmango	ta/u/mu/mango
nemkhakha	na/mu/khakha
emkhandlu	a/mu/khandlu
umphumela	u/mu/phumela
temhlaba	ta/u/mu/hlaba
kwesekela	ku/esek/el/a
lemmango	la/u/mu/mango
yekweluka	ya/ku/eluk/a
lwendzawo	lwa/in/dzawo
semklamo	sa/u/mu/klamo
tekuphila	ta/ku/phil/a
temnotfo	ta/u/mu/notfo
umsebenti	u/mu/sebenti
tekuhlela	ta/ku/hlel/a
yekuhlela	ya/ku/hlel/a
kuvisisa	ku/i/v/isis/a
ngekwenta	nga/ku/ent/a
timbangela	tin/bangela
umsebenti	u/mu/sebenti
ekuphatsa	a/ku/phats/a
tetitselo	t/e/ititselo
yekuhlola	ya/ku/hlol/a
yekuhlola	ya/ku/hlol/a
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
ngephandle	nga/phandle
temmango	ta/u/mu/mango
tekuhweba	ta/ku/hweb/a
temmango	ta/u/mu/mango
ekufundza	a/ku/fundz/a
lemmango	la/u/mu/mango
ngumculu	ngu/u/mu/culu
lometfuli	lo/mu/etfuli
yemmango	ya/u/mu/mango
emkhandlu	e/mu/khandlu
yetakhiwo	ye/ti/akhiwo
kwentsela	kwa/in/tsela
yetakhiwo	ye/ti/akhiwo
wengamele	u/engam/el/e
yetakhiwo	ye/ti/akhiwo
wemmango	wa/u/mu/mango
temmango	ta/u/mu/mango
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
lekuchaza	la/ku/chaz/a
lekushuca	la/ku/shuc/a
tekweseka	ta/ku/esek/a
umsebenti	u/mu/sebenti
tekuhlala	ta/ku/hlal/a
tekuhlela	ta/ku/hlel/a
ngenchubo	nge/in/chubo
ngemnyaka	nga/mu/nyaka
bamelele	ba/i/m/elel/e
temmango	ta/u/mu/mango
wemmango	wa/u/mu/mango
kutakhiwo	ku/ti/akhiwo
nekutfola	na/ku/tfol/a
yekuhlela	ya/ku/hlel/a
yemmango	ya/u/mu/mango
umsebenti	u/mu/sebenti
lekubheka	la/ku/bhek/a
temmango	ta/u/mu/mango
ngemphilo	nga/in/philo
umsebenti	u/mu/sebenti
lomklamo	lo/u/mu/klamo
kumtsetfo	ku/mu/tsetfo
temmango	ta/u/mu/mango
temmango	ta/u/mu/mango
nekunotsa	na/ku/nots/a
kumdvwebo	ku/mu/dvwebo
ngenchubo	nge/in/chubo
ngemnyaka	nga/mu/nyaka
ngemibiko	nge/imi/biko
lonelwati	lo/na/lu/ati
lehlukile	le/ehluk/ile
yetakhiwo	ye/ti/akhiwo
ngemnyaka	nga/mu/nyaka
yetakhiwo	ye/ti/akhiwo
yetakhiwo	ye/ti/akhiwo
ekuphepha	a/ku/pheph/a
tekucedza	ta/ku/cedz/a
umsebenti	u/mu/sebenti
yekuhlela	ya/ku/hlel/a
yekuhlela	ya/ku/hlel/a
letakhiwo	le/ti/akhiwo
lomtsetfo	lo/mu/tsetfo
kwandzisa	ku/andz/is/a
lesetulu	leli/s/e/tulu
ngekwenta	nge/ku/ent/a
temphahla	te/in/phahla
tengucuko	te/in/gucuko
yemklamo	ya/u/mu/klamo
lemmango	la/u/mu/mango
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
yemmango	ya/u/mu/mango
yemnotfo	ya/u/mu/notfo
nekudlala	na/ku/dlal/a
kwenyuswe	ku/enyus/w/e
kwendlela	kwa/in/dlela
ebondzeni	e/bondza/ini
kwenyuswe	ku/enyus/w/e
yekuhlela	ya/ku/hlel/a
lemmango	la/u/mu/mango
nelisulisu	na/lisulisu
atsintfwe	a/tsints/w/e
nemkhakha	na/mu/khakha
temmango	ta/u/mu/mango
ngenchubo	nge/in/chubo
lemmango	la/u/mu/mango
kutakhiwo	ku/ti/akhiwo
ephepheni	e/phepha/ini
yekuhlela	ya/ku/hlel/a
semnyele	sa/u/mu/nyele
kwelimpopo	kwa/limpopo
tesayensi	te/i/sayensi
nemkhakha	na/mu/khakha
kufundvwa	ku/fundz/w/a
kufundvwa	ku/fundz/w/a
idvwetjwe	i/dvweb/iw/e
kwekwenta	kwa/ku/ent/a
lelimele	leli/i/m/el/e
yebudzala	ye/ku/dzal/a
kwabo-2000	kwa/bo/2000
kuchitjwa	ku/chits/w/a
emlandvo	a/u/mu/landvo
tekukhula	ta/ku/khul/a
kuvisisa	ku/i/v/isis/a
yinkapani	yi/in/kapani
yemmango	ya/u/mu/mango
ngenchubo	nge/in/chubo
yekuhlola	ya/ku/hlol/a
yemmango	ya/u/mu/mango
lehlukile	le/ehluk/ile
temhlaba	ta/u/mu/hlaba
kuphatfwa	ku/phats/w/a
nekhansela	na/khansela
lwekucala	lwa/uku/cala
yemmango	ya/u/mu/mango
kwesekela	ku/esek/el/a
umsebenti	u/mu/sebenti
embusweni	e/m/buso/ini
kwehlukana	ku/ehlukana
umphumela	u/mu/phumela
kwenyuswe	ku/enyus/w/e
emsebenti	e/mu/sebenti
lomlayeto	lo/mu/layeto
umsebenti	u/mu/sebenti
tekuhlela	ta/ku/hlel/a
kwemnyaka	kwa/mu/nyaka
nekukhula	na/ku/khul/a
umsebenti	u/mu/sebenti
ngephandle	nga/phandle
temmango	ta/u/mu/mango
letitako	leti/i/t/a/ko
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
tekuphila	ta/uku/phila
temmango	ta/u/mu/mango
lemmango	la/u/mu/mango
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
emakethe	e/i/n/makethe
temmango	ta/u/mu/mango
umkhandlu	u/mu/khandlu
temmango	ta/u/mu/mango
ekomidini	e/komidi/ini
lemhlaba	la/u/mu/hlaba
umsebenti	u/mu/sebenti
lonelwati	lo/na/lu/ati
lakhelwe	la/akh/el/w/e
ayentiwe	a/yi/ent/iw/e
emsebenti	e/mu/sebenti
wemmango	wa/u/mu/mango
umkhandlu	u/mu/khandlu
ekutseni	e/ku/ts/e/ini
unetifiso	u/na/ti/fiso
kutsatfwa	ku/tsats/w/a
ayindlela	a/yi/indlela
emalini	e/i/n/mali/ini
temmango	ta/u/mu/mango
emgomeni	e/mu/gomo/ini
kuvisisa	ku/i/v/isis/a
umlingani	u/mu/lingani
umsebenti	u/mu/sebenti
lemklamo	la/u/mu/klamo
lomchasi	lo/u/mu/chasi
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
kumklamo	ku/u/mu/klamo
lekuhlela	la/ku/hlel/a
wekungena	wa/ku/ngen/a
yetfutfuko	ya/tfutfuko
yemmango	ya/u/mu/mango
ngekwenta	nga/ku/ent/a
lekuhlela	la/ku/hlel/a
yemmango	ya/u/mu/mango
kutawenta	ku/tawu/enta
lobukene	lo/buk/an/ile
yemmango	ya/u/mu/mango
umphumela	u/mu/phumela
kummango	ku/u/mu/mango
kutakhiwo	ku/ti/akhiwo
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
lepolitiki	la/politiki
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
emsebenti	e/mu/sebenti
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
yemnotfo	ya/u/mu/notfo
wemmango	wa/u/mu/mango
nekuhlela	na/ku/hlel/a
yemmango	ya/u/mu/mango
kwekunaka	kwa/ku/nak/a
yekuhlela	ya/ku/hlel/a
ivisiswe	i/iv/isis/w/e
umsebenti	u/mu/sebenti
kuphetfwa	ku/phets/w/a
wemmango	wa/u/mu/mango
lobukene	lo/buk/an/ile
wemmango	wa/u/mu/mango
lentelwe	le/ent/el/w/e
wetakhiwo	wa/ti/akhiwo
nemkhakha	na/mu/khakha
umtselela	u/mu/tselela
kutemvelo	ku/ta/n/velo
yekuphila	ya/ku/phil/a
lemmango	la/u/mu/mango
kwesekela	kwa/esekel/a
kwenabele	ku/enab/el/e
kwandzile	kwa/andz/ile
yekutfola	ya/ku/tfol/a
latfunywe	la/tfum/iw/e
temmango	ta/u/ma/mango
ekubeleka	a/ku/belek/a
kutsatfwa	ku/tsats/w/a
yemmango	ya/u/mu/mango
kwenyuswe	ku/enyus/w/e
kukhishwa	ku/khiph/w/a
lehloswe	le/i/hlos/w/e
yemmango	ya/u/mu/mango
ngekwenta	nga/ku/ent/a
lekuhlela	la/ku/hlel/a
yetsenjwa	ye/tsemb/w/a
selatise	se/li/at/is/e
sikhishwe	si/khiph/w/e
yekuhlela	ya/ku/hlel/a
yekuhlela	ya/ku/hlel/a
wetakhiwo	we/ti/akhiwo
ngenchubo	nge/in/chubo
yakhelwe	ya/akh/el/w/e
umsebenti	u/mu/sebenti
setemanti	s/e/itemanti
setemanti	s/e/itemanti
ngekubona	nga/ku/bon/a
yemmango	ya/u/mu/mango
wemmango	wa/u/mu/mango
yemmango	ya/u/mu/mango
njengentfo	njenga/ntfo
kuvisisa	ku/i/v/isis/a
encenyeni	e/ncenye/ini
umtselela	u/mu/tselela
tekucasha	ta/ku/cash/a
nemkhakha	na/mu/khakha
lekutfola	la/ku/tfol/a
tekuphila	ta/ku/phil/a
nekuhlela	na/ku/hlel/a
umkhandlu	u/mu/khandlu
tekucedza	ta/ku/cedz/a
umsebenti	u/mu/sebenti
lomdvwebo	lo/mu/dvwebo
yekuchuba	ya/ku/chub/a
netimboni	na/ti/m/boni
nekugcila	na/ku/gcil/a
kwembono	kwa/u/mu/bono
emsebenti	a/mu/sebenti
lesahluko	le/si/ahluko
lesahluko	le/si/ahluko
kwandzise	ku/andz/is/e
yekwandza	ya/ku/andz/a
yanga-2008	ya/nga/2008
ngekubete	nga/ku/bet/a
ngemiholo	nga/imi/holo
kwekwenta	kwa/ku/ent/a
sebentisa	s/e/ibentisa
yekuhlela	ya/ku/hlel/a
yekuhlela	ya/ku/hlel/a
temmango	ta/u/mu/mango
yekuhlela	ya/ku/hlel/a
temmango	ta/u/ma/mango
tekuhlela	ta/ku/hlel/a
temmango	ta/u/ma/mango
yesekelwe	i/esekel/w/e
tekucedza	ta/ku/cedz/a
kuphatfwa	ku/phats/w/a
temmango	ta/u/mu/mango
ekomidini	e/komidi/ini
nemkhakha	na/mu/khakha
temmango	ta/u/mu/mango
nesakhiwo	ne/si/akhiwo
umsebenti	u/mu/sebenti
wemmango	wa/u/mu/mango
nekucedza	na/ku/cedz/a
umsebenti	u/mu/sebenti
kufundvwa	ku/fundz/w/a
kufundvwa	ku/fundz/w/a
yekuhlela	ya/ku/hlel/a
te'sehluko	te/si/hluko
lemmango	la/u/mu/mango
ekomidini	e/komidi/ini
yemtsetfo	ya/mu/tsetfo
awuyanga	a/wa/iy/ang/a
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
wemmango	wa/u/mu/mango
temmango	ta/u/mu/mango
kwesabelo	kwe/si/abelo
temklamo	ta/u/mu/klamo
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
tiphatfwe	ti/phats/w/e
esigabeni	esi/gaba/ini
kukhishwa	ku/khiph/w/a
lwendzawo	lwa/in/dzawo
ngekunaka	nga/ku/nak/a
wekutfola	wa/ku/tfol/a
umkhandlu	u/mu/khandlu
umsebenti	u/mu/sebenti
lasebake	laba/se/bak/e
nekungabi	na/ku/nga/bi
lemklamo	la/u/mu/klamo
ekutseni	e/ku/ts/e/ini
bekugcina	ba/ku/gcin/a
emsebenti	e/mu/sebenti
kukhishwa	ku/khiph/w/a
bamelele	ba/i/m/elel/e
temmango	ta/u/mu/mango
wemmango	wa/u/mu/mango
umsebenti	u/mu/sebenti
yemmango	ya/u/mu/mango
umsebenti	u/mu/sebenti
tekuhlela	ta/ku/hlel/a
tekuhlola	ta/ku/hlol/a
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
wekucedza	wa/ku/cedz/a
itakwenta	i/taku/ent/a
emkhandlu	a/mu/khandlu
tekwandza	ta/ku/andz/a
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
bativela	ba/ti/iv/el/a
yemmango	ya/u/mu/mango
lemmango	la/u/mu/mango
yekutfola	ya/ku/tfol/a
temmango	ta/u/mu/mango
lebumbene	le/bumb/an/e
temmango	ta/u/ma/mango
umsebenti	u/mu/sebenti
setimweni	se/ti/mo/ini
ngekwenta	nga/ku/ent/a
tekuhamba	ta/ku/hamb/a
kuchutjwa	ku/chub/iw/a
yekuhlela	ya/ku/hlel/a
temmango	ta/u/mu/mango
yemmango	ya/u/mu/mango
tekuhlela	ta/ku/hlel/a
ephepheni	e/phepha/ini
babelana	ba/ab/el/an/a
emhlabeni	e/mhlaba/ini
umsebenti	u/mu/sebenti
umtselela	u/mu/tselela
labakwati	laba/ku/at/i
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
lommango	le/u/mu/mango
etemphilo	a/te/m/philo
umsebenti	u/mu/sebenti
ngekuvota	nga/ku/vot/a
kummango	ku/u/mu/mango
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
temmango	ta/u/mu/mango
